date,equity,ticker,return
2025-08-15,100000.0,,
2025-09-23,100105.00923597044,CRM,1.050092359704406
2025-09-26,99777.86717486872,ECL,-3.2679889208198665
2025-09-26,100820.73537163189,CVS,10.451899066307613
2025-09-26,101524.45577532961,OXY,6.979917386079007
2025-09-26,101264.05205889505,GPN,-2.5649358516220895
2025-09-26,102907.64773762684,APTV,16.23079113776611
2025-09-26,104370.54705151421,CAT,14.215652053549665
2025-09-26,104277.56669263993,MGM,-0.8908677926962563
2025-09-26,104885.99270769414,DASH,5.8346779115738405
2025-10-08,110382.25835722621,INTC,52.40228468685583
2025-10-08,110100.62508797024,NCLH,-2.551436013788797
2025-10-08,111211.98403207496,WRB,10.094029377369605
2025-10-08,110591.82061010481,BEN,-5.5764082204602605
2025-10-08,110124.55830243065,BA,-4.225107291808749
