ticker,data_quality,thesis_verdict,reasoning,confidence,score_adjustment,validated_at
RSG,MIXED,AVOID,"El dato de FCF forward no cuenta con consenso y el histórico no está disponible, lo que introduce incertidumbre. Sin embargo, considerando el modelo y la proyección, la tesis de sobrevaloración parece tener fundamentos sólidos.",70,-5,2026-08-13T06:26:00+00:00
FAST,MIXED,AVOID,"El dato de FCF es coherente en general, pero la volatilidad en los últimos años y la falta de estabilidad en las proyecciones forward generan dudas. La tesis de sobrevaloración parece tener fundamentos sólidos dado el precio actual y el resultado del modelo, que sugiere un precio de compra significativamente más bajo.",70,-5,2026-08-13T06:26:00+00:00
MSI,RELIABLE,AVOID,"El dato subyacente parece fiable debido a la coherencia del FCF y la disponibilidad de un histórico de al menos 3 años. Sin embargo, la tesis OVERVALUED parece correcta considerando el upside negativo y la margen de seguridad también negativa, lo que sugiere que el precio actual puede estar sobrevalorado.",80,-8,2026-08-13T06:26:00+00:00
CB,MIXED,INSUFFICIENT,"El dato de FCF es coherente en general, pero la caída en el último año y la falta de proyecciones forward generan dudas. La tesis NO_DATA no puede ser evaluada adecuadamente debido a la falta de información sobre el NTM FCF yield y el ROIC último año.",60,0,2026-08-13T06:26:00+00:00
CHD,RELIABLE,AVOID,"El dato subyacente parece fiable debido a la coherencia del FCF y la disponibilidad de un histórico de al menos 3 años. Sin embargo, la tesis OVERVALUED parece correcta considerando el precio actual y el resultado del modelo, que sugiere un upside negativo y una margen de seguridad insuficiente.",80,-8,2026-08-13T06:26:00+00:00
ROP,RELIABLE,AVOID,"El dato subyacente parece fiable debido a la coherencia en el flujo de caja libre (FCF) y un histórico de al menos 3 años. Sin embargo, la tesis de sobrevaloración parece correcta considerando el margen de seguridad negativo y el ROIC por debajo del coste de capital estimado.",80,-8,2026-08-13T06:26:00+00:00
CBOE,RELIABLE,AVOID,"El dato subyacente parece fiable debido a la coherencia en el flujo de caja libre (FCF) y la disponibilidad de un histórico de al menos 3 años. Sin embargo, la tesis de sobrevaloración parece correcta considerando el precio actual y el resultado del modelo, que sugiere un upside negativo y una margen de seguridad insuficiente.",80,-8,2026-08-13T06:26:00+00:00
7741.T,MIXED,INSUFFICIENT,"El dato subyacente presenta algunos aspectos dudosos, como la proyección del FCF sin consenso y la falta de información sobre la tesis implícita. Esto limita la capacidad de evaluar la fiabilidad del modelo y la corrección de la tesis.",60,0,2026-08-13T06:26:00+00:00
ISRG,MIXED,WATCH,"El dato subyacente es mixto debido a la proyección del flujo de efectivo libre (FCF) sin consenso para los próximos años, lo que introduce incertidumbre. La tesis HOLD parece razonable considerando el upside limitado y la margen de seguridad negativa, sugiriendo que el precio actual está cerca del valor justo, por lo que se recomienda esperar un mejor precio.",70,0,2026-08-13T06:26:00+00:00
BRK-B,UNRELIABLE,INSUFFICIENT,"El dato subyacente es inadecuado para este modelo debido a la falta de información sobre el flujo de caja libre histórico y proyectado, lo que impide una evaluación precisa. La ausencia de datos clave como el TEV, FCF histórico y forward, y el ROIC último año, hace que no se pueda determinar la fiabilidad del dato ni la corrección de la tesis.",0,0,2026-08-13T06:26:00+00:00
CNI,MIXED,AVOID,"El dato subyacente presenta cierta volatilidad en el FCF histórico y forward, además de un red flag moderado en la conversión FCF/EBITDA. La tesis OVERVALUED parece correcta considerando el upside negativo y la margen de seguridad también negativa.",70,-5,2026-08-13T06:26:00+00:00
SYK,MIXED,WATCH,"El dato subyacente es mixto debido a la falta de histórico de FCF y la proyección sin consenso, lo que introduce incertidumbre. La tesis HOLD parece razonable considerando el upside limitado y la margen de seguridad negativa, sugiriendo que el precio actual está cerca del valor justo.",60,0,2026-08-13T06:26:00+00:00
ERIE,MIXED,INSUFFICIENT,"El dato de flujo de caja libre (FCF) histórico es coherente, pero la falta de proyecciones forward y el bajo número de analistas cubriendo la empresa generan incertidumbre. La tesis NO_DATA no puede ser evaluada adecuadamente debido a la insuficiencia de información.",60,0,2026-08-13T06:26:00+00:00
MSFT,MIXED,AVOID,"El dato subyacente es mixto debido a la proyección de FCF sin consenso y la volatilidad en los valores históricos. La tesis OVERVALUED parece correcta considerando el precio actual y el resultado del modelo, que sugiere un sobrevaloramiento.",70,-5,2026-08-13T06:26:00+00:00
AUTO.L,MIXED,AVOID,"El dato de FCF es coherente en general, pero la caída en el último año y la proyección de crecimiento futuro generan dudas. La tesis de sobrevaloración parece correcta debido a la gran brecha entre el precio actual y el precio de compra calculado, así como la falta de margen de seguridad.",70,-5,2026-08-13T06:26:00+00:00
RELX,MIXED,AVOID,"El dato subyacente es mixto debido a la proyección de FCF sin consenso, lo que introduce incertidumbre. La tesis OVERVALUED parece correcta considerando el upside negativo y la margen de seguridad también negativa, lo que sugiere que el precio actual puede estar sobrevalorado.",70,-5,2026-08-13T06:26:00+00:00
AJG,MIXED,AVOID,"El dato subyacente presenta algunas inconsistencias, como la caída del FCF en el último año y un apalancamiento moderado, lo que genera dudas sobre la fiabilidad del modelo. La tesis OVERVALUED parece correcta debido a la presencia de varios red flags y un margen de seguridad negativo.",70,-5,2026-08-13T06:26:00+00:00
LRLCY,UNRELIABLE,INSUFFICIENT,"La causa más probable del ratio 4.3x se debe a un desajuste de divisa o ratio de ADR, lo que genera inconsistencia en los datos fundamentales. El negocio subyacente parece sólido en su divisa nativa, con un flujo de caja libre (FCF) histórico creciente y proyecciones positivas. Sin embargo, la inconsistencia en la capitalización de mercado y el precio de cotización genera dudas sobre la fiabilidad de los datos. Por lo tanto, no se puede evaluar con precisión la tesis de valoración.",60,0,2026-08-13T06:26:00+00:00
CP,MIXED,AVOID,"El dato subyacente presenta algunas inconsistencias, como la caída del FCF en el último año y un ROIC inferior al coste capital estimado. Además, la dilución de acciones y la falta de consenso en las proyecciones forward generan incertidumbre. La tesis OVERVALUED parece correcta debido a la sobrevaloración y los red flags detectados.",70,-5,2026-08-13T06:26:00+00:00
ZTS,MIXED,AVOID,"El dato subyacente de FCF es coherente en general, pero la caída en el último año y la volatilidad en las proyecciones forward generan dudas. La tesis de sobrevaloración parece correcta debido a la diferencia significativa entre el precio de compra calculado y el precio actual, así como la falta de margen de seguridad.",70,-5,2026-08-13T06:26:00+00:00
NOW,RELIABLE,WATCH,"El dato subyacente parece fiable debido a la consistencia en el flujo de caja libre (FCF) y la disponibilidad de un histórico de al menos 3 años. Sin embargo, la tesis HOLD puede no ser del todo precisa considerando el margen de seguridad negativo y el upside limitado en relación con el precio actual.",80,2,2026-08-13T06:26:00+00:00
INTU,RELIABLE,AVOID,"El dato subyacente parece fiable debido a la consistencia en el flujo de caja libre (FCF) y la disponibilidad de proyecciones a futuro. Sin embargo, la tesis de sobrevaloración parece correcta considerando el precio actual y el resultado del modelo, que sugiere un precio de compra más bajo y una margen de seguridad negativa.",80,-8,2026-08-13T06:26:00+00:00
SPGI,MIXED,WATCH,"El dato subyacente es mixto debido a la caída del FCF en el último año y la dilución de acciones, lo que genera alguna incertidumbre. La tesis HOLD parece razonable considerando el upside moderado y la margen de seguridad negativa, pero es importante esperar un mejor precio o más información para tomar una decisión informada.",60,0,2026-08-13T06:26:00+00:00
