Ticker,Insider,Title,Date,InsiderName,TradeDate,FilingDate,Type,Price,Qty,Owned,Value,Source,ScrapedAt,Chart_Daily,Chart_Weekly
2026-09-03 10:07:44,RSG,"Republic Services, Inc.",10%,"Cascade Investment, L.L.C.",2026-08-26,2026-08-28,P - Purchase,220.52,560100,113935127,123%,OpenInsider.com,2026-09-03 10:07:44,reports/graphs/RSG_d.png,reports/graphs/RSG_w.png
2026-09-03 10:07:44,RSG,"Republic Services, Inc.",10%,"Cascade Investment, L.L.C.",2026-08-28,2026-09-01,P - Purchase,221.53,552400,114487527,122%,OpenInsider.com,2026-09-03 10:07:44,reports/graphs/RSG_d.png,reports/graphs/RSG_w.png
2026-09-03 10:07:44,AUGO,Aura Minerals Inc.,Dir,Sousa Mauad Bruno,2026-08-28,2026-09-01,P - Purchase,86.48,252000,290856,21%,OpenInsider.com,2026-09-03 10:07:44,reports/graphs/AUGO_d.png,reports/graphs/AUGO_w.png
2026-09-03 10:07:44,ATTO,"Attovia Therapeutics, Inc.",Former 10% Owner,Goldman Sachs Group Inc,2026-08-05,2026-08-28,P - Purchase,17.58,585000,3020632,10%,OpenInsider.com,2026-09-03 10:07:44,reports/graphs/ATTO_d.png,reports/graphs/ATTO_w.png
2026-09-03 10:07:44,ATTO,"Attovia Therapeutics, Inc.",Dir,Walsh Colin,2026-08-05,2026-08-28,P - Purchase,17.58,585000,3020632,10%,OpenInsider.com,2026-09-03 10:07:44,reports/graphs/ATTO_d.png,reports/graphs/ATTO_w.png
2026-09-03 10:07:44,KLAR,Klarna Group Plc,CEO,Siemiatkowski Sebastian,2026-08-26,2026-08-28,P - Purchase,14.37,692506,25344322,9%,OpenInsider.com,2026-09-03 10:07:44,reports/graphs/KLAR_d.png,reports/graphs/KLAR_w.png
2026-09-03 10:07:44,SUJA,"Suja Life, Inc.",10%,"Paine Schwartz Food Chain Fund V Gp, Ltd.",2026-08-26,2026-08-28,P - Purchase,9.35,652248,11096253,6%,OpenInsider.com,2026-09-03 10:07:44,reports/graphs/SUJA_d.png,reports/graphs/SUJA_w.png
2026-09-03 10:07:44,SUJA,"Suja Life, Inc.",10%,"Paine Schwartz Food Chain Fund V Gp, Ltd.",2026-08-31,2026-09-02,P - Purchase,10.27,525000,11621253,5%,OpenInsider.com,2026-09-03 10:07:44,reports/graphs/SUJA_d.png,reports/graphs/SUJA_w.png
2026-09-03 10:07:44,NIVF,Newgenivf Group Ltd,"Dir, 10%",Cheung Kong Yiu,2026-05-28,2026-09-02,P - Purchase,1.12,3722223,3722223,4%,OpenInsider.com,2026-09-03 10:07:44,reports/graphs/NIVF_d.png,reports/graphs/NIVF_w.png
2026-09-03 10:07:44,AAT,"American Assets Trust, Inc.","Exec COB, 10%",Rady Ernest S,2026-08-31,2026-09-02,P - Purchase,22.45,166636,14388400,3%,OpenInsider.com,2026-09-03 10:07:44,reports/graphs/AAT_d.png,reports/graphs/AAT_w.png
2026-09-03 10:07:44,PETZ,"Tdh Holdings, Inc.","CEO, Chair, 10%",Liu Dandan,2026-08-27,2026-08-31,P - Purchase,1.2,2969692,5069389,3%,OpenInsider.com,2026-09-03 10:07:44,reports/graphs/PETZ_d.png,reports/graphs/PETZ_w.png
2026-09-03 10:07:44,SLGL,Sol-Gel Technologies Ltd.,10%,Opaleye Management Inc.,2026-08-28,2026-08-31,P - Purchase,69.19,40330,540217,2%,OpenInsider.com,2026-09-03 10:07:44,reports/graphs/SLGL_d.png,reports/graphs/SLGL_w.png
