ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at
CVX,Chevron Corporation,83.1,🏆 ELITE,🟢 Elite,USD,USD,False,True,True,1.0,,100.0,100.0,46.7,85.0,60.0,35.0,32.6,False,up,241.1,True,2,39.5,True,2,"{'eps_growth_yoy': 241.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 9.8}","{'revenue_growth_yoy': 39.5, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 1.6, 'rs_6m': -3.2, 'rs_line_percentile': 32.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 12.2, 'debt_to_equity': 0.19, 'current_ratio': 1.25, 'operating_margin_pct': 21.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 11.3}",194.91,382336106496,Energy,Oil & Gas Integrated,1.0,2.1,False,214.71,-9.2,6,False,216.96,236.0,175.0,24.0,buy,11.3,474.19,143.3,325.8,67.2,5.74,11.18,3.82,67.2,7.12,3.99,True,-2.91,22.5,321.9,80.0,2026-10-30,False,False,5,NEUTRAL,5.03,9.3,0.05,29.1,,,,2026-08-11T05:16:25.197034
MSFT,Microsoft Corporation,81.5,🏆 ELITE,🟢 Elite,USD,USD,False,True,True,1.0,"FCF declarado (16,545,500,160) se aparta del derivado de flujo operativo menos capex (66,986,994,944)",100.0,70.0,68.7,95.0,60.0,60.0,50.4,False,up,28.9,True,1,15.9,True,1,"{'eps_growth_yoy': 28.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 40.3}","{'revenue_growth_yoy': 15.9, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 18.1, 'rs_6m': 10.9, 'rs_line_percentile': 50.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 34.0, 'debt_to_equity': 0.29, 'current_ratio': 1.23, 'operating_margin_pct': 45.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 11.4}",506.06,3757771587584,Technology,Software - Infrastructure,1.2,2.0,False,553.72,-8.6,4,False,563.84,870.0,400.0,53.0,strong_buy,11.4,94.49,-81.3,538.5,6.4,0.44,2.23,0.73,19.8,3.64,0.79,True,-0.59,55.4,31.7,78.0,2026-10-28,False,False,6,NEUTRAL,4.44,44.9,0.68,59.6,,,,2026-08-11T05:10:44.275832
VEEV,Veeva Systems Inc.,81.0,🏆 ELITE,🟢 Elite,USD,USD,False,True,True,1.0,,100.0,80.0,61.4,85.0,60.0,35.0,38.4,False,up,30.3,True,1,11.9,True,2,"{'eps_growth_yoy': 30.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 28.4}","{'revenue_growth_yoy': 11.9, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 42.5, 'rs_6m': 15.1, 'rs_line_percentile': 38.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 13.9, 'debt_to_equity': 0.01, 'current_ratio': 4.74, 'operating_margin_pct': 30.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 4.0}",234.69,38123819008,Healthcare,Health Information Services,5.3,3.2,False,310.5,-24.4,4,False,244.14,350.0,165.0,28.0,buy,4.0,183.94,-21.6,83.95,-64.2,3.3,7.75,,,,,True,-0.6,,14.6,15.0,2026-08-26,False,True,7,NEUTRAL,2.96,14.1,1.6,43.1,,,,2026-08-11T05:12:00.123841
INTU,Intuit Inc.,79.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,"FCF declarado (5,232,000,000) se aparta del derivado de flujo operativo menos capex (7,764,000,000)",100.0,100.0,24.0,85.0,70.0,15.0,11.4,False,flat,704.2,True,2,123.4,True,2,"{'eps_growth_yoy': 704.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 21.9}","{'revenue_growth_yoy': 123.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -19.4, 'rs_6m': -35.0, 'rs_line_percentile': 11.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'flat', 'rs_line_score': 15}","{'roe_pct': 22.5, 'debt_to_equity': 0.33, 'current_ratio': 1.45, 'operating_margin_pct': 47.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 35.9}",334.43,91478974464,Technology,Software - Application,6.6,2.9,False,721.54,-53.7,2,False,454.65,921.0,250.0,33.0,buy,35.9,387.99,16.0,180.4,-46.1,5.72,19.13,1.48,28.3,4.8,0.67,True,-4.47,24.8,10.7,14.0,2026-08-25,False,True,9,STRONG,5.55,97.0,1.14,48.2,0.2,0.0,-48.0,2026-08-11T05:11:01.156105
HEI,Heico Corporation,79.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,,,100.0,70.0,66.6,90.0,50.0,60.0,67.6,False,up,31.8,True,1,19.9,True,1,"{'eps_growth_yoy': 31.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 16.1}","{'revenue_growth_yoy': 19.9, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 20.8, 'rs_6m': 0.9, 'rs_line_percentile': 67.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 17.2, 'debt_to_equity': 0.48, 'current_ratio': 2.92, 'operating_margin_pct': 25.5}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 6.2}",363.94,0,Industrials,Aerospace & Defense,1.5,1.7,False,376.86,-3.4,7,True,386.53,472.0,290.0,19.0,none,6.2,,,165.9,-54.4,,,0.07,4.3,0.25,0.1,False,,9.0,24.1,14.0,2026-08-25,False,True,8,STRONG,1.9,52.3,1.09,23.9,,,,2026-08-11T05:13:39.898554
THC,Tenet Healthcare Corporation,78.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,"FCF declarado (2,247,875,072) se aparta del derivado de flujo operativo menos capex (3,005,000,064)",100.0,60.0,83.0,75.0,60.0,80.0,84.2,False,up,141.5,False,0,14.2,False,0,"{'eps_growth_yoy': 141.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.3}","{'revenue_growth_yoy': 14.2, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 30.8, 'rs_6m': 22.7, 'rs_line_percentile': 84.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 37.3, 'debt_to_equity': 1.52, 'current_ratio': 1.41, 'operating_margin_pct': 18.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 8.4}",259.93,20929302528,Healthcare,Medical Care Facilities,4.3,2.2,False,265.32,-2.0,6,False,281.76,309.0,260.0,21.0,strong_buy,8.4,1183.92,355.5,769.8,196.2,10.74,27.92,,,,2.75,True,-7.89,5.7,213.4,77.0,2026-10-27,False,False,6,NEUTRAL,10.04,33.4,0.06,77.4,,,,2026-08-11T05:17:51.457714
RACE,Ferrari N.V.,78.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,EUR,True,True,True,1.0,"FCF declarado (1,156,099,814) se aparta del derivado de flujo operativo menos capex (1,835,819,976)",100.0,70.0,58.7,90.0,60.0,35.0,27.2,False,up,21.2,True,2,9.7,True,2,"{'eps_growth_yoy': 21.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 22.2}","{'revenue_growth_yoy': 9.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 18.7, 'rs_6m': 10.4, 'rs_line_percentile': 27.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 45.4, 'debt_to_equity': 0.86, 'current_ratio': 2.43, 'operating_margin_pct': 31.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 11.4}",406.77,71495860224,Consumer Cyclical,Auto Manufacturers,2.9,6.7,False,504.49,-19.4,5,False,453.09,531.06,398.57,14.0,strong_buy,11.4,130.2,-68.0,106.86,-73.7,1.62,6.58,1.03,39.0,4.23,0.68,True,-1.11,63.9,10.1,84.0,2026-11-03,False,False,9,STRONG,2.87,46.9,3.18,31.4,,,,2026-08-11T05:13:12.350860
NUE,Nucor Corporation,78.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,,"FCF declarado (669,000,000) se aparta del derivado de flujo operativo menos capex (1,002,000,000)",85.0,70.0,88.3,80.0,60.0,100.0,97.6,True,up,23.2,True,1,12.3,True,1,"{'eps_growth_yoy': 23.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 8.0}","{'revenue_growth_yoy': 12.3, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 13.8, 'rs_6m': 31.1, 'rs_line_percentile': 97.6, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 14.5, 'debt_to_equity': 0.31, 'current_ratio': 2.51, 'operating_margin_pct': 15.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 3.3}",274.61,0,Basic Materials,Steel,2.3,2.2,False,280.11,-2.0,8,True,283.56,305.0,231.0,16.0,buy,3.3,,,378.9,38.0,,,0.82,17.8,2.24,1.41,False,,23.8,93.8,76.0,2026-10-26,False,False,6,NEUTRAL,4.01,11.9,0.16,36.1,,,,2026-08-11T05:17:06.230950
WST,"West Pharmaceutical Services, Inc.",78.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,"FCF declarado (277,937,504) se aparta del derivado de flujo operativo menos capex (376,300,000)",100.0,50.0,76.7,95.0,60.0,80.0,77.3,False,up,10.0,True,2,8.4,False,0,"{'eps_growth_yoy': 10.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 17.0}","{'revenue_growth_yoy': 8.4, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 4.5, 'rs_6m': 29.7, 'rs_line_percentile': 77.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 19.1, 'debt_to_equity': 0.11, 'current_ratio': 2.82, 'operating_margin_pct': 22.5}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 14.9}",352.13,24781416448,Healthcare,Medical Instruments & Supplies,3.9,2.9,False,386.0,-8.8,8,True,404.73,459.0,340.0,15.0,strong_buy,14.9,107.46,-69.5,140.82,-60.0,1.12,3.95,0.25,11.1,0.88,0.25,True,-1.84,155.1,18.1,72.0,2026-10-22,False,False,7,NEUTRAL,2.44,19.0,1.95,32.6,,,,2026-08-11T05:12:44.269820
IDXX,"IDEXX Laboratories, Inc.",77.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,"FCF declarado (909,368,384) se aparta del derivado de flujo operativo menos capex (1,233,284,016)",100.0,80.0,38.7,85.0,65.0,15.0,14.9,False,up,23.2,True,2,10.1,True,2,"{'eps_growth_yoy': 23.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 25.0}","{'revenue_growth_yoy': 10.1, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 7.2, 'rs_6m': -18.9, 'rs_line_percentile': 14.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 15}","{'roe_pct': 74.2, 'debt_to_equity': 0.68, 'current_ratio': 1.17, 'operating_margin_pct': 35.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 18.5}",595.76,46934642688,Healthcare,Diagnostics & Research,3.0,2.8,False,769.98,-22.6,2,False,705.85,805.0,470.0,13.0,buy,18.5,308.05,-48.3,254.85,-57.2,1.94,11.54,,,,,True,-2.51,38.7,12.3,83.0,2026-11-02,False,False,8,STRONG,2.85,120.0,2.03,31.8,0.4,0.01,-31.4,2026-08-11T05:11:13.979313
