Price,Close,High,Low,Open,Volume
Ticker,XLU,XLU,XLU,XLU,XLU
Date,,,,,
2025-11-03,44.24353790283203,44.36760839398617,43.72740420527111,44.183982703998915,22339600
2025-11-04,44.0847282409668,44.258426172952966,43.896138669383866,44.22368658655573,17156200
2025-11-05,44.09465026855469,44.30308777774014,43.891176639015775,44.0747985362993,16858200
2025-11-06,43.901100158691406,44.347754663999,43.88124842664099,44.015246671398636,23668200
2025-11-07,44.51152801513672,44.52145198786312,43.722437768648795,43.722437768648795,24337600
2025-11-10,44.49664306640625,44.84403892945894,44.114503830717354,44.64056150514884,17947200
2025-11-11,44.521453857421875,44.69515178490794,44.27331287920438,44.516489977684884,14435400
2025-11-12,44.62567138671875,44.66537485086111,44.377530415325076,44.5512283380345,15018400
2025-11-13,44.010284423828125,44.51153026427929,43.97554483803434,44.51153026427929,20675400
2025-11-14,44.04998779296875,44.387459676940026,43.78199508043296,43.886213837586176,20168200
2025-11-17,44.4470100402832,44.59589613917876,44.08968643199847,44.134353776199454,24201400
2025-11-18,44.27827453613281,44.70011342065968,44.26338668400008,44.48671203865235,25158800
2025-11-19,43.906063079833984,44.437084595015804,43.811768301235595,44.31301411215715,25095600
2025-11-20,43.682735443115234,44.52641702740486,43.65295973782963,44.25346044118423,25543200
2025-11-21,43.74725341796875,43.92095133831175,43.434593375020654,43.86636002244243,28589400
2025-11-24,44.24353790283203,44.357680634348526,43.53881842179594,43.8117712305365,23572800
2025-11-25,44.074798583984375,44.42715831265456,43.89613677982333,44.357679142850905,22195600
2025-11-26,44.6604118347168,44.71500315238532,44.228648959395855,44.31301598258146,16759200
2025-11-28,44.978031158447266,45.01277074302523,44.69019050894305,44.73485406640154,7882600
2025-12-01,43.9259147644043,44.72492897606471,43.90109915332688,44.72492897606471,26339000
2025-12-02,43.613258361816406,44.12939206735832,43.55866704195797,44.12939206735832,17384200
2025-12-03,43.47429656982422,43.77206497233268,43.30556253005734,43.647994489093264,21728000
2025-12-04,43.38496780395508,43.7323674459077,43.23608548854468,43.449486881664015,15535200
2025-12-05,42.9780158996582,43.454446114936474,42.95816416739693,43.39489470448342,13474700
2025-12-08,42.4023323059082,43.0872000546047,42.3427771070225,43.0574243483273,21607900
