ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,upside_triangulated_pct,upside_divergence_pts,upside_divergence,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
MA,0.0,,,,33.3,Mastercard Incorporated,57.8,Financial Services,Credit Services,75.0,50.0,44.0,50.0,65.0,538.02,475385823232.0,35.0,29.7,False,up,4.9,False,0.0,3.3,False,0.0,0.9,1.8,False,601.77,-10.6,0.0,False,"{'roe_pct': 232.1, 'debt_to_equity': 2.82, 'current_ratio': 0.98, 'operating_margin_pct': 60.8}","{'eps_growth_yoy': 4.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 45.9}",643.84,735.0,550.0,38.0,strong_buy,19.7,564.24,4.9,366.12,-32.0,3.4,18.41,0.65,18.2,0.54,True,-2.78,27.7,21.2,15.0,2026-07-30,False,True,9.0,STRONG,3.97,622.8,1.11,BULLISH,0.26,90.0,4.0,3.0,8.0,0.0,10.0,17.3,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 54% up volume)",MEGA_FLOAT,875.8,43.0,27.3,35.0,False,up,29.7,2.0,False,0.0,False,0.0,0.0,7.0,29.0,79.3,Top 25%,38.2,3.0,0.0,3.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,94.785,0.0,0.0,3.0,0.0,3.0,5.0,0.0,-0.16,0.0,0.0,0.0,2.46,2.0,10.0,30.0,0,,8,RELIABLE/BUY (+8),WATCH,3.0,44,0.333,MEDIA,7.279999999999999,4.9,33.2,MEDIA,⭐⭐⭐ EXCELLENT,🔥 Legendary,,,,,,,
VRSN,70.47368421052632,Excellent,Stage 1-2 Transition,19.21972323758897,51.3,"VeriSign, Inc.",60.8,Technology,Software - Infrastructure,85.0,50.0,44.0,50.0,65.0,268.85,24465350656.0,35.0,29.8,False,down,3.4,True,1.0,4.6,False,0.0,2.1,2.2,False,312.48,-14.0,0.0,False,"{'current_ratio': 0.46, 'operating_margin_pct': 68.5}","{'eps_growth_yoy': 3.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 50.0}",312.0,355.0,265.0,4.0,buy,16.0,185.13,-31.1,102.71,-61.8,3.3,8.87,1.2,34.5,,True,-3.54,15.4,8.0,8.0,2026-07-23,False,True,8.0,STRONG,4.43,512.5,2.25,BULLISH,0.0,60.0,3.0,0.0,26.8,28.2,15.4,18.2,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",HIGH_FLOAT,90.4,40.0,61.8,35.0,False,down,29.8,0.0,True,1.0,False,0.0,2.0,21.0,29.0,31.0,Bajo 50%,20.5,0.0,0.0,3.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,65.285,0.0,0.0,3.0,0.0,3.0,3.0,0.0,1.88,0.0,0.0,0.0,2.0,2.0,10.0,19.0,1,Berkshire Hathaway (Buffett),-5,MIXED/AVOID (-5),CONFIRM,11.0,44,0.5134,ALTA,42.81684210526316,-31.1,62.4,ALTA,⭐⭐ STRONG,🟢 Excellent,HOLD,65.0,Close to ATH (-14.0% from high) - wait for pullback | Strong upside (+16.0%) - analyst support,-14.0,NEUTRAL,BUY,False
V,0.0,,,,47.6,Visa Inc.,70.5,Financial Services,Credit Services,85.0,70.0,44.0,85.0,60.0,356.02,677058772992.0,35.0,42.3,False,up,14.2,False,0.0,10.4,True,1.0,1.2,2.3,False,365.02,-2.5,0.0,False,"{'roe_pct': 60.3, 'debt_to_equity': 0.67, 'current_ratio': 1.09, 'operating_margin_pct': 67.3}","{'eps_growth_yoy': 14.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 51.7}",401.16,450.0,330.0,38.0,strong_buy,12.7,532.49,49.6,342.9,-3.7,3.08,12.56,0.75,22.0,0.7,True,-3.15,43.6,35.5,13.0,2026-07-28,False,True,6.0,NEUTRAL,3.64,356.4,0.67,BULLISH,0.05,100.0,11.0,5.0,12.0,0.0,14.3,21.1,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 52% up volume)",MEGA_FLOAT,1688.2,43.0,35.4,35.0,False,up,42.3,2.0,False,0.0,True,1.0,2.0,7.0,29.0,79.3,Top 25%,38.2,3.0,0.0,5.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,57.58000000000001,0.0,0.0,3.0,0.0,3.0,5.0,0.0,0.58,1.0,0.0,0.0,1.59,2.0,2.0,41.0,0,,-8,RELIABLE/AVOID (-8),,0.0,42,0.4757,ALTA,14.55,12.7,-10.2,,⭐ GOOD,🟢 Excellent,AVOID,35.0,Near ATH (-2.5% from high) - poor entry point,-2.5,NEUTRAL,STRONG_BUY,False
CBOE,0.0,,,,43.7,"Cboe Global Markets, Inc.",75.5,Financial Services,Financial Data & Stock Exchanges,100.0,70.0,44.0,95.0,50.0,274.98,28777699328.0,35.0,31.3,False,down,64.1,True,1.0,8.5,True,2.0,3.0,2.9,False,371.18,-25.9,0.0,False,"{'roe_pct': 25.1, 'debt_to_equity': 0.29, 'current_ratio': 1.39, 'operating_margin_pct': 39.7}","{'eps_growth_yoy': 64.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 25.8}",311.21,375.0,258.0,14.0,hold,13.2,406.47,47.8,351.6,27.9,3.49,9.58,1.04,23.8,1.29,True,-0.27,33.8,21.8,16.0,2026-07-31,False,True,8.0,STRONG,5.69,70.3,0.34,,,,,,0.0,0.0,13.1,22.6,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 41% up volume)",HIGH_FLOAT,104.2,47.0,35.8,35.0,False,down,31.3,0.0,True,1.0,True,2.0,5.0,16.0,29.0,48.3,Bajo 50%,29.9,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,53.885000000000005,0.0,0.0,3.0,0.0,3.0,5.0,-2.68,-4.81,0.0,2.0,-1.5,1.65,2.0,10.0,32.0,0,,-8,RELIABLE/AVOID (-8),WATCH,3.0,42,0.4372,MEDIA,0.0499999999999998,27.9,-24.6,,⭐ GOOD,🟡 Good,,,,,,,
AON,0.0,,,,4.4,Aon plc,79.3,Financial Services,Insurance Brokers,100.0,90.0,44.0,80.0,60.0,358.89,76650635264.0,35.0,40.5,False,up,109.3,False,0.0,21.2,True,2.0,1.8,2.0,False,381.0,-5.8,0.0,False,"{'roe_pct': 46.4, 'debt_to_equity': 1.55, 'current_ratio': 1.07, 'operating_margin_pct': 35.8}","{'eps_growth_yoy': 109.3, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 22.5}",390.42,445.0,298.0,19.0,buy,8.8,597.35,66.4,482.38,34.4,4.36,15.65,0.89,16.4,0.76,True,-1.63,7.4,19.0,14.0,2026-07-29,False,True,8.0,STRONG,6.12,141.9,0.62,,,,,,2.0,0.0,1.3,23.8,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 52% up volume)",MEGA_FLOAT,210.9,43.0,25.1,35.0,False,up,40.5,2.0,False,0.0,True,2.0,2.0,17.0,29.0,44.8,Bajo 50%,29.1,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,53.34,0.0,0.0,3.0,0.0,3.0,5.0,1.34,1.64,2.0,0.0,1.5,1.1,0.0,10.0,12.0,0,,-8,RELIABLE/AVOID (-8),WATCH,3.0,44,0.0438,BAJA,9.43,34.4,-41.6,,⭐ GOOD,🟡 Good,,,,,,,
CME,0.0,,,,29.9,CME Group Inc.,72.0,Financial Services,Financial Data & Stock Exchanges,85.0,80.0,36.0,85.0,65.0,243.61,88021835776.0,15.0,18.1,False,down,12.6,False,0.0,11.1,True,2.0,1.8,1.3,False,329.16,-26.0,0.0,False,"{'roe_pct': 15.9, 'debt_to_equity': 0.14, 'current_ratio': 1.02, 'operating_margin_pct': 69.8}","{'eps_growth_yoy': 12.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 63.3}",285.47,329.0,226.0,15.0,buy,17.2,257.99,5.9,247.93,1.8,3.44,8.39,2.12,95.6,3.54,True,-0.91,32.9,14.9,7.0,2026-07-22,True,False,6.0,NEUTRAL,6.15,101.4,0.89,BULLISH,0.0,60.0,1.0,0.0,5.0,0.0,9.0,21.6,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.6x ratio, 38% up volume)",MEGA_FLOAT,357.3,50.0,30.6,15.0,False,down,18.1,0.0,False,0.0,True,2.0,2.0,16.0,29.0,48.3,Bajo 50%,29.9,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,1/3,55.79499999999999,0.0,0.0,3.0,-2.0,3.0,3.0,-4.14,-6.69,0.0,3.0,-3.0,2.15,2.0,2.0,20.0,0,,-5,MIXED/AVOID (-5),WATCH,6.0,44,0.2993,BAJA,0.0,5.9,13.4,,⭐ GOOD,🟡 Good,,,,,,,
ADP,0.0,,,,21.4,"Automatic Data Processing, Inc.",76.5,Technology,Software - Application,100.0,80.0,44.0,85.0,50.0,246.44,98510512128.0,35.0,29.4,False,up,49.3,True,1.0,15.8,True,2.0,4.2,4.8,False,315.98,-22.0,0.0,False,"{'roe_pct': 71.2, 'debt_to_equity': 0.69, 'current_ratio': 1.04, 'operating_margin_pct': 30.2}","{'eps_growth_yoy': 49.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.1}",252.8,305.0,190.0,15.0,hold,2.6,239.06,-3.0,110.46,-55.2,4.82,11.88,2.71,60.5,2.04,True,-1.81,13.5,4.2,14.0,2026-07-29,False,True,8.0,STRONG,5.78,192.0,1.92,BULLISH,0.0,60.0,2.0,0.0,7.0,0.0,6.4,22.9,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 44% up volume)",MEGA_FLOAT,398.8,50.0,29.4,35.0,False,up,29.4,2.0,True,1.0,True,2.0,5.0,22.0,29.0,27.6,Bajo 50%,20.1,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,1/3,52.17,0.0,0.0,3.0,3.0,3.0,1.0,2.1,2.43,1.0,0.0,1.5,0.32,-3.0,10.0,9.0,0,,-8,RELIABLE/AVOID (-8),WATCH,3.0,44,0.214,BAJA,0.1500000000000003,-3.0,31.7,MEDIA,⭐ GOOD,🟡 Good,,,,,,,
ASAZY,0.0,,,,27.5,Assa Abloy AB,57.0,Industrials,Security & Protection Services,90.0,30.0,36.0,65.0,55.0,16.89,37522022400.0,15.0,0.0,False,down,44.4,False,0.0,-5.8,False,0.0,,,False,21.98,-23.2,0.0,False,"{'roe_pct': 15.0, 'debt_to_equity': 0.61, 'current_ratio': 1.0}","{'eps_growth_yoy': 44.4, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.5}",21.88,21.88,21.88,1.0,none,29.5,347.64,1958.3,21.9,29.7,46.02,8.2,1.94,41.6,1.7,False,,,22.2,2.0,2026-07-17,True,False,8.0,STRONG,,118.2,0.42,,,,,,0.0,0.0,8.2,17.1,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 47% up volume)",MEGA_FLOAT,1999.6,45.0,25.3,15.0,False,down,0.0,0.0,False,0.0,False,0.0,0.0,,29.0,,Sin datos suficientes,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,61.175,0.0,0.0,8.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.69,0.0,10.0,,0,,3,MIXED/BUY (+3),BEST,8.0,44,0.2746,BAJA,0.0,29.7,-964.5,,🔵 DECENT,🟡 Good,,,,,,,
NDAQ,0.0,,,,28.8,"Nasdaq, Inc.",62.3,Financial Services,Financial Data & Stock Exchanges,85.0,50.0,44.0,60.0,65.0,88.01,49773248512.0,35.0,31.0,False,down,14.8,False,0.0,2.2,False,0.0,2.4,1.9,False,101.79,-13.5,0.0,False,"{'roe_pct': 16.2, 'debt_to_equity': 0.79, 'current_ratio': 1.0, 'operating_margin_pct': 48.4}","{'eps_growth_yoy': 14.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 35.3}",106.33,125.0,82.0,15.0,buy,20.8,116.95,32.9,98.1,11.5,3.13,2.76,1.26,32.5,1.28,True,-2.11,7.8,33.8,8.0,2026-07-23,False,True,9.0,STRONG,4.25,205.3,0.58,,,,,,0.0,0.0,8.6,18.7,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 47% up volume)",MEGA_FLOAT,503.0,45.0,27.3,35.0,False,down,31.0,0.0,False,0.0,False,0.0,0.0,16.0,29.0,48.3,Bajo 50%,29.9,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,49.86,0.0,0.0,3.0,0.0,3.0,5.0,0.19,-0.19,1.0,1.0,0.0,2.6,2.0,10.0,24.0,0,,-8,RELIABLE/AVOID (-8),WATCH,0.0,44,0.288,BAJA,7.73,20.8,-1.4,,🔵 DECENT,🟡 Good,,,,,,,
TEVA,0.0,,,,25.0,Teva Pharmaceutical Industries ,58.5,Healthcare,Drug Manufacturers - Specialty & Generic,85.0,30.0,54.0,55.0,65.0,31.82,37052067840.0,60.0,64.8,False,down,30.9,False,0.0,-4.7,False,0.0,2.8,5.2,False,37.35,-14.8,0.0,False,"{'roe_pct': 21.6, 'debt_to_equity': 2.06, 'current_ratio': 1.01, 'operating_margin_pct': 19.2}","{'eps_growth_yoy': 30.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 9.0}",40.9,50.0,33.0,10.0,strong_buy,28.5,95.11,198.9,39.6,24.5,7.05,2.24,,,2.95,False,,2.5,72.2,14.0,2026-07-29,False,True,8.0,STRONG,4.26,43.5,0.14,,,,,,0.0,0.0,7.5,17.6,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 41% up volume)",MEGA_FLOAT,1083.3,50.0,25.1,60.0,False,down,64.8,0.0,False,0.0,False,0.0,0.0,12.0,29.0,62.1,Medio,33.9,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,64.15,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.56,0.0,10.0,67.0,1,Appaloosa (Tepper),8,RELIABLE/BUY (+8),,0.0,44,0.2499,BAJA,7.35,28.5,-83.2,,🔵 DECENT,🟡 Good,,,,,,,
