ticker,vcp_score,ml_score,momentum_score,trend_score,volume_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,insiders_score,institutional_score,num_whales,top_whales,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
FTAI,0.0,50.0,37.2,,,FTAI Aviation Ltd.,72.0,Industrials,Rental & Leasing Services,60.0,80.0,91.0,65.0,60.0,303.93,31174989824.0,100.0,100.0,True,up,,,0.0,33.7,False,0.0,4.1,1.6,False,310.0,-2.0,8.0,True,"{'roe_pct': 263.0, 'debt_to_equity': 13.81, 'current_ratio': 5.84, 'operating_margin_pct': 31.2}",{'profit_margin_pct': 20.8},314.6,350.0,260.0,10.0,strong_buy,3.5,,,131.4,-56.8,,,,,,90.0,0.0,0.0,,34.6,0.0,15.0,21.6,2026-02-26 07:45:41,2026-02-26,CORRECTION,AVOID,False,0,Error: Too Many Requests. Rate limited. Try after a while.,STRONG_ACCUMULATION,75,"Strong institutional buying (1.7x ratio, 62% up volume)",HIGH_FLOAT,101.1,35.0,36.6,100.0,True,up,100.0,10.0,,0.0,False,0.0,0.0,14,55.0,76.4,Top 25%,46.2,3.0,0.0,5.0,10.0,0.0,0.0,5.0,0.0,False,1/3,66.8,8.0,0.0,⭐ GOOD,🟢 Excellent,,,,,,,
EXEL,0.0,50.0,22.88,,,"Exelixis, Inc.",63.8,Healthcare,Biotechnology,60.0,50.0,65.1,95.0,60.0,45.14,12102582272.0,60.0,51.3,False,up,,,0.0,7.8,False,0.0,14.4,11.4,True,49.62,-9.0,6.0,False,"{'roe_pct': 35.5, 'debt_to_equity': 0.09, 'current_ratio': 3.56, 'operating_margin_pct': 39.4}",{'profit_margin_pct': 33.7},47.17,60.0,35.0,18.0,buy,4.5,103.06,128.3,83.4,84.8,,,,,,70.0,0.0,0.0,,18.0,0.0,15.0,19.1,2026-02-26 07:45:41,2026-02-26,CORRECTION,AVOID,False,0,Error: Too Many Requests. Rate limited. Try after a while.,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",MEGA_FLOAT,211.2,38.0,34.1,60.0,False,up,51.3,2.0,,0.0,False,0.0,0.0,17,55.0,70.9,Medio,39.0,0.0,3.0,3.0,5.0,0.0,0.0,5.0,0.0,False,1/3,60.519999999999996,5.0,0.0,⭐ GOOD,🟡 Good,,,,,,,
LPG,0.0,50.0,37.25,,,Dorian LPG Ltd.,72.5,Energy,Oil & Gas Midstream,60.0,80.0,82.6,80.0,60.0,35.14,1502027776.0,100.0,97.7,True,up,,,0.0,58.1,False,0.0,4.9,3.0,False,35.82,-1.9,8.0,True,"{'roe_pct': 11.2, 'debt_to_equity': 0.62, 'current_ratio': 2.42, 'operating_margin_pct': 43.3}",{'profit_margin_pct': 30.4},35.25,41.0,31.0,4.0,buy,0.3,100.74,186.7,84.9,141.6,,,,,,90.0,0.0,0.0,,54.8,0.0,15.0,21.8,2026-02-26 07:45:41,2026-02-26,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),STRONG_ACCUMULATION,75,"Strong institutional buying (1.8x ratio, 64% up volume)",MEDIUM_FLOAT,36.8,15.0,36.8,100.0,True,up,97.7,10.0,,0.0,False,0.0,0.0,7,55.0,89.1,Top 25%,60.7,3.0,0.0,5.0,10.0,0.0,0.0,5.0,0.0,False,2/3,59.0,8.0,0.0,🔵 DECENT,🟡 Good,AVOID,35.0,Near ATH (-0.0% from high) - poor entry point,-0.0,NEUTRAL,BUY,False
NVT,0.0,50.0,37.22,,,nVent Electric plc,72.2,Industrials,Electrical Equipment & Parts,55.0,80.0,88.3,80.0,60.0,118.22,19119659008.0,100.0,98.6,True,up,,,0.0,31.8,False,0.0,2.3,1.9,False,120.85,-2.2,8.0,True,"{'roe_pct': 12.3, 'debt_to_equity': 0.46, 'current_ratio': 1.63, 'operating_margin_pct': 16.2}",{'profit_margin_pct': 18.2},127.0,148.0,68.04,13.0,strong_buy,7.4,150.58,27.4,78.0,-34.0,,,,,,90.0,0.0,0.0,,51.7,0.0,15.0,21.7,2026-02-26 07:45:41,2026-02-26,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 56% up volume)",HIGH_FLOAT,160.9,15.0,36.7,100.0,True,up,98.6,10.0,,0.0,False,0.0,0.0,15,55.0,74.5,Medio,42.5,0.0,0.0,5.0,10.0,0.0,0.0,5.0,0.0,False,2/3,58.879999999999995,8.0,0.0,🔵 DECENT,🟡 Good,AVOID,25.0,Near ATH (-0.7% from high) - poor entry point | Elevated P/E (47.0) - watch valuation,-0.7,NEUTRAL,STRONG_BUY,True
MWA,0.0,50.0,31.03,,,MUELLER WATER PRODUCTS,55.3,Industrials,Specialty Industrial Machinery,55.0,30.0,66.6,80.0,60.0,29.92,4679048704.0,60.0,59.6,False,up,,,0.0,-12.7,False,0.0,3.7,3.9,False,30.47,-1.8,7.0,True,"{'roe_pct': 21.6, 'debt_to_equity': 0.44, 'current_ratio': 4.02, 'operating_margin_pct': 18.9}",{'profit_margin_pct': 13.8},30.33,35.0,25.0,6.0,buy,1.4,31.27,4.5,28.83,-3.6,,,,,,90.0,0.0,0.0,,38.6,0.0,15.0,16.6,2026-02-26 07:45:41,2026-02-26,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 49% up volume)",HIGH_FLOAT,154.1,15.0,31.6,60.0,False,up,59.6,2.0,,0.0,False,0.0,0.0,9,55.0,85.5,Top 25%,55.5,3.0,0.0,5.0,7.0,0.0,0.0,5.0,0.0,False,2/3,57.12,8.0,0.0,🔵 DECENT,🟡 Good,,,,,,,
MTDR,0.0,50.0,19.01,,,Matador Resources Company,55.1,Energy,Oil & Gas E&P,60.0,40.0,60.3,60.0,60.0,50.53,6290702848.0,60.0,51.1,False,up,,,0.0,-6.5,True,1.0,9.6,5.8,True,53.84,-6.1,5.0,False,"{'roe_pct': 16.1, 'debt_to_equity': 0.57, 'current_ratio': 0.73, 'operating_margin_pct': 35.9}",{'profit_margin_pct': 22.0},57.53,85.0,47.0,19.0,strong_buy,13.8,6.06,-88.0,62.4,23.5,,,,,,100.0,0.0,0.0,,18.0,0.0,15.0,16.5,2026-02-26 07:45:41,2026-02-26,CORRECTION,AVOID,False,66,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 55% up volume)",HIGH_FLOAT,116.2,35.0,31.5,60.0,False,up,51.1,2.0,,0.0,True,1.0,2.0,23,55.0,60.0,Medio,30.9,0.0,3.0,3.0,3.0,0.0,0.0,5.0,0.0,False,1/3,57.040000000000006,8.0,0.0,🔵 DECENT,🟡 Good,,,,,,,
HQI,0.0,50.0,14.18,,,"HireQuest, Inc.",66.8,Industrials,Staffing & Employment Services,60.0,70.0,61.4,90.0,55.0,11.9,167790000.0,35.0,43.9,False,up,,,0.0,5.1,True,2.0,3.2,7.9,False,15.5,-23.2,6.0,False,"{'roe_pct': 11.1, 'debt_to_equity': 0.03, 'current_ratio': 2.4, 'operating_margin_pct': 31.5}",{'profit_margin_pct': 21.9},14.0,15.0,13.0,2.0,none,17.6,11.79,-0.9,5.2,-56.3,,,,,,100.0,0.0,0.0,,14.0,0.0,15.0,20.0,2026-02-26 07:45:41,2026-02-26,CORRECTION,AVOID,False,0,Error: Too Many Requests. Rate limited. Try after a while.,ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 53% up volume)",MICRO_FLOAT,5.6,35.0,35.0,35.0,False,up,43.9,2.0,,0.0,True,2.0,2.0,36,55.0,36.4,Bajo 50%,22.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,False,1/3,56.72,8.0,0.0,🔵 DECENT,🟡 Good,,,,,,,
PRIM,0.0,50.0,31.13,,,Primoris Services Corporation,71.3,Industrials,Engineering & Construction,50.0,90.0,83.0,75.0,60.0,151.92,8208594944.0,80.0,82.9,False,up,,,0.0,25.1,True,2.0,6.8,3.8,False,174.43,-12.9,8.0,True,"{'roe_pct': 17.8, 'debt_to_equity': 0.47, 'current_ratio': 1.26, 'operating_margin_pct': 4.2}",{'profit_margin_pct': 3.6},160.93,196.0,128.0,14.0,buy,5.9,120.48,-20.7,50.4,-66.8,,,,,,90.0,0.0,0.0,,52.4,0.0,15.0,21.4,2026-02-26 07:45:41,2026-02-26,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),STRONG_ACCUMULATION,75,"Strong institutional buying (1.8x ratio, 62% up volume)",HIGH_FLOAT,53.6,15.0,36.4,80.0,False,up,82.9,5.0,,0.0,True,2.0,2.0,3,55.0,96.4,Top 10%,69.7,5.0,1.0,3.0,10.0,0.0,0.0,5.0,0.0,False,2/3,56.519999999999996,8.0,0.0,🔵 DECENT,🟡 Good,HOLD,55.0,Close to ATH (-12.2% from high) - wait for pullback,-12.2,NEUTRAL,BUY,False
STRW,0.0,50.0,22.75,,,"Strawberry Fields REIT, Inc.",62.5,Real Estate,REIT - Healthcare Facilities,50.0,90.0,44.0,65.0,65.0,12.31,684421824.0,35.0,36.8,False,down,,,0.0,30.3,True,1.0,0.7,3.2,False,14.0,-12.1,6.0,False,"{'roe_pct': 49.7, 'debt_to_equity': 15.66, 'current_ratio': 5.47, 'operating_margin_pct': 52.4}",{'profit_margin_pct': 4.9},14.5,16.0,12.0,6.0,strong_buy,17.8,,,6.1,-50.4,,,,,,90.0,0.0,0.0,,36.8,0.0,15.0,18.8,2026-02-26 07:45:41,2026-02-26,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,55,"No clear pattern (0.9x ratio, 47% up volume)",MICRO_FLOAT,8.0,15.0,33.8,35.0,False,down,36.8,0.0,,0.0,True,1.0,2.0,8,55.0,87.3,Top 25%,59.1,3.0,0.0,3.0,5.0,0.0,0.0,5.0,0.0,False,1/3,56.0,8.0,0.0,🔵 DECENT,🟡 Good,,,,,,,
OHI,0.0,50.0,36.39,,,"Omega Healthcare Investors, Inc",63.9,Real Estate,REIT - Healthcare Facilities,60.0,60.0,68.3,75.0,60.0,47.12,14314113024.0,80.0,88.8,False,up,,,0.0,15.3,False,0.0,4.8,6.7,False,47.94,-1.7,8.0,True,"{'roe_pct': 12.0, 'debt_to_equity': 0.79, 'current_ratio': 1.1, 'operating_margin_pct': 63.2}",{'profit_margin_pct': 49.6},48.88,59.0,43.0,16.0,buy,3.7,109.03,131.4,58.2,23.5,,,,,,100.0,0.0,0.0,,44.2,0.0,15.0,19.2,2026-02-26 07:45:41,2026-02-26,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),STRONG_ACCUMULATION,75,"Strong institutional buying (1.7x ratio, 61% up volume)",MEGA_FLOAT,294.6,18.0,34.2,80.0,False,up,88.8,5.0,,0.0,False,0.0,0.0,8,55.0,87.3,Top 25%,59.1,3.0,0.0,5.0,10.0,0.0,0.0,5.0,0.0,False,2/3,55.56,8.0,0.0,🔵 DECENT,🟡 Good,AVOID,35.0,Near ATH (-0.9% from high) - poor entry point,-0.9,NEUTRAL,BUY,False
