ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,analyzed_at
CCNE,CNB Financial Corporation,73.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,100.0,77.9,60.0,60.0,95.0,90.6,False,up,,,0,31.6,True,2,{'profit_margin_pct': 24.2},"{'revenue_growth_yoy': np.float64(31.6), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(14.6), 'rs_6m': np.float64(5.0), 'rs_line_percentile': 90.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 8.9, 'operating_margin_pct': 50.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 10.0}",29.69,875149568,Financial Services,Banks - Regional,1.2,2.5,False,30.84,-3.7,8.0,True,32.67,35.0,29.0,3.0,buy,10.0,,,63.0,112.2,2026-02-26T08:31:29.364652
LPG,Dorian LPG Ltd.,73.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,87.4,80.0,60.0,100.0,100.0,True,up,,,0,58.1,False,0,{'profit_margin_pct': 30.4},"{'revenue_growth_yoy': np.float64(58.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(46.3), 'rs_6m': np.float64(11.0), 'rs_line_percentile': 100.0, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 11.2, 'debt_to_equity': 0.62, 'current_ratio': 2.42, 'operating_margin_pct': 43.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': -2.5}",36.16,1545626752,Energy,Oil & Gas Midstream,4.6,2.6,False,36.17,-0.0,8.0,True,35.25,41.0,31.0,4.0,buy,-2.5,100.74,178.6,84.9,134.8,2026-02-26T08:32:14.231006
PKBK,"Parke Bancorp, Inc.",73.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,91.0,65.0,50.0,100.0,94.0,True,up,,,0,25.4,True,2,{'profit_margin_pct': 48.8},"{'revenue_growth_yoy': np.float64(25.4), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(25.5), 'rs_6m': np.float64(20.3), 'rs_line_percentile': 94.0, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 12.1, 'operating_margin_pct': 68.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",28.64,339303712,Financial Services,Banks - Regional,1.0,1.2,False,29.5,-2.9,8.0,True,,,,,none,,,,94.8,231.0,2026-02-26T08:33:06.770817
BBT,Beacon Financial Corporation,72.4,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,100.0,79.4,60.0,60.0,80.0,86.0,False,up,,,0,58.1,True,2,{'profit_margin_pct': 17.6},"{'revenue_growth_yoy': np.float64(58.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(22.2), 'rs_6m': np.float64(12.0), 'rs_line_percentile': 86.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 4.9, 'operating_margin_pct': 46.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 10.8}",31.19,2617117440,Financial Services,Banks - Regional,5.1,4.4,False,31.95,-2.4,8.0,True,34.57,42.0,31.0,7.0,buy,10.8,,,30.9,-0.9,2026-02-26T08:31:53.561030
MSGM,Motorsport Games Inc.,72.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,71.4,100.0,50.0,60.0,66.2,False,up,,,0,57.1,False,0,{'profit_margin_pct': 36.6},"{'revenue_growth_yoy': np.float64(57.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(28.9), 'rs_6m': np.float64(13.3), 'rs_line_percentile': 66.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 70.3, 'debt_to_equity': 0.0, 'current_ratio': 1.92, 'operating_margin_pct': 25.8}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",3.64,18485562,Communication Services,Electronic Gaming & Multimedia,3.3,0.6,False,5.409,-32.7,6.0,False,,,,,none,,,,4.2,15.4,2026-02-26T08:34:17.256866
NVT,nVent Electric plc,72.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,80.0,88.3,80.0,60.0,100.0,100.0,True,up,,,0,40.1,False,0,{'profit_margin_pct': 18.2},"{'revenue_growth_yoy': np.float64(40.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(13.3), 'rs_6m': np.float64(26.5), 'rs_line_percentile': 100.0, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 12.3, 'debt_to_equity': 0.46, 'current_ratio': 1.63, 'operating_margin_pct': 16.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 4.3}",121.8,19698651136,Industrials,Electrical Equipment & Parts,3.0,1.7,False,122.6689,-0.7,8.0,True,127.0,148.0,68.04,13.0,strong_buy,4.3,150.58,23.6,77.7,-36.2,2026-02-26T08:32:21.745007
FTAI,FTAI Aviation Ltd.,72.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,91.0,65.0,60.0,100.0,97.8,True,up,,,0,33.7,False,0,{'profit_margin_pct': 20.8},"{'revenue_growth_yoy': np.float64(33.7), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(82.0), 'rs_6m': np.float64(94.8), 'rs_line_percentile': 97.8, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 263.0, 'debt_to_equity': 13.81, 'current_ratio': 5.84, 'operating_margin_pct': 31.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 4.2}",302.03,30980102144,Industrials,Rental & Leasing Services,4.1,1.6,False,310.0,-2.6,8.0,True,314.6,350.0,260.0,10.0,strong_buy,4.2,,,131.1,-56.6,2026-02-26T08:31:58.240124
PRIM,Primoris Services Corporation,70.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,50.0,90.0,83.0,70.0,60.0,80.0,82.9,False,up,,,0,25.1,True,2,{'profit_margin_pct': 3.6},"{'revenue_growth_yoy': np.float64(25.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(20.1), 'rs_6m': np.float64(22.8), 'rs_line_percentile': 82.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 17.8, 'debt_to_equity': 0.57, 'current_ratio': 1.26, 'operating_margin_pct': 4.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 8.3}",153.2,8277756416,Industrials,Engineering & Construction,6.5,3.7,False,174.43,-12.2,8.0,True,165.93,205.0,138.0,14.0,buy,8.3,79.42,-48.2,50.6,-67.0,2026-02-26T08:32:33.941496
NIC,Nicolet Bankshares Inc.,70.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,82.6,65.0,60.0,100.0,96.2,True,up,,,0,12.8,True,2,{'profit_margin_pct': 38.9},"{'revenue_growth_yoy': np.float64(12.8), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(27.3), 'rs_6m': np.float64(9.2), 'rs_line_percentile': 96.2, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 12.4, 'operating_margin_pct': 52.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 9.0}",160.5,2377236992,Financial Services,Banks - Regional,6.7,4.8,False,162.0,-0.9,8.0,True,175.0,190.0,157.0,5.0,buy,9.0,,,199.31,24.2,2026-02-26T08:33:54.328173
AEBI,Aebi Schmidt Holding AG,69.9,⭐⭐ GOOD,🟡 Good,50.0,100.0,79.4,60.0,50.0,80.0,84.9,False,up,,,0,58.0,True,2,{'profit_margin_pct': 0.8},"{'revenue_growth_yoy': np.float64(58.0), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(21.2), 'rs_6m': np.float64(16.7), 'rs_line_percentile': 84.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'debt_to_equity': 1.0, 'current_ratio': 2.1, 'operating_margin_pct': 3.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 5.6}",14.91,1153165952,Industrials,Farm & Heavy Construction Machinery,,7.2,False,33.0,-54.8,,,15.75,16.5,15.0,2.0,none,5.6,,,1.4,-90.6,2026-02-26T08:31:30.614802
