ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
ALIT,"Alight,",Oversold Bounce,⭐⭐⭐ EXCELENTE,100,0.79,$1.89 - $1.96,2.36,1.83,0.0,2026-02-26,13.0,-66.6,1.93,2.36,-59.0,2.31,,,,,,
ACVA,ACV Auctions,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,4.51,$7.57 - $7.87,8.98,7.33,0.0,2026-02-26,16.4,-49.8,7.72,8.98,-41.6,1.55,,,,,,
WYY,WidePoint,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,4.46,$5.2 - $5.42,7.34,5.04,0.0,2026-02-26,28.2,-39.6,5.31,7.34,-16.0,0.89,,,,,,
MYSZ,"My Size,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,0.53,$0.74 - $0.77,1.18,0.72,0.0,2026-02-26,22.1,-51.2,0.76,1.18,-29.8,0.43,,,,,,
RPD,"Rapid7,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,6.27,$15.3 - $15.93,18.76,14.83,0.0,2026-02-26,10.2,-62.5,15.62,18.76,-59.8,0.9,,,,,,
NWTG,"Newton Golf,",Bull Flag Pullback,⭐⭐ MUY BUENA,75,1.64,$1.61 - $1.67,1.86,1.52,1.91,2026-02-26,,,,,,,35.8,-11.8,1.57,1.57,Bearish,True
CRM,"Salesforce,",Oversold Bounce,⭐⭐ MUY BUENA,70,191.75,$230.6 - $240.02,264.61,223.54,0.0,2026-02-26,43.5,-28.0,235.31,264.61,-18.5,1.46,,,,,,
SCKT,"Socket Mobile,",Oversold Bounce,⭐⭐ MUY BUENA,70,0.91,$0.91 - $0.95,1.19,0.88,10.75,2026-02-26,30.4,-31.6,0.93,1.19,-2.2,2.38,,,,,,
EMPD,Empery Digital,Oversold Bounce,⭐⭐ MUY BUENA,70,4.13,$4.07 - $4.24,7.94,3.95,20.85,2026-02-26,45.0,-23.5,4.15,7.94,-0.6,1.3,,,,,,
CSPI,CSPI,Oversold Bounce,⭐⭐ MUY BUENA,70,8.85,$10.85 - $11.3,13.52,10.52,0.0,2026-02-26,31.4,-40.7,11.07,13.52,-20.1,1.49,,,,,,
INTC,Intel,Bull Flag Pullback,⭐ BUENA,60,46.88,$45.94 - $47.82,54.32,42.59,1.73,2026-02-26,,,,,,,50.7,-13.7,43.9,43.9,Bearish,False
HYMC,Hycroft Mining Holding,Bull Flag Pullback,⭐ BUENA,60,48.62,$47.65 - $49.59,54.85,32.42,0.38,2026-02-26,,,,,,,386.3,-11.4,33.42,33.42,Bearish,False
IP,International Paper,Bull Flag Pullback,⭐ BUENA,60,43.66,$42.79 - $44.53,49.19,41.32,2.36,2026-02-26,,,,,,,30.9,-11.2,42.6,42.6,Bearish,False
WS,"Worthington Steel,",Bull Flag Pullback,⭐ BUENA,60,43.22,$42.36 - $44.08,48.69,38.78,1.23,2026-02-26,,,,,,,44.9,-11.2,39.97,39.97,Bearish,False
CMC,Commercial Metals,Bull Flag Pullback,⭐ BUENA,60,74.58,$73.09 - $76.07,83.21,72.98,5.41,2026-02-26,,,,,,,31.2,-10.4,75.24,75.24,Bearish,False
AMR,"Alpha Metallurgical Resources,",Oversold Bounce,MODERADA,55,175.48,$150.12 - $156.25,181.77,145.53,0.21,2026-02-26,19.4,-29.7,153.19,181.77,14.6,1.03,,,,,,
SPRU,Spruce Power Holding,Oversold Bounce,MODERADA,55,4.12,$2.56 - $2.66,5.75,2.48,0.99,2026-02-26,26.5,-36.2,2.61,5.75,57.9,0.47,,,,,,
KKR,KKR &,Oversold Bounce,MODERADA,50,96.63,$114.78 - $119.47,139.04,111.27,0.0,2026-02-26,39.6,-32.2,117.13,139.04,-17.5,0.98,,,,,,
DASH,"DoorDash,",Oversold Bounce,MODERADA,50,173.06,$183.98 - $191.48,258.31,178.34,0.0,2026-02-26,35.7,-26.3,187.73,258.31,-7.8,0.8,,,,,,
PODD,Insulet,Oversold Bounce,MODERADA,50,248.12,$302.79 - $315.14,329.22,293.52,0.0,2026-02-26,48.0,-24.2,308.97,329.22,-19.7,0.74,,,,,,
ROP,"Roper Technologies,",Oversold Bounce,MODERADA,50,344.24,$456.65 - $475.29,454.27,442.67,0.0,2026-02-26,42.2,-23.7,465.97,454.27,-26.1,0.68,,,,,,
NRDY,Nerdy,Oversold Bounce,MODERADA,50,0.93,$0.96 - $1.0,1.27,0.93,0.0,2026-02-26,40.2,-34.5,0.98,1.27,-5.1,1.18,,,,,,
SQNS,Sequansmmunications S.A.,Oversold Bounce,MODERADA,50,3.14,$5.27 - $5.49,6.75,5.11,0.0,2026-02-26,39.1,-53.5,5.38,6.75,-41.6,1.01,,,,,,
NAVN,"Navan,",Oversold Bounce,MODERADA,50,9.3,$12.64 - $13.16,18.06,12.25,0.0,2026-02-26,34.6,-48.5,12.9,18.06,-27.9,0.79,,,,,,
SAIC,Science Applications International,Oversold Bounce,MODERADA,50,86.79,$83.04 - $86.43,102.11,80.49,2.43,2026-02-26,34.8,-23.8,84.73,102.11,2.4,0.85,,,,,,
VRNS,"Varonis Systems,",Oversold Bounce,MODERADA,50,22.72,$30.5 - $31.74,47.79,29.56,0.0,2026-02-26,46.5,-36.4,31.12,47.79,-27.0,0.43,,,,,,
MSTR,Strategy,Oversold Bounce,MODERADA,50,135.65,$158.0 - $164.45,269.06,153.16,0.0,2026-02-26,52.9,-28.2,161.22,269.06,-15.9,0.92,,,,,,
CNDT,CNDT,Oversold Bounce,MODERADA,50,1.54,$1.79 - $1.86,2.09,1.73,0.0,2026-02-26,54.3,-26.3,1.82,2.09,-15.6,1.13,,,,,,
SVCO,"Silvaco Group,",Oversold Bounce,MODERADA,50,3.43,$3.93 - $4.09,4.83,3.81,0.0,2026-02-26,34.0,-30.8,4.01,4.83,-14.5,0.47,,,,,,
INTZ,Intrusion,Oversold Bounce,MODERADA,50,0.9,$1.19 - $1.24,1.95,1.15,0.0,2026-02-26,44.6,-41.6,1.21,1.95,-25.9,0.66,,,,,,
SPT,"Sprout Social,",Oversold Bounce,MODERADA,50,6.76,$9.16 - $9.54,11.37,8.88,0.0,2026-02-26,32.1,-42.1,9.35,11.37,-27.7,0.82,,,,,,
IT,"Gartner,",Oversold Bounce,MODERADA,50,149.34,$221.19 - $230.22,256.38,214.42,0.0,2026-02-26,42.4,-41.3,225.71,256.38,-33.8,0.73,,,,,,
LYFT,"Lyft,",Oversold Bounce,MODERADA,50,13.4,$18.95 - $19.72,22.97,18.37,0.0,2026-02-26,30.5,-41.7,19.34,22.97,-30.7,0.76,,,,,,
TENB,"Tenable,",Oversold Bounce,MODERADA,50,19.0,$25.14 - $26.16,26.81,24.37,0.0,2026-02-26,46.7,-29.1,25.65,26.81,-25.9,1.05,,,,,,
BLND,"Blend Labs,",Oversold Bounce,MODERADA,50,1.71,$2.93 - $3.05,3.34,2.84,0.0,2026-02-26,31.5,-48.8,2.99,3.34,-42.8,0.83,,,,,,
SSTI,SSTI,Oversold Bounce,MODERADA,50,7.25,$7.0 - $7.28,9.07,6.78,3.9,2026-02-26,49.1,-20.1,7.14,9.07,1.5,0.49,,,,,,
VERX,VERX,Oversold Bounce,MODERADA,50,13.39,$18.73 - $19.49,23.28,18.15,0.0,2026-02-26,37.4,-35.1,19.11,23.28,-29.9,0.72,,,,,,
BLIN,BLIN,Oversold Bounce,MODERADA,50,0.86,$1.25 - $1.31,1.12,1.22,0.0,2026-02-26,64.1,-23.2,1.28,1.12,-32.8,1.2,,,,,,
FIS,"Fidelity National Information Services,",Oversold Bounce,MODERADA,50,49.07,$60.76 - $63.24,67.39,58.9,0.0,2026-02-26,40.1,-27.3,62.0,67.39,-20.9,0.97,,,,,,
LAKE,"Lakeland Industries,",Oversold Bounce,MODERADA,50,9.55,$10.59 - $11.02,15.78,10.26,0.0,2026-02-26,49.5,-39.5,10.81,15.78,-11.6,0.45,,,,,,
VENU,Venu Holding,Oversold Bounce,MODERADA,50,5.36,$8.36 - $8.71,12.16,8.11,0.0,2026-02-26,42.4,-50.8,8.53,12.16,-37.2,0.29,,,,,,
FWDI,"Forward Industries,",Oversold Bounce,MODERADA,50,4.58,$6.41 - $6.67,8.78,6.21,0.0,2026-02-26,41.7,-48.5,6.54,8.78,-30.0,0.98,,,,,,
GLGI,"Greystone Logistics,",Oversold Bounce,MODERADA,50,0.32,$0.52 - $0.54,0.91,0.5,0.0,2026-02-26,52.9,-50.8,0.53,0.91,-39.6,0.07,,,,,,
