Date,AD_Line,McClellan,TRIN,MA50_Percent,NH_NL_Diff,Volume_Ratio,Advancing,Declining,New_Highs,New_Lows
2025-05-02,-1008,0.0,0.9413798502911556,30.01496725949384,-29,0.5506753184371848,1085,2093,0,29
2025-05-05,-1892,6.199999999999932,1.2056250326251012,70.59735217091608,-58,0.4559202565455602,1079,1963,0,58
2025-05-06,-3256,-12.530000000000086,0.7477693423108012,29.68839236429312,-58,0.5520796534261854,959,2323,0,58
2025-05-07,-3876,8.718499999999949,0.9775767923197201,46.8367683808535,-15,0.6828725139144769,1245,1865,0,15
2025-05-08,-4774,12.942374999999856,1.1306351970518234,55.96371199694539,-38,0.4610876814907558,978,1876,2,40
2025-05-09,-5154,42.38907624999979,1.2412260237900783,62.848092225161224,-18,0.6095314545060323,1181,1561,0,18
2025-05-12,-5573,65.40406043749977,1.2590030166934874,58.2935872420811,-34,0.5933112680621637,1237,1656,0,34
2025-05-13,-5578,105.45485161562465,1.2140629869397974,61.269208505374024,-17,0.8208864617924618,1469,1474,14,31
2025-05-14,-5155,160.57100381484338,0.9173190613623643,53.762832467774764,22,1.4653377637278173,1652,1229,22,0
2025-05-15,-5544,166.2924589261013,1.2945466960778136,26.56191075033642,-42,0.592643949138382,1282,1671,0,42
2025-05-16,-6851,124.45284075159623,1.4084134778019972,8.526364270849346,-5,0.2739311123880986,821,2128,0,5
2025-05-19,-7334,129.25770300863644,0.8109603175038922,41.52631189895612,-29,0.874316695002663,1177,1660,0,29
2025-05-20,-7451,151.01957172336256,0.9894428062135455,72.1338086826508,-20,0.9346258688591088,1438,1555,0,20
2025-05-21,-7962,149.17087161583652,1.0447549750459861,44.84369173576487,-23,0.6863372567661902,1295,1806,0,23
2025-05-22,-8659,137.5443786658226,0.849842812803697,42.51994007974194,-40,0.7633052917032451,1287,1984,0,40
2025-05-23,-9417,123.86600530023168,1.009194727889991,20.49345876156206,-38,0.5915834116860689,1123,1881,0,38
2025-05-26,-10243,108.15166604615013,1.027235592078139,38.38056671119071,-49,0.5522712935110469,1083,1909,0,49
2025-05-27,-10344,130.42514765367957,1.0977964642207696,39.22646222654021,-37,0.8515209088954498,1448,1549,0,37
2025-05-28,-10292,156.46684868984903,0.8257250327976018,79.14384908440684,-37,1.2525697290724644,1569,1517,0,37
2025-05-29,-11542,112.85016883232458,1.1763985208827976,7.133041885283546,-25,0.3537582419524025,891,2141,0,25
2025-05-30,-12098,109.69365670997956,0.7956019780870354,54.47652138274967,-9,0.8647427234640327,1226,1782,12,21
2025-06-02,-12236,127.34637056182476,1.000236599111741,33.13857713624235,-25,0.9128822496464282,1450,1588,4,29
2025-06-03,-13102,105.4027090523432,1.1196498871761238,49.55382276625552,-24,0.4919661778450439,1062,1928,0,24
2025-06-04,-13259,121.5638649164747,0.9712935438291158,65.52080830982158,-31,0.9208527098170131,1330,1487,6,37
2025-06-05,-13873,111.92383385572487,0.8558226589142224,51.26295438616083,-15,0.7755647571935593,1212,1826,0,15
2025-06-06,-13580,148.47198812950512,0.9947935161442253,67.06881560682334,-20,1.2285343274628981,1612,1319,5,25
2025-06-09,-14170,134.82830009293974,0.769660331129745,40.18585325051321,-37,0.8710219746787278,1200,1790,0,37
2025-06-10,-15563,82.33880532121157,0.7799515025672601,38.17600159871363,-81,0.4946493055861923,875,2268,0,81
2025-06-11,-17228,23.44859326477797,0.8720222170398113,24.53519030937008,-66,0.3363374377799754,691,2356,0,66
2025-06-12,-18219,6.680218990203343,1.1632140540110278,43.42508743472875,-50,0.41550044246137674,927,1918,0,50
2025-06-13,-19278,-11.090142109508974,1.0354163216137913,25.44766113024923,-70,0.4766621393390518,1032,2091,0,70
2025-06-16,-20805,-49.62835013921551,0.8669986859015976,13.066051556951358,-52,0.3782069510710669,745,2272,0,52
2025-06-17,-21390,-35.23037625391851,1.2255037360943974,33.05623163156389,-63,0.5421213768983018,1158,1743,0,63
2025-06-18,-21835,-15.743956700719991,0.9911202094123726,38.98048181593848,-47,0.7578481006637878,1343,1788,0,47
2025-06-19,-23410,-55.504348199231686,1.3104207916638446,1.2344008522902072,-43,0.2505746330064762,770,2345,0,43
2025-06-20,-24398,-59.87196118946315,0.9695675497561772,23.32415426282923,-32,0.5085497870503839,961,1949,0,32
2025-06-23,-25661,-77.05691049016377,0.9825260048321366,30.62646061533195,-52,0.40302524453273736,828,2091,2,54
2025-06-24,-27268,-108.56475758981185,1.0604390258335432,0.0,-37,0.27689133130080035,668,2275,0,37
2025-06-25,-29076,-145.01114307206194,0.9385129424029464,30.871833733425625,-35,0.25743996415906545,576,2384,0,35
2025-06-26,-30150,-138.7477469440255,1.0026473610746376,0.4093066523441138,-58,0.47737698744454066,986,2060,0,58
2025-06-27,-30857,-114.34880451983418,1.0023117996164295,57.100237580826615,-39,0.6073397264647167,1100,1807,0,39
2025-06-30,-31547,-92.06596472455135,1.1435129080455735,60.10873554962232,-38,0.5400171920815268,1114,1804,0,38
