ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,upside_triangulated_pct,upside_divergence_pts,upside_divergence,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason
V,0.0,,,,58.0,Visa Inc.,71.6,Financial Services,Credit Services,85.0,70.0,46.7,85.0,65.0,347.53,660912996352.0,35.0,31.9,False,up,14.2,False,0.0,10.4,True,1.0,1.3,2.7,False,365.02,-4.8,4.0,False,"{'roe_pct': 60.3, 'debt_to_equity': 0.67, 'current_ratio': 1.09, 'operating_margin_pct': 67.3}","{'eps_growth_yoy': 14.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 51.7}",401.16,450.0,330.0,38.0,strong_buy,15.4,532.49,53.2,339.9,-2.2,3.15,12.56,0.76,22.0,0.7,True,-3.23,43.6,35.5,19.0,2026-07-28,False,True,6.0,NEUTRAL,3.72,356.4,0.66,BULLISH,0.22,100.0,7.0,3.0,27.9,0.0,17.4,21.5,2026-07-09 07:48:57,2026-07-09,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,NEUTRAL,40,"No clear pattern (1.0x ratio, 49% up volume)",MEGA_FLOAT,1688.2,25.0,38.9,35.0,False,up,31.9,2.0,False,0.0,True,1.0,2.0,12.0,29.0,62.1,Medio,29.3,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,False,1/3,86.53999999999999,0.0,0.0,3.0,0.0,3.0,5.0,0.62,0.63,1.0,0.0,0.0,1.92,2.0,2.0,40.0,0,,3,MIXED/BUY (+3),WATCH,6.0,45,0.5801,ALTA,22.16,15.4,-10.1,,⭐⭐⭐ EXCELLENT,🟢 Elite,,,,,,,,False,2,1.343,False,-4.79,18.5,-10.72,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
MA,0.0,,,,34.2,Mastercard Incorporated,56.2,Financial Services,Credit Services,75.0,50.0,36.0,50.0,65.0,519.86,459339890688.0,15.0,22.7,False,flat,4.9,False,0.0,3.3,False,0.0,0.8,1.8,False,601.77,-13.6,2.0,False,"{'roe_pct': 232.1, 'debt_to_equity': 2.82, 'current_ratio': 0.98, 'operating_margin_pct': 60.8}","{'eps_growth_yoy': 4.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 45.9}",643.84,735.0,550.0,38.0,strong_buy,23.8,564.24,8.5,358.28,-31.1,3.52,18.41,0.65,18.2,0.54,True,-2.88,27.7,21.2,21.0,2026-07-30,False,True,9.0,STRONG,4.11,622.8,1.08,NEUTRAL,0.62,60.0,2.0,2.0,2.1000000000000014,0.0,10.3,16.9,2026-07-09 07:48:57,2026-07-09,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",MEGA_FLOAT,875.8,23.0,27.1,15.0,False,flat,22.7,0.0,False,0.0,False,0.0,0.0,12.0,29.0,62.1,Medio,29.3,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,89.19,0.0,0.0,3.0,0.0,3.0,5.0,0.04,-0.48,0.0,0.0,0.0,2.98,2.0,10.0,24.0,0,,8,RELIABLE/BUY (+8),WATCH,3.0,45,0.3425,MEDIA,7.120000000000001,8.5,35.1,MEDIA,⭐⭐⭐ EXCELLENT,🟢 Elite,,,,,,,,False,1,1.271,False,-13.22,11.91,-18.45,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
TEVA,0.0,,,,44.7,Teva Pharmaceutical Industries ,58.5,Healthcare,Drug Manufacturers - Specialty & Generic,85.0,30.0,54.0,55.0,65.0,33.24,38705557504.0,60.0,70.7,False,flat,30.9,False,0.0,-4.7,False,0.0,2.9,5.6,False,37.35,-11.0,7.0,True,"{'roe_pct': 21.6, 'debt_to_equity': 2.06, 'current_ratio': 1.01, 'operating_margin_pct': 19.2}","{'eps_growth_yoy': 30.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 9.0}",40.9,50.0,33.0,10.0,strong_buy,23.0,95.11,186.1,38.7,16.4,6.75,2.24,,,2.95,False,,2.5,72.2,20.0,2026-07-29,False,True,8.0,STRONG,4.12,43.5,0.15,,,,,,39.0,0.0,13.4,17.6,2026-07-09 07:48:57,2026-07-09,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (0.9x ratio, 46% up volume)",MEGA_FLOAT,1083.1,5.0,31.0,60.0,False,flat,70.7,0.0,False,0.0,False,0.0,0.0,8.0,29.0,75.9,Top 25%,36.8,3.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,False,2/3,80.13499999999999,8.0,0.0,6.0,0.0,0.0,5.0,0.0,-0.9,0.0,0.0,0.0,2.88,2.0,10.0,77.0,1,Appaloosa (Tepper),8,RELIABLE/BUY (+8),,0.0,45,0.4467,MEDIA,25.35,23.0,-78.2,,⭐⭐ STRONG,🟢 Excellent,HOLD,65.0,Close to ATH (-11.0% from high) - wait for pullback | Strong upside (+23.0%) - analyst support,-11.0,NEUTRAL,STRONG_BUY,False,False,2,1.079,False,-11.0,121.75,-4.8,sideways,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado
VRSN,70.77777777777777,Excellent,Stage 1-2 Transition,17.80401450409615,47.6,"VeriSign, Inc.",61.5,Technology,Software - Infrastructure,85.0,50.0,47.6,50.0,65.0,267.58,24349777920.0,35.0,28.7,False,down,3.4,True,1.0,4.6,False,0.0,2.7,3.1,False,312.48,-14.4,3.0,False,"{'current_ratio': 0.46, 'operating_margin_pct': 68.5}","{'eps_growth_yoy': 3.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 50.0}",312.0,355.0,265.0,4.0,buy,16.6,185.13,-30.8,103.4,-61.4,3.32,8.87,1.21,34.5,,True,-3.55,15.4,8.0,14.0,2026-07-23,False,True,8.0,STRONG,4.48,512.5,2.24,BULLISH,0.03,70.0,2.0,1.0,48.0,28.3,14.3,18.4,2026-07-09 07:48:57,2026-07-09,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",HIGH_FLOAT,90.4,20.0,61.0,35.0,False,down,28.7,0.0,True,1.0,False,0.0,2.0,24.0,29.0,20.7,Bottom 25%,18.9,-3.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,False,2/3,65.38,0.0,0.0,3.0,0.0,3.0,3.0,0.0,1.88,0.0,0.0,0.0,2.08,2.0,10.0,19.0,1,Berkshire Hathaway (Buffett),-5,MIXED/AVOID (-5),CONFIRM,11.0,41,0.4757,ALTA,50.53888888888888,-30.8,62.7,ALTA,⭐⭐ STRONG,🟢 Excellent,HOLD,65.0,Close to ATH (-14.4% from high) - wait for pullback | Strong upside (+16.6%) - analyst support,-14.4,NEUTRAL,BUY,False,False,1,0.951,False,-14.37,28.93,1.06,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
ASAZY,0.0,,,,47.5,Assa Abloy AB,55.1,Industrials,Security & Protection Services,90.0,30.0,27.0,65.0,55.0,17.25,38321782784.0,15.0,2.3,False,down,44.4,False,0.0,-5.8,False,0.0,,,False,21.98,-21.5,2.0,False,"{'roe_pct': 15.0, 'debt_to_equity': 0.61, 'current_ratio': 1.0}","{'eps_growth_yoy': 44.4, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.5}",21.88,21.88,21.88,1.0,none,26.8,347.64,1915.3,21.6,25.2,45.06,8.2,1.88,41.6,1.7,False,,,22.2,8.0,2026-07-17,False,True,8.0,STRONG,,118.2,0.43,,,,,,0.8000000000000007,0.0,14.2,16.5,2026-07-09 07:48:57,2026-07-09,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (1.0x ratio, 48% up volume)",MEGA_FLOAT,1999.6,25.0,30.8,15.0,False,down,2.3,0.0,False,0.0,False,0.0,0.0,,29.0,,Sin datos suficientes,2.3,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,71.415,5.0,0.0,8.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.35,0.0,10.0,,0,,3,MIXED/BUY (+3),BEST,8.0,45,0.475,ALTA,0.0,26.8,-943.4,,⭐ GOOD,🟢 Excellent,,,,,,,,False,1,0.795,False,-20.82,13.09,-18.28,downtrend,stage1,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
MCO,0.0,,,,4.5,Moody's Corporation,68.0,Financial Services,Financial Data & Stock Exchanges,95.0,60.0,44.0,65.0,60.0,485.1,84735541248.0,35.0,29.2,False,flat,14.4,True,1.0,9.5,True,1.0,2.3,3.5,False,546.88,-11.3,3.0,False,"{'roe_pct': 71.4, 'debt_to_equity': 2.36, 'current_ratio': 1.16, 'operating_margin_pct': 45.7}","{'eps_growth_yoy': 14.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 31.7}",538.05,610.0,490.0,20.0,buy,10.9,233.63,-51.8,135.3,-72.1,2.67,12.97,0.82,27.6,0.8,False,,12.7,7.8,13.0,2026-07-22,False,True,8.0,STRONG,3.76,106.3,3.34,,,,,,9.8,0.0,1.3,20.4,2026-07-09 07:48:57,2026-07-09,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 55% up volume)",HIGH_FLOAT,160.0,20.0,21.8,35.0,False,flat,29.2,0.0,True,1.0,True,1.0,5.0,16.0,29.0,48.3,Bajo 50%,25.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,False,2/3,56.42500000000001,0.0,0.0,0.0,0.0,0.0,3.0,0.29,0.38,0.0,0.0,0.0,1.36,2.0,10.0,62.0,1,Berkshire Hathaway (Buffett),-8,RELIABLE/AVOID (-8),CONFIRM,8.0,27,0.0445,BAJA,15.8,-51.8,72.8,ALTA,⭐ GOOD,🟡 Good,,,,,,,,False,1,1.215,False,-10.89,21.14,-16.87,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
THC,0.0,,,,33.3,Tenet Healthcare Corporation,74.0,Healthcare,Medical Care Facilities,100.0,70.0,44.0,75.0,65.0,206.26,17766617088.0,35.0,43.3,False,up,143.8,True,1.0,9.7,True,2.0,5.5,2.7,False,247.21,-16.6,4.0,False,"{'roe_pct': 30.3, 'debt_to_equity': 1.49, 'current_ratio': 1.36, 'operating_margin_pct': 17.9}","{'eps_growth_yoy': 143.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 7.9}",244.57,288.0,210.0,21.0,strong_buy,18.6,1507.22,630.7,570.0,176.4,17.23,35.54,,,2.75,True,-7.63,4.9,87.6,15.0,2026-07-24,False,True,6.0,NEUTRAL,11.3,33.4,0.13,,,,,,25.200000000000003,0.0,10.0,22.2,2026-07-09 07:48:57,2026-07-09,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",HIGH_FLOAT,85.1,20.0,32.2,35.0,False,up,43.3,2.0,True,1.0,True,2.0,5.0,2.0,29.0,96.6,Top 10%,69.8,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,53.265,8.0,0.0,8.0,0.0,3.0,5.0,0.57,0.0,1.0,0.0,0.0,2.33,2.0,2.0,36.0,1,Appaloosa (Tepper),-8,RELIABLE/AVOID (-8),,0.0,45,0.333,MEDIA,7.4,176.4,-385.0,,⭐ GOOD,🟡 Good,,,,,,,,False,1,0.823,False,-16.56,40.7,-9.27,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
FDS,0.0,,,,50.0,FactSet Research Systems Inc.,55.3,Financial Services,Financial Data & Stock Exchanges,65.0,60.0,26.7,70.0,50.0,247.82,8813853696.0,15.0,14.7,False,up,-17.5,True,1.0,4.4,True,1.0,17.2,5.8,True,453.41,-45.3,2.0,False,"{'roe_pct': 27.0, 'debt_to_equity': 0.77, 'current_ratio': 0.68, 'operating_margin_pct': 30.5}","{'eps_growth_yoy': -17.5, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 23.2}",254.0,340.0,210.0,16.0,hold,2.5,256.99,3.7,145.7,-41.2,7.05,17.47,1.8,29.4,1.0,True,-6.95,14.1,-3.8,70.0,2026-09-17,False,False,6.0,NEUTRAL,7.71,187.1,,,,,,,6.699999999999999,0.0,,16.6,2026-07-09 07:48:57,2026-07-09,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (1.0x ratio, 48% up volume)",MEDIUM_FLOAT,35.4,22.0,23.7,15.0,False,up,14.7,2.0,True,1.0,True,1.0,5.0,16.0,29.0,48.3,Bajo 50%,25.5,0.0,3.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,52.620000000000005,0.0,0.0,6.0,3.0,3.0,0.0,1.32,0.69,2.0,0.0,1.5,0.31,-3.0,2.0,5.0,0,,-8,RELIABLE/AVOID (-8),REVISION_UP,19.0,20,,,0.0,2.5,21.2,MEDIA,⭐ GOOD,🟡 Good,,,,,,,,False,1,1.216,False,-44.41,35.3,-22.83,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
CBOE,0.0,,,,54.0,"Cboe Global Markets, Inc.",72.7,Financial Services,Financial Data & Stock Exchanges,100.0,70.0,27.0,95.0,55.0,264.98,27731161088.0,15.0,23.4,False,down,64.1,True,1.0,8.5,True,2.0,3.0,2.9,False,371.18,-28.6,3.0,False,"{'roe_pct': 25.1, 'debt_to_equity': 0.29, 'current_ratio': 1.39, 'operating_margin_pct': 39.7}","{'eps_growth_yoy': 64.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 25.8}",319.79,382.0,263.0,14.0,hold,20.7,406.47,53.4,360.0,35.9,3.62,9.58,1.11,23.8,1.29,True,-0.28,33.8,21.8,22.0,2026-07-31,False,False,8.0,STRONG,5.96,70.3,0.33,,,,,,16.0,0.0,16.2,21.8,2026-07-09 07:48:57,2026-07-09,CONFIRMED_UPTREND,TRADE,False,50,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 41% up volume)",HIGH_FLOAT,104.2,27.0,38.0,15.0,False,down,23.4,0.0,True,1.0,True,2.0,5.0,16.0,29.0,48.3,Bajo 50%,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1/3,51.78,0.0,0.0,3.0,0.0,3.0,5.0,0.0,-2.5,0.0,1.0,0.0,2.59,2.0,10.0,29.0,0,,-8,RELIABLE/AVOID (-8),,0.0,36,0.5397,ALTA,7.27,35.9,-24.0,,🔵 DECENT,🟡 Good,,,,,,,,False,2,1.067,False,-28.46,16.65,-1.88,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
ADP,0.0,,,,11.4,"Automatic Data Processing, Inc.",76.2,Technology,Software - Application,100.0,80.0,42.3,85.0,50.0,241.37,96483860480.0,15.0,23.5,False,up,49.3,True,1.0,15.8,True,2.0,4.5,6.1,False,315.98,-23.6,3.0,False,"{'roe_pct': 71.2, 'debt_to_equity': 0.69, 'current_ratio': 1.04, 'operating_margin_pct': 30.2}","{'eps_growth_yoy': 49.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.1}",247.6,305.0,190.0,15.0,hold,2.6,239.06,-1.0,110.46,-54.2,4.92,11.88,2.77,60.5,2.04,True,-1.85,13.5,4.2,20.0,2026-07-29,False,True,8.0,STRONG,5.9,192.0,1.88,BULLISH,0.0,50.0,1.0,0.0,13.3,0.0,3.4,22.9,2026-07-09 07:48:57,2026-07-09,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,NEUTRAL,40,"No clear pattern (0.9x ratio, 47% up volume)",MEGA_FLOAT,398.8,25.0,26.3,15.0,False,up,23.5,2.0,True,1.0,True,2.0,5.0,22.0,29.0,27.6,Bajo 50%,19.1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,False,1/3,50.05000000000001,0.0,0.0,3.0,3.0,3.0,1.0,0.32,0.32,0.0,0.0,0.0,0.32,-3.0,10.0,9.0,0,,-8,RELIABLE/AVOID (-8),WATCH,3.0,45,0.1137,BAJA,7.62,-1.0,30.2,MEDIA,🔵 DECENT,🟡 Good,,,,,,,,False,1,1.161,False,-21.49,29.25,-14.41,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
