ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date,oe_ai_adjustment,oe_ai_verdict
2020.HK,ANTA Sports Products Limited,73.4,HKD,82.0,A,82.0,ROE 22.5% | Potencial +43% analistas | FCF yield 6.8% | Dividendo 2.9% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,104.61,42.5,30,6.8,5.32,2.94,,22.5,11.5,13.2,16.9,12.4,-31.0,Cyclical Risk | Geopolitical Risk,,CLEAN,Metrics appear reasonable for a consumer cyclical company,2026-07-14,0,
0700.HK,Tencent Holdings Limited,457.6,HKD,82.0,A,82.0,ROE 20.5% | Potencial +51% analistas | Margen 31% | Dividendo 1.2% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,688.74,50.5,42,3.2,6.31,1.16,,20.5,12.1,16.5,30.6,9.1,-33.0,Regulatory Risk | Geopolitical Risk | Cyclical Risk,TCEHY,SUSPECT,"Forward P/E seems low compared to the sector average and historical values, potentially indicating undervaluation or overlooked risks",2026-07-14,0,
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",15.12,BRL,81.0,A,81.0,ROE 26.7% | Potencial +33% analistas | Crecimiento ingresos +20% | Margen 47% | Dividendo 5.7% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,20.04,32.5,14,,4.06,5.74,,26.7,11.6,16.4,47.0,20.3,-25.6,FCF no comparable (sector financiero) | Regulatory Risk | Geopolitical Risk | Cyclical Risk,,SUSPECT,High profit margin and revenue growth may not be sustainable in the long term,2026-07-14,0,
9999.HK,"NetEase, Inc.",207.0,HKD,81.0,A,81.0,ROE 22.1% | Potencial +21% | FCF yield 5.2% | Margen 30% | Dividendo 2.2% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,249.64,20.6,20,5.2,2.58,2.18,,22.1,12.5,17.0,29.8,6.1,-16.5,Regulatory Risk | Geopolitical Risk,NTES,SUSPECT,Forward P/E seems low compared to trailing P/E and sector average,2026-07-14,0,
005930.KS,"Samsung Electronics Co., Ltd.",254500.0,KRW,78.0,A,78.0,ROE 18.9% | P/E 3.9x (vs 11x mercado) | Potencial +92% analistas | Crecimiento ingresos +69% | Margen 21%,2,0,Technology,Korea,🇰🇷,21.2,487814.5,91.7,36,4.0,11.46,,,18.9,3.9,,21.5,69.2,-32.0,cyclical | geopolitical,SSNLF,SUSPECT,Forward P/E of 3.9x seems unusually low for a technology company like Samsung Electronics,2026-07-14,0,
0388.HK,Hong Kong Exchanges and Clearing Limited,387.6,HKD,77.0,A,77.0,ROE 35.0% | Potencial +33% analistas | Crecimiento ingresos +19% | Margen 63% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,515.76,33.1,17,,4.13,3.36,,35.0,24.7,26.0,62.6,19.0,-16.8,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory Risk | Real Estate Exposure | Geopolitical Risk,,SUSPECT,High profit margin and ROE raise concerns about sustainability and potential overvaluation,2026-07-14,0,
2382.HK,Sunny Optical Technology (Group) Company Limited,55.05,HKD,76.0,A,76.0,ROE 17.5% | P/E 10.8x | Potencial +53% analistas | FCF negativo | Crecimiento ingresos +21% | Dividendo 2.2% | Mercado HongKong CAPE 11 (33% descuento histórico),3,1,Technology,HongKong,🇭🇰,10.7,84.05,52.7,23,-1.2,6.59,2.19,,17.5,10.8,11.2,10.7,21.3,-39.8,cyclical | governance,,RISKY,Negative FCF yield indicates potential cash flow issues,2026-07-14,0,
1299.HK,AIA Group Limited,72.4,HKD,74.0,A,74.0,P/E 10.6x | Potencial +44% analistas | Margen 24% | Dividendo 2.7% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,104.08,43.8,17,,5.47,2.67,,14.8,10.6,15.6,23.8,6.0,-21.4,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risks in Hong Kong | Exposure to Chinese real estate market | Potential governance issues,,SUSPECT,Anomalous FCF yield and potential exposure to Chinese real estate sector pose concerns,2026-07-14,0,
RENT3.SA,Localiza Rent a Car S.A.,40.2,BRL,71.0,A,71.0,P/E 8.3x | Potencial +44% analistas | FCF yield 23.3% | Crecimiento ingresos +21% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,57.93,44.1,15,23.3,5.51,5.21,,8.5,8.3,19.8,5.1,21.2,-24.6,Cyclical Risk | Geopolitical Risk,,SUSPECT,High FCF Yield of 23.3% seems anomalous for a rent-a-car company,2026-07-14,0,
TOTS3.SA,TOTVS S.A.,29.22,BRL,70.0,A,70.0,ROE 16.9% | Potencial +65% analistas | Crecimiento ingresos +22% | Dividendo 2.8% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Technology,Brazil,🇧🇷,9.0,48.31,65.3,13,2.3,8.17,2.77,,16.9,13.8,19.9,15.2,22.4,-39.6,Regulatory Risk | Geopolitical Risk | Cyclical Risk,,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual and may indicate potential overestimation of future earnings.",2026-07-14,0,
