ticker,company_name,purchase_count,unique_insiders,total_shares,days_span,first_purchase,last_purchase,confidence_score,confidence_label,market
AAL.L,Anglo American plc,22,13,1717,36,2026-03-09,2026-04-14,100,MUY ALTA,FTSE100
BA.L,BAE Systems plc,42,13,354063,57,2026-02-16,2026-04-14,100,MUY ALTA,FTSE100
BARC.L,Barclays PLC,21,19,55978,57,2026-02-11,2026-04-09,100,MUY ALTA,FTSE100
BAS.DE,BASF SE,4,4,0,0,2026-05-04,2026-05-04,100,MUY ALTA,DAX40
BATS.L,British American Tobacco p.l.c.,19,9,949,49,2026-02-11,2026-04-01,100,MUY ALTA,FTSE100
BT-A.L,BT Group plc,6,6,22753,45,2026-02-10,2026-03-27,100,MUY ALTA,FTSE100
BP.L,BP p.l.c.,18,8,22870,59,2026-02-10,2026-04-10,100,MUY ALTA,FTSE100
DGE.L,Diageo plc,26,9,1444,66,2026-02-10,2026-04-17,100,MUY ALTA,FTSE100
CBK.DE,Commerzbank AG,7,7,0,0,2026-02-11,2026-02-11,100,MUY ALTA,DAX40
ULVR.L,Unilever PLC,13,9,3325,0,2026-04-15,2026-04-15,100,MUY ALTA,FTSE100
UNA.AS,Unilever PLC,13,9,3325,0,2026-04-15,2026-04-15,100,MUY ALTA,AEX25
FRE.DE,Fresenius SE & Co. KGaA,6,4,0,26,2026-03-05,2026-03-31,100,MUY ALTA,DAX40
GSK.L,GSK plc,52,16,41230,68,2026-02-20,2026-04-29,100,MUY ALTA,FTSE100
HSBA.L,HSBC Holdings plc,11,9,2600896,1,2026-03-09,2026-03-10,100,MUY ALTA,FTSE100
HEIG.DE,276080,4,2,0,16,2026-02-25,2026-03-13,100,MUY ALTA,DAX40
IMB.L,Imperial Brands PLC,5,4,1560,9,2026-04-01,2026-04-10,100,MUY ALTA,FTSE100
LAND.L,Land Securities Group Plc,4,2,101,34,2026-03-04,2026-04-07,100,MUY ALTA,FTSE100
NWG.L,NatWest Group plc,9,9,4916,0,2026-04-01,2026-04-01,100,MUY ALTA,FTSE100
LLOY.L,Lloyds Banking Group plc,21,8,338998,59,2026-02-09,2026-04-09,100,MUY ALTA,FTSE100
MNDI.L,Mondi plc,5,3,5070,52,2026-03-06,2026-04-27,100,MUY ALTA,FTSE100
MTX.DE,MTU Aero Engines AG,9,4,0,63,2026-02-26,2026-04-30,100,MUY ALTA,DAX40
SGE.L,The Sage Group plc,14,12,83233,8,2026-02-09,2026-02-17,100,MUY ALTA,FTSE100
RR.L,Rolls-Royce Holdings plc,39,12,16086,77,2026-02-09,2026-04-27,100,MUY ALTA,FTSE100
RIO.L,Rio Tinto Group,17,5,451,1,2026-04-16,2026-04-17,100,MUY ALTA,FTSE100
PRU.L,Prudential plc,21,7,739,59,2026-02-10,2026-04-10,100,MUY ALTA,FTSE100
SHEL.L,Shell plc,20,9,84081,34,2026-02-26,2026-04-01,100,MUY ALTA,FTSE100
SIE.DE,Siemens Aktiengesellschaft,4,3,0,1,2026-03-26,2026-03-27,100,MUY ALTA,DAX40
TSCO.L,Tesco PLC,18,6,427,56,2026-02-13,2026-04-10,100,MUY ALTA,FTSE100
SSE.L,SSE plc,15,8,64,33,2026-03-06,2026-04-08,100,MUY ALTA,FTSE100
STAN.L,Standard Chartered PLC,3,3,498095,0,2026-03-17,2026-03-17,90,MUY ALTA,FTSE100
ADS.DE,adidas AG,3,3,0,21,2026-03-05,2026-03-26,90,MUY ALTA,DAX40
NG.L,National Grid plc,3,2,35,57,2026-02-09,2026-04-07,80,MUY ALTA,FTSE100
EXPN.L,Experian plc,3,2,7690,2,2026-03-25,2026-03-27,80,MUY ALTA,FTSE100
SHL.DE,Siemens Healthineers AG,3,2,0,42,2026-02-11,2026-03-25,80,MUY ALTA,DAX40
BAYN.DE,Bayer Aktiengesellschaft,2,2,0,20,2026-03-05,2026-03-25,60,MUY ALTA,DAX40
MUV2.DE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,2,2,0,12,2026-02-27,2026-03-11,60,MUY ALTA,DAX40
MRK.DE,Merck KGaA,2,2,0,0,2026-03-24,2026-03-24,60,MUY ALTA,DAX40
SRT3.DE,Sartorius Aktiengesellschaft,2,2,0,27,2026-02-11,2026-03-10,60,MUY ALTA,DAX40
VOD.L,Vodafone Group Public Limited Company,2,2,76082,0,2026-02-10,2026-02-10,60,MUY ALTA,FTSE100
WPP.L,WPP plc,2,2,100000,0,2026-02-26,2026-02-26,60,MUY ALTA,FTSE100
WTB.L,Whitbread plc,2,2,8212,2,2026-02-16,2026-02-18,60,MUY ALTA,FTSE100
