ticker,company_name,purchase_count,unique_insiders,total_shares,days_span,first_purchase,last_purchase,confidence_score,confidence_label,market
AAL.L,Anglo American plc,22,12,968,29,2026-06-15,2026-07-14,100,MUY ALTA,FTSE100
LLOY.L,Lloyds Banking Group plc,20,7,47535,62,2026-06-09,2026-08-10,100,MUY ALTA,FTSE100
VOD.L,Vodafone Group Public Limited Company,9,9,370844,40,2026-06-25,2026-08-04,100,MUY ALTA,FTSE100
UNA.AS,Unilever PLC,14,10,5481,33,2026-05-29,2026-07-01,100,MUY ALTA,AEX25
ULVR.L,Unilever PLC,14,10,5481,33,2026-05-29,2026-07-01,100,MUY ALTA,FTSE100
TSCO.L,,36,12,46540,56,2026-06-05,2026-07-31,100,MUY ALTA,FTSE100
SSE.L,SSE plc,27,10,133,62,2026-06-05,2026-08-06,100,MUY ALTA,FTSE100
SHEL.L,Shell plc,10,8,12678,0,2026-07-02,2026-07-02,100,MUY ALTA,FTSE100
SGE.L,The Sage Group plc,11,9,15777,24,2026-07-10,2026-08-03,100,MUY ALTA,FTSE100
RR.L,Rolls-Royce Holdings plc,17,6,5100,63,2026-05-28,2026-07-30,100,MUY ALTA,FTSE100
RIO.L,Rio Tinto Group,5,4,329,38,2026-06-09,2026-07-17,100,MUY ALTA,FTSE100
RHM.DE,Rheinmetall AG,5,3,0,24,2026-06-01,2026-06-25,100,MUY ALTA,DAX40
PRU.L,Prudential plc,25,8,456674,70,2026-06-01,2026-08-10,100,MUY ALTA,FTSE100
NWG.L,NatWest Group plc,9,9,4589,0,2026-07-01,2026-07-01,100,MUY ALTA,FTSE100
NG.L,National Grid plc,7,3,46423,45,2026-06-08,2026-07-23,100,MUY ALTA,FTSE100
BA.L,BAE Systems plc,38,13,10727,67,2026-06-05,2026-08-11,100,MUY ALTA,FTSE100
MNDI.L,Mondi plc,4,2,82,32,2026-06-05,2026-07-07,100,MUY ALTA,FTSE100
LAND.L,Land Securities Group Plc,6,2,136,61,2026-06-04,2026-08-04,100,MUY ALTA,FTSE100
DGE.L,Diageo plc,28,10,2543,63,2026-06-08,2026-08-10,100,MUY ALTA,FTSE100
BARC.L,,10,10,27498,0,2026-07-28,2026-07-28,100,MUY ALTA,FTSE100
BATS.L,British American Tobacco p.l.c.,27,10,16021,71,2026-05-26,2026-08-05,100,MUY ALTA,FTSE100
BMW.DE,Bayerische Motoren Werke Aktiengesellschaft,6,6,0,0,2026-05-29,2026-05-29,100,MUY ALTA,DAX40
BP.L,BP p.l.c.,24,7,26265,61,2026-06-10,2026-08-10,100,MUY ALTA,FTSE100
CON.DE,CONTINENTAL AG                I,4,4,0,0,2026-06-01,2026-06-01,100,MUY ALTA,DAX40
DB1.DE,DEUTSCHE BOERSE AG            N,7,7,0,0,2026-06-01,2026-06-01,100,MUY ALTA,DAX40
ZAL.DE,Zalando SE                    I,20,1,0,1,2026-08-06,2026-08-07,100,MUY ALTA,DAX40
GSK.L,GSK plc,56,14,20601,63,2026-06-09,2026-08-11,100,MUY ALTA,FTSE100
INF.L,Informa plc,3,2,336,0,2026-07-10,2026-07-10,80,MUY ALTA,FTSE100
HSBA.L,HSBC Holdings plc,2,2,4784,0,2026-06-26,2026-06-26,60,MUY ALTA,FTSE100
BAYN.DE,Bayer Aktiengesellschaft,2,2,0,28,2026-06-02,2026-06-30,60,MUY ALTA,DAX40
IMB.L,Imperial Brands PLC,2,2,40,0,2026-07-03,2026-07-03,60,MUY ALTA,FTSE100
MUV2.DE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,2,2,0,0,2026-08-07,2026-08-07,60,MUY ALTA,DAX40
WTB.L,Whitbread plc,2,2,841,0,2026-07-03,2026-07-03,60,MUY ALTA,FTSE100
SAP.DE,SAP SE,2,2,0,19,2026-07-24,2026-08-12,60,MUY ALTA,DAX40
DTE.DE,Deutsche Telekom AG,2,1,0,1,2026-06-29,2026-06-30,50,ALTA,DAX40
HEIG.DE,276080,2,1,0,1,2026-07-30,2026-07-31,50,ALTA,DAX40
