ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date,oe_ai_adjustment,oe_ai_verdict
9999.HK,"NetEase, Inc.",191.4,HKD,88.0,A,88.0,ROE 22.1% | Potencial +31% analistas | FCF yield 5.6% | Margen 30% | Dividendo 2.3% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,250.21,30.7,20,5.6,3.84,2.34,,22.1,11.6,15.6,29.8,6.1,-22.8,Geopolitical Risk | Regulatory Risk,NTES,SUSPECT,"Forward P/E is lower than CAPE, potentially indicating undervaluation or expected earnings decline",2026-07-23,0,
0700.HK,Tencent Holdings Limited,445.6,HKD,82.0,A,82.0,ROE 20.5% | Potencial +55% analistas | Margen 31% | Dividendo 1.2% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,690.59,55.0,42,3.2,6.87,1.2,,20.5,11.8,15.9,30.6,9.1,-34.8,Regulatory Risk | Geopolitical Risk,TCEHY,SUSPECT,"Forward P/E seems low compared to the sector average and historical values, potentially indicating undervaluation or overlooked risks",2026-07-23,0,
2020.HK,ANTA Sports Products Limited,77.05,HKD,82.0,A,82.0,ROE 22.5% | Potencial +33% analistas | FCF yield 6.5% | Dividendo 2.9% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,102.25,32.7,30,6.5,4.09,2.85,,22.5,12.0,13.9,16.9,12.4,-27.5,Cyclical Risk | Geopolitical Risk,,CLEAN,Metrics appear reasonable for a consumer cyclical company with no obvious anomalies,2026-07-23,0,
005930.KS,"Samsung Electronics Co., Ltd.",270000.0,KRW,78.0,A,78.0,ROE 18.9% | P/E 4.1x (vs 11x mercado) | Potencial +82% analistas | Crecimiento ingresos +69% | Margen 21%,2,0,Technology,Korea,🇰🇷,21.2,492536.72,82.4,36,3.8,10.3,,,18.9,4.1,,21.5,69.2,-27.9,Low P/E Ratio | Potential Regulatory Risks in Tech Sector,SSNLF,SUSPECT,Forward P/E of 4.1x seems anomalously low for a technology company like Samsung Electronics,2026-07-23,0,
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",15.9,BRL,74.0,A,74.0,ROE 26.7% | Potencial +26% | Crecimiento ingresos +20% | Margen 47% | Dividendo 5.8% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,19.96,25.6,14,,3.2,5.83,,26.7,12.2,17.3,47.0,20.3,-21.8,FCF no comparable (sector financiero) | Regulatory Risk | Geopolitical Risk | Cyclical Risk,,SUSPECT,High profit margin and ROE raise concerns about sustainability and potential overvaluation,2026-07-23,0,
RENT3.SA,Localiza Rent a Car S.A.,37.14,BRL,71.0,A,71.0,P/E 7.9x | Potencial +56% analistas | FCF yield 25.3% | Crecimiento ingresos +21% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,57.8,55.6,15,25.3,6.95,5.86,,8.5,7.9,17.9,5.1,21.2,-30.4,cyclical | geopolitical,,SUSPECT,High FCF yield of 25.3% seems anomalous for a rent-a-car company,2026-07-23,0,
2382.HK,Sunny Optical Technology (Group) Company Limited,59.95,HKD,71.0,A,71.0,ROE 17.5% | Potencial +42% analistas | FCF negativo | Crecimiento ingresos +21% | Dividendo 2.1% | Mercado HongKong CAPE 11 (33% descuento histórico),3,1,Technology,HongKong,🇭🇰,10.7,85.36,42.4,22,-1.1,5.3,2.07,,17.5,11.8,12.2,10.7,21.3,-34.4,Negative FCF Yield | Cyclical Risk,,SUSPECT,Negative FCF Yield is anomalous for a technology company with high revenue growth,2026-07-23,0,
TOTS3.SA,TOTVS S.A.,28.89,BRL,70.0,A,70.0,ROE 16.9% | Potencial +66% analistas | Crecimiento ingresos +22% | Dividendo 2.9% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Technology,Brazil,🇧🇷,9.0,48.08,66.4,13,2.3,8.3,2.91,,16.9,13.7,19.7,15.2,22.4,-40.3,Regulatory Risk | Geopolitical Risk | Cyclical Risk,,SUSPECT,Anomalous FCF yield and high analyst upside require further investigation,2026-07-23,0,
0388.HK,Hong Kong Exchanges and Clearing Limited,406.8,HKD,70.0,A,70.0,ROE 35.0% | Potencial +27% | Crecimiento ingresos +19% | Margen 63% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,515.29,26.7,17,,3.33,3.26,,35.0,25.8,27.4,62.6,19.0,-12.7,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory Risk | Real Estate Exposure | Geopolitical Risk,,SUSPECT,High profit margin and ROE raise concerns about sustainability and potential overvaluation,2026-07-23,0,
1299.HK,AIA Group Limited,78.6,HKD,69.0,A,69.0,Potencial +33% analistas | Margen 24% | Dividendo 2.5% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,104.21,32.6,17,,4.07,2.51,,14.8,11.6,17.0,23.8,6.0,-14.7,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory Risk | Geopolitical Risk | Real Estate Exposure,,SUSPECT,Anomalous FCF yield and potential exposure to Chinese real estate sector pose concerns,2026-07-23,0,
