ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at
TECK,Teck Resources Ltd,83.6,🏆 ELITE,🟢 Elite,100.0,90.0,83.0,70.0,40.0,80.0,84.4,False,up,297.6,False,0,94.9,True,1,"{'eps_growth_yoy': np.float64(297.6), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 14.9}","{'revenue_growth_yoy': np.float64(94.9), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(26.6), 'rs_6m': np.float64(33.8), 'rs_line_percentile': 84.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 5.9, 'debt_to_equity': 0.37, 'operating_margin_pct': 39.8}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': -26.6}",64.36,31529596928,Basic Materials,Other Industrial Metals & Mining,,2.7,False,71.25,-9.7,8.0,True,47.22,61.78,33.79,3.0,hold,-26.6,,,80.7,25.4,,,0.56,13.3,0.36,0.99,True,-2.0,4.5,51.5,31.0,2026-07-23,False,False,5.0,NEUTRAL,6.44,6.5,0.17,51.9,1.6,0.03,-50.3,2026-06-22T09:30:35.187421
CDNS,"Cadence Design Systems, Inc.",78.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,60.0,71.4,85.0,60.0,60.0,63.7,False,up,109.7,False,0,15.6,False,0,"{'eps_growth_yoy': np.float64(109.7), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 21.2}","{'revenue_growth_yoy': np.float64(15.6), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(21.0), 'rs_6m': np.float64(11.6), 'rs_line_percentile': 63.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 20.7, 'debt_to_equity': 0.47, 'current_ratio': 1.47, 'operating_margin_pct': 29.7}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': -0.2}",387.39,106848362496,Technology,Software - Application,1.8,2.2,False,416.69,-7.0,6.0,False,386.78,450.0,275.0,25.0,strong_buy,-0.2,178.28,-54.0,98.9,-74.5,1.4,5.44,,,,,True,-0.93,14.4,23.0,35.0,2026-07-27,False,False,7.0,NEUTRAL,1.51,44.0,1.79,57.2,,,,2026-06-22T09:26:41.273944
INTU,Intuit Inc.,77.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,100.0,15.0,85.0,70.0,15.0,0.0,False,down,704.2,True,2,123.4,True,2,"{'eps_growth_yoy': np.float64(704.2), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 21.9}","{'revenue_growth_yoy': np.float64(123.4), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(-56.6), 'rs_6m': np.float64(-71.5), 'rs_line_percentile': 0.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 22.5, 'debt_to_equity': 0.33, 'current_ratio': 1.45, 'operating_margin_pct': 47.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 82.8}",267.0,73034375168,Technology,Software - Application,4.4,2.0,False,813.7,-67.2,0.0,False,488.17,921.0,275.0,32.0,buy,82.8,387.99,45.3,175.37,-34.3,7.16,19.13,1.8,28.3,4.8,0.63,True,-5.6,24.8,10.7,59.0,2026-08-20,False,False,9.0,STRONG,6.95,97.0,0.91,90.1,,,,2026-06-22T09:23:55.660420
NUE,Nucor Corporation,77.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,85.0,70.0,83.0,80.0,60.0,80.0,79.3,False,up,23.2,True,1,12.3,True,1,"{'eps_growth_yoy': np.float64(23.2), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 6.8}","{'revenue_growth_yoy': np.float64(12.3), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(38.8), 'rs_6m': np.float64(40.6), 'rs_line_percentile': 79.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 12.3, 'debt_to_equity': 0.32, 'current_ratio': 2.9, 'operating_margin_pct': 11.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 5.7}",243.83,55530074112,Basic Materials,Steel,2.2,2.7,False,270.9,-10.0,8.0,True,257.81,290.0,138.17,15.0,buy,5.7,,,302.1,23.9,-0.69,-1.69,0.92,22.0,2.24,1.41,True,-0.95,22.4,382.1,35.0,2026-07-27,False,False,6.0,NEUTRAL,4.47,11.9,0.04,34.6,,,,2026-06-22T09:29:43.354467
AJG,Arthur J. Gallagher & Co.,76.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,100.0,24.0,70.0,65.0,15.0,10.0,False,down,124.7,True,1,47.7,True,2,"{'eps_growth_yoy': np.float64(124.7), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 11.4}","{'revenue_growth_yoy': np.float64(47.7), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(-15.5), 'rs_6m': np.float64(-26.3), 'rs_line_percentile': 10.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 7.0, 'debt_to_equity': 0.56, 'current_ratio': 1.06, 'operating_margin_pct': 28.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 23.7}",214.06,55001001984,Financial Services,Insurance Brokers,2.0,2.6,False,327.34,-34.6,1.0,False,264.74,388.0,225.0,19.0,buy,23.7,106.23,-50.4,100.28,-53.2,1.96,4.2,1.31,42.9,2.8,1.01,True,-0.56,4.2,16.2,38.0,2026-07-30,False,False,6.0,NEUTRAL,3.75,77.9,0.89,25.6,,,,2026-06-22T09:25:10.237408
WST,"West Pharmaceutical Services, I",76.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,80.0,70.0,74.6,95.0,60.0,80.0,83.2,False,up,5.3,True,1,10.2,True,1,"{'eps_growth_yoy': np.float64(5.3), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 16.8}","{'revenue_growth_yoy': np.float64(10.2), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(23.0), 'rs_6m': np.float64(9.9), 'rs_line_percentile': 83.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 19.1, 'debt_to_equity': 0.11, 'current_ratio': 2.71, 'operating_margin_pct': 21.7}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 9.4}",327.95,23168878592,Healthcare,Medical Instruments & Supplies,3.8,2.9,False,336.82,-2.6,8.0,True,358.79,400.0,310.0,14.0,strong_buy,9.4,165.47,-49.5,224.4,-31.6,1.19,3.9,0.27,11.5,0.88,0.25,True,-1.3,336.2,56.1,31.0,2026-07-23,False,False,7.0,NEUTRAL,2.62,19.0,0.61,27.4,0.8,0.03,-26.6,2026-06-22T09:25:33.423825
HEI,Heico Corporation,76.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,70.0,46.7,90.0,60.0,35.0,48.4,False,up,31.8,True,1,19.9,True,1,"{'eps_growth_yoy': np.float64(31.8), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 16.1}","{'revenue_growth_yoy': np.float64(19.9), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(7.1), 'rs_6m': np.float64(-2.3), 'rs_line_percentile': 48.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 17.2, 'debt_to_equity': 0.48, 'current_ratio': 2.92, 'operating_margin_pct': 25.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 14.5}",337.1,47079145472,Industrials,Aerospace & Defense,1.6,0.9,False,361.69,-6.8,5.0,False,386.1,471.0,290.0,20.0,buy,14.5,544.34,61.5,168.0,-50.2,1.5,12.84,0.07,4.3,0.25,0.1,False,,9.0,48.2,64.0,2026-08-25,False,False,8.0,STRONG,2.04,52.3,1.02,51.4,0.8,0.02,-50.6,2026-06-22T09:26:29.934042
TW,Tradeweb Markets Inc.,76.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,90.0,27.0,85.0,70.0,15.0,3.6,False,down,33.5,False,0,20.4,True,2,"{'eps_growth_yoy': np.float64(33.5), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 40.3}","{'revenue_growth_yoy': np.float64(20.4), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(-35.8), 'rs_6m': np.float64(-16.8), 'rs_line_percentile': 3.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 14.2, 'debt_to_equity': 0.02, 'current_ratio': 5.93, 'operating_margin_pct': 46.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 35.5}",99.49,21691408384,Financial Services,Capital Markets,2.7,1.9,False,147.49,-32.5,1.0,False,134.86,197.0,110.0,14.0,buy,35.5,,,121.5,22.1,,,0.56,12.4,0.56,0.4,True,-0.72,636.1,27.4,38.0,2026-07-30,False,False,8.0,STRONG,5.86,57.1,0.56,30.8,0.8,0.03,-30.0,2026-06-22T09:24:18.788182
AON,Aon plc,75.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,90.0,24.0,80.0,65.0,15.0,3.6,False,down,109.3,False,0,21.2,True,2,"{'eps_growth_yoy': np.float64(109.3), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 22.5}","{'revenue_growth_yoy': np.float64(21.2), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(-17.6), 'rs_6m': np.float64(-21.6), 'rs_line_percentile': 3.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 46.4, 'debt_to_equity': 1.55, 'current_ratio': 1.07, 'operating_margin_pct': 35.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 20.3}",317.74,67861934080,Financial Services,Insurance Brokers,1.4,1.9,False,381.0,-16.6,1.0,False,382.37,436.0,298.0,19.0,buy,20.3,597.35,88.0,493.49,55.3,4.92,15.65,1.03,16.4,3.28,0.76,True,-1.84,7.4,19.0,32.0,2026-07-24,False,False,8.0,STRONG,6.78,141.9,0.55,21.0,0.8,0.04,-20.2,2026-06-22T09:24:27.222329
FICO,Fair Isaac Corporation,74.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,90.0,24.0,70.0,70.0,15.0,5.8,False,down,45.5,True,2,28.9,True,2,"{'eps_growth_yoy': np.float64(45.5), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 33.7}","{'revenue_growth_yoy': np.float64(28.9), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(-18.2), 'rs_6m': np.float64(-49.7), 'rs_line_percentile': 5.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'current_ratio': 2.22, 'operating_margin_pct': 58.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 39.9}",1096.48,25428363264,Technology,Software - Application,9.6,5.2,True,1998.01,-45.1,0.0,False,1534.5,2400.0,707.0,20.0,buy,39.9,1335.91,21.8,947.4,-13.6,2.87,31.5,,,,0.09,True,-7.12,7.2,69.0,37.0,2026-07-29,False,False,7.0,NEUTRAL,3.24,996.8,0.29,46.5,0.4,0.01,-46.1,2026-06-22T09:24:46.639534
