ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime,oe_ai_adjustment,oe_ai_verdict
EXPN.L,EXPERIAN PLC ORD USD0.10,51.8,⭐ AVERAGE,🟡 Average,55.0,50.0,30.0,65.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 17.8},{},"{'rs_3m': np.float64(-19.5), 'rs_6m': np.float64(-37.6)}","{'roe_pct': 28.3, 'debt_to_equity': 1.0, 'current_ratio': 0.85, 'operating_margin_pct': 25.0}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 54.2}",2540.0,22631165952,Industrials,Consulting Services,,,False,4101.0,-38.1,0,False,3915.71,4778.62,2389.15,18.0,strong_buy,54.2,3367.0,32.6,2864.0,12.8,4.03,1.02,2.03,39.8,0.52,1.37,,,,23.1,149,2026-11-18,False,False,9,STRONG,7.73,646.3,0.63,30.9,,,,2026-06-22T09:43:27.609029,FTSE100,58.7,3.0,5.0,0.0,5.0,6.78,3.0,15.0,CONFIRMED_UPTREND,-8,RELIABLE/AVOID (-8)
DB1.DE,DEUTSCHE BOERSE AG            N,70.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,50.0,56.0,80.0,65.0,,,,,11.4,True,1,8.5,False,0,"{'eps_growth_yoy': np.float64(11.4), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 27.3}","{'revenue_growth_yoy': np.float64(8.5), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(-13.0), 'rs_6m': np.float64(1.3)}","{'roe_pct': 19.2, 'debt_to_equity': 0.69, 'current_ratio': 1.01, 'operating_margin_pct': 43.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 18.2}",242.0,44069638144,Financial Services,Financial Data & Stock Exchanges,,,False,279.1,-13.3,4,False,286.08,310.0,240.0,12.0,buy,18.2,,,139.13,-42.5,,,1.72,35.7,4.2,1.87,,,,12.4,30,2026-07-22,False,False,5,NEUTRAL,6.07,66.8,1.47,14.7,,,,2026-06-22T09:42:38.256162,DAX40,64.3,0.0,5.0,0.0,3.0,2.28,1.0,15.0,CONFIRMED_UPTREND,0,
G24.DE,Scout24 SE                    N,68.7,⭐⭐ GOOD,🟡 Good,95.0,60.0,34.5,75.0,70.0,,,,,37.0,False,0,14.0,False,0,"{'eps_growth_yoy': np.float64(37.0), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 37.4}","{'revenue_growth_yoy': np.float64(14.0), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(1.2), 'rs_6m': np.float64(-25.3)}","{'roe_pct': 17.7, 'debt_to_equity': 0.25, 'current_ratio': 0.22, 'operating_margin_pct': 55.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 40.6}",73.75,5215266816,Communication Services,Internet Content & Information,,,False,122.8,-39.9,1,False,103.71,135.0,86.0,17.0,strong_buy,40.6,,,108.3,46.8,,,1.99,36.6,1.5,1.51,,,44.1,40.6,45,2026-08-06,False,False,6,NEUTRAL,5.04,635.9,0.38,35.0,,,,2026-06-22T09:43:34.296666,DAX40,52.5,0.0,5.0,0.0,5.0,5.08,3.0,8.0,CONFIRMED_UPTREND,-8,RELIABLE/AVOID (-8)
NOVO-B.CO,Novo Nordisk B A/S,78.9,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,90.0,54.5,70.0,50.0,,,,,83.2,True,2,26.0,True,2,"{'eps_growth_yoy': np.float64(83.2), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 37.2}","{'revenue_growth_yoy': np.float64(26.0), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(5.7), 'rs_6m': np.float64(-14.9)}","{'roe_pct': 71.4, 'debt_to_equity': 0.72, 'current_ratio': 0.79, 'operating_margin_pct': 61.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 8.2}",290.7,1287199522816,Healthcare,Drug Manufacturers - General,,,False,472.5,-38.5,1,False,314.41,454.0,200.0,24.0,hold,8.2,,,822.6,183.0,-0.94,-3.59,5.43,42.7,15.9,1.81,True,-0.19,39.5,26.8,44,2026-08-05,False,False,5,NEUTRAL,9.45,64.7,0.2,39.7,,,,2026-06-22T09:42:47.808155,OMXCPH,57.6,-5.0,8.0,3.0,5.0,1.02,0.0,0.0,CONFIRMED_UPTREND,0,
SAP.DE,SAP SE                        I,62.2,⭐⭐ GOOD,🟡 Good,90.0,50.0,15.0,85.0,70.0,,,,,13.8,True,1,5.8,False,0,"{'eps_growth_yoy': np.float64(13.8), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 19.6}","{'revenue_growth_yoy': np.float64(5.8), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(-28.5), 'rs_6m': np.float64(-47.5)}","{'roe_pct': 16.4, 'debt_to_equity': 0.17, 'current_ratio': 1.07, 'operating_margin_pct': 30.0}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 63.3}",131.54,153580716032,Technology,Software - Application,,,False,269.35,-51.2,0,False,214.81,290.0,154.99,26.0,strong_buy,63.3,133.62,1.6,62.4,-52.6,5.3,6.98,1.86,37.7,2.5,1.45,True,-2.66,21.9,9.3,31,2026-07-23,False,False,8,STRONG,6.97,146.7,1.65,53.3,,,,2026-06-22T09:43:36.747912,DAX40,56.9,6.0,5.0,3.0,3.0,7.91,3.0,0.0,CONFIRMED_UPTREND,0,
WKL.AS,WOLTERS KLUWER,48.0,⚠️ WEAK,🔴 Weak,60.0,50.0,15.0,50.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 21.4},{},"{'rs_3m': np.float64(-22.5), 'rs_6m': np.float64(-45.9)}","{'roe_pct': 111.7, 'debt_to_equity': 6.23, 'current_ratio': 0.65, 'operating_margin_pct': 24.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 79.6}",57.82,12757466112,Industrials,Specialty Business Services,,,False,145.9,-60.4,0,False,103.83,160.0,71.0,15.0,buy,79.6,189.42,227.6,169.2,192.6,7.72,4.47,4.28,43.1,2.52,1.76,,,,36.9,44,2026-08-05,False,False,7,NEUTRAL,10.18,668.9,0.25,40.6,,,,2026-06-22T09:42:29.059763,AEX25,56.2,6.0,8.0,0.0,5.0,9.95,3.0,0.0,CONFIRMED_UPTREND,0,
AMS.MC,"AMADEUS IT GROUP, S.A.",58.0,⭐ AVERAGE,🟡 Average,65.0,60.0,30.0,70.0,70.0,,,,,-4.1,True,1,3.4,True,1,"{'eps_growth_yoy': np.float64(-4.1), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.4}","{'revenue_growth_yoy': np.float64(3.4), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(-11.7), 'rs_6m': np.float64(-29.9)}","{'roe_pct': 26.0, 'debt_to_equity': 0.7, 'current_ratio': 0.77, 'operating_margin_pct': 28.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 31.3}",51.4,22052909056,Technology,Information Technology Services,,,False,73.6,-30.2,0,False,67.5,80.0,52.0,22.0,buy,31.3,40.56,-21.1,30.5,-40.7,4.91,2.52,2.99,46.6,1.54,1.73,True,-7.48,21.7,5.1,39,2026-07-31,False,False,7,NEUTRAL,7.36,473.7,2.61,33.5,,,,2026-06-22T09:43:11.099508,IBEX35,55.2,3.0,5.0,3.0,3.0,3.91,3.0,0.0,CONFIRMED_UPTREND,0,
RMV.L,RIGHTMOVE PLC ORD 0.1P,57.5,⭐ AVERAGE,🟡 Average,60.0,50.0,30.0,100.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 51.1},{},"{'rs_3m': np.float64(-19.4), 'rs_6m': np.float64(-33.4)}","{'roe_pct': 266.1, 'debt_to_equity': 0.09, 'current_ratio': 1.89, 'operating_margin_pct': 66.8}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 35.0}",414.9,3084450816,Communication Services,Internet Content & Information,,,False,827.0,-49.8,0,False,560.19,765.0,404.0,16.0,hold,35.0,669.0,61.2,470.0,13.3,6.23,0.26,2.55,36.2,0.11,1.49,,,,6.7,39,2026-07-31,False,False,6,NEUTRAL,9.24,637.5,0.73,36.6,,,,2026-06-22T09:44:08.220009,FTSE100,55.0,6.0,5.0,0.0,3.0,4.38,3.0,0.0,CONFIRMED_UPTREND,0,
SGE.L,THE SAGE GROUP PLC ORD 1 4/77P,49.5,⚠️ WEAK,🔴 Weak,55.0,50.0,30.0,50.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 14.6},{},"{'rs_3m': np.float64(-19.6), 'rs_6m': np.float64(-38.4)}","{'roe_pct': 75.6, 'debt_to_equity': 9.19, 'current_ratio': 0.62, 'operating_margin_pct': 22.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 35.1}",808.4,7283432448,Technology,Software - Application,,,False,1335.0,-39.4,0,False,1092.32,1334.0,850.0,19.0,buy,35.1,1645.0,103.5,572.0,-29.2,8.68,0.7,2.76,55.0,0.22,2.1,,,,14.3,150,2026-11-19,False,False,6,NEUTRAL,5.97,374.3,0.98,43.9,,,,2026-06-22T09:44:10.659660,FTSE100,50.8,8.0,5.0,0.0,3.0,4.39,3.0,0.0,CONFIRMED_UPTREND,0,
AUTO.L,AUTOTRADER GROUP PLC ORD 1P,55.5,⭐ AVERAGE,🟡 Average,60.0,50.0,30.0,90.0,55.0,,,,,,,0,,,0,{'profit_margin_pct': 47.1},{},"{'rs_3m': np.float64(-13.3), 'rs_6m': np.float64(-32.9)}","{'roe_pct': 60.2, 'debt_to_equity': 0.52, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 20.5}",483.4,3843906304,Communication Services,Internet Content & Information,,,False,844.4,-42.8,1,False,582.47,830.0,410.0,17.0,hold,20.5,493.0,2.0,340.0,-29.7,6.34,0.31,2.43,32.0,0.12,0.99,,,,2.0,136,2026-11-05,False,False,5,NEUTRAL,9.67,332.4,2.15,31.4,,,,2026-06-22T09:43:29.920890,FTSE100,45.2,6.0,5.0,0.0,1.0,2.56,1.0,0.0,CONFIRMED_UPTREND,-5,MIXED/AVOID (-5)
