ticker,cerebro_signal,cerebro_score_adj,cerebro_reason,updated_at
ADP,WATCH,3,Piotroski fuerte (8.0/9),2026-06-23
AI.PA,WATCH,0,Caro vs peers en Basic Materials (FCF rank 7/7) | Piotroski fuerte (7.0/9),2026-06-23
AJG,WATCH,-3,Caro vs peers en Financial Services (FCF rank 15/15),2026-06-23
AON,WATCH,3,Piotroski fuerte (8.0/9),2026-06-23
ASAZY,CAUTION,2,Thesis drift MEDIUM: Score cayó 13pts en 46d (65→52) | Piotroski fuerte (8.0/9) | Mejor FCF en Industrials (43.5% vs media sector 6.1%),2026-06-23
ATLKY,BEST,5,Mejor FCF en Industrials (21.4% vs media sector 6.1%),2026-06-23
AUTO.L,CAUTION,-9,Thesis drift MEDIUM: Score cayó 16pts en 46d (61→45) | Señal salida MEDIUM: Score cayó 20pts (65 → 45) | Mejor FCF en Communication Services (6.3% vs media sector 5.3%),2026-06-23
AXP,CONFIRM,8,Smart money: 1 HF + 0 insiders (conv 24),2026-06-23
BR,EXIT,-12,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-06-23
BRO,BEST,5,Mejor FCF en Financial Services (7.6% vs media sector 5.6%),2026-06-23
CB,BEST,5,Mejor FCF en Financial Services (10.1% vs media sector 5.6%),2026-06-23
CHD,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Consumer Defensive (5.0% vs media sector 3.6%),2026-06-23
CNI,WATCH,3,Piotroski fuerte (7.0/9),2026-06-23
COST,CAUTION,-3,Thesis drift MEDIUM: Score cayó 15pts en 46d (38→23) | Piotroski fuerte (7.0/9),2026-06-23
CTAS,CAUTION,-6,Thesis drift MEDIUM: Score cayó 12pts en 46d (44→31) | Caro vs peers en Industrials (FCF rank 16/20) | Piotroski fuerte (8.0/9),2026-06-23
EXPN.L,CAUTION,5,Thesis drift MEDIUM: Score cayó 18pts en 46d (77→59) | Smart money: 0 HF + 3 insiders (conv 48) | Piotroski fuerte (9.0/9),2026-06-23
FAST,WATCH,0,Caro vs peers en Industrials (FCF rank 18/20) | Piotroski fuerte (8.0/9),2026-06-23
FDS,WATCH,6,Short squeeze MEDIUM: 18.1% short · Short elevado (18.1% del float); Piotroski 6/9 — calidad mejorando,2026-06-23
G24.DE,CAUTION,-8,Señal salida MEDIUM: Score cayó 20pts (73 → 52),2026-06-23
GVDNY,WATCH,3,Piotroski fuerte (7.0/9),2026-06-23
HEI,WATCH,0,Caro vs peers en Industrials (FCF rank 19/20) | Piotroski fuerte (8.0/9),2026-06-23
HESAY,WATCH,3,Piotroski fuerte (8.0/9),2026-06-23
IDXX,WATCH,3,Piotroski fuerte (8.0/9),2026-06-23
INTU,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-06-23
JKHY,EXIT,-12,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-06-23
KO,CONFIRM,8,Caro vs peers en Consumer Defensive (FCF rank 9/10) | Smart money: 1 HF + 0 insiders (conv 28) | Piotroski fuerte (7.0/9),2026-06-23
LSEG.L,WATCH,3,Piotroski fuerte (7.0/9),2026-06-23
MCO,CONFIRM,8,Caro vs peers en Financial Services (FCF rank 13/15) | Smart money: 1 HF + 0 insiders (conv 29) | Piotroski fuerte (8.0/9),2026-06-23
MSCI,WATCH,0,Caro vs peers en Financial Services (FCF rank 14/15) | Piotroski fuerte (8.0/9),2026-06-23
NDAQ,WATCH,3,Piotroski fuerte (9.0/9),2026-06-23
PGR,REVISION_UP,13,Mejor FCF en Financial Services (13.0% vs media sector 5.6%) | EPS revision STRONG_UP: EPS consensus ↑5.2% (15.86→16.68); Analistas: +23 (0→23),2026-06-23
RACE,WATCH,0,Caro vs peers en Consumer Cyclical (FCF rank 10/10) | Piotroski fuerte (9.0/9),2026-06-23
RELX,CAUTION,-8,Señal salida MEDIUM: Ya no aparece en VALUE — tesis posiblemente rota,2026-06-23
SAP,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-06-23
SPGI,WATCH,3,Piotroski fuerte (7.0/9),2026-06-23
SXYAY,WATCH,3,Piotroski fuerte (7.0/9),2026-06-23
TYL,WATCH,4,EPS revision UP: EPS consensus ↑3.5% (16.92→17.51),2026-06-23
V,CONFIRM,8,Smart money: 1 HF + 0 insiders (conv 31),2026-06-23
VRSN,CAUTION,-7,"Thesis drift MEDIUM: Score cayó 36pts en 46d (63→27) | Señal salida MEDIUM: Score cayó 42pts (69 → 27) — caída técnica/momentum, balance sólido (Piotroski 8/9) | EPS revision DOWN: EPS consensus ↓2.3% (9.97→9.73); Analistas: +4 (0→4) | Smart money: 1 HF + 0 insiders (conv 23) | Piotroski fuerte (8.0/9)",2026-06-23
WMT,WATCH,0,Caro vs peers en Consumer Defensive (FCF rank 10/10) | Piotroski fuerte (7.0/9),2026-06-23
WST,WATCH,0,Caro vs peers en Healthcare (FCF rank 10/11) | Piotroski fuerte (7.0/9),2026-06-23
WTKWY,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-06-23
