ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at
AJG,Arthur J. Gallagher & Co.,80.8,🏆 ELITE,🟢 Elite,100.0,100.0,46.7,70.0,60.0,35.0,32.8,False,up,124.7,True,1,47.7,True,2,"{'eps_growth_yoy': 124.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 11.4}","{'revenue_growth_yoy': 47.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 3.3, 'rs_6m': -12.3, 'rs_line_percentile': 32.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 7.0, 'debt_to_equity': 0.56, 'current_ratio': 1.06, 'operating_margin_pct': 28.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 5.5}",254.67,65435418624,Financial Services,Insurance Brokers,2.7,4.0,False,316.89,-19.6,4.0,False,268.74,388.0,225.0,19.0,buy,5.5,106.23,-58.3,101.9,-60.0,1.65,4.2,1.12,42.9,2.8,1.01,True,-0.47,4.2,16.2,22.0,2026-07-30,False,False,6.0,NEUTRAL,3.24,77.9,1.06,34.1,,,,2026-07-08T06:32:46.935367
AON,Aon plc,79.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,90.0,44.0,80.0,60.0,35.0,35.3,False,up,109.3,False,0,21.2,True,2,"{'eps_growth_yoy': 109.3, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 22.5}","{'revenue_growth_yoy': 21.2, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -1.8, 'rs_6m': -6.6, 'rs_line_percentile': 35.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 46.4, 'debt_to_equity': 1.55, 'current_ratio': 1.07, 'operating_margin_pct': 35.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 7.1}",359.82,76849258496,Financial Services,Insurance Brokers,1.7,2.4,False,381.0,-5.6,3.0,False,385.26,436.0,298.0,19.0,buy,7.1,597.35,66.0,497.29,38.2,4.35,15.65,0.92,16.4,3.28,0.76,True,-1.63,7.4,19.0,16.0,2026-07-24,False,True,8.0,STRONG,6.11,141.9,0.62,32.1,,,,2026-07-08T06:31:56.522464
HEI,Heico Corporation,79.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,70.0,60.3,90.0,60.0,60.0,64.4,False,up,31.8,True,1,19.9,True,1,"{'eps_growth_yoy': 31.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 16.1}","{'revenue_growth_yoy': 19.9, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 16.3, 'rs_6m': -4.5, 'rs_line_percentile': 64.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 17.2, 'debt_to_equity': 0.48, 'current_ratio': 2.92, 'operating_margin_pct': 25.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 7.8}",358.02,50000814080,Industrials,Aerospace & Defense,1.6,1.1,False,369.48,-3.1,6.0,False,386.05,471.0,290.0,20.0,buy,7.8,544.34,52.0,164.4,-54.1,1.42,12.84,0.07,4.3,0.25,0.1,False,,9.0,48.2,48.0,2026-08-25,False,False,8.0,STRONG,1.93,52.3,1.08,29.1,0.4,0.01,-28.7,2026-07-08T06:34:17.578855
WST,"West Pharmaceutical Services, I",78.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,80.0,70.0,85.4,95.0,60.0,95.0,90.5,False,up,5.3,True,1,10.2,True,1,"{'eps_growth_yoy': 5.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 16.8}","{'revenue_growth_yoy': 10.2, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 23.7, 'rs_6m': 18.5, 'rs_line_percentile': 90.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 19.1, 'debt_to_equity': 0.11, 'current_ratio': 2.71, 'operating_margin_pct': 21.7}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 2.0}",356.08,25156194304,Healthcare,Medical Instruments & Supplies,3.8,3.4,False,367.66,-3.1,8.0,True,363.07,410.0,310.0,14.0,strong_buy,2.0,165.47,-53.5,223.2,-37.3,1.1,3.9,0.25,11.5,0.88,0.25,True,-1.2,336.2,56.1,15.0,2026-07-23,False,True,7.0,NEUTRAL,2.41,19.0,0.66,24.5,0.8,0.03,-23.7,2026-07-08T06:33:13.557602
TECK,Teck Resources Ltd,78.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,90.0,57.6,70.0,40.0,60.0,65.8,False,down,297.6,False,0,94.9,True,1,"{'eps_growth_yoy': 297.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 14.9}","{'revenue_growth_yoy': 94.9, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -2.5, 'rs_6m': 7.8, 'rs_line_percentile': 65.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 60}","{'roe_pct': 5.9, 'debt_to_equity': 0.37, 'operating_margin_pct': 39.8}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': -15.5}",58.37,28595130368,Basic Materials,Other Industrial Metals & Mining,,2.5,False,71.25,-18.1,6.0,False,49.33,68.12,33.78,3.0,hold,-15.5,,,75.6,29.5,,,0.57,13.3,0.35,0.99,True,-2.21,4.5,51.5,15.0,2026-07-23,False,True,5.0,NEUTRAL,6.99,6.5,0.15,52.9,,,,2026-07-08T06:38:58.841950
INTU,Intuit Inc.,77.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,100.0,15.0,85.0,70.0,15.0,3.2,False,down,704.2,True,2,123.4,True,2,"{'eps_growth_yoy': 704.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 21.9}","{'revenue_growth_yoy': 123.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -45.0, 'rs_6m': -64.7, 'rs_line_percentile': 3.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 22.5, 'debt_to_equity': 0.33, 'current_ratio': 1.45, 'operating_margin_pct': 47.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 73.1}",281.17,76910403584,Technology,Software - Application,5.2,1.7,False,813.7,-65.4,0.0,False,486.61,921.0,275.0,32.0,buy,73.1,387.99,38.0,181.15,-35.6,6.8,19.13,1.76,28.3,4.8,0.65,True,-5.31,24.8,10.7,43.0,2026-08-20,False,False,9.0,STRONG,6.6,97.0,0.96,42.3,,,,2026-07-08T06:31:20.646099
CDNS,"Cadence Design Systems, Inc.",77.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,60.0,68.7,85.0,60.0,60.0,52.4,False,up,109.7,False,0,15.6,False,0,"{'eps_growth_yoy': 109.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 21.2}","{'revenue_growth_yoy': 15.6, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 19.1, 'rs_6m': 13.9, 'rs_line_percentile': 52.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 20.7, 'debt_to_equity': 0.47, 'current_ratio': 1.47, 'operating_margin_pct': 29.7}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 4.8}",371.06,102344286208,Technology,Software - Application,1.8,2.1,False,416.69,-11.0,6.0,False,388.78,450.0,275.0,25.0,strong_buy,4.8,178.28,-52.0,97.29,-73.8,1.46,5.44,,,,,True,-0.97,14.4,23.0,19.0,2026-07-27,False,True,7.0,NEUTRAL,1.58,44.0,1.72,40.2,,,,2026-07-08T06:34:30.910416
ADP,"Automatic Data Processing, Inc.",77.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,80.0,46.7,85.0,50.0,35.0,25.6,False,up,49.3,True,1,15.8,True,2,"{'eps_growth_yoy': 49.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.1}","{'revenue_growth_yoy': 15.8, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 7.8, 'rs_6m': -12.3, 'rs_line_percentile': 25.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 71.2, 'debt_to_equity': 0.69, 'current_ratio': 1.04, 'operating_margin_pct': 30.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 0.8}",245.6,98174738432,Technology,Software - Application,4.5,6.1,False,315.98,-22.3,4.0,False,247.6,305.0,190.0,15.0,hold,0.8,239.06,-2.7,115.5,-53.0,4.84,11.88,2.84,60.5,6.8,2.04,True,-1.82,13.5,4.2,21.0,2026-07-29,False,True,8.0,STRONG,5.8,192.0,1.92,31.5,,,,2026-07-08T06:29:50.453804
FICO,Fair Isaac Corporation,76.4,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,90.0,34.7,70.0,65.0,35.0,25.7,False,up,45.5,True,2,28.9,True,2,"{'eps_growth_yoy': 45.5, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 33.7}","{'revenue_growth_yoy': 28.9, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 6.4, 'rs_6m': -30.7, 'rs_line_percentile': 25.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'current_ratio': 2.22, 'operating_margin_pct': 58.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 17.6}",1300.27,30154440704,Technology,Software - Application,10.5,6.1,True,1998.01,-34.9,2.0,False,1529.55,2400.0,707.0,20.0,buy,17.6,1335.91,2.7,955.8,-26.5,2.42,31.5,,,,0.09,True,-6.01,7.2,69.0,21.0,2026-07-29,False,True,7.0,NEUTRAL,2.79,996.8,0.35,42.3,,,,2026-07-08T06:32:19.767379
TW,Tradeweb Markets Inc.,76.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,90.0,27.0,85.0,70.0,15.0,9.1,False,down,33.5,False,0,20.4,True,2,"{'eps_growth_yoy': 33.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 40.3}","{'revenue_growth_yoy': 20.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -33.4, 'rs_6m': -18.5, 'rs_line_percentile': 9.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 14.2, 'debt_to_equity': 0.02, 'current_ratio': 5.93, 'operating_margin_pct': 46.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 33.9}",100.26,21859289088,Financial Services,Capital Markets,2.7,1.5,False,147.49,-32.0,1.0,False,134.29,197.0,109.0,14.0,buy,33.9,,,119.1,18.8,,,0.55,12.4,0.56,0.4,True,-0.72,636.1,27.4,22.0,2026-07-30,False,False,8.0,STRONG,5.81,57.1,0.56,44.3,,,,2026-07-08T06:31:47.981773
