ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at
AJG,Arthur J. Gallagher & Co.,80.8,🏆 ELITE,🟢 Elite,100.0,100.0,46.7,70.0,60.0,35.0,35.0,False,up,124.7,True,1,47.7,True,2,"{'eps_growth_yoy': 124.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 11.4}","{'revenue_growth_yoy': 47.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 9.1, 'rs_6m': -9.1, 'rs_line_percentile': 35.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 7.0, 'debt_to_equity': 0.56, 'current_ratio': 1.06, 'operating_margin_pct': 28.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 10.9}",253.66,65175908352,Financial Services,Insurance Brokers,2.7,3.6,False,315.48,-19.6,4.0,False,281.39,388.0,225.0,18.0,buy,10.9,106.23,-58.1,99.79,-60.7,1.66,4.2,1.1,42.9,2.8,1.01,True,-0.48,4.2,16.2,9.0,2026-07-30,False,True,6.0,NEUTRAL,3.25,77.9,1.05,38.2,,,,2026-07-21T06:32:16.538377
AON,Aon plc,79.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,90.0,46.7,80.0,60.0,35.0,39.6,False,up,109.3,False,0,21.2,True,2,"{'eps_growth_yoy': 109.3, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 22.5}","{'revenue_growth_yoy': 21.2, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 4.6, 'rs_6m': -2.1, 'rs_line_percentile': 39.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 46.4, 'debt_to_equity': 1.55, 'current_ratio': 1.07, 'operating_margin_pct': 35.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 8.4}",362.78,77481443328,Financial Services,Insurance Brokers,1.8,2.0,False,381.0,-4.8,3.0,False,393.11,445.0,327.0,19.0,buy,8.4,597.35,64.7,487.53,34.4,4.31,15.65,0.89,16.4,3.28,0.76,True,-1.61,7.4,19.0,8.0,2026-07-29,False,True,8.0,STRONG,6.07,141.9,0.63,35.3,,,,2026-07-21T06:31:29.987362
TECK,Teck Resources Ltd,79.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,90.0,57.6,70.0,50.0,60.0,55.3,False,down,297.6,False,0,94.9,True,1,"{'eps_growth_yoy': 297.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 14.9}","{'revenue_growth_yoy': 94.9, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -12.7, 'rs_6m': 0.3, 'rs_line_percentile': 55.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 60}","{'roe_pct': 5.9, 'debt_to_equity': 0.37, 'operating_margin_pct': 39.8}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': -2.6}",54.5,26699239424,Basic Materials,Other Industrial Metals & Mining,,2.6,False,71.25,-23.5,5.0,False,53.09,68.65,36.18,4.0,hold,-2.6,,,78.9,44.8,,,0.64,13.3,0.35,0.99,True,-2.36,4.5,51.5,2.0,2026-07-23,True,False,8.0,STRONG,7.4,6.5,0.12,46.5,12.5,0.27,-34.0,2026-07-21T06:38:00.837211
HEI,Heico Corporation,79.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,70.0,60.3,90.0,60.0,60.0,52.8,False,up,31.8,True,1,19.9,True,1,"{'eps_growth_yoy': 31.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 16.1}","{'revenue_growth_yoy': 19.9, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 11.6, 'rs_6m': -11.3, 'rs_line_percentile': 52.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 17.2, 'debt_to_equity': 0.48, 'current_ratio': 2.92, 'operating_margin_pct': 25.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 13.5}",340.44,47572307968,Industrials,Aerospace & Defense,1.5,1.4,False,369.48,-7.9,7.0,True,386.53,472.0,290.0,19.0,buy,13.5,543.7,59.7,166.5,-51.1,1.49,12.82,0.07,4.3,0.25,0.1,False,,9.0,48.2,35.0,2026-08-25,False,False,8.0,STRONG,2.02,52.3,1.02,23.1,,,,2026-07-21T06:33:39.753023
ADP,"Automatic Data Processing, Inc.",78.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,80.0,53.0,85.0,50.0,35.0,33.6,False,up,49.3,True,1,15.8,True,2,"{'eps_growth_yoy': 49.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.1}","{'revenue_growth_yoy': 15.8, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 22.1, 'rs_6m': -8.3, 'rs_line_percentile': 33.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 71.2, 'debt_to_equity': 0.69, 'current_ratio': 1.04, 'operating_margin_pct': 30.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': -0.7}",255.24,102028181504,Technology,Software - Application,4.2,4.8,False,315.98,-19.2,4.0,False,253.47,305.0,190.0,15.0,hold,-0.7,239.06,-6.3,112.56,-55.9,4.65,11.88,2.66,60.5,6.8,2.04,True,-1.75,13.5,4.2,8.0,2026-07-29,False,True,8.0,STRONG,5.59,192.0,1.99,33.8,,,,2026-07-21T06:29:33.271645
WST,"West Pharmaceutical Services, I",78.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,80.0,70.0,83.0,95.0,60.0,80.0,89.5,False,up,5.3,True,1,10.2,True,1,"{'eps_growth_yoy': 5.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 16.8}","{'revenue_growth_yoy': 10.2, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 21.9, 'rs_6m': 28.0, 'rs_line_percentile': 89.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 19.1, 'debt_to_equity': 0.11, 'current_ratio': 2.71, 'operating_margin_pct': 21.7}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 8.4}",352.32,24890560512,Healthcare,Medical Instruments & Supplies,3.8,2.9,False,367.66,-4.2,8.0,True,382.0,447.0,310.0,15.0,strong_buy,8.4,165.47,-53.0,220.8,-37.3,1.11,3.9,0.25,11.5,0.88,0.25,True,-1.21,336.2,56.1,2.0,2026-07-23,True,False,7.0,NEUTRAL,2.44,19.0,0.65,19.7,,,,2026-07-21T06:32:41.101753
INTU,Intuit Inc.,77.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,100.0,15.0,85.0,70.0,15.0,5.5,False,down,704.2,True,2,123.4,True,2,"{'eps_growth_yoy': 704.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 21.9}","{'revenue_growth_yoy': 123.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -32.1, 'rs_6m': -53.6, 'rs_line_percentile': 5.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 22.5, 'debt_to_equity': 0.33, 'current_ratio': 1.45, 'operating_margin_pct': 47.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 61.2}",293.82,80370638848,Technology,Software - Application,6.1,2.4,False,813.7,-63.9,0.0,False,473.68,921.0,250.0,33.0,buy,61.2,387.99,32.1,176.98,-39.8,6.51,19.13,1.65,28.3,4.8,0.65,True,-5.09,24.8,10.7,30.0,2026-08-20,False,False,9.0,STRONG,6.31,97.0,1.01,44.0,0.4,0.01,-43.6,2026-07-21T06:30:56.233656
VEEV,Veeva Systems Inc.,77.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,80.0,42.3,85.0,65.0,15.0,23.4,False,up,30.3,True,1,11.9,True,2,"{'eps_growth_yoy': 30.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 28.4}","{'revenue_growth_yoy': 11.9, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 11.9, 'rs_6m': -19.0, 'rs_line_percentile': 23.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 15}","{'roe_pct': 13.9, 'debt_to_equity': 0.01, 'current_ratio': 4.74, 'operating_margin_pct': 30.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 23.9}",197.41,32067932160,Healthcare,Health Information Services,5.0,2.5,False,310.5,-36.4,2.0,False,244.59,350.0,165.0,27.0,buy,23.9,183.94,-6.8,83.37,-57.8,3.93,7.75,,,,,True,-0.71,,14.6,43.0,2026-09-02,False,False,7.0,NEUTRAL,3.69,14.1,1.35,41.5,,,,2026-07-21T06:31:55.433292
TW,Tradeweb Markets Inc.,77.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,90.0,36.0,85.0,65.0,15.0,10.4,False,down,33.5,False,0,20.4,True,2,"{'eps_growth_yoy': 33.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 40.3}","{'revenue_growth_yoy': 20.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -17.5, 'rs_6m': -13.0, 'rs_line_percentile': 10.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 14.2, 'debt_to_equity': 0.02, 'current_ratio': 5.93, 'operating_margin_pct': 46.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 27.8}",100.52,21915973632,Financial Services,Capital Markets,3.1,1.9,False,147.49,-31.8,1.0,False,128.5,201.0,105.0,14.0,buy,27.8,,,121.5,20.9,,,0.56,12.4,0.56,0.4,True,-0.71,636.1,27.4,9.0,2026-07-30,False,True,8.0,STRONG,5.8,57.1,0.56,41.8,,,,2026-07-21T06:31:22.084761
FICO,Fair Isaac Corporation,75.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,90.0,30.3,70.0,65.0,15.0,23.2,False,up,45.5,True,2,28.9,True,2,"{'eps_growth_yoy': 45.5, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 33.7}","{'revenue_growth_yoy': 28.9, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 13.9, 'rs_6m': -27.2, 'rs_line_percentile': 23.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 15}","{'current_ratio': 2.22, 'operating_margin_pct': 58.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 21.4}",1263.83,29309362176,Technology,Software - Application,11.2,6.7,True,1998.01,-36.7,2.0,False,1534.55,2400.0,707.0,20.0,buy,21.4,1335.91,5.7,951.6,-24.7,2.49,31.5,,,,0.09,True,-6.18,7.2,69.0,8.0,2026-07-29,False,True,7.0,NEUTRAL,2.86,996.8,0.34,38.5,,,,2026-07-21T06:31:50.946393
