Ticker,Insider,Title,Date,InsiderName,TradeDate,FilingDate,Type,Price,Qty,Owned,Value,Source,ScrapedAt,Chart_Daily,Chart_Weekly
2026-08-10 06:52:56,BRVE,"Braveheart Bio, Inc.",10%,Forbion Growth Opportunities Fund III Cooperatief U.A.,2026-08-07,2026-08-07,P - Purchase,18.0,3600000,21826024,64%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/BRVE_d.png,reports/graphs/BRVE_w.png
2026-08-10 06:52:56,EWAV,East West Ave Acquisition Corp.,Manager of the LP,Space Summit Capital LLC,2026-07-31,2026-08-04,P - Purchase,10.0,1087000,996531,10%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/EWAV_d.png,reports/graphs/EWAV_w.png
2026-08-10 06:52:56,ATTO,"Attovia Therapeutics, Inc.",10%,"Redmile Group, LLC",2026-08-06,2026-08-07,P - Purchase,17.0,600000,2165708,10%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/ATTO_d.png,reports/graphs/ATTO_w.png
2026-08-10 06:52:56,ATTO,"Attovia Therapeutics, Inc.",10%,"Frazier Life Sciences Xi, L.P.",2026-08-06,2026-08-06,P - Purchase,17.0,588235,6154213,9%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/ATTO_d.png,reports/graphs/ATTO_w.png
2026-08-10 06:52:56,BSX,Boston Scientific Corp,"COB, Pres, CEO",Mahoney Michael F,2026-08-03,2026-08-05,P - Purchase,48.33,186240,1612143,9%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/BSX_d.png,reports/graphs/BSX_w.png
2026-08-10 06:52:56,COE,51Talk Online Education Group,"CEO, 10%",Huang Jack Jiajia,2026-07-28,2026-08-05,P - Purchase,17.02,473520,83741960,8%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/COE_d.png,reports/graphs/COE_w.png
2026-08-10 06:52:56,BRTMU,B&R Technology Merger Corp.,10%,B&R Technology Sponsor LLC (Cayman),2026-07-22,2026-08-04,P - Purchase,10.0,687500,687500,6%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/BRTMU_d.png,reports/graphs/BRTMU_w.png
2026-08-10 06:52:56,ATTO,"Attovia Therapeutics, Inc.",10%,Sanofi,2026-08-06,2026-08-07,P - Purchase,17.0,300000,1082855,5%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/ATTO_d.png,reports/graphs/ATTO_w.png
2026-08-10 06:52:56,APMD,"Apnimed, Inc.",10%,Morningside Venture Investments Ltd,2026-08-03,2026-08-05,P - Purchase,16.0,312500,7228337,5%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/APMD_d.png,reports/graphs/APMD_w.png
2026-08-10 06:52:56,APTV,Aptiv Plc,Dir,Meister Paul M,2026-08-05,2026-08-06,P - Purchase,47.33,105631,138424,4%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/APTV_d.png,reports/graphs/APTV_w.png
2026-08-10 06:52:56,XIIIU,Churchill Capital Corp Xiii,"See Remarks, 10%",Klein Michael Stuart,2026-08-03,2026-08-05,P - Purchase,10.0,350000,350000,3%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/XIIIU_d.png,reports/graphs/XIIIU_w.png
2026-08-10 06:52:56,CSGP,"Costar Group, Inc.","Founder, CEO",Florance Andrew C,2026-08-04,2026-08-05,P - Purchase,29.89,83300,1806165,2%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/CSGP_d.png,reports/graphs/CSGP_w.png
2026-08-10 06:52:56,GSHD,"Goosehead Insurance, Inc.",10%,Durable Capital Partners LP,2026-07-31,2026-08-04,P - Purchase,61.92,36256,2570260,2%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/GSHD_d.png,reports/graphs/GSHD_w.png
2026-08-10 06:52:56,ABTC,American Bitcoin Corp.,Dir,Mateen Justin,2026-08-05,2026-08-07,P - Purchase,6.29,306981,492297,1%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/ABTC_d.png,reports/graphs/ABTC_w.png
2026-08-10 06:52:56,DGAC,Disciplined Growth Acquisition Corp,10%,Disciplined Growth Sponsor LLC,2026-06-04,2026-08-06,P - Purchase,10.0,181750,181750,1%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/DGAC_d.png,reports/graphs/DGAC_w.png
2026-08-10 06:52:56,TM,Toyota Motor Corp/,Pres,Kon Kenta,2026-08-05,2026-08-06,P - Purchase,18.41,85000,182193,1%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/TM_d.png,reports/graphs/TM_w.png
2026-08-10 06:52:56,CVNA,Carvana Co.,Dir,Maroone Michael E,2026-07-31,2026-08-04,P - Purchase,61.8,25000,213837,1%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/CVNA_d.png,reports/graphs/CVNA_w.png
2026-08-10 06:52:56,BRVE,"Braveheart Bio, Inc.",Dir,Viehbacher Christopher,2026-08-07,2026-08-07,P - Purchase,18.0,83333,759857,1%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/BRVE_d.png,reports/graphs/BRVE_w.png
2026-08-10 06:52:56,BRVE,"Braveheart Bio, Inc.","CEO, Pres",Murdoch Travis,2026-08-07,2026-08-07,P - Purchase,18.0,83333,8333637,1%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/BRVE_d.png,reports/graphs/BRVE_w.png
2026-08-10 06:52:56,THRY,"Thryv Holdings, Inc.",10%,Paulson & Co. Inc.,2026-08-04,2026-08-06,P - Purchase,2.81,399548,8843383,1%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/THRY_d.png,reports/graphs/THRY_w.png
2026-08-10 06:52:56,IR,Ingersoll Rand Inc.,Dir,Satpathy Aurobind,2026-08-03,2026-08-05,P - Purchase,86.68,11538,11538,1%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/IR_d.png,reports/graphs/IR_w.png
2026-08-10 06:52:56,ONMD,Onemednet Corp,"Dir, 10%",Kosasa Thomas,2026-07-30,2026-08-07,P - Purchase,0.69,1449275,18538150,1%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/ONMD_d.png,reports/graphs/ONMD_w.png
2026-08-10 06:52:56,BRVE,"Braveheart Bio, Inc.",Dir,Lubner David Charles,2026-08-07,2026-08-07,P - Purchase,18.0,55555,55555,999%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/BRVE_d.png,reports/graphs/BRVE_w.png
2026-08-10 06:52:56,PFE,Pfizer Inc,Dir,Blaylock Ronald E,2026-08-05,2026-08-05,P - Purchase,25.46,39231,71688,998%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/PFE_d.png,reports/graphs/PFE_w.png
2026-08-10 06:52:56,PFE,Pfizer Inc,Dir,Buckley Mortimer J,2026-08-05,2026-08-05,P - Purchase,25.52,37632,37632,960%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/PFE_d.png,reports/graphs/PFE_w.png
2026-08-10 06:52:56,AAT,"American Assets Trust, Inc.","Exec COB, 10%",Rady Ernest S,2026-08-05,2026-08-07,P - Purchase,22.84,35763,13585206,816%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/AAT_d.png,reports/graphs/AAT_w.png
2026-08-10 06:52:56,SITE,"Siteone Landscape Supply, Inc.",CEO,Black Doug,2026-08-04,2026-08-06,P - Purchase,102.04,8000,597427,816%,OpenInsider.com,2026-08-10 06:52:56,reports/graphs/SITE_d.png,reports/graphs/SITE_w.png
