ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at
CVX,Chevron Corporation,85.8,🏆 ELITE,🟢 Elite,USD,USD,False,True,True,1.0,,100.0,100.0,60.3,85.0,60.0,60.0,58.5,False,up,384.8,True,2,51.4,True,2,"{'eps_growth_yoy': 384.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 9.8}","{'revenue_growth_yoy': 51.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 12.0, 'rs_6m': -5.3, 'rs_line_percentile': 58.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 12.2, 'debt_to_equity': 0.19, 'current_ratio': 1.25, 'operating_margin_pct': 21.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 3.3}",214.06,419900817408,Energy,Oil & Gas Integrated,1.1,2.5,False,217.4,-1.5,7,True,221.21,243.0,175.0,24.0,buy,3.3,474.19,121.5,311.4,45.5,5.22,11.18,3.33,67.2,7.12,3.95,True,-2.65,22.5,321.9,46.0,2026-10-30,False,False,5,NEUTRAL,4.62,9.3,0.05,17.3,0.8,0.05,-16.5,2026-09-14T04:59:00.282989
MSFT,Microsoft Corporation,81.6,🏆 ELITE,🟢 Elite,USD,USD,False,True,True,1.0,"FCF declarado (16,545,500,160) se aparta del derivado de flujo operativo menos capex (66,986,994,944)",100.0,70.0,66.6,95.0,65.0,60.0,54.6,False,up,31.3,True,1,17.7,True,1,"{'eps_growth_yoy': 31.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 40.3}","{'revenue_growth_yoy': 17.7, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 23.8, 'rs_6m': 9.8, 'rs_line_percentile': 54.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 34.0, 'debt_to_equity': 0.29, 'current_ratio': 1.23, 'operating_margin_pct': 45.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 15.6}",495.63,3680323239936,Technology,Software - Infrastructure,1.0,2.5,False,553.72,-10.5,5,False,572.92,870.0,400.0,52.0,strong_buy,15.6,94.49,-80.9,538.2,8.6,0.45,2.23,0.73,19.8,3.64,0.79,True,-0.61,55.4,31.7,44.0,2026-10-28,False,False,6,NEUTRAL,4.53,44.9,0.66,21.4,,,,2026-09-14T04:53:39.061173
CBOE,"Cboe Global Markets, Inc.",81.3,🏆 ELITE,🟢 Elite,USD,USD,False,True,True,1.0,"FCF declarado (678,249,984) se aparta del derivado de flujo operativo menos capex (1,891,800,000)",100.0,90.0,44.0,100.0,50.0,35.0,30.7,False,up,50.2,False,0,22.9,True,2,"{'eps_growth_yoy': 50.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 26.7}","{'revenue_growth_yoy': 22.9, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -7.7, 'rs_6m': -18.6, 'rs_line_percentile': 30.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 26.3, 'debt_to_equity': 0.28, 'current_ratio': 1.56, 'operating_margin_pct': 34.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 12.3}",281.04,29349294080,Financial Services,Financial Data & Stock Exchanges,3.0,2.9,False,371.18,-24.3,3,False,315.64,356.0,258.0,14.0,hold,12.3,275.43,-2.0,385.2,37.1,2.31,6.49,1.22,22.4,3.44,1.29,True,-0.26,36.6,20.1,46.0,2026-10-30,False,False,8,STRONG,5.67,70.3,0.37,35.4,,,,2026-09-14T04:58:18.020879
WST,"West Pharmaceutical Services, Inc.",81.1,🏆 ELITE,🟢 Elite,USD,USD,False,True,True,1.0,"FCF declarado (277,937,504) se aparta del derivado de flujo operativo menos capex (376,300,000)",100.0,60.0,76.7,95.0,65.0,80.0,75.7,False,down,16.8,True,2,13.8,False,0,"{'eps_growth_yoy': 16.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 17.0}","{'revenue_growth_yoy': 13.8, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 2.1, 'rs_6m': 31.2, 'rs_line_percentile': 75.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 80}","{'roe_pct': 19.1, 'debt_to_equity': 0.11, 'current_ratio': 2.82, 'operating_margin_pct': 22.5}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 17.1}",346.23,24366200832,Healthcare,Medical Instruments & Supplies,3.6,4.3,False,386.0,-10.3,7,True,405.38,459.0,340.0,16.0,strong_buy,17.1,107.46,-69.0,141.54,-59.1,1.14,3.95,0.25,11.1,0.88,0.25,True,-1.88,155.1,18.1,38.0,2026-10-22,False,False,7,NEUTRAL,2.48,19.0,1.92,18.3,0.8,0.04,-17.5,2026-09-14T04:55:32.957228
BRK-B,Berkshire Hathaway Inc.,80.3,🏆 ELITE,🟢 Elite,USD,USD,False,True,False,0.6577,"acciones × precio no cuadra con la capitalización (ratio 0.6577): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (71,975,247,872) se aparta del derivado de flujo operativo menos capex (25,707",100.0,90.0,46.7,90.0,50.0,35.0,30.2,False,down,457.6,True,1,41.5,True,1,"{'eps_growth_yoy': 457.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 22.3}","{'revenue_growth_yoy': 41.5, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 1.0, 'rs_6m': -11.9, 'rs_line_percentile': 30.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 35}","{'roe_pct': 12.1, 'debt_to_equity': 0.17, 'current_ratio': 2.89, 'operating_margin_pct': 32.6}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 7.3}",510.37,1092553998336,Financial Services,Insurance - Diversified,1.0,2.3,False,537.74,-5.1,5,False,547.67,604.0,510.0,3.0,none,7.3,,,,,6.59,51.12,,,,,True,-0.41,18.5,53.9,54.0,2026-11-07,False,False,4,NEUTRAL,,,0.21,10.2,,,,2026-09-14T04:56:11.255492
TECK,Teck Resources Limited,79.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,CAD,True,True,True,0.9845,,100.0,80.0,70.4,75.0,40.0,80.0,80.2,False,up,314.6,False,0,78.2,False,0,"{'eps_growth_yoy': 314.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 17.9}","{'revenue_growth_yoy': 78.2, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -0.7, 'rs_6m': 18.3, 'rs_line_percentile': 80.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 8.7, 'debt_to_equity': 0.34, 'current_ratio': 3.12, 'operating_margin_pct': 44.1}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': -18.7}",66.44,32595464192,Basic Materials,Copper,,2.5,False,72.56,-8.4,8,True,54.02,69.07,35.97,4.0,hold,-18.7,109.93,65.5,110.7,66.6,3.84,2.59,0.53,9.8,0.35,0.99,True,-0.44,6.5,129.8,38.0,2026-10-22,False,False,5,NEUTRAL,6.38,6.5,0.06,41.4,,,,2026-09-14T05:00:31.151866
NUE,Nucor Corporation,78.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,"FCF declarado (683,374,976) se aparta del derivado de flujo operativo menos capex (1,002,000,000)",95.0,70.0,74.0,80.0,60.0,80.0,87.8,False,up,91.7,False,0,23.0,False,0,"{'eps_growth_yoy': 91.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 8.0}","{'revenue_growth_yoy': 23.0, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -5.7, 'rs_6m': 43.6, 'rs_line_percentile': 87.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 14.5, 'debt_to_equity': 0.31, 'current_ratio': 2.51, 'operating_margin_pct': 15.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 9.4}",259.43,58858356736,Basic Materials,Steel,2.4,2.8,False,280.11,-7.4,8,True,283.75,308.0,231.0,16.0,buy,9.4,127.74,-50.8,375.9,44.9,1.16,3.01,0.86,17.8,2.24,1.41,True,-1.15,29.3,93.8,42.0,2026-10-26,False,False,6,NEUTRAL,4.25,11.9,0.14,35.0,0.2,0.01,-34.8,2026-09-14T04:59:39.659623
OXY,Occidental Petroleum Corporation,77.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,,100.0,80.0,46.7,80.0,60.0,35.0,49.7,False,up,808.8,True,2,53.4,False,0,"{'eps_growth_yoy': 808.8, 'positive_quarters': 3, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 30.3}","{'revenue_growth_yoy': 53.4, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 5.9, 'rs_6m': -8.8, 'rs_line_percentile': 49.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 10.6, 'debt_to_equity': 0.35, 'current_ratio': 1.41, 'operating_margin_pct': 45.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 9.9}",61.46,61437710336,Energy,Oil & Gas E&P,0.0,0.0,False,67.45,-8.9,7,True,67.56,79.0,55.0,25.0,buy,9.9,160.71,161.5,101.7,65.5,6.17,3.79,1.83,29.5,1.12,1.14,True,-0.19,6.2,675.4,56.0,2026-11-09,False,False,4,NEUTRAL,5.11,6.4,0.02,20.2,,,,2026-09-14T04:58:48.596660
VEEV,Veeva Systems Inc.,77.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,,95.0,60.0,75.0,85.0,60.0,60.0,53.9,False,up,36.5,False,0,17.6,False,0,"{'eps_growth_yoy': 36.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 29.3}","{'revenue_growth_yoy': 17.6, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 61.2, 'rs_6m': 30.7, 'rs_line_percentile': 53.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 14.4, 'debt_to_equity': 0.02, 'current_ratio': 5.46, 'operating_margin_pct': 29.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 13.3}",262.4,42484879360,Healthcare,Health Information Services,3.3,2.3,False,310.5,-15.5,5,False,297.3,350.0,180.0,27.0,buy,13.3,329.43,25.5,182.7,-30.4,2.96,7.77,,,,,True,-1.11,,27.6,72.0,2026-11-25,False,False,7,NEUTRAL,2.59,14.1,0.65,64.5,,,,2026-09-14T04:54:50.900508
RACE,Ferrari N.V.,77.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,EUR,True,True,True,1.0,"FCF declarado (1,159,030,420) se aparta del derivado de flujo operativo menos capex (1,841,284,796)",95.0,70.0,58.7,90.0,60.0,35.0,33.5,False,up,9.0,True,2,8.4,True,2,"{'eps_growth_yoy': 9.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 22.2}","{'revenue_growth_yoy': 8.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 13.3, 'rs_6m': 10.1, 'rs_line_percentile': 33.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 45.4, 'debt_to_equity': 0.86, 'current_ratio': 2.43, 'operating_margin_pct': 31.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 12.6}",413.78,72681472000,Consumer Cyclical,Auto Manufacturers,2.9,7.8,False,504.49,-18.0,7,True,465.88,532.16,415.13,14.0,strong_buy,12.6,130.62,-68.4,109.08,-73.6,1.59,6.6,1.02,39.0,4.23,0.69,True,-1.1,63.9,10.1,50.0,2026-11-03,False,False,9,STRONG,2.82,46.9,3.21,25.7,,,,2026-09-14T04:55:59.269216
