ticker,company_name,purchase_count,unique_insiders,total_shares,days_span,first_purchase,last_purchase,confidence_score,confidence_label,market
AAL.L,Anglo American plc,22,12,969,52,2026-06-23,2026-08-14,100,MUY ALTA,FTSE100
BA.L,BAE Systems plc,21,11,7146,31,2026-07-14,2026-08-14,100,MUY ALTA,FTSE100
BARC.L,Barclays PLC,10,10,27498,0,2026-07-28,2026-07-28,100,MUY ALTA,FTSE100
BATS.L,British American Tobacco p.l.c.,45,14,8892,69,2026-07-01,2026-09-08,100,MUY ALTA,FTSE100
BP.L,BP p.l.c.,20,7,33132,63,2026-07-01,2026-09-02,100,MUY ALTA,FTSE100
DGE.L,Diageo plc,15,7,1322,85,2026-06-17,2026-09-10,100,MUY ALTA,FTSE100
GSK.L,GSK plc,47,14,20540,53,2026-06-19,2026-08-11,100,MUY ALTA,FTSE100
HSBA.L,HSBC Holdings plc,11,9,13739,56,2026-06-26,2026-08-21,100,MUY ALTA,FTSE100
LLOY.L,Lloyds Banking Group plc,14,7,46919,47,2026-06-24,2026-08-10,100,MUY ALTA,FTSE100
LAND.L,Land Securities Group Plc,6,2,133,60,2026-07-06,2026-09-04,100,MUY ALTA,FTSE100
SGE.L,The Sage Group plc,11,9,15777,24,2026-07-10,2026-08-03,100,MUY ALTA,FTSE100
SHEL.L,Shell plc,10,8,12678,0,2026-07-02,2026-07-02,100,MUY ALTA,FTSE100
MNDI.L,Mondi plc,6,2,110,62,2026-07-07,2026-09-07,100,MUY ALTA,FTSE100
NG.L,National Grid plc,5,2,260,62,2026-07-07,2026-09-07,100,MUY ALTA,FTSE100
NWG.L,NatWest Group plc,10,10,4611,58,2026-07-01,2026-08-28,100,MUY ALTA,FTSE100
PRU.L,Prudential plc,15,8,12543,47,2026-06-24,2026-08-10,100,MUY ALTA,FTSE100
RIO.L,Rio Tinto Group,4,3,29,0,2026-07-17,2026-07-17,100,MUY ALTA,FTSE100
RR.L,Rolls-Royce Holdings plc,10,5,2326,63,2026-07-07,2026-09-08,100,MUY ALTA,FTSE100
ULVR.L,Unilever PLC,13,9,3441,0,2026-07-01,2026-07-01,100,MUY ALTA,FTSE100
UNA.AS,Unilever PLC,13,9,3441,0,2026-07-01,2026-07-01,100,MUY ALTA,AEX25
SSE.L,SSE plc,28,10,139,60,2026-07-06,2026-09-04,100,MUY ALTA,FTSE100
TSCO.L,Tesco PLC,36,13,56509,63,2026-06-26,2026-08-28,100,MUY ALTA,FTSE100
VOD.L,Vodafone Group Public Limited Company,9,9,370844,40,2026-06-25,2026-08-04,100,MUY ALTA,FTSE100
WTB.L,Whitbread plc,3,3,1326,39,2026-07-03,2026-08-11,90,MUY ALTA,FTSE100
INF.L,Informa plc,3,2,336,0,2026-07-10,2026-07-10,80,MUY ALTA,FTSE100
IMB.L,Imperial Brands PLC,2,2,40,0,2026-07-03,2026-07-03,60,MUY ALTA,FTSE100
