ticker,data_quality,thesis_verdict,reasoning,confidence,score_adjustment,validated_at
RSG,MIXED,INSUFFICIENT,"El modelo se basa solo en proyecciones de FCF sin historial ni consenso, lo que reduce la fiabilidad de los inputs. Sin datos históricos sólidos y sin ROIC, es difícil validar la conclusión de sobrevaloración.",68,0,2026-09-14T19:57:36+00:00
FAST,UNRELIABLE,INSUFFICIENT,"No se dispone de FCF histórico ni de consenso para los flujos futuros; los supuestos de EV/FCF y ROIC carecen de base y la valoración se basa en proyecciones no verificadas, lo que impide confiar en el modelo.",85,0,2026-09-14T19:57:36+00:00
MSI,RELIABLE,AVOID,"Los flujos de caja libre son consistentes y el historial es suficiente, pero el modelo muestra un precio objetivo de 263.68 frente al actual 466.16, lo que implica un downside del 43% y un margen de seguridad negativo, confirmando la sobrevaloración.",92,-8,2026-09-14T19:57:36+00:00
CB,UNRELIABLE,INSUFFICIENT,"No se dispone de datos de flujo de caja libre histórico ni proyecciones, lo que impide validar el modelo Owner Earnings. Sin información clave, la tesis implícita no puede evaluarse.",85,0,2026-09-14T19:57:36+00:00
CHD,RELIABLE,AVOID,"Los flujos de caja libre son consistentes y el historial es suficiente; sin embargo, el modelo muestra un precio objetivo de compra de 49,47 frente al precio actual de 94,15, indicando una sobrevaloración significativa y un margen de seguridad negativo.",92,-8,2026-09-14T19:57:36+00:00
ROP,RELIABLE,AVOID,"Los flujos de caja libre son consistentes y el historial es suficiente; sin embargo, el modelo muestra un precio objetivo muy por debajo del mercado y el ROIC está por debajo del costo de capital, confirmando la sobrevaloración.",92,-8,2026-09-14T19:57:36+00:00
CBOE,UNRELIABLE,INSUFFICIENT,"No se dispone de FCF histórico y los flujos futuros son proyecciones sin consenso, lo que impide validar la fiabilidad del modelo. Sin datos sólidos, la conclusión de sobrevaloración es especulativa.",78,0,2026-09-14T19:57:36+00:00
7741.T,UNRELIABLE,INSUFFICIENT,"Los valores de capitalización y EV/FCF son incoherentes (EV negativo y cifras extremadamente altas), lo que indica datos sospechosos. Además, la tesis implícita está ausente, impidiendo una valoración fiable.",85,0,2026-09-14T19:57:36+00:00
ISRG,MIXED,WATCH,"Los flujos de caja libres proyectados carecen de consenso y no hay historial de al menos tres años, lo que reduce la fiabilidad del modelo. Además, el upside negativo y el margen de seguridad negativo indican que el precio actual está por encima del valor implícito, por lo que la recomendación HOLD no está justificada.",78,0,2026-09-14T19:57:36+00:00
BRK-B,UNRELIABLE,INSUFFICIENT,"No se dispone de datos de flujo de caja libre ni de métricas clave (CapEx, ROIC, EV/FCF) para aplicar el modelo Owner Earnings, lo que impide evaluar la fiabilidad del dato subyacente. Además, la descripción mezcla un ETF apalancado con el ticker de Berkshire Hathaway, generando inconsistencia.",95,0,2026-09-14T19:57:36+00:00
CNI,MIXED,INSUFFICIENT,"El modelo usa FCF proyectado sin consenso y carece de historial de al menos tres años, lo que reduce la fiabilidad de los cálculos. Sin datos de ROIC ni historial de flujos, la conclusión BUY es prematura.",68,0,2026-09-14T19:57:36+00:00
SYK,MIXED,INSUFFICIENT,"El modelo carece de datos históricos de FCF y las proyecciones son sin consenso, lo que reduce la fiabilidad del cálculo. Sin información suficiente sobre ROIC y estabilidad del flujo de caja, no se puede confirmar la tesis HOLD.",65,0,2026-09-14T19:57:36+00:00
ERIE,MIXED,INSUFFICIENT,"Los flujos de caja libre son positivos y tienen historial de 5 años, pero falta consenso de proyección y la cobertura de analistas es muy baja, lo que limita la confianza en la valoración. Además, la ausencia de datos clave como NTM FCF yield impide validar la tesis implícita.",78,0,2026-09-14T19:57:36+00:00
MSFT,RELIABLE,BUY,"Los flujos de caja libre presentan historial de al menos 3 años y los valores de shares y capitalización son consistentes; aunque hay una caída reciente del FCF, el ROIC alto y el múltiplo objetivo razonable respaldan la valoración. El modelo muestra un upside del 55% y margen de seguridad del 35%, lo que justifica la tesis BUY.",82,8,2026-09-14T19:57:36+00:00
AUTO.L,RELIABLE,AVOID,"Los flujos de caja libre son consistentes y el historial cumple con los requisitos mínimos; sin embargo, el modelo indica un precio objetivo de 0.65 frente al actual 4.89, lo que implica una caída del 86 % y un margen de seguridad negativo, confirmando la sobrevaloración.",92,-8,2026-09-14T19:57:36+00:00
RELX,RELIABLE,AVOID,"Los flujos de caja libre son consistentes y el historial es amplio, pero el modelo indica un precio objetivo de 2.86 frente al actual 33.80, lo que implica una caída del 91 %. La brecha entre el valor implícito y el mercado es demasiado grande para considerarlo una oportunidad, por lo que la tesis de sobrevaloración es correcta.",92,-8,2026-09-14T19:57:36+00:00
AJG,RELIABLE,AVOID,"Los flujos de caja libre son consistentes y el historial es suficiente, aunque hay señales de caída reciente y ROIC bajo el costo de capital. El modelo muestra un precio objetivo muy por debajo del precio actual, indicando sobrevaloración.",92,-8,2026-09-14T19:57:36+00:00
LRLCY,UNRELIABLE,INSUFFICIENT,"No se dispone de historial de FCF ni de ROIC, y los flujos futuros son proyecciones sin consenso; además, la valoración produce precios extremadamente altos respecto al mercado, lo que indica que los supuestos son poco creíbles.",85,0,2026-09-14T19:57:36+00:00
CP,RELIABLE,AVOID,"Los flujos de caja libre son consistentes y hay suficiente historial, pero el modelo muestra un precio objetivo de compra de 11,30 frente al precio actual de 89,23, lo que implica un upside negativo del 87 %. Además, el ROIC está por debajo del costo de capital y hay señales de dilución y caída del FCF, confirmando la sobrevaloración.",92,-8,2026-09-14T19:57:36+00:00
ZTS,MIXED,INSUFFICIENT,"El modelo carece de historial de FCF y las proyecciones son sin consenso, lo que reduce la fiabilidad de los cálculos. Sin datos sólidos de ROIC y cash flow histórico, la tesis WATCH no puede confirmarse.",68,0,2026-09-14T19:57:36+00:00
NOW,RELIABLE,AVOID,"Los flujos de caja libre son consistentes y el historial es amplio, pero el modelo muestra un precio objetivo de compra por debajo del precio actual y un upside negativo del -15.3%, lo que indica sobrevaloración. Además, el margen de seguridad es negativo, lo que refuerza la conclusión de evitar la posición.",92,-8,2026-09-14T19:57:36+00:00
INTU,UNRELIABLE,INSUFFICIENT,"No se dispone de FCF histórico ni de consenso para los valores proyectados, lo que impide validar la consistencia del modelo. Sin datos fiables, la conclusión de sobrevaloración es especulativa.",85,0,2026-09-14T19:57:36+00:00
SPGI,MIXED,INSUFFICIENT,"El modelo se basa únicamente en proyecciones de FCF sin historial ni consenso, lo que reduce la fiabilidad de los inputs. Sin datos históricos robustos y con supuestos no verificados, no se puede confirmar si la valoración indica sobrevaloración.",70,0,2026-09-14T19:57:36+00:00
LSEG.L,RELIABLE,AVOID,"Los flujos de caja libre son consistentes y el historial es suficiente; sin embargo, el modelo muestra un precio objetivo extremadamente bajo frente al precio actual, indicando una sobrevaloración significativa.",92,-8,2026-09-14T19:57:36+00:00
CME,MIXED,AVOID,"Los flujos de caja libre presentan una volatilidad extrema (2022 ≈ 345 M vs 2023 ≈ 3377 M), lo que sugiere posibles errores o eventos no recurrentes; aun así, el modelo muestra un precio objetivo muy por debajo del actual, indicando sobrevaloración.",78,-5,2026-09-14T19:57:36+00:00
FICO,UNRELIABLE,AVOID,"No se dispone de FCF histórico y los valores forward son proyecciones sin consenso, lo que impide validar la consistencia del modelo. Sin datos fiables, la conclusión de sobrevaloración no es sustentable.",85,-10,2026-09-14T19:57:36+00:00
ITW,RELIABLE,AVOID,"Los datos de FCF son consistentes y cuentan con al menos tres años históricos; aunque hay una ligera caída reciente, no invalidan el modelo. El cálculo muestra un precio objetivo de $166 frente al actual $268, indicando una sobrevaloración significativa.",92,-8,2026-09-14T19:57:36+00:00
DHR,MIXED,INSUFFICIENT,"El modelo usa proyecciones de FCF sin consenso y carece de historial de al menos 3 años, lo que reduce la fiabilidad de los cálculos. Sin datos de ROIC ni de historial de cash flow, no se puede confirmar la validez de la tesis BUY.",65,0,2026-09-14T19:57:36+00:00
ETN,MIXED,INSUFFICIENT,"El modelo carece de historial de FCF y las proyecciones son sin consenso, lo que reduce la fiabilidad de los cálculos. Sin datos sólidos de ROIC ni de volatilidad del flujo de caja, la conclusión HOLD no está bien fundamentada.",68,0,2026-09-14T19:57:36+00:00
CSU.TO,UNRELIABLE,INSUFFICIENT,"No se dispone de FCF histórico ni de consenso para los flujos futuros; los supuestos de crecimiento y múltiplos carecen de base verificable, lo que impide validar el modelo. Sin datos fiables, la conclusión de sobrevaloración es especulativa.",85,0,2026-09-14T19:57:36+00:00
CLPBY,UNRELIABLE,INSUFFICIENT,"El ratio 63,27x se explica mejor por una discrepancia de ADR: la capitalización reportada está en coronas danesas (~93.7 bn DKK) y la cotización está en USD, además el número de acciones usado para el cálculo del precio×acciones parece ser el de ADR (≈1/10 de las acciones ordinarias), lo que genera un factor ~10 de diferencia. Independientemente de este problema de conversión, el flujo de caja libre histórico es estable y el ROIC del último año (15,7 %) indica un negocio sólido en su moneda local, sin señales claras de deterioro.",85,0,2026-09-14T19:57:36+00:00
V,UNRELIABLE,INSUFFICIENT,"Los flujos de caja proyectados por acción (≈105 USD en 2026) son desproporcionados respecto al precio actual y a la capitalización de mercado, lo que indica datos inconsistentes o erróneos; además falta historial de FCF y ROIC. Sin datos fiables, la tesis de compra no puede validarse.",85,0,2026-09-14T19:57:36+00:00
BRO,RELIABLE,AVOID,"Los flujos de caja libre son consistentes y el historial es suficiente; sin embargo, el modelo muestra un precio objetivo de compra muy por debajo del precio actual y un margen de seguridad negativo, indicando que la acción está sobrevalorada.",92,-8,2026-09-14T19:57:36+00:00
PGR,UNRELIABLE,INSUFFICIENT,"No se dispone de datos de FCF histórico ni proyecciones, ni de métricas clave como ROIC o yield, lo que impide validar el modelo Owner Earnings. Sin información fiable, la tesis implícita no puede evaluarse.",85,0,2026-09-14T19:57:36+00:00
EXPN.L,UNRELIABLE,INSUFFICIENT,"No se dispone de datos de FCF histórico ni proyecciones, ni de métricas clave como ROIC o yield, lo que impide validar la fiabilidad del modelo. Sin información suficiente, la tesis implícita no puede evaluarse.",85,0,2026-09-14T19:57:36+00:00
PEP,RELIABLE,AVOID,"Los flujos de caja libre son consistentes y el historial es amplio; sin embargo, el precio objetivo calculado está muy por debajo del precio actual, indicando una sobrevaloración significativa. La falta de red flags no compensa el amplio margen negativo.",92,-8,2026-09-14T19:57:36+00:00
IT,UNRELIABLE,INSUFFICIENT,"No se dispone de FCF histórico y los flujos futuros son proyecciones sin consenso, lo que impide validar la fiabilidad del modelo. Sin datos sólidos, la conclusión de sobrevaloración carece de fundamento suficiente.",78,0,2026-09-14T19:57:36+00:00
AI.PA,UNRELIABLE,INSUFFICIENT,"No se dispone de datos de FCF histórico ni proyecciones, ni de ROIC, lo que impide validar el modelo Owner Earnings. Sin información clave, la valoración carece de base fiable.",85,0,2026-09-14T19:57:36+00:00
HEI,RELIABLE,AVOID,"Los flujos de caja libre son consistentes y el historial es suficiente, pero el modelo muestra un precio objetivo de compra muy por debajo del precio actual, generando un upside negativo y un margen de seguridad muy bajo, lo que confirma la sobrevaloración implícita.",92,-8,2026-09-14T19:57:36+00:00
CDNS,RELIABLE,AVOID,"Los datos de FCF son consistentes y el histórico supera los 3 años, sin señales de volatilidad extrema ni inconsistencias. El modelo indica un precio objetivo bajo (193) frente al precio actual de 289, con un upside negativo y margen de seguridad negativo, lo que sugiere que la acción está sobrevalorada.",92,-8,2026-09-14T19:57:36+00:00
ESLOY,RELIABLE,AVOID,"Los flujos de caja libre presentan historial consistente y los supuestos de valoración son claros, por lo que los datos son suficientemente fiables. Sin embargo, el modelo muestra un precio objetivo de 18,42 USD frente al precio actual de 84,96 USD, lo que implica un downside del 78 % y un margen de seguridad negativo, confirmando la tesis de sobrevaloración.",92,-8,2026-09-14T19:57:36+00:00
WST,MIXED,AVOID,"El modelo se basa únicamente en proyecciones de FCF sin historial ni consenso, lo que reduce la fiabilidad de los inputs. Además, el cálculo muestra un precio objetivo muy por debajo del precio actual, indicando una sobrevaloración significativa.",82,-5,2026-09-14T19:57:36+00:00
LIN,RELIABLE,AVOID,"Los flujos de caja libre son consistentes y el historial es amplio, pero el modelo muestra un precio objetivo muy por debajo del actual y un margen de seguridad negativo, indicando sobrevaloración.",92,-8,2026-09-14T19:57:36+00:00
SBGSY,UNRELIABLE,INSUFFICIENT,No se dispone de FCF histórico ni de consenso para los flujos futuros; los supuestos de EV/FCF y ROIC carecen de base y la valoración produce precios irrealistas frente al mercado. Sin datos sólidos el modelo no es fiable para validar la tesis.,85,0,2026-09-14T19:57:36+00:00
MTD,UNRELIABLE,INSUFFICIENT,"No se dispone de FCF histórico ni de consenso para los flujos futuros, lo que impide validar la coherencia de los supuestos y el cálculo del precio objetivo. Sin datos fiables, la conclusión de sobrevaloración es especulativa.",85,0,2026-09-14T19:57:36+00:00
ROL,RELIABLE,AVOID,"Los flujos de caja libre son consistentes y el historial es amplio, pero el precio objetivo calculado está muy por debajo del precio actual, indicando una sobrevaloración significativa. El margen de seguridad negativo refuerza la conclusión de evitar la acción.",92,-8,2026-09-14T19:57:36+00:00
