ticker,super_score_4d,tier,vcp_score,insiders_score,sector_score,institutional_score,num_whales,top_whales,next_earnings,days_to_earnings,sector_name,sector_momentum,tier_boost,dj_ticker,current_price,price_target,upside_percent,analyst_target,analyst_upside,num_analysts,fundamental_score,pe_ratio,peg_ratio,fcf_yield,roe,revenue_growth,entry_score,entry_bonus,super_score_5d,entry_price,entry_date,snapshot_id
INTC,59.1,⭐ BUENA,88.575,90,77.81,0.0,0,,2026-04-23,74.0,Technology,improving,3,DJUSTC,46.72,49.25,5.42,47.11829,0.8525042808219307,41,20.0,,,-1.9301575379049127,0.00022,-0.041,80.0,5,67.1,46.57270050048828,2026-02-18,20260218_155944
NCLH,61.9,⭐ BUENA,89.56818181818181,100,50.0,0.0,0,,,,,stable,0,,24.33,27.01,10.99,27.25,12.001644060830262,22,20.0,17.503597,,-11.887406150721674,0.39870998,0.047,50.0,1,62.9,24.459999084472656,2026-02-18,20260218_155944
BA,54.6,🔵 MODERADA,90.20588235294116,70,58.83,0.0,0,,2026-04-22,73.0,Industrials,stable,0,DJUSIG,245.22,270.68,10.38,271.625,10.76788190196558,24,40.0,98.87903,,0.914801274799176,2.90084,0.571,100.0,5,59.6,242.889892578125,2026-02-18,20260218_155944
WRB,56.4,⭐ BUENA,71.375,100,64.96,0.0,0,,2026-04-20,71.0,Financial Services,declining,0,DJUSFI,71.47,73.48,2.81,68.33333,-4.388792500349792,15,41.67,16.060675,,,0.19600001,0.015,65.0,3,59.4,70.08499908447266,2026-02-18,20260218_155944
BEN,54.4,🔵 MODERADA,89.56521739130434,70,64.96,0.0,0,,2026-01-30,-9.0,Financial Services,declining,0,DJUSFI,27.24,22.2,-18.52,27.36364,0.4538913362702068,11,30.0,25.222221,,2.311799246737896,0.04464,0.034,90.0,5,59.4,27.844999313354492,2026-02-18,20260218_155944
CRM,54.9,🔵 MODERADA,66.33333333333334,100,77.81,0.0,0,,2026-02-25,17.0,Technology,improving,3,DJUSTC,184.28,280.43,52.18,325.7951,76.79352072932492,53,45.0,24.603472,,8.278728035850168,0.12184,0.086,0.0,0,57.9,187.09010314941406,2026-02-18,20260218_155944
CVS,54.9,🔵 MODERADA,74.78571428571429,90,49.96,0.0,0,,2026-02-10,2.0,Healthcare,improving,0,DJUSHC,78.135,92.17,17.96,94.84,21.379663403084397,25,25.0,56.21223,,5.965038765305368,0.022869999,0.084,65.0,3,57.9,77.51000213623047,2026-02-18,20260218_155944
OXY,54.2,🔵 MODERADA,88.97619047619048,70,50.11,0.0,0,,2026-02-18,10.0,Energy,improving,0,DJUSEN,45.495,48.47,6.54,48.4984,6.601604571930975,25,20.0,33.452206,,6.767023264476249,0.05955,-0.077,50.0,1,55.2,46.83000183105469,2026-02-18,20260218_155944
CAT,49.6,🔵 MODERADA,90.40625,50,58.83,0.0,0,,2026-04-30,81.0,Industrials,stable,0,DJUSIG,768.36,567.96,-26.08,692.3204,-9.896350668957265,26,35.0,40.848484,,1.6237839186860097,0.43526,0.18,100.0,5,54.6,769.3900146484375,2026-02-18,20260218_155944
IEX,49.4,🔵 MODERADA,72.89473684210526,70,58.83,0.0,0,,2026-04-30,81.0,Industrials,stable,0,DJUSIG,209.335,179.52,-14.24,223.53847,6.785043112714062,13,40.0,32.606697,,3.5584745327168994,0.1234,0.042,80.0,5,54.4,210.24000549316406,2026-02-18,20260218_155944
APTV,49.4,🔵 MODERADA,89.65789473684211,50,68.9,0.0,0,,2026-04-30,81.0,Consumer Cyclical,declining,0,DJUSGT,83.71,96.57,15.36,101.25,20.95329112411899,16,25.0,111.613335,,7.191228437160858,0.01948,0.05,80.0,5,54.4,83.81999969482422,2026-02-18,20260218_155944
ECL,46.3,🔵 MODERADA,79.42857142857143,50,79.09,0.0,0,,2026-02-10,2.0,Basic Materials,stable,3,DJUSBS,303.615,327.61,7.9,321.2381,5.804423365116995,21,43.75,41.762722,,,0.22516,0.178,80.0,5,54.3,302.7099914550781,2026-02-18,20260218_155944
ALLY,50.3,🔵 MODERADA,0.0,100,64.96,61.1368,6,"Berkshire Hathaway (Warren Buffett), Berkshire Hathaway (Warren Buffett), Berkshire Hathaway (Warren Buffett)",2026-04-16,67.0,Financial Services,declining,0,DJUSFI,41.29,49.09,18.9,52.76471,27.79053039476871,17,37.5,17.421942,,,0.05796,0.12,45.0,1,51.3,42.220001220703125,2026-02-18,20260218_155944
GPN,50.1,🔵 MODERADA,92.02380952380952,50,58.83,0.0,0,,2026-02-18,10.0,Industrials,stable,0,DJUSIG,69.09,101.89,47.47,100.84615,45.96345346649295,26,25.0,10.484066,,12.523387478729752,0.07233,0.005,0.0,0,50.1,79.75,2026-02-18,20260218_155944
DASH,48.9,🔵 MODERADA,87.91666666666667,50,68.9,0.0,0,,2026-02-18,10.0,Consumer Cyclical,declining,0,DJUSGT,162.67,239.01,46.93,274.6881,68.86217495543127,42,50.0,82.5736,,-2.5903742577187785,0.100430004,0.273,0.0,0,48.9,172.2550048828125,2026-02-18,20260218_155944
MGM,48.9,🔵 MODERADA,87.875,50,68.9,0.0,0,,2026-04-29,80.0,Consumer Cyclical,declining,0,DJUSGT,33.77,37.13,9.94,42.61111,26.180367189813424,18,35.0,44.43421,,5.174720956678148,0.1489,0.06,20.0,0,48.9,36.650001525878906,2026-02-18,20260218_155944
ALIT,45.0,🔵 MODERADA,0.0,100,77.81,40.078831446,4,"Appaloosa Management (David Tepper), Appaloosa Management (David Tepper), Appaloosa Management (David Tepper)",2026-02-19,11.0,Technology,improving,3,DJUSTC,1.315,2.93,123.07,4.41667,235.8684410646388,6,20.0,,,38.141130819760846,-0.66856,-0.04,0.0,0,48.0,1.2799999713897705,2026-02-18,20260218_155944
PODD,43.6,🔵 MODERADA,70.16666666666667,50,49.96,0.0,0,,2026-02-18,10.0,Healthcare,improving,0,DJUSHC,246.48,221.94,-9.95,369.64,49.96754300551769,25,50.0,72.070175,,1.2411131075590085,0.19679001,0.299,10.0,0,43.6,266.6099853515625,2026-02-18,20260218_155944
HYMC,35.0,🔵 MODERADA,0.0,100,79.09,0.0,0,,2026-03-04,24.0,Basic Materials,stable,3,DJUSBS,34.5,37.95,10.0,,,0,12.5,,,-1.1715423620837957,-3.7460501,,60.0,3,41.0,39.65999984741211,2026-02-18,20260218_155944
NWFL,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,2026-04-23,74.0,Financial Services,declining,0,DJUSFI,32.015,34.11,6.54,33.0,3.0766828049351824,1,50.0,10.636212,,,0.12182,,90.0,5,40.0,32.150001525878906,2026-02-18,20260218_155944
CCFN,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,,,Financial Services,declining,0,DJUSFI,60.54,75.68,25.01,,,0,75.0,8.837956,,,0.13498001,0.227,100.0,5,40.0,60.529998779296875,2026-02-18,20260218_155944
SRZN,35.0,🔵 MODERADA,0.0,100,49.96,0.0,0,,,,Healthcare,improving,0,DJUSHC,24.75,31.95,29.08,36.66667,48.14816161616162,3,16.67,,,-4.1854497807023,,-0.902,100.0,5,40.0,25.190000534057617,2026-02-18,20260218_155944
ISBA,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,,,Financial Services,declining,0,DJUSFI,51.87,57.73,11.31,54.0,4.106419895893576,1,37.5,20.261719,,,0.08563,0.143,80.0,5,40.0,52.72999954223633,2026-02-18,20260218_155944
CBKM,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,,,Financial Services,declining,0,DJUSFI,26.0,30.99,19.19,,,0,62.5,8.580858,,,0.122480005,0.169,90.0,5,40.0,26.0,2026-02-18,20260218_155944
ABT,40.0,🔵 MODERADA,0.0,90,49.96,30.016092209,3,"Bridgewater Associates (Ray Dalio), BlackRock, BlackRock",2026-04-15,66.0,Healthcare,improving,0,DJUSHC,112.0075,128.3,14.55,133.3892,19.089525255005245,25,33.33,30.109543,,,0.13158,0.044,10.0,0,40.0,112.63999938964844,2026-02-18,20260218_155944
AVO,35.0,🔵 MODERADA,0.0,100,20.85,0.0,0,,2026-03-09,29.0,Consumer Defensive,improving,0,DJUSFB,14.4555,12.95,-10.39,17.33333,19.908201030749527,3,25.0,27.274529,,3.359318941365166,0.06767,-0.1,90.0,5,40.0,14.65999984741211,2026-02-18,20260218_155944
CMTV,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,,,Financial Services,declining,0,DJUSFI,31.95,36.39,13.9,,,0,75.0,10.721477,,,0.16028,0.14,90.0,5,40.0,33.0,2026-02-18,20260218_155944
BUKS,35.0,🔵 MODERADA,0.0,100,58.83,0.0,0,,,,Industrials,stable,0,DJUSIG,3.21,4.36,35.96,,,0,55.0,12.84,,7.65798626377217,0.25355,0.089,100.0,5,40.0,3.200000047683716,2026-02-18,20260218_155944
