ticker,company_name,super_score_5d,tier,description,vcp_score,insiders_score,sector_score,institutional_score,sector_name,sector_momentum,tier_boost,dj_ticker,timing_convergence,timing_bonus,timing_reason,current_price,price_target,upside_percent,analyst_target,analyst_upside,num_analysts,fundamental_score,pe_ratio,peg_ratio,fcf_yield,roe,revenue_growth,num_whales,top_whales,vcp_repeater,repeat_count,consistency_score,repeater_bonus,thesis_short,investment_thesis,entry_price,entry_date,snapshot_id
INTC,Intel,83.8,⭐⭐⭐⭐ LEGENDARY,Señales positivas,88.575,90,78.86,0.0,Technology,improving,3,DJUSTC,True,10,🔥 TIMING PERFECTO: 4 compras de insiders durante VCP base (5 días),45.46,48.56,6.83,47.11829,3.647800263968315,41,20.0,,,-1.9836551282825516,0.00022,-0.041,0,,True,2,20,6,Perfect Timing | Repeater 2x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐⭐ LEGENDARY)

• 📈 SECTOR IMPROVING: Technology saliendo de debilidad (0/100)
• 🔁 VCP REPEATER: Stock formó VCP patterns 2x históricamente - track record comprobado (+6 bonus)",45.459999084472656,2026-02-27,20260227_082119
KKR,KKR &,82.7,⭐⭐⭐⭐ LEGENDARY,Señales positivas,88.41666666666667,100,60.75,0.0,Financial Services,improving,0,DJUSFI,True,10,🔥 TIMING PERFECTO: 13 compras de insiders durante VCP base (11 días),93.62,121.93,30.24,140.87526,50.47560350352487,19,41.67,40.00855,,,0.08946,0.775,0,,True,3,40,9,Perfect Timing | Repeater 3x | 30% upside,"⚡ MODERATE (0.0/100 - ⭐⭐⭐⭐ LEGENDARY)

• 📈 SECTOR IMPROVING: Financial Services saliendo de debilidad (0/100)
• 🔁 VCP REPEATER: Stock formó VCP patterns 3x históricamente - track record comprobado (+9 bonus)
• 💰 UPSIDE POTENTIAL: 30% hasta precio objetivo $121.93",93.62000274658203,2026-02-27,20260227_082119
PRU,"Prudential Financial,",82.5,⭐⭐⭐⭐ LEGENDARY,Señales positivas,87.97058823529412,100,60.75,0.0,Financial Services,improving,0,DJUSFI,True,10,🔥 TIMING PERFECTO: 9 compras de insiders durante VCP base (10 días),102.31,113.2,10.64,113.85714,11.286423614504937,14,50.0,10.241241,,35.44241703023335,0.11359999,0.312,0,,True,3,40,9,Perfect Timing | Repeater 3x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐⭐ LEGENDARY)

• 📈 SECTOR IMPROVING: Financial Services saliendo de debilidad (0/100)
• 🔁 VCP REPEATER: Stock formó VCP patterns 3x históricamente - track record comprobado (+9 bonus)
• 📊 FUNDAMENTALS: FCF yield 35.4% (Score: 50/100)",102.30999755859375,2026-02-27,20260227_082119
GPN,Global Payments,80.9,⭐⭐⭐⭐ LEGENDARY,Señales positivas,92.02380952380952,90,58.81,0.0,Industrials,stable,0,DJUSIG,True,10,🔥 TIMING PERFECTO: 4 compras de insiders durante VCP base (74 días),77.85,94.59,21.51,101.84615,30.82357096981374,26,31.25,17.573364,,8.021244783798874,0.04824,-0.0,0,,True,3,40,9,Perfect Timing | Repeater 3x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐⭐ LEGENDARY)

• 🔁 VCP REPEATER: Stock formó VCP patterns 3x históricamente - track record comprobado (+9 bonus)
• 💰 UPSIDE POTENTIAL: 22% hasta precio objetivo $94.59
• 📊 FUNDAMENTALS: FCF yield 8.0% (Score: 31/100)",77.8499984741211,2026-02-27,20260227_082119
WRB,W. R. Berkley,77.6,⭐⭐⭐ EXCELENTE,Señales positivas,71.375,100,60.75,0.0,Financial Services,improving,0,DJUSFI,True,10,🔥 TIMING PERFECTO: 60 compras de insiders durante VCP base (64 días),71.58,73.54,2.73,68.33333,-4.535722268790154,15,41.67,16.085394,,,0.19600001,0.015,0,,True,3,40,9,Perfect Timing | Repeater 3x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 📈 SECTOR IMPROVING: Financial Services saliendo de debilidad (0/100)
• 🔁 VCP REPEATER: Stock formó VCP patterns 3x históricamente - track record comprobado (+9 bonus)",71.58000183105469,2026-02-27,20260227_082119
CRM,"Salesforce,",75.7,⭐⭐⭐ EXCELENTE,Señales positivas,66.33333333333334,100,78.86,0.0,Technology,improving,3,DJUSTC,False,0,,199.47,308.91,54.87,289.6428,45.20619642051437,50,50.0,26.667112,,8.878636036795601,0.123959996,0.121,0,,True,4,50,12,Repeater 4x | 55% upside,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 📈 SECTOR IMPROVING: Technology saliendo de debilidad (0/100)
• 🔁 VCP REPEATER: Stock formó VCP patterns 4x históricamente - track record comprobado (+12 bonus)
• 💰 UPSIDE POTENTIAL: 55% hasta precio objetivo $308.91
• 📊 FUNDAMENTALS: FCF yield 8.9% (Score: 50/100)",199.47000122070312,2026-02-27,20260227_082119
MGM,MGM Resorts International,75.3,⭐⭐⭐ EXCELENTE,Seguimiento recomendado,87.875,50,72.1,0.0,Consumer Cyclical,declining,3,DJUSGT,True,10,🔥 TIMING PERFECTO: 2 compras de insiders durante VCP base (1 días),,,,,,0,50.0,,,,,,0,,True,3,40,9,Perfect Timing | Repeater 3x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 🔁 VCP REPEATER: Stock formó VCP patterns 3x históricamente - track record comprobado (+9 bonus)",37.619998931884766,2026-02-27,20260227_082119
PODD,Insulet,74.2,⭐⭐⭐ EXCELENTE,Señales positivas,70.16666666666667,100,45.67,0.0,Healthcare,stable,0,DJUSHC,True,10,🔥 TIMING PERFECTO: 4 compras de insiders durante VCP base (78 días),251.5,307.86,22.41,354.4,40.91451292246519,25,50.0,72.478386,,0.8749160116777674,0.18124,0.312,0,,True,3,40,9,Perfect Timing | Repeater 3x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 🔁 VCP REPEATER: Stock formó VCP patterns 3x históricamente - track record comprobado (+9 bonus)
• 💰 UPSIDE POTENTIAL: 22% hasta precio objetivo $307.86",251.5,2026-02-27,20260227_082119
APTV,Aptiv PLC,72.8,⭐⭐⭐ EXCELENTE,Seguimiento recomendado,89.65789473684211,50,72.1,0.0,Consumer Cyclical,declining,3,DJUSGT,True,10,🔥 TIMING PERFECTO: 2 compras de insiders durante VCP base (1 días),,,,,,0,50.0,,,,,,0,,True,2,20,6,Perfect Timing | Repeater 2x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 🔁 VCP REPEATER: Stock formó VCP patterns 2x históricamente - track record comprobado (+6 bonus)",77.04000091552734,2026-02-27,20260227_082119
DASH,"DoorDash,",72.3,⭐⭐⭐ EXCELENTE,Seguimiento recomendado,87.91666666666667,50,72.1,0.0,Consumer Cyclical,declining,3,DJUSGT,True,10,🔥 TIMING PERFECTO: 2 compras de insiders durante VCP base (1 días),,,,,,0,50.0,,,,,,0,,True,2,20,6,Perfect Timing | Repeater 2x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 🔁 VCP REPEATER: Stock formó VCP patterns 2x históricamente - track record comprobado (+6 bonus)",180.41000366210938,2026-02-27,20260227_082119
