ticker,vcp_score,ml_score,momentum_score,trend_score,volume_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,insiders_score,institutional_score,num_whales,top_whales,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
EXEL,0.0,50.0,22.58,,,"Exelixis, Inc.",60.8,Healthcare,Biotechnology,60.0,50.0,50.3,95.0,60.0,44.01,11799615488,35.0,47.0,False,up,,,0,7.8,False,0,14.4,11.4,True,49.62,-11.3,6.0,False,"{'roe_pct': 35.5, 'debt_to_equity': 0.09, 'current_ratio': 3.56, 'operating_margin_pct': 39.4}",{'profit_margin_pct': 33.7},47.17,60.0,35.0,18.0,buy,7.2,103.06,134.2,83.4,89.5,,,,,,70.0,0.0,0.0,,18.0,0.0,15.0,18.2,2026-02-25 07:47:09,2026-02-25,CORRECTION,AVOID,False,0,Error: Too Many Requests. Rate limited. Try after a while.,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",MEGA_FLOAT,211.4,38.0,33.2,35.0,False,up,47.0,2.0,,0,False,0,0.0,18,54.0,68.5,Medio,37.3,0.0,3.0,3.0,5.0,0.0,0.0,5.0,0.0,False,1/3,59.32,5.0,0.0,🔵 DECENT,🟡 Good,,,,,,,
LPG,0.0,50.0,37.25,,,Dorian LPG Ltd.,72.5,Energy,Oil & Gas Midstream,60.0,80.0,82.6,80.0,60.0,34.65,1481083264,100.0,96.0,True,up,,,0,58.1,False,0,4.9,3.0,False,35.82,-3.3,8.0,True,"{'roe_pct': 11.2, 'debt_to_equity': 0.62, 'current_ratio': 2.42, 'operating_margin_pct': 43.3}",{'profit_margin_pct': 30.4},35.25,41.0,31.0,4.0,buy,1.7,100.74,190.7,84.9,145.0,,,,,,90.0,0.0,0.0,,56.8,0.0,15.0,21.8,2026-02-25 07:47:09,2026-02-25,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),STRONG_ACCUMULATION,75,"Strong institutional buying (1.8x ratio, 63% up volume)",MEDIUM_FLOAT,36.8,15.0,36.8,100.0,True,up,96.0,10.0,,0,False,0,0.0,6,54.0,90.7,Top 10%,63.1,5.0,0.0,5.0,10.0,0.0,0.0,5.0,0.0,False,2/3,59.0,8.0,0.0,🔵 DECENT,🟡 Good,AVOID,35.0,Near ATH (-1.9% from high) - poor entry point,-1.9,NEUTRAL,BUY,False
FTAI,0.0,50.0,31.15,,,FTAI Aviation Ltd.,71.5,Industrials,Rental & Leasing Services,60.0,80.0,89.0,65.0,60.0,284.23,29154304000,95.0,96.5,False,up,,,0,33.7,False,0,4.1,1.6,False,310.0,-8.3,8.0,True,"{'roe_pct': 263.0, 'debt_to_equity': 13.81, 'current_ratio': 5.84, 'operating_margin_pct': 31.2}",{'profit_margin_pct': 20.8},314.6,350.0,260.0,10.0,strong_buy,10.7,,,131.4,-53.8,,,,,,90.0,0.0,0.0,,24.4,0.0,15.0,21.4,2026-02-25 07:47:09,2026-02-25,CORRECTION,AVOID,False,0,Error: Too Many Requests. Rate limited. Try after a while.,STRONG_ACCUMULATION,75,"Strong institutional buying (1.7x ratio, 63% up volume)",HIGH_FLOAT,101.1,35.0,36.4,95.0,False,up,96.5,5.0,,0,False,0,0.0,15,54.0,74.1,Medio,42.5,0.0,0.0,3.0,10.0,0.0,0.0,5.0,0.0,False,1/3,58.599999999999994,0.0,0.0,🔵 DECENT,🟡 Good,,,,,,,
MTDR,0.0,50.0,19.13,,,Matador Resources Company,56.3,Energy,Oil & Gas E&P,60.0,40.0,66.6,60.0,60.0,51.16,6369134592,60.0,55.0,False,up,,,0,-6.5,True,1,9.6,5.8,True,54.2,-5.6,5.0,False,"{'roe_pct': 16.1, 'debt_to_equity': 0.57, 'current_ratio': 0.73, 'operating_margin_pct': 35.9}",{'profit_margin_pct': 22.0},57.53,85.0,47.0,19.0,strong_buy,12.4,6.06,-88.2,62.4,22.0,,,,,,100.0,0.0,0.0,,18.0,0.0,15.0,16.9,2026-02-25 07:47:09,2026-02-25,CORRECTION,AVOID,False,66,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",HIGH_FLOAT,116.2,35.0,31.9,60.0,False,up,55.0,2.0,,0,True,1,2.0,22,54.0,61.1,Medio,32.1,0.0,3.0,3.0,3.0,0.0,0.0,5.0,0.0,False,1/3,57.519999999999996,8.0,0.0,🔵 DECENT,🟡 Good,,,,,,,
OHI,0.0,50.0,36.55,,,"Omega Healthcare Investors, Inc",65.5,Real Estate,REIT - Healthcare Facilities,60.0,60.0,76.3,75.0,60.0,47.03,14286773248,100.0,91.4,True,up,,,0,15.3,False,0,4.8,6.7,False,47.94,-1.9,8.0,True,"{'roe_pct': 12.0, 'debt_to_equity': 0.79, 'current_ratio': 1.1, 'operating_margin_pct': 63.2}",{'profit_margin_pct': 49.6},48.88,59.0,43.0,16.0,buy,3.9,109.03,131.8,58.2,23.8,,,,,,100.0,0.0,0.0,,49.6,0.0,15.0,19.6,2026-02-25 07:47:09,2026-02-25,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),STRONG_ACCUMULATION,75,"Strong institutional buying (1.7x ratio, 61% up volume)",MEGA_FLOAT,294.6,18.0,34.6,100.0,True,up,91.4,10.0,,0,False,0,0.0,8,54.0,87.0,Top 25%,59.7,3.0,0.0,5.0,10.0,0.0,0.0,5.0,0.0,False,2/3,56.2,8.0,0.0,🔵 DECENT,🟡 Good,AVOID,35.0,Near ATH (-1.7% from high) - poor entry point,-1.7,NEUTRAL,BUY,False
STRW,0.0,50.0,19.75,,,"Strawberry Fields REIT, Inc.",62.5,Real Estate,REIT - Healthcare Facilities,50.0,90.0,44.0,65.0,65.0,12.01,667742208,35.0,31.9,False,down,,,0,30.3,True,1,0.7,3.2,False,14.0,-14.2,5.0,False,"{'roe_pct': 49.7, 'debt_to_equity': 15.66, 'current_ratio': 5.47, 'operating_margin_pct': 52.4}",{'profit_margin_pct': 4.9},14.5,16.0,12.0,6.0,strong_buy,20.7,,,6.1,-49.2,,,,,,90.0,0.0,0.0,,29.799999999999997,0.0,15.0,18.8,2026-02-25 07:47:09,2026-02-25,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,45,"No clear pattern (0.9x ratio, 47% up volume)",MICRO_FLOAT,8.0,20.0,33.8,35.0,False,down,31.9,0.0,,0,True,1,2.0,8,54.0,87.0,Top 25%,59.7,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,False,1/3,56.0,8.0,0.0,🔵 DECENT,🟡 Good,,,,,,,
SUNS,0.0,50.0,0.0,,,"Sunrise Realty Trust, Inc.",62.5,Real Estate,REIT - Mortgage,60.0,80.0,36.0,75.0,60.0,9.22,123741496,15.0,7.0,False,down,,,0,107.2,False,0,6.1,5.1,False,12.3,-25.0,1.0,False,"{'debt_to_equity': 0.36, 'current_ratio': 3.49, 'operating_margin_pct': 64.9}",{'profit_margin_pct': 63.8},12.17,15.0,9.5,3.0,none,32.0,,,21.8,136.4,,,,,,100.0,0.0,0.0,,5.0,0.0,15.0,18.8,2026-02-25 07:47:09,2026-02-25,CORRECTION,AVOID,False,50,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.6x ratio, 37% up volume)",MICRO_FLOAT,9.6,50.0,33.8,15.0,False,down,7.0,0.0,,0,False,0,0.0,51,54.0,7.4,Bottom 25%,4.7,-3.0,1.0,0.0,-5.0,0.0,0.0,5.0,0.0,False,0/3,55.0,8.0,0.0,🔵 DECENT,🟡 Good,,,,,,,
CNS,0.0,50.0,0.0,,,Cohen & Steers Inc,61.7,Financial Services,Asset Management,60.0,70.0,38.7,90.0,50.0,65.77,3354765824,15.0,13.4,False,up,,,0,1.4,True,2,6.7,5.1,False,88.49,-25.7,1.0,False,"{'roe_pct': 27.3, 'debt_to_equity': 0.24, 'operating_margin_pct': 28.0}",{'profit_margin_pct': 27.6},72.0,77.0,64.0,3.0,hold,9.5,,,29.7,-54.8,,,,,,100.0,0.0,0.0,,5.0,0.0,15.0,18.5,2026-02-25 07:47:09,2026-02-25,CORRECTION,AVOID,False,0,Error: Too Many Requests. Rate limited. Try after a while.,NEUTRAL,40,"No clear pattern (1.0x ratio, 48% up volume)",MEDIUM_FLOAT,27.2,40.0,33.5,15.0,False,up,13.4,2.0,,0,True,2,2.0,33,54.0,40.7,Bajo 50%,25.5,0.0,1.0,0.0,-5.0,0.0,0.0,5.0,0.0,False,0/3,54.68,0.0,0.0,🔵 DECENT,🟡 Average,,,,,,,
EPD,0.0,50.0,31.1,,,Enterprise Products Partners L.,56.0,Energy,Oil & Gas Midstream,55.0,40.0,68.7,65.0,60.0,36.36,78728396800,60.0,63.3,False,up,,,0,-15.3,True,1,3.2,5.6,False,37.31,-2.5,7.0,True,"{'roe_pct': 19.7, 'debt_to_equity': 1.13, 'operating_margin_pct': 14.1}",{'profit_margin_pct': 11.1},36.65,41.0,32.0,20.0,buy,0.8,,,26.6,-26.8,,,,,,90.0,0.0,0.0,,26.0,0.0,15.0,16.8,2026-02-25 07:47:09,2026-02-25,CORRECTION,AVOID,False,0,Error: Too Many Requests. Rate limited. Try after a while.,STRONG_ACCUMULATION,75,"Strong institutional buying (1.6x ratio, 59% up volume)",MEGA_FLOAT,1449.8,38.0,31.8,60.0,False,up,63.3,2.0,,0,True,1,2.0,6,54.0,90.7,Top 10%,63.1,5.0,0.0,5.0,7.0,0.0,0.0,5.0,0.0,False,1/3,54.400000000000006,8.0,0.0,🔵 DECENT,🟡 Average,,,,,,,
MSGM,0.0,50.0,0.0,,,Motorsport Games Inc.,72.3,Communication Services,Electronic Gaming & Multimedia,60.0,80.0,71.4,100.0,50.0,3.51,17825362,60.0,64.2,False,up,,,0,57.1,False,0,3.3,0.6,False,5.409,-35.1,6.0,False,"{'roe_pct': 70.3, 'debt_to_equity': 0.0, 'current_ratio': 1.92, 'operating_margin_pct': 25.8}",{'profit_margin_pct': 36.6},,,,,none,,,,4.2,19.7,,,,,,70.0,0.0,0.0,,28.700000000000003,0.0,15.0,21.7,2026-02-25 07:47:09,2026-02-25,CORRECTION,AVOID,True,83,Passes Minervini Template (5/6 criteria),STRONG_ACCUMULATION,95,"Strong institutional buying (2.3x ratio, 66% up volume)",MICRO_FLOAT,2.2,15.0,36.7,60.0,False,up,64.2,2.0,,0,False,0,0.0,23,54.0,59.3,Medio,32.1,0.0,0.0,-5.0,5.0,0.0,0.0,5.0,0.0,False,2/3,54.332,5.0,0.0,🔵 DECENT,🟡 Average,,,,,,,
