ticker,cerebro_signal,cerebro_score_adj,cerebro_reason,updated_at
ABT,BEST,5,Mejor FCF en Healthcare (3.8% vs media sector 4.8%),2026-07-07
ADP,CAUTION,-3,Thesis drift MEDIUM: Score cayó 15pts en 46d (59→44) | Piotroski fuerte (8.0/9),2026-07-07
AI.PA,WATCH,3,Piotroski fuerte (7.0/9),2026-07-07
AON,WATCH,3,Piotroski fuerte (8.0/9),2026-07-07
ASAZY,BEST,8,Piotroski fuerte (8.0/9) | Mejor FCF en Industrials (43.9% vs media sector 5.2%),2026-07-07
ATLKY,CAUTION,-3,Value trap MEDIUM: Fundamental score cerca de default (50) — datos poco fiables | Mejor FCF en Industrials (21.9% vs media sector 5.2%),2026-07-07
AUTO.L,AVOID,-7,Thesis drift HIGH (46d): Upside analistas cayó 22pp (37%→15%) | Mejor FCF en Communication Services (6.1% vs media sector 5.0%),2026-07-07
AXP,CAUTION,2,Thesis drift MEDIUM: Score cayó 14pts en 46d (40→26) | Smart money: 1 HF + 0 insiders (conv 23),2026-07-07
BRK-B,BEST,5,Mejor FCF en Financial Services (5.6% vs media sector 4.5%),2026-07-07
BRO,BEST,5,Mejor FCF en Financial Services (6.4% vs media sector 4.5%),2026-07-07
CBOE,WATCH,3,Piotroski fuerte (8.0/9),2026-07-07
CDNS,WATCH,0,Caro vs peers en Technology (FCF rank 13/14) | Piotroski fuerte (7.0/9),2026-07-07
CME,WATCH,6,"Opciones TIER2 (q=55): VALUE weak (43pts), INSIDER CONF",2026-07-07
CP,WATCH,0,Caro vs peers en Industrials (FCF rank 23/29) | Piotroski fuerte (7.0/9),2026-07-07
CTAS,WATCH,0,Caro vs peers en Industrials (FCF rank 26/29) | Piotroski fuerte (8.0/9),2026-07-07
ESLOY,WATCH,-4,EPS revision DOWN: EPS consensus ↓3.3% (6.59→6.38),2026-07-07
ETN,WATCH,0,Caro vs peers en Industrials (FCF rank 28/29) | Piotroski fuerte (7.0/9),2026-07-07
EXPN.L,WATCH,3,Piotroski fuerte (9.0/9),2026-07-07
FDS,REVISION_UP,19,Short squeeze MEDIUM: 17.2% short · Short elevado (17.2% del float); Piotroski 6/9 — calidad mejorando | Mejor FCF en Financial Services (7.0% vs media sector 4.5%) | EPS revision STRONG_UP: EPS consensus ↑9.8% (23.14→25.40); Revenue estimate ↑1.8%,2026-07-07
FICO,WATCH,6,Caro vs peers en Technology (FCF rank 12/14) | Short squeeze MEDIUM: 10.5% short · Short moderado (10.5% del float); Piotroski 7/9 — calidad mejorando | Piotroski fuerte (7.0/9),2026-07-07
HEI,WATCH,0,Caro vs peers en Industrials (FCF rank 29/29) | Piotroski fuerte (8.0/9),2026-07-07
HESAY,WATCH,3,Piotroski fuerte (8.0/9),2026-07-07
IDXX,WATCH,0,Caro vs peers en Healthcare (FCF rank 9/9) | Piotroski fuerte (8.0/9),2026-07-07
IT,BEST,11,Short squeeze MEDIUM: 25.8% short · Short muy alto (25.8% del float); Piotroski 6/9 — calidad mejorando | Mejor FCF en Technology (11.7% vs media sector 11.2%),2026-07-07
ITRK.L,BEST,5,Mejor FCF en Industrials (4.1% vs media sector 5.2%),2026-07-07
JKHY,WATCH,3,Piotroski fuerte (9.0/9),2026-07-07
KO,CONFIRM,8,Caro vs peers en Consumer Defensive (FCF rank 8/9) | Smart money: 1 HF + 0 insiders (conv 24) | Piotroski fuerte (7.0/9),2026-07-07
LSEG.L,CAUTION,-3,Thesis drift MEDIUM: Score cayó 13pts en 46d (48→35) | Piotroski fuerte (7.0/9),2026-07-07
MA,WATCH,9,"Opciones TIER2 (q=50): VALUE strong (95pts), DIRECTIONAL (75% calls) | Piotroski fuerte (9.0/9)",2026-07-07
MCO,CONFIRM,8,Caro vs peers en Financial Services (FCF rank 14/14) | Smart money: 1 HF + 0 insiders (conv 29) | Piotroski fuerte (8.0/9),2026-07-07
MSCI,WATCH,0,Caro vs peers en Financial Services (FCF rank 13/14) | Piotroski fuerte (8.0/9),2026-07-07
NDAQ,WATCH,3,Piotroski fuerte (9.0/9),2026-07-07
NDSN,WATCH,3,Piotroski fuerte (7.0/9),2026-07-07
RACE,WATCH,-8,Caro vs peers en Consumer Cyclical (FCF rank 10/10) | EPS revision STRONG_DOWN: EPS consensus ↓12.0% (14.82→13.04); Analistas: +11 (0→11) | Piotroski fuerte (9.0/9),2026-07-07
ROP,BEST,5,Mejor FCF en Technology (5.9% vs media sector 11.2%),2026-07-07
SBGSY,WATCH,-3,Caro vs peers en Industrials (FCF rank 25/29),2026-07-07
SPGI,CAUTION,-5,Señal salida MEDIUM: Score cayó 17pts (61 → 44) | Piotroski fuerte (7.0/9),2026-07-07
TJX,CAUTION,-3,Thesis drift MEDIUM: Score cayó 16pts en 46d (39→23) | Piotroski fuerte (7.0/9),2026-07-07
TT,WATCH,3,Piotroski fuerte (9.0/9),2026-07-07
V,WATCH,-3,Caro vs peers en Financial Services (FCF rank 12/14),2026-07-07
VRSK,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Industrials (3.8% vs media sector 5.2%),2026-07-07
VRSN,CONFIRM,11,Smart money: 1 HF + 0 insiders (conv 30) | Piotroski fuerte (8.0/9),2026-07-07
WM,WATCH,0,Caro vs peers en Industrials (FCF rank 24/29) | Piotroski fuerte (8.0/9),2026-07-07
WMT,WATCH,0,Caro vs peers en Consumer Defensive (FCF rank 9/9) | Piotroski fuerte (7.0/9),2026-07-07
WTKWY,WATCH,-4,EPS revision DOWN: EPS consensus ↓2.3% (9.13→8.92),2026-07-07
