ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime,oe_ai_adjustment,oe_ai_verdict
EXPN.L,EXPERIAN PLC ORD USD0.10,51.8,⭐ AVERAGE,🟡 Average,55.0,50.0,30.0,65.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 17.8},{},"{'rs_3m': np.float64(-16.1), 'rs_6m': np.float64(-35.1)}","{'roe_pct': 28.3, 'debt_to_equity': 1.0, 'current_ratio': 0.85, 'operating_margin_pct': 25.0}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 58.5}",2477.0,22037409792,Industrials,Consulting Services,,,False,4101.0,-39.6,0,False,3927.1,4792.52,2396.1,18.0,strong_buy,58.5,3371.0,36.1,2841.0,14.7,4.14,1.02,2.05,39.8,0.52,1.37,,,,23.1,147,2026-11-18,False,False,9,STRONG,7.79,646.3,0.61,31.4,,,,2026-06-24T08:07:30.780443,FTSE100,58.7,3.0,5.0,0.0,5.0,7.31,3.0,15.0,CONFIRMED_UPTREND,-8,RELIABLE/AVOID (-8)
DB1.DE,DEUTSCHE BOERSE AG            N,70.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,50.0,56.0,80.0,65.0,,,,,11.4,True,1,8.5,False,0,"{'eps_growth_yoy': np.float64(11.4), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 27.3}","{'revenue_growth_yoy': np.float64(8.5), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(-8.1), 'rs_6m': np.float64(5.0)}","{'roe_pct': 19.2, 'debt_to_equity': 0.69, 'current_ratio': 1.01, 'operating_margin_pct': 43.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 16.6}",245.3,44670586880,Financial Services,Financial Data & Stock Exchanges,,,False,279.1,-12.1,4,False,286.08,310.0,240.0,12.0,buy,16.6,,,139.0,-43.3,,,1.7,35.7,4.2,1.87,,,,12.4,28,2026-07-22,False,False,5,NEUTRAL,6.0,66.8,1.49,15.5,,,,2026-06-24T08:06:26.632217,DAX40,64.3,0.0,5.0,0.0,3.0,2.08,1.0,15.0,CONFIRMED_UPTREND,0,
G24.DE,Scout24 SE                    N,68.7,⭐⭐ GOOD,🟡 Good,95.0,60.0,34.5,75.0,70.0,,,,,37.0,False,0,14.0,False,0,"{'eps_growth_yoy': np.float64(37.0), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 37.4}","{'revenue_growth_yoy': np.float64(14.0), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(2.7), 'rs_6m': np.float64(-22.1)}","{'roe_pct': 17.7, 'debt_to_equity': 0.25, 'current_ratio': 0.22, 'operating_margin_pct': 55.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 42.1}",73.0,5162230272,Communication Services,Internet Content & Information,,,False,122.8,-40.6,1,False,103.71,135.0,86.0,17.0,strong_buy,42.1,,,108.3,48.4,,,2.03,36.6,1.5,1.51,,,44.1,40.6,43,2026-08-06,False,False,6,NEUTRAL,5.12,635.9,0.38,35.9,,,,2026-06-24T08:07:39.284778,DAX40,55.5,0.0,5.0,0.0,5.0,5.26,3.0,8.0,CONFIRMED_UPTREND,-5,MIXED/AVOID (-5)
SAP.DE,SAP SE                        I,62.2,⭐⭐ GOOD,🟡 Good,90.0,50.0,15.0,85.0,70.0,,,,,13.8,True,1,5.8,False,0,"{'eps_growth_yoy': np.float64(13.8), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 19.6}","{'revenue_growth_yoy': np.float64(5.8), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(-20.2), 'rs_6m': np.float64(-43.3)}","{'roe_pct': 16.4, 'debt_to_equity': 0.17, 'current_ratio': 1.07, 'operating_margin_pct': 30.0}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 60.9}",133.54,155915829248,Technology,Software - Application,,,False,269.35,-50.4,0,False,214.81,290.0,154.99,26.0,strong_buy,60.9,133.62,0.1,62.4,-53.3,5.22,6.98,1.86,37.7,2.5,1.45,True,-2.62,21.9,9.3,29,2026-07-23,False,False,8,STRONG,6.95,146.7,1.7,53.0,,,,2026-06-24T08:07:42.467781,DAX40,56.9,6.0,5.0,3.0,3.0,7.61,3.0,0.0,CONFIRMED_UPTREND,0,
WKL.AS,WOLTERS KLUWER,48.0,⚠️ WEAK,🔴 Weak,60.0,50.0,15.0,50.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 21.4},{},"{'rs_3m': np.float64(-21.0), 'rs_6m': np.float64(-43.3)}","{'roe_pct': 111.7, 'debt_to_equity': 6.23, 'current_ratio': 0.65, 'operating_margin_pct': 24.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 85.5}",55.98,12506558464,Industrials,Specialty Business Services,,,False,145.9,-61.6,0,False,103.83,160.0,71.0,15.0,buy,85.5,187.07,234.2,169.2,202.3,7.88,4.41,4.44,43.1,2.52,1.76,,,,36.9,42,2026-08-05,False,False,7,NEUTRAL,10.47,668.9,0.24,41.6,,,,2026-06-24T08:06:14.948165,AEX25,56.2,6.0,8.0,0.0,5.0,10.69,3.0,0.0,CONFIRMED_UPTREND,0,
AMS.MC,"AMADEUS IT GROUP, S.A.",58.0,⭐ AVERAGE,🟡 Average,65.0,60.0,30.0,70.0,70.0,,,,,-4.1,True,1,3.4,True,1,"{'eps_growth_yoy': np.float64(-4.1), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.4}","{'revenue_growth_yoy': np.float64(3.4), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(-11.7), 'rs_6m': np.float64(-25.5)}","{'roe_pct': 26.0, 'debt_to_equity': 0.7, 'current_ratio': 0.77, 'operating_margin_pct': 28.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 31.8}",51.2,21948774400,Technology,Information Technology Services,,,False,73.6,-30.4,0,False,67.5,80.0,52.0,22.0,buy,31.8,40.6,-20.7,30.5,-40.4,4.93,2.52,2.94,46.6,1.54,1.73,True,-7.51,21.7,5.1,37,2026-07-31,False,False,7,NEUTRAL,7.27,473.7,2.6,32.9,,,,2026-06-24T08:07:09.546678,IBEX35,55.2,3.0,5.0,3.0,3.0,3.98,3.0,0.0,CONFIRMED_UPTREND,0,
NOVO-B.CO,Novo Nordisk B A/S,80.1,🏆 ELITE,🟢 Elite,100.0,90.0,60.5,70.0,50.0,,,,,83.2,True,2,26.0,True,2,"{'eps_growth_yoy': np.float64(83.2), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 37.2}","{'revenue_growth_yoy': np.float64(26.0), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(15.3), 'rs_6m': np.float64(-8.7)}","{'roe_pct': 71.4, 'debt_to_equity': 0.72, 'current_ratio': 0.79, 'operating_margin_pct': 61.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 2.1}",308.0,1363471499264,Healthcare,Drug Manufacturers - General,,,False,464.6,-33.7,3,False,314.41,454.0,200.0,24.0,hold,2.1,,,822.6,167.1,-0.88,-3.59,5.17,42.7,15.9,1.81,True,-0.18,39.5,26.8,42,2026-08-05,False,False,5,NEUTRAL,9.03,64.7,0.21,42.6,,,,2026-06-24T08:06:38.942267,OMXCPH,55.0,-5.0,8.0,3.0,5.0,0.26,-3.0,0.0,CONFIRMED_UPTREND,0,
RMV.L,RIGHTMOVE PLC ORD 0.1P,57.5,⭐ AVERAGE,🟡 Average,60.0,50.0,30.0,100.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 51.1},{},"{'rs_3m': np.float64(-12.2), 'rs_6m': np.float64(-27.5)}","{'roe_pct': 266.1, 'debt_to_equity': 0.09, 'current_ratio': 1.89, 'operating_margin_pct': 66.8}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 33.2}",420.5,3125175040,Communication Services,Internet Content & Information,,,False,827.0,-49.2,0,False,560.19,765.0,404.0,16.0,hold,33.2,669.0,59.1,470.0,11.8,6.15,0.26,2.52,36.2,0.11,1.49,,,,6.7,37,2026-07-31,False,False,6,NEUTRAL,9.14,637.5,0.74,25.3,,,,2026-06-24T08:08:23.257618,FTSE100,55.0,6.0,5.0,0.0,3.0,4.15,3.0,0.0,CONFIRMED_UPTREND,0,
SGE.L,THE SAGE GROUP PLC ORD 1 4/77P,49.5,⚠️ WEAK,🔴 Weak,55.0,50.0,30.0,50.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 14.6},{},"{'rs_3m': np.float64(-13.7), 'rs_6m': np.float64(-35.3)}","{'roe_pct': 75.6, 'debt_to_equity': 9.19, 'current_ratio': 0.62, 'operating_margin_pct': 22.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 37.2}",795.98,7171531776,Technology,Software - Application,,,False,1335.0,-40.4,0,False,1092.32,1334.0,850.0,19.0,buy,37.2,1645.0,106.7,572.0,-28.1,8.82,0.7,2.78,55.0,0.22,2.1,,,,14.3,148,2026-11-19,False,False,6,NEUTRAL,6.01,374.3,0.97,44.1,,,,2026-06-24T08:08:26.284078,FTSE100,50.8,8.0,5.0,0.0,3.0,4.65,3.0,0.0,CONFIRMED_UPTREND,0,
AUTO.L,AUTOTRADER GROUP PLC ORD 1P,55.5,⭐ AVERAGE,🟡 Average,60.0,50.0,30.0,90.0,55.0,,,,,,,0,,,0,{'profit_margin_pct': 47.1},{},"{'rs_3m': np.float64(-7.2), 'rs_6m': np.float64(-27.0)}","{'roe_pct': 60.2, 'debt_to_equity': 0.52, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 20.1}",484.8,3830817024,Communication Services,Internet Content & Information,,,False,844.4,-42.6,1,False,582.47,830.0,410.0,17.0,hold,20.1,496.0,2.3,340.0,-29.9,6.36,0.31,2.37,32.0,0.12,0.99,,,,2.0,134,2026-11-05,False,False,5,NEUTRAL,9.47,332.4,2.16,28.9,,,,2026-06-24T08:07:33.684967,FTSE100,45.2,6.0,5.0,0.0,1.0,2.51,1.0,0.0,CONFIRMED_UPTREND,-5,MIXED/AVOID (-5)
