ticker,cerebro_signal,cerebro_score_adj,cerebro_reason,updated_at
ABT,REVISION_UP,8,EPS revision STRONG_UP: EPS consensus ↑10.5% (5.04→5.57),2026-06-16
ADP,WATCH,3,Piotroski fuerte (8.0/9),2026-06-16
AI.PA,WATCH,0,Caro vs peers en Basic Materials (FCF rank 9/9) | Piotroski fuerte (7.0/9),2026-06-16
AJG,WATCH,-3,Caro vs peers en Financial Services (FCF rank 15/15),2026-06-16
AON,WATCH,3,Piotroski fuerte (8.0/9),2026-06-16
ASAZY,CAUTION,2,Thesis drift MEDIUM: Score cayó 13pts en 39d (65→52) | Piotroski fuerte (8.0/9) | Mejor FCF en Industrials (44.2% vs media sector 5.5%),2026-06-16
AUTO.L,CAUTION,-9,Thesis drift MEDIUM: Score cayó 17pts en 39d (61→44) | Señal salida MEDIUM: Score cayó 21pts (65 → 44) | Mejor FCF en Communication Services (6.6% vs media sector 5.6%),2026-06-16
AWK,WATCH,-8,EPS revision STRONG_DOWN: EPS consensus ↓17.3% (11.91→9.85); Analistas: +10 (0→10),2026-06-16
AXP,CONFIRM,8,Smart money: 1 HF + 0 insiders (conv 26),2026-06-16
BR,EXIT,-12,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-06-16
BRO,BEST,5,Mejor FCF en Financial Services (7.5% vs media sector 5.2%),2026-06-16
CB,BEST,5,Mejor FCF en Financial Services (9.9% vs media sector 5.2%),2026-06-16
CBOE,WATCH,3,Piotroski fuerte (8.0/9),2026-06-16
CHD,REVISION_UP,16,Piotroski fuerte (7.0/9) | Mejor FCF en Consumer Defensive (4.9% vs media sector 3.5%) | EPS revision STRONG_UP: EPS consensus ↑11.2% (3.93→4.37),2026-06-16
CLPBY,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-06-16
COST,WATCH,3,Piotroski fuerte (7.0/9),2026-06-16
CTAS,CAUTION,-6,Thesis drift MEDIUM: Score cayó 13pts en 39d (44→30) | Caro vs peers en Industrials (FCF rank 15/18) | Piotroski fuerte (8.0/9),2026-06-16
DHR,WATCH,4,EPS revision UP: EPS consensus ↑2.0% (10.37→10.58); Revenue estimate ↑4.6%,2026-06-16
EXPN.L,CAUTION,7,"Thesis drift MEDIUM: Score cayó 18pts en 39d (77→59) | Smart money: 0 HF + 3 insiders (conv 48) | Piotroski IMPROVING (5.0 → 9.0, Δ+4)",2026-06-16
G24.DE,CAUTION,-8,Señal salida MEDIUM: Score cayó 21pts (73 → 52),2026-06-16
GVDNY,WATCH,3,Piotroski fuerte (7.0/9),2026-06-16
HEI,WATCH,0,Caro vs peers en Industrials (FCF rank 17/18) | Piotroski fuerte (8.0/9),2026-06-16
HESAY,CAUTION,-3,Thesis drift MEDIUM: Score cayó 14pts en 39d (44→30) | Piotroski fuerte (8.0/9),2026-06-16
IDXX,WATCH,3,Piotroski fuerte (8.0/9),2026-06-16
INTU,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-06-16
IT,BEST,11,Short squeeze MEDIUM: 25.2% short · Short muy alto (25.2% del float); Piotroski 6/9 — calidad mejorando | Mejor FCF en Technology (10.7% vs media sector 5.0%),2026-06-16
ITRK.L,BEST,1,EPS revision DOWN: EPS consensus ↓2.4% (3.41→3.32) | Mejor FCF en Industrials (4.2% vs media sector 5.5%),2026-06-16
JKHY,EXIT,-12,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-06-16
KO,CONFIRM,8,Caro vs peers en Consumer Defensive (FCF rank 9/10) | Smart money: 1 HF + 0 insiders (conv 24) | Piotroski fuerte (7.0/9),2026-06-16
LSEG.L,CAUTION,-3,Thesis drift MEDIUM: Score cayó 12pts en 39d (47→35) | Piotroski fuerte (7.0/9),2026-06-16
MA,CAUTION,-8,Señal salida MEDIUM: Ya no aparece en VALUE — tesis posiblemente rota,2026-06-16
