ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,upside_triangulated_pct,upside_divergence_pts,upside_divergence,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,why_cheap,why_cheap_resumen,why_cheap_fuentes,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason
BR,0.0,,,,52.0,"Broadridge Financial Solutions, Inc.",74.6,Technology,Information Technology Services,100.0,80.0,30.3,80.0,65.0,172.88,19712090112.0,15.0,21.1,False,up,140.7,True,1.0,39.7,False,0.0,3.3,2.9,False,255.74,-32.4,1.0,False,"{'roe_pct': 40.9, 'debt_to_equity': 1.24, 'current_ratio': 1.24, 'operating_margin_pct': 24.6}","{'eps_growth_yoy': 140.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.0}",213.38,250.0,176.0,8.0,buy,23.4,193.4,11.9,95.9,-44.5,6.06,10.48,2.52,40.6,1.69,True,-3.06,13.9,5.9,56.0,2026-11-03,False,False,8.0,STRONG,6.82,211.6,1.78,BULLISH,0.0,80.0,2.0,0.0,22.0,0.0,15.6,22.4,2026-09-08 08:51:22,2026-09-08,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,STRONG_ACCUMULATION,75,"Strong institutional buying (1.8x ratio, 58% up volume)",HIGH_FLOAT,113.5,20.0,38.0,15.0,False,up,21.1,2.0,True,1.0,False,0.0,2.0,17.0,29.0,44.8,Bajo 50%,25.9,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,88.0,0.0,6.0,3.0,3.0,3.0,0.06,0.95,0.0,0.0,0.0,11.9,39.7,MEDIA,2.92,2.0,10.0,5.0,0,,0,UNRELIABLE/INSUFFICIENT (0),BEST,14.0,39,0.5199,MEDIA,0.0,⭐⭐⭐ EXCELLENT,🔥 Legendary,,,,,,,,SIN_DATOS,"BR ha superado estimados de ingresos y EPS en trimestres recientes (Q3 FY2026 incluido), pero cayó por compresión de márgenes operativos ajustados, ventas cerradas más débiles, recortes de precio objetivo y venta interna que deterioraron el sentimiento entre 2025-2026.",https://www.sec.gov/Archives/edgar/data/1383312/000138331225000004/ex991earningsrelease2q2025.htm | https://www.sec.gov/Archives/edgar/data/1383312/000138331225000024/ex991earningsrelease4q2025.htm | https://pitchbook.com/profiles/company/42085-99 | https://www.investing.com/news/company-news/broadridge-financial-solutions-stock-hits-52week-low-at-13975-usd-93CH-4748139,169.42,161.0,241.4,4.97,42.48,BUY NOW - At target entry price,False,1,0.87,False,-30.86,29.97,-20.99,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
MCO,0.0,,,,68.3,Moody's Corporation,67.6,Financial Services,Financial Data & Stock Exchanges,100.0,50.0,46.7,65.0,60.0,493.55,85473476608.0,35.0,29.8,False,up,35.9,True,2.0,8.9,False,0.0,1.7,3.0,False,546.88,-9.8,5.0,False,"{'roe_pct': 76.9, 'debt_to_equity': 2.41, 'current_ratio': 1.19, 'operating_margin_pct': 49.5}","{'eps_growth_yoy': 35.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 34.3}",561.9,610.0,505.0,21.0,buy,13.8,631.57,28.0,472.2,-4.3,3.02,14.89,0.83,25.0,0.81,False,,14.5,56.7,43.0,2026-10-21,False,False,8.0,STRONG,3.72,106.3,0.46,,,,,,36.8,0.0,20.5,20.3,2026-09-08 08:51:22,2026-09-08,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",HIGH_FLOAT,158.5,20.0,40.8,35.0,False,up,29.8,2.0,True,2.0,False,0.0,5.0,7.0,29.0,79.3,Top 25%,41.5,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,False,2/3,81.455,0.0,3.0,0.0,0.0,5.0,0.25,0.25,0.0,0.0,0.0,13.8,2.0,,1.72,2.0,10.0,66.0,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),CONFIRM,11.0,46,0.6828,ALTA,20.26,⭐⭐⭐ EXCELLENT,🟢 Elite,,,,,,,,,,,483.68,462.83,614.13,4.31,26.97,BUY NOW - At target entry price,False,2,0.96,False,-9.15,23.51,-7.01,uptrend,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
SPGI,0.0,,,,52.8,S&P Global Inc.,59.0,Financial Services,Financial Data & Stock Exchanges,75.0,50.0,38.7,65.0,65.0,443.51,130746753024.0,15.0,23.4,False,up,3.5,False,0.0,6.6,False,0.0,2.6,3.8,False,522.46924,-15.1,3.0,False,"{'roe_pct': 14.3, 'debt_to_equity': 0.43, 'current_ratio': 0.95, 'operating_margin_pct': 44.8}","{'eps_growth_yoy': 3.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 30.5}",520.3,553.0,485.0,20.0,strong_buy,17.3,495.13,11.6,290.46,-34.5,4.17,18.48,0.87,23.5,0.82,True,-3.98,22.7,17.7,51.0,2026-10-29,False,False,7.0,NEUTRAL,4.42,942.7,1.24,BULLISH,0.0,50.0,1.0,0.0,18.5,0.0,15.8,17.7,2026-09-08 08:51:22,2026-09-08,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,NEUTRAL,40,"No clear pattern (1.0x ratio, 47% up volume)",MEGA_FLOAT,294.1,25.0,33.5,15.0,False,up,23.4,2.0,False,0.0,False,0.0,0.0,7.0,29.0,79.3,Top 25%,41.5,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,False,1/3,68.24,0.0,3.0,0.0,3.0,5.0,0.19,0.65,0.0,0.0,0.0,11.6,28.8,MEDIA,2.16,2.0,5.0,16.0,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,46,0.5284,MEDIA,5.9,⭐ GOOD,🟢 Excellent,,,,,,,,SENTIMIENTO,"En febrero de 2026 SPGI cayó ~10% tras publicar resultados del Q4 2025 con un BPA ajustado apenas por debajo del consenso, mientras los ingresos superaron expectativas (+9% interanual) y la guía de BPA ajustado 2026 quedó por encima del consenso de mercado. El resto de la caída desde máximos respond",https://www.kavout.com/market-lens/has-s-p-global-spgi-stock-underperformed-and-why | https://finance.yahoo.com/news/why-p-global-spgi-stock-203049359.html | https://seekingalpha.com/article/4939587-s-and-p-global-investors-await-clarification-in-a-higher-rate-environment | https://www.fool.com/investing/2026/02/10/why-sp-global-stock-tumbled-by-nearly-10-on-tuesda/,434.64,399.87,565.38,8.0,30.08,BUY ON PULLBACK - Wait for 2-5% dip,False,2,0.983,False,-14.53,23.69,-8.39,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
OXY,0.0,,,,53.6,Occidental Petroleum Corporation,74.8,Energy,Oil & Gas E&P,100.0,70.0,46.7,80.0,60.0,60.04,60018229248.0,35.0,43.7,False,up,259.2,True,2.0,21.8,False,0.0,0.0,0.0,False,67.45,-11.0,7.0,True,"{'roe_pct': 10.6, 'debt_to_equity': 0.35, 'current_ratio': 1.41, 'operating_margin_pct': 45.4}","{'eps_growth_yoy': 259.2, 'positive_quarters': 3, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 30.3}",67.08,79.0,55.0,24.0,buy,11.7,160.71,167.7,101.7,69.4,6.31,3.79,1.87,29.5,1.14,True,-0.19,6.2,675.4,62.0,2026-11-09,False,False,4.0,NEUTRAL,5.2,6.4,0.02,,,,,,52.5,0.0,16.1,22.4,2026-09-08 08:51:22,2026-09-08,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",MEGA_FLOAT,995.6,3.0,38.5,35.0,False,up,43.7,2.0,True,2.0,False,0.0,5.0,,29.0,,Sin datos suficientes,43.7,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,False,3/3,65.6,8.0,6.0,3.0,3.0,5.0,0.38,1.91,0.0,0.0,0.0,69.4,-106.8,,1.46,2.0,0.0,93.0,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),,0.0,46,0.536,MEDIA,26.98,⭐ GOOD,🟢 Excellent,HOLD,55.0,Close to ATH (-11.0% from high) - wait for pullback,-11.0,NEUTRAL,BUY,False,,,,58.84,55.47,75.17,5.73,27.76,BUY NOW - At target entry price,True,3,0.848,False,-10.57,56.2,-4.01,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado
AXP,0.0,,,,51.7,American Express Company,63.0,Financial Services,Credit Services,70.0,60.0,38.7,85.0,65.0,326.16,220259057664.0,15.0,15.3,False,down,7.2,False,0.0,6.6,True,1.0,2.1,3.9,False,387.49,-15.8,2.0,False,"{'roe_pct': 34.4, 'debt_to_equity': 1.72, 'current_ratio': 1.55, 'operating_margin_pct': 20.3}","{'eps_growth_yoy': 7.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 16.1}",375.96,450.0,315.0,25.0,buy,15.3,486.59,49.2,181.17,-44.5,7.27,23.7,1.17,21.5,1.1,True,-3.39,,7.7,45.0,2026-10-23,False,False,4.0,NEUTRAL,,,1.47,,,,,,6.399999999999999,0.0,15.5,18.9,2026-09-08 08:51:22,2026-09-08,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (1.0x ratio, 47% up volume)",MEGA_FLOAT,522.2,25.0,34.4,15.0,False,down,15.3,0.0,False,0.0,True,1.0,2.0,10.0,29.0,69.0,Medio,36.7,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,63.785,0.0,6.0,0.0,3.0,3.0,0.0,0.12,0.0,0.0,0.0,15.3,13.0,,1.91,2.0,0.0,,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),CAUTION,5.0,43,0.5173,MEDIA,0.0,⭐ GOOD,🟡 Good,,,,,,,,SENTIMIENTO,"Amex ha reportado beats de EPS y guidance sostenida (8-10% ingresos, EPS $15-15.50) con métricas de crédito estables/mejorando en 2025, pero las acciones han caído por decepción en expectativas de ingresos/guidance y valoraciones ya exigentes, no por deterioro del negocio.",https://www.fool.com/earnings/call-transcripts/2026/04/22/american-express-axp-q1-2025-earnings-transcript/ | https://finance.yahoo.com/markets/stocks/articles/american-express-shares-slip-despite-124057960.html | https://www.benzinga.com/money/american-express-co-axp-stock-price-prediction | https://simplywall.st/stocks/us/diversified-financials/nyse-axp/american-express,326.16,317.44,417.0,2.67,27.85,BUY NOW - At target entry price,False,1,0.712,False,-15.14,12.76,-6.72,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
VRSN,88.11111111111111,Excellent,Stage 2 Strong,19.2197203755594,41.4,"VeriSign, Inc.",62.5,Technology,Software - Infrastructure,75.0,60.0,57.6,50.0,60.0,292.08,26404030464.0,60.0,53.7,False,up,1.7,False,0.0,3.7,True,1.0,1.7,1.7,False,312.48,-6.5,7.0,True,"{'current_ratio': 0.59, 'operating_margin_pct': 68.2}","{'eps_growth_yoy': 1.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 49.8}",321.4,355.0,270.0,5.0,buy,10.0,165.22,-43.4,92.0,-68.5,3.15,9.21,1.11,34.3,,True,-3.41,15.5,5.4,44.0,2026-10-22,False,False,8.0,STRONG,4.14,512.5,3.45,,,,,,85.4,35.2,12.4,18.8,2026-09-08 08:51:22,2026-09-08,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 54% up volume)",HIGH_FLOAT,84.9,0.0,66.4,60.0,False,up,53.7,2.0,False,0.0,True,1.0,2.0,3.0,29.0,93.1,Top 10%,54.2,5.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,False,3/3,57.06999999999999,0.0,3.0,0.0,3.0,3.0,1.07,1.07,1.0,0.0,1.5,-43.4,66.0,ALTA,1.25,2.0,10.0,23.0,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),CONFIRM,11.0,46,0.4143,BAJA,69.80555555555556,🔵 DECENT,🟡 Good,HOLD,55.0,Close to ATH (-6.5% from high) - wait for pullback,-6.5,NEUTRAL,BUY,False,,,,286.24,265.4,359.07,7.28,25.44,BUY ON PULLBACK - Wait for 2-5% dip,True,3,0.87,False,-6.25,41.15,7.02,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado
HEI,0.0,,,,43.5,HEICO Corporation,70.8,Industrials,Aerospace & Defense,90.0,60.0,44.0,90.0,65.0,325.48,45488242688.0,35.0,36.1,False,down,25.0,False,0.0,16.8,False,0.0,1.4,1.7,False,376.86,-13.6,4.0,False,"{'roe_pct': 17.7, 'debt_to_equity': 0.45, 'current_ratio': 2.72, 'operating_margin_pct': 25.1}","{'eps_growth_yoy': 25.0, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 16.4}",396.55,491.0,294.0,20.0,buy,21.8,,,,,1.86,15.3,0.08,4.2,0.1,False,,9.4,32.5,100.0,2026-12-17,False,False,8.0,STRONG,2.11,52.3,1.39,,,,,,10.299999999999995,0.0,13.0,21.2,2026-09-08 08:51:22,2026-09-08,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 40% up volume)",HIGH_FLOAT,124.0,27.0,34.3,35.0,False,down,36.1,0.0,False,0.0,False,0.0,0.0,,29.0,,Sin datos suficientes,36.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,False,1/3,55.495000000000005,0.0,0.0,0.0,0.0,5.0,0.39,2.59,2.0,0.0,0.0,,,,2.72,2.0,10.0,109.0,0,,0,MIXED/INSUFFICIENT (0),WATCH,4.0,46,0.4351,BAJA,16.08,🔵 DECENT,🟡 Good,,,,,,,,EVENTO,"Las acciones cayeron un 12.2% tras los resultados del cuarto trimestre fiscal 2025 (reportados a finales de 2025/inicio de 2026): aunque las ventas crecieron 14.4% y superaron estimaciones, el beneficio por acción GAAP solo batió expectativas gracias a un beneficio fiscal puntual, y el EBITDA ajusta",https://www.sec.gov/Archives/edgar/data/46619/000004661925000042/a04302025ex991earningsrele.htm | https://www.sec.gov/Archives/edgar/data/46619/000004661925000076/a10312025ex991earningsrele.htm | https://www.sec.gov/Archives/edgar/data/46619/000004661925000046/hei-20250430.htm | https://simplywall.st/stocks/us/capital-goods/nyse-hei/heico,326.62,313.82,413.18,3.92,26.5,BUY NOW - At target entry price,False,1,1.087,False,-13.63,27.13,-9.22,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
AUTO.L,0.0,,,,54.4,Autotrader Group plc,59.9,Communication Services,Internet Content & Information,60.0,50.0,54.5,90.0,50.0,518.2,4027766784.0,,,,,,,0.0,,,0.0,,,False,828.8,-37.5,2.0,False,"{'roe_pct': 60.2, 'debt_to_equity': 0.52, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}",{'profit_margin_pct': 47.1},562.06,800.0,410.0,18.0,hold,8.5,,,,,6.05,0.31,2.3,32.0,1.38,,,,2.0,58.0,2026-11-05,False,False,5.0,NEUTRAL,9.17,332.4,2.32,,,,,,9.299999999999995,0.0,16.3,18.0,2026-09-08 08:51:22,2026-09-08,CONFIRMED_UPTREND,TRADE,False,16,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",MEGA_FLOAT,803.0,23.0,34.3,,,,,0.0,,0.0,,0.0,0.0,4.0,29.0,89.7,Top 25%,52.2,3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,54.68000000000001,8.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.06,0.0,0.0,2.0,0,,0,MIXED/INSUFFICIENT (0),BEST,5.0,41,0.5445,MEDIA,0.0,🔵 DECENT,🟡 Average,,,,,,,,SENTIMIENTO,"Auto Trader sigue creciendo en ingresos y beneficio (ingresos +4% y beneficio operativo +4% en el año hasta marzo 2026), pero la acción cayó tras advertencias de JPMorgan sobre un 'weak run-rate' y el riesgo de que la IA y la posible entrada de Amazon Autos erosionen su negocio a futuro. Los directi",https://simplywall.st/stocks/gb/media/lse-auto/autotrader-group-shares | https://finance.yahoo.com/news/auto-trader-group-full-2025-133815695.html | https://plc.autotrader.co.uk/investors/results-centre/ | https://walletinvestor.com/lse-stock-forecast/auto-stock-prediction,507.05,484.61,757.82,4.43,49.46,BUY ON PULLBACK - Wait for 2-5% dip,False,2,1.141,False,-37.46,23.81,-4.46,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
FHN,0.0,,,,39.8,First Horizon Corporation,59.0,Financial Services,Banks - Regional,85.0,40.0,44.0,65.0,50.0,24.94,11816002560.0,35.0,32.6,False,down,3.1,True,1.0,-0.5,True,1.0,0.0,0.0,False,26.56,-6.1,5.0,False,"{'roe_pct': 11.5, 'operating_margin_pct': 41.3}","{'eps_growth_yoy': 3.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 30.2}",28.11,31.0,25.0,19.0,none,12.7,36.77,47.4,41.6,66.8,5.04,1.26,2.73,30.8,3.28,True,-7.94,,10.0,36.0,2026-10-14,False,False,5.0,NEUTRAL,,,0.54,,,,,,40.6,0.0,11.9,17.7,2026-09-08 08:51:22,2026-09-08,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",MEGA_FLOAT,468.3,3.0,29.6,35.0,False,down,32.6,0.0,True,1.0,True,1.0,5.0,6.0,29.0,82.8,Top 25%,42.7,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,False,3/3,52.59,0.0,6.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,47.4,-44.4,,1.59,2.0,0.0,,1,Appaloosa (Tepper),0,MIXED/INSUFFICIENT (0),,0.0,46,0.3984,BAJA,19.4,🔵 DECENT,🟡 Average,,,,,,,,,,,24.44,23.37,30.58,4.37,25.13,BUY NOW - At target entry price,False,2,0.806,False,-5.64,28.61,-3.32,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
NDAQ,0.0,,,,44.1,"Nasdaq, Inc.",74.1,Financial Services,Financial Data & Stock Exchanges,85.0,80.0,56.7,75.0,60.0,96.88,54153723904.0,60.0,52.0,False,up,19.9,False,0.0,29.3,True,1.0,2.4,2.6,False,101.79,-4.8,5.0,False,"{'roe_pct': 16.5, 'debt_to_equity': 0.78, 'current_ratio': 1.01, 'operating_margin_pct': 49.3}","{'eps_growth_yoy': 19.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 35.0}",109.87,135.0,84.0,15.0,buy,13.4,70.38,-27.4,48.36,-50.1,3.12,3.03,1.2,32.7,1.29,True,-2.41,8.3,14.1,44.0,2026-10-22,False,False,9.0,STRONG,3.97,205.3,1.47,,,,,,27.5,0.0,13.2,22.2,2026-09-08 08:51:22,2026-09-08,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 50% up volume)",MEGA_FLOAT,496.5,23.0,35.5,60.0,False,up,52.0,2.0,False,0.0,True,1.0,2.0,7.0,29.0,79.3,Top 25%,41.5,3.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,False,2/3,52.345,0.0,3.0,0.0,3.0,3.0,0.06,-0.18,0.0,0.0,0.0,-27.4,52.2,ALTA,1.68,2.0,10.0,34.0,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,46,0.4408,BAJA,26.91,🔵 DECENT,🟡 Average,,,,,,,,,,,97.85,92.17,118.12,5.8,20.71,BUY NOW - At target entry price,False,2,0.816,False,-4.18,26.56,-3.38,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback
