ticker,company,purchase_count,unique_insiders,days_span,first_purchase,last_purchase,total_qty,confidence_score
TPL,Texas Pacific Land Corp,176,1,86,2025-12-03,2026-02-27,176.0,3530
WRB,Berkley W R Corp,62,1,66,2025-12-23,2026-02-27,34605071.0,1250
MNTR,"Mentor Capital, Inc.",51,1,85,2025-12-03,2026-02-26,121450.0,1030
DLPN,"Dolphin Entertainment, Inc.",49,1,86,2025-12-03,2026-02-27,155758.0,990
NYC,American Strategic Investment Co.,44,1,65,2025-12-03,2026-02-06,170955.0,890
COSM,Cosmos Health Inc.,40,1,76,2025-12-03,2026-02-17,8278806.0,810
KFS,Kingsway Financial Services Inc,39,2,82,2025-12-03,2026-02-23,5967.0,800
IRIX,Iridex Corp,39,2,75,2025-12-05,2026-02-18,97953.0,800
UUU,"Universal Safety Products, Inc.",38,2,86,2025-12-03,2026-02-27,1269391.0,780
HYMC,Hycroft Mining Holding Corp,38,1,80,2025-12-08,2026-02-26,14451648.0,770
SPG,Simon Property Group Inc.,38,1,23,2025-12-17,2026-01-09,8764.0,770
PFBX,Peoples Financial Corp /Ms/,37,2,74,2025-12-11,2026-02-23,73160.0,760
LUCY,Innovative Eyewear Inc,34,4,50,2025-12-09,2026-01-28,3783029.0,720
SLGL,Sol-Gel Technologies Ltd.,35,1,81,2025-12-04,2026-02-23,323033.0,710
CABA,"Cabaletta Bio, Inc.",32,6,5,2026-01-22,2026-01-27,528292.0,700
AVO,"Mission Produce, Inc.",32,1,30,2025-12-31,2026-01-30,12489232.0,650
ISBA,Isabella Bank Corp,31,2,29,2026-01-22,2026-02-20,8490.0,640
YORW,York Water Co,28,7,29,2025-12-24,2026-01-22,1964.0,630
STEX,Streamex Corp.,28,5,24,2026-01-27,2026-02-20,4654044.0,610
AIRJ,Airjoule Technologies Corp.,27,5,46,2025-12-11,2026-01-26,2470950.0,590
SPRU,Spruce Power Holding Corp,29,1,52,2025-12-05,2026-01-26,696396.0,590
AUBN,"Auburn National Bancorporation, Inc",28,2,86,2025-12-03,2026-02-27,2970.0,580
ELUT,Elutia Inc.,26,4,64,2025-12-04,2026-02-06,901000.0,560
CBKM,Consumers Bancorp Inc /Oh/,26,4,59,2025-12-08,2026-02-05,6208.0,560
LAKE,Lakeland Industries Inc,25,6,30,2025-12-22,2026-01-21,30111.0,560
NRDY,Nerdy Inc.,25,1,19,2025-12-03,2025-12-22,4377949.0,510
ONCY,Oncolytics Biotech Inc,22,6,27,2026-01-21,2026-02-17,978464.0,500
CMTV,Community Bancorp /Vt,23,3,43,2026-01-05,2026-02-17,20941.0,490
MIGI,Mawson Infrastructure Group Inc.,24,1,23,2026-01-13,2026-02-05,5721588.0,490
SQNS,Sequans Communications,24,1,22,2026-01-12,2026-02-03,892128.0,490
BUKS,Butler National Corp,23,3,26,2025-12-24,2026-01-19,87210.0,490
MAIA,"Maia Biotechnology, Inc.",22,2,42,2025-12-05,2026-01-16,922228.0,460
TCBI,Texas Capital Bancshares Inc/Tx,22,1,30,2026-01-28,2026-02-27,214770.0,450
RGCO,Rgc Resources Inc,21,3,67,2025-12-04,2026-02-09,267.0,450
NEWT,"Newtekone, Inc.",20,5,44,2025-12-09,2026-01-22,37713.0,450
GPUS,"Hyperscale Data, Inc.",22,1,34,2025-12-03,2026-01-06,5948798.0,450
IMRX,Immuneering Corp,20,4,12,2026-01-15,2026-01-27,207276.0,440
