ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date,oe_ai_adjustment,oe_ai_verdict
2020.HK,ANTA Sports Products Limited,72.3,HKD,85.0,A,85.0,ROE 22.5% | Potencial +42% analistas | FCF yield 8.0% | Dividendo 3.0% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,102.65,42.0,30,8.0,5.25,2.97,,22.5,11.2,12.9,16.9,12.4,-32.0,cyclical risk | governance risk,,SUSPECT,High ROE and profit margin for a consumer cyclical company may indicate potential accounting or operational risks,2026-08-14,0,
005930.KS,"Samsung Electronics Co., Ltd.",272500.0,KRW,83.0,A,83.0,ROE 30.8% | P/E 4.1x (vs 11x mercado) | Potencial +73% analistas | Crecimiento ingresos +130% | Margen 31%,2,0,Technology,Korea,🇰🇷,21.2,471908.2,73.2,37,3.2,9.15,,,30.8,4.1,,30.9,129.9,-27.2,Regulatory risks in technology sector | Geopolitical risks due to global market exposure,SSNLF,SUSPECT,Anomalously low Forward P/E ratio of 4.1x raises concerns about data quality or potential undervaluation,2026-08-14,0,
9999.HK,"NetEase, Inc.",196.2,HKD,81.0,A,81.0,ROE 22.1% | Potencial +27% | FCF yield 6.3% | Margen 30% | Dividendo 2.4% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,250.03,27.4,20,6.3,3.43,2.35,,22.1,11.9,15.9,29.8,6.1,-20.9,Regulatory Risk | Geopolitical Risk,NTES,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual and may indicate potential overestimation of future earnings.",2026-08-14,0,
ITUB4.SA,Itaú Unibanco Holding S.A.,38.31,BRL,78.0,A,78.0,ROE 21.5% | P/E 7.5x | Potencial +25% | Crecimiento ingresos +18% | Margen 33% | Dividendo 2.3% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,48.08,25.5,13,,3.19,2.32,,21.5,7.5,9.1,32.6,17.5,-22.9,FCF no comparable (sector financiero) | Regulatory Risk | Geopolitical Risk | Cyclical Risk,ITUB,SUSPECT,Low Forward P/E and high ROE may indicate undervaluation or potential for downward revision,2026-08-14,0,
0700.HK,Tencent Holdings Limited,441.2,HKD,77.0,A,77.0,ROE 19.9% | Potencial +57% analistas | Margen 30% | Dividendo 1.2% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,691.46,56.7,41,4.9,7.09,1.2,,19.9,12.1,14.9,29.9,11.0,-35.4,Regulatory Risk | Geopolitical Risk,TCEHY,SUSPECT,Forward P/E seems low compared to the sector average and the company's strong profit margin and revenue growth,2026-08-14,0,
TOTS3.SA,TOTVS S.A.,29.53,BRL,74.0,A,74.0,ROE 17.0% | Potencial +63% analistas | Crecimiento ingresos +36% | Margen 22% | Dividendo 2.8% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Technology,Brazil,🇧🇷,9.0,48.08,62.8,13,4.1,7.85,2.83,,17.0,14.0,19.4,21.6,36.1,-39.0,Geopolitical Risk | Cyclical Risk,,SUSPECT,High revenue growth and analyst upside may not be sustainable,2026-08-14,0,
1299.HK,AIA Group Limited,70.85,HKD,74.0,A,74.0,P/E 10.6x | Potencial +48% analistas | Margen 24% | Dividendo 2.7% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,104.9,48.1,17,,6.01,2.66,,14.8,10.6,15.3,23.8,6.0,-23.1,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risks in Hong Kong | Exposure to Chinese real estate market | Potential governance issues,,SUSPECT,Anomalous FCF yield and potential exposure to Chinese real estate sector pose concerns,2026-08-14,0,
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",14.8,BRL,72.0,A,72.0,ROE 27.7% | Potencial +34% analistas | Margen 49% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,19.89,34.4,14,,4.3,6.21,,27.7,11.3,14.8,49.5,8.8,-27.2,FCF no comparable (sector financiero) | Regulatory Risk | Geopolitical Risk | Cyclical Risk,,SUSPECT,High profit margin and dividend yield may indicate potential overvaluation or unsustainable business model,2026-08-14,0,
2382.HK,Sunny Optical Technology (Group) Company Limited,58.8,HKD,71.0,A,71.0,ROE 17.5% | Potencial +45% analistas | FCF negativo | Crecimiento ingresos +21% | Dividendo 2.1% | Mercado HongKong CAPE 11 (33% descuento histórico),3,1,Technology,HongKong,🇭🇰,10.7,85.09,44.7,22,-1.3,5.59,2.06,,17.5,11.6,11.9,10.7,21.3,-35.7,cyclical | governance,,RISKY,Negative FCF yield indicates potential cash flow issues,2026-08-14,0,
0388.HK,Hong Kong Exchanges and Clearing Limited,406.2,HKD,70.0,A,70.0,ROE 35.0% | Potencial +26% | Crecimiento ingresos +19% | Margen 63% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,513.82,26.5,17,,3.31,3.21,,35.0,25.7,27.3,62.6,19.0,-12.8,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory Risk | Real Estate Exposure | Geopolitical Risk,,SUSPECT,High profit margin and ROE raise concerns about sustainability and potential overvaluation,2026-08-14,0,
RENT3.SA,Localiza Rent a Car S.A.,34.06,BRL,69.0,A,69.0,P/E 7.3x | Potencial +65% analistas | FCF yield 26.3% | Crecimiento ingresos +24% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,56.26,65.2,15,26.3,8.15,6.28,,13.0,7.3,10.8,7.4,24.5,-36.2,cyclical | geopolitical,,SUSPECT,High FCF yield of 26.3% seems anomalous for a rent-a-car company,2026-08-14,0,
8035.T,Tokyo Electron Limited,59170.0,JPY,65.0,A,65.0,ROE 30.9% | Potencial +25% | Crecimiento ingresos +33% | Margen 24% | Dividendo 1.3% | Mercado Japan CAPE 29 (26% descuento histórico),3,0,Technology,Japan,🇯🇵,29.4,73845.45,24.8,22,1.1,3.1,1.26,,30.9,46.2,47.4,23.6,33.3,-27.2,Overvaluation Risk | Cyclical Industry Risk,,SUSPECT,High P/E ratios and low FCF yield raise concerns about overvaluation,2026-08-14,0,
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",54.75,HKD,64.0,B,64.0,P/E 5.0x (vs 11x mercado) | Potencial +52% analistas | Dividendo 5.5% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,83.06,51.7,15,,6.46,5.5,,11.3,5.0,6.5,13.9,-3.3,-26.7,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risks in Chinese insurance sector | Geopolitical risks in Hong Kong market | Real estate market exposure,PNGAY,RISKY,Negative revenue growth and potential exposure to Chinese real estate sector pose significant risks,2026-08-14,0,
4568.T,"Daiichi Sankyo Company, Limited",2732.5,JPY,63.0,B,63.0,Potencial +50% analistas | FCF negativo | Crecimiento ingresos +21% | Dividendo 3.6% | Mercado Japan CAPE 29 (26% descuento histórico),2,1,Healthcare,Japan,🇯🇵,29.4,4090.59,49.7,17,-4.2,6.21,3.61,,14.8,19.0,19.5,10.9,21.1,-34.6,Negative FCF Yield | Regulatory Risk in Healthcare Sector,DSNKY,SUSPECT,Negative FCF yield is anomalous for a healthcare company with positive profit margin and revenue growth,2026-08-14,0,
RDOR3.SA,Rede D'Or São Luiz S.A.,34.54,BRL,60.0,B,60.0,ROE 19.2% | Potencial +37% analistas | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Healthcare,Brazil,🇧🇷,9.0,47.19,36.6,14,3.6,4.58,2.21,,19.2,12.8,15.7,8.1,10.6,-28.7,Deuda elevada (D/E >2x) | Deuda elevada | Regulatory risks in healthcare sector | Geopolitical risks in Brazil,RDORY,SUSPECT,High debt-to-equity ratio and relatively low profit margin raise concerns,2026-08-14,0,
4063.T,"Shin-Etsu Chemical Co., Ltd.",6378.0,JPY,60.0,B,60.0,Potencial +23% | Dividendo 1.8% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Basic Materials,Japan,🇯🇵,29.4,7839.41,22.9,17,2.1,2.86,1.81,,11.2,19.3,25.3,18.4,5.4,-19.6,cyclical risk | geopolitical risk,,SUSPECT,"Forward P/E is relatively high compared to the trailing P/E, suggesting potential overvaluation",2026-08-14,0,
105560.KS,KB Financial Group Inc.,168400.0,KRW,58.0,B,58.0,P/E 8.4x | Potencial +27% | Crecimiento ingresos +18% | Margen 37% | Dividendo 2.8%,1,0,Financial Services,Korea,🇰🇷,21.2,213395.0,26.7,20,,3.34,2.75,,10.2,8.4,,36.8,18.5,-13.4,FCF no comparable (sector financiero) | Regulatory Risk | Cyclical Risk,,SUSPECT,Anomalous Forward P/E of 8.4x seems low for a financial services company with high profit margin and revenue growth,2026-08-14,0,
035420.KS,NAVER Corporation,227500.0,KRW,54.0,B,54.0,Potencial +33% analistas | Crecimiento ingresos +16% | Dividendo 1.2%,0,0,Communication Services,Korea,🇰🇷,21.2,303074.06,33.2,27,4.3,4.15,1.22,,5.7,15.3,,14.5,16.3,-25.2,Regulatory Risk | Geopolitical Risk | Cyclical Risk,,SUSPECT,Low ROE and high forward P/E ratio may indicate overvaluation,2026-08-14,0,
7203.T,Toyota Motor Corporation,3020.0,JPY,54.0,B,54.0,P/E 9.3x (vs 16x mercado) | Potencial +20% | FCF negativo | Dividendo 3.4% | Mercado Japan CAPE 29 (26% descuento histórico),2,1,Consumer Cyclical,Japan,🇯🇵,29.4,3626.0,20.1,19,-10.1,2.51,3.35,,12.4,9.3,8.6,8.6,10.4,-24.5,cyclical risk | geopolitical risk,TM,SUSPECT,Negative FCF yield is anomalous for a well-established company like Toyota,2026-08-14,0,
