ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at
INTU,Intuit Inc.,82.0,🏆 ELITE,🟢 Elite,USD,USD,False,True,True,1.0,"FCF declarado (5,232,000,000) se aparta del derivado de flujo operativo menos capex (7,764,000,000)",100.0,100.0,36.0,85.0,70.0,15.0,8.7,False,down,704.2,True,2,123.4,True,2,"{'eps_growth_yoy': 704.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 21.9}","{'revenue_growth_yoy': 123.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 8.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 22.5, 'debt_to_equity': 0.33, 'current_ratio': 1.45, 'operating_margin_pct': 47.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 43.4}",318.39,87091445760,Technology,Software - Application,6.6,2.9,False,794.09,-59.9,0.0,False,456.47,921.0,250.0,33.0,buy,43.4,387.99,21.9,175.48,-44.9,6.01,19.13,1.52,28.3,4.8,0.67,True,-4.69,24.8,10.7,21.0,2026-08-25,False,True,9.0,STRONG,5.83,97.0,1.09,50.2,,,,2026-08-04T06:30:53.466758
AJG,Arthur J. Gallagher & Co.,80.0,🏆 ELITE,🟢 Elite,USD,USD,False,True,True,1.0,,100.0,100.0,44.0,65.0,65.0,35.0,34.0,False,up,124.7,True,1,47.7,True,2,"{'eps_growth_yoy': 124.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.4}","{'revenue_growth_yoy': 47.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 34.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 6.7, 'debt_to_equity': 0.59, 'current_ratio': 1.05, 'operating_margin_pct': 18.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 15.9}",247.79,63667654656,Financial Services,Insurance Brokers,3.1,4.2,False,313.55,-21.0,0.0,False,287.22,388.0,250.0,18.0,buy,15.9,102.22,-58.7,60.4,-75.6,2.8,6.95,1.12,44.8,2.8,1.01,True,-0.49,4.3,-10.7,86.0,2026-10-29,False,False,6.0,NEUTRAL,3.29,77.9,,38.2,,,,2026-08-04T06:32:21.749713
CBOE,"Cboe Global Markets, Inc.",78.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,"FCF declarado (678,249,984) se aparta del derivado de flujo operativo menos capex (1,891,800,000)",100.0,70.0,54.0,100.0,50.0,60.0,56.0,False,down,64.1,True,1,8.5,True,2,"{'eps_growth_yoy': 64.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 26.7}","{'revenue_growth_yoy': 8.5, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 56.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 60}","{'roe_pct': 26.3, 'debt_to_equity': 0.28, 'current_ratio': 1.56, 'operating_margin_pct': 34.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 5.4}",297.83,31169034240,Financial Services,Financial Data & Stock Exchanges,3.0,2.9,False,371.18,-19.8,0.0,False,314.0,380.0,258.0,14.0,hold,5.4,274.84,-7.7,385.2,29.3,2.18,6.48,0.93,22.4,2.88,1.29,True,-0.25,36.0,20.1,87.0,2026-10-30,False,False,8.0,STRONG,5.31,70.3,0.39,35.9,,,,2026-08-04T06:36:09.534419
VEEV,Veeva Systems Inc.,78.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,,100.0,80.0,44.0,85.0,65.0,35.0,26.4,False,up,30.3,True,1,11.9,True,2,"{'eps_growth_yoy': 30.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 28.4}","{'revenue_growth_yoy': 11.9, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 26.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 13.9, 'debt_to_equity': 0.01, 'current_ratio': 4.74, 'operating_margin_pct': 30.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 18.4}",206.25,33503930368,Healthcare,Health Information Services,5.3,3.2,False,310.5,-33.6,0.0,False,244.14,350.0,165.0,28.0,buy,18.4,183.94,-10.8,82.34,-60.1,3.76,7.75,,,,,True,-0.68,,14.6,29.0,2026-09-02,False,False,7.0,NEUTRAL,3.49,14.1,1.41,39.3,,,,2026-08-04T06:31:57.759666
HEI,Heico Corporation,77.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,False,0.3953,"acciones × precio no cuadra con la capitalización (ratio 0.3953): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",100.0,70.0,54.0,90.0,60.0,60.0,63.4,False,up,31.8,True,1,19.9,True,1,"{'eps_growth_yoy': 31.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 16.1}","{'revenue_growth_yoy': 19.9, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 63.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 17.2, 'debt_to_equity': 0.48, 'current_ratio': 2.92, 'operating_margin_pct': 25.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 7.2}",360.44,50367062016,Industrials,Aerospace & Defense,1.5,1.7,False,369.48,-2.4,0.0,False,386.53,472.0,290.0,19.0,buy,7.2,,,,,1.41,12.82,0.07,4.3,0.25,0.1,False,,9.0,48.2,21.0,2026-08-25,False,True,8.0,STRONG,1.92,52.3,1.08,25.6,,,,2026-08-04T06:33:55.004220
POOL,Pool Corporation,77.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,"FCF declarado (212,930,256) se aparta del derivado de flujo operativo menos capex (310,312,016)",100.0,90.0,36.0,80.0,60.0,15.0,5.0,False,flat,48.1,True,2,25.6,True,2,"{'eps_growth_yoy': 48.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 7.4}","{'revenue_growth_yoy': 25.6, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 5.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'flat', 'rs_line_score': 15}","{'roe_pct': 31.3, 'debt_to_equity': 1.35, 'current_ratio': 2.67, 'operating_margin_pct': 15.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 12.7}",195.58,7107523584,Industrials,Industrial Distribution,11.3,3.1,True,336.15,-41.8,0.0,False,220.36,260.0,185.0,11.0,buy,12.7,86.21,-55.9,108.8,-44.4,3.0,5.86,2.8,46.4,5.2,1.26,True,-3.87,16.2,,79.0,2026-10-22,False,False,5.0,NEUTRAL,6.62,34.5,2.22,38.2,,,,2026-08-04T06:37:36.913162
MSFT,Microsoft Corporation,77.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,"FCF declarado (16,363,499,520) se aparta del derivado de flujo operativo menos capex (66,986,994,944)",100.0,70.0,44.0,95.0,65.0,35.0,38.2,False,up,28.9,True,1,15.9,True,1,"{'eps_growth_yoy': 28.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 40.3}","{'revenue_growth_yoy': 15.9, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 38.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 34.0, 'debt_to_equity': 0.29, 'current_ratio': 1.23, 'operating_margin_pct': 45.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 15.5}",487.65,3621067423744,Technology,Software - Infrastructure,1.2,2.0,False,553.72,-11.9,0.0,False,563.05,870.0,400.0,54.0,strong_buy,15.5,93.45,-80.8,538.2,10.4,0.45,2.2,0.78,19.8,3.64,0.79,True,-0.62,55.4,31.7,85.0,2026-10-28,False,False,6.0,NEUTRAL,4.6,44.9,0.66,58.7,,,,2026-08-04T06:30:35.072705
ADP,"Automatic Data Processing, Inc.",76.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,,100.0,80.0,44.0,85.0,50.0,35.0,40.9,False,up,49.3,True,1,15.8,True,2,"{'eps_growth_yoy': 49.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.1}","{'revenue_growth_yoy': 15.8, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 40.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 72.2, 'debt_to_equity': 0.9, 'current_ratio': 1.05, 'operating_margin_pct': 23.1}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 6.3}",269.78,107318484992,Technology,Software - Application,4.0,5.0,False,310.08,-13.0,0.0,False,286.67,322.0,225.0,15.0,hold,6.3,264.46,-2.0,109.5,-59.4,4.97,13.41,2.55,60.7,6.8,2.04,True,-1.67,14.2,4.0,85.0,2026-10-28,False,False,8.0,STRONG,5.31,192.0,2.01,35.9,,,,2026-08-04T06:29:21.482354
CDNS,"Cadence Design Systems, Inc.",76.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,,100.0,70.0,44.0,90.0,65.0,35.0,33.0,False,down,27.8,True,1,18.3,True,1,"{'eps_growth_yoy': 27.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 23.6}","{'revenue_growth_yoy': 18.3, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 33.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 35}","{'roe_pct': 23.2, 'debt_to_equity': 0.39, 'current_ratio': 1.74, 'operating_margin_pct': 28.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 20.1}",336.15,92715548672,Technology,Software - Application,2.3,2.8,False,416.69,-19.3,0.0,False,403.67,470.0,300.0,26.0,strong_buy,20.1,247.5,-26.4,150.9,-55.1,1.74,5.84,,,,,True,-1.1,15.6,125.4,83.0,2026-10-26,False,False,7.0,NEUTRAL,1.75,44.0,0.28,46.6,,,,2026-08-04T06:34:07.905692
RACE,Ferrari N.V.,75.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,EUR,True,True,True,1.0,"FCF declarado (1,152,772,635) se aparta del derivado de flujo operativo menos capex (1,827,822,180)",100.0,70.0,44.0,90.0,60.0,35.0,27.5,False,up,21.2,True,2,9.7,True,2,"{'eps_growth_yoy': 21.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 22.2}","{'revenue_growth_yoy': 9.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 27.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 45.4, 'debt_to_equity': 0.86, 'current_ratio': 2.43, 'operating_margin_pct': 31.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 12.5}",401.28,70535716864,Consumer Cyclical,Auto Manufacturers,2.9,6.7,False,504.49,-20.5,0.0,False,451.59,529.47,397.37,14.0,strong_buy,12.5,129.82,-67.6,107.36,-73.2,1.63,6.56,1.07,39.0,4.23,0.68,True,-1.13,63.9,10.1,91.0,2026-11-03,False,False,9.0,STRONG,2.91,46.9,3.13,33.2,,,,2026-08-04T06:33:21.793732
