ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,upside_triangulated_pct,upside_divergence_pts,upside_divergence,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,why_cheap,why_cheap_resumen,why_cheap_fuentes,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason
MSFT,0.0,,,,45.8,Microsoft Corporation,77.0,Technology,Software - Infrastructure,100.0,70.0,44.0,95.0,65.0,487.65,3621067423744.0,35.0,38.2,False,up,28.9,True,1.0,15.9,True,1.0,1.2,2.0,False,553.72,-11.9,0.0,False,"{'roe_pct': 34.0, 'debt_to_equity': 0.29, 'current_ratio': 1.23, 'operating_margin_pct': 45.1}","{'eps_growth_yoy': 28.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 40.3}",563.05,870.0,400.0,54.0,strong_buy,15.5,93.45,-80.8,538.2,10.4,0.45,2.2,0.78,19.8,0.79,True,-0.62,55.4,31.7,85.0,2026-10-28,False,False,6.0,NEUTRAL,4.6,44.9,0.66,BULLISH,0.05,70.0,5.0,1.0,13.0,0.0,13.7,23.1,2026-08-04 06:40:34,2026-08-04,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 55% up volume)",MEGA_FLOAT,7414.5,43.0,36.8,35.0,False,up,38.2,2.0,True,1.0,True,1.0,5.0,6.0,29.0,82.8,Top 25%,49.0,3.0,0.0,3.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,99.59,0.0,0.0,0.0,3.0,5.0,1.13,0.34,1.0,0.0,1.5,10.4,50.7,ALTA,1.94,2.0,2.0,60.0,1,Pershing Square (Ackman),3,MIXED/BUY (+3),CONFIRM,19.0,1,0.4579,MEDIA,9.2,⭐⭐⭐ EXCELLENT,🔥 Legendary,HOLD,65.0,Close to ATH (-11.9% from high) - wait for pullback | Strong upside (+15.5%) - analyst support,-11.9,NEUTRAL,STRONG_BUY,False,SENTIMIENTO,"Entre enero y julio de 2026 MSFT cayó por el temor del mercado al fuerte aumento del capex en IA (hasta 41.000M$/trimestre, +69-70% interanual) y su presión sobre el free cash flow futuro. Los fundamentales del negocio siguen intactos: Azure creció 40-43% y la empresa batió estimaciones de ingresos ",https://www.cnn.com/markets/stocks/MSFT | https://simplywall.st/stocks/us/software/nasdaq-msft/microsoft/future | https://finance.yahoo.com/quote/MSFT/analysis/ | https://simplywall.st/stocks/us/software/nasdaq-msft/microsoft,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
SAP,0.0,,,,50.0,SAP  SE,64.7,Technology,Software - Application,75.0,60.0,36.0,90.0,65.0,189.65,218894843904.0,15.0,17.8,False,flat,8.8,False,0.0,8.8,True,1.0,0.8,4.0,False,299.48,-36.7,0.0,False,"{'roe_pct': 18.3, 'debt_to_equity': 0.22, 'current_ratio': 1.15, 'operating_margin_pct': 27.6}","{'eps_growth_yoy': 8.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.4}",242.92,319.0,177.0,12.0,buy,28.1,384.5,102.7,229.8,21.2,4.78,9.07,1.6,37.5,1.48,True,-1.33,20.7,30.6,78.0,2026-10-21,False,False,8.0,STRONG,0.35,146.7,0.65,,,,,,0.0,0.0,,19.4,2026-08-04 06:40:34,2026-08-04,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 45% up volume)",MEGA_FLOAT,14500.7,45.0,27.7,15.0,False,flat,17.8,0.0,False,0.0,True,1.0,2.0,24.0,29.0,20.7,Bottom 25%,22.0,-3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,83.08000000000001,0.0,3.0,3.0,3.0,5.0,-0.92,-2.42,0.0,3.0,0.0,28.1,-33.8,,3.51,0.0,10.0,80.0,0,,8,RELIABLE/BUY (+8),WATCH,4.0,0,,,0.0,⭐⭐ STRONG,🟢 Elite,,,,,,,,SIN_DATOS,,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
MCO,0.0,,,,33.1,Moody's Corporation,67.5,Financial Services,Financial Data & Stock Exchanges,100.0,50.0,44.0,65.0,65.0,483.36,83708764160.0,35.0,25.0,False,up,35.9,True,2.0,8.9,False,0.0,2.1,3.1,False,546.88,-11.6,0.0,False,"{'roe_pct': 76.9, 'debt_to_equity': 2.41, 'current_ratio': 1.19, 'operating_margin_pct': 49.5}","{'eps_growth_yoy': 35.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 34.3}",558.81,610.0,500.0,21.0,buy,15.6,631.57,30.7,472.2,-2.3,3.08,14.89,0.86,25.0,0.81,False,,14.5,56.7,78.0,2026-10-21,False,False,7.0,NEUTRAL,3.79,,0.45,,,,,,5.0,0.0,9.9,20.2,2026-08-04 06:40:34,2026-08-04,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",HIGH_FLOAT,158.5,40.0,30.2,35.0,False,up,25.0,2.0,True,2.0,False,0.0,5.0,15.0,29.0,51.7,Medio,34.0,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,59.655,0.0,3.0,0.0,0.0,5.0,0.47,4.16,3.0,0.0,0.0,15.6,1.4,,1.95,2.0,5.0,,1,Berkshire Hathaway (Buffett),-8,RELIABLE/AVOID (-8),CONFIRM,10.0,46,0.3312,BAJA,8.25,⭐ GOOD,🟢 Excellent,,,,,,,,SENTIMIENTO,"Moody's reportó ingresos y beneficios récord en Q3 2025 con guía elevada; la caída posterior (feb-mar 2026) responde a debilidad sectorial tras la guía decepcionante de S&P Global, volatilidad de mercado, ventas de ejecutivos y recortes de precio objetivo, no a deterioro del negocio.",https://www.trefis.com/data/companies/MCO | https://www.tradingkey.com/news/stocks/261661195-market-movers-mco-20260309 | https://www.morpher.com/insights/market/stock/MCO | https://www.quiverquant.com/news/Why+Moody%27s+%28MCO%29+Stock+Is+Down+Today,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
MA,0.0,,,,45.7,Mastercard Incorporated,68.5,Financial Services,Credit Services,95.0,60.0,44.0,65.0,65.0,570.97,500175372288.0,35.0,45.6,False,up,11.7,True,1.0,7.8,True,1.0,1.0,2.3,False,601.77,-5.1,0.0,False,"{'roe_pct': 241.2, 'debt_to_equity': 4.4, 'current_ratio': 1.06, 'operating_margin_pct': 61.1}","{'eps_growth_yoy': 11.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 46.3}",660.34,735.0,550.0,38.0,strong_buy,15.7,618.54,8.3,401.56,-29.7,3.39,19.51,0.61,17.9,0.54,True,-3.16,28.0,22.1,86.0,2026-10-29,False,False,9.0,STRONG,3.76,622.8,1.12,,,,,,5.0,0.0,13.7,20.6,2026-08-04 06:40:34,2026-08-04,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 57% up volume)",MEGA_FLOAT,868.2,43.0,34.3,35.0,False,up,45.6,2.0,True,1.0,True,1.0,5.0,11.0,29.0,65.5,Medio,39.9,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,56.185,0.0,3.0,0.0,3.0,5.0,2.53,2.6,2.0,0.0,1.5,8.3,26.4,MEDIA,1.96,2.0,10.0,32.0,0,,-8,RELIABLE/AVOID (-8),CAUTION,5.0,43,0.4567,MEDIA,8.350000000000001,⭐ GOOD,🟡 Good,,,,,,,,,,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
KO,0.0,,,,31.9,Coca-Cola Company (The),73.4,Consumer Defensive,Beverages - Non-Alcoholic,85.0,70.0,62.0,80.0,60.0,86.86,373719400448.0,80.0,80.6,False,up,19.7,False,0.0,7.4,True,2.0,1.1,2.4,False,90.92,-4.5,1.0,False,"{'roe_pct': 42.1, 'debt_to_equity': 1.16, 'current_ratio': 1.3, 'operating_margin_pct': 34.9}","{'eps_growth_yoy': 19.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 28.6}",94.7,104.0,75.0,23.0,buy,9.0,31.5,-63.7,56.28,-35.2,1.4,1.21,2.42,62.5,2.87,True,-0.25,12.0,16.9,77.0,2026-10-20,False,False,7.0,NEUTRAL,4.37,91.1,1.46,,,,,,10.0,0.0,9.6,22.0,2026-08-04 06:40:34,2026-08-04,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",MEGA_FLOAT,3874.0,43.0,31.6,80.0,False,up,80.6,5.0,False,0.0,True,2.0,2.0,7.0,29.0,79.3,Top 25%,45.8,3.0,0.0,5.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,66.955,0.0,0.0,3.0,3.0,5.0,7.24,10.14,2.0,0.0,3.0,-35.2,58.4,ALTA,1.12,0.0,5.0,45.0,1,Berkshire Hathaway (Buffett),8,RELIABLE/BUY (+8),CONFIRM,3.0,46,0.3187,BAJA,14.84,🔵 DECENT,🟡 Good,AVOID,35.0,Near ATH (-4.5% from high) - poor entry point,-4.5,NEUTRAL,BUY,False,,,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
NDAQ,0.0,,,,42.6,"Nasdaq, Inc.",72.0,Financial Services,Financial Data & Stock Exchanges,85.0,80.0,44.0,75.0,65.0,94.14,52622127104.0,35.0,45.1,False,up,19.9,False,0.0,29.3,True,1.0,2.4,1.7,False,101.79,-7.5,0.0,False,"{'roe_pct': 16.5, 'debt_to_equity': 0.78, 'current_ratio': 1.01, 'operating_margin_pct': 49.3}","{'eps_growth_yoy': 19.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 35.0}",110.07,135.0,84.0,15.0,buy,16.9,70.38,-25.2,48.36,-48.6,3.21,3.03,1.23,32.7,1.28,True,-2.48,8.3,14.1,79.0,2026-10-22,False,False,9.0,STRONG,4.07,205.3,1.43,,,,,,2.0,0.0,12.8,21.6,2026-08-04 06:40:34,2026-08-04,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",MEGA_FLOAT,496.5,43.0,34.4,35.0,False,up,45.1,2.0,False,0.0,True,1.0,2.0,15.0,29.0,51.7,Medio,34.0,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,66.43,0.0,3.0,0.0,3.0,3.0,0.0,3.71,1.0,0.0,0.0,-25.2,53.8,ALTA,2.11,2.0,10.0,26.0,0,,8,RELIABLE/BUY (+8),WATCH,0.0,46,0.4258,BAJA,8.7,🔵 DECENT,🟡 Good,,,,,,,,,,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
ADP,0.0,,,,21.0,"Automatic Data Processing, Inc.",76.5,Technology,Software - Application,100.0,80.0,44.0,85.0,50.0,269.78,107318484992.0,35.0,40.9,False,up,49.3,True,1.0,15.8,True,2.0,4.0,5.0,False,310.08,-13.0,0.0,False,"{'roe_pct': 72.2, 'debt_to_equity': 0.9, 'current_ratio': 1.05, 'operating_margin_pct': 23.1}","{'eps_growth_yoy': 49.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.1}",286.67,322.0,225.0,15.0,hold,6.3,264.46,-2.0,109.5,-59.4,4.97,13.41,2.55,60.7,2.04,True,-1.67,14.2,4.0,85.0,2026-10-28,False,False,8.0,STRONG,5.31,192.0,2.01,,,,,,2.0,0.0,6.3,22.9,2026-08-04 06:40:34,2026-08-04,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (1.0x ratio, 47% up volume)",MEGA_FLOAT,396.9,45.0,29.2,35.0,False,up,40.9,2.0,True,1.0,True,2.0,5.0,24.0,29.0,20.7,Bottom 25%,22.0,-3.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,59.650000000000006,0.0,3.0,3.0,3.0,1.0,11.31,16.0,2.0,0.0,3.0,-2.0,37.0,MEDIA,0.79,-3.0,10.0,13.0,0,,2,RELIABLE/WATCH (+2),CAUTION,5.0,46,0.2097,BAJA,9.15,🔵 DECENT,🟡 Good,,,,,,,,SIN_DATOS,,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
SPGI,0.0,,,,43.7,S&P Global Inc.,58.5,Financial Services,Financial Data & Stock Exchanges,75.0,50.0,36.0,65.0,65.0,416.25,122710499328.0,15.0,12.4,False,up,3.5,False,0.0,6.6,False,0.0,1.7,2.0,False,547.82404,-24.0,0.0,False,"{'roe_pct': 14.3, 'debt_to_equity': 0.43, 'current_ratio': 0.95, 'operating_margin_pct': 44.8}","{'eps_growth_yoy': 3.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 30.5}",518.63,553.0,444.0,19.0,strong_buy,24.6,495.13,19.0,290.99,-30.1,4.44,18.48,0.94,23.5,0.82,True,-4.24,22.7,17.7,86.0,2026-10-29,False,False,7.0,NEUTRAL,4.67,942.7,1.16,,,,,,0.0,0.0,13.1,17.6,2026-08-04 06:40:34,2026-08-04,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",MEGA_FLOAT,294.1,43.0,30.7,15.0,False,up,12.4,2.0,False,0.0,False,0.0,0.0,15.0,29.0,51.7,Medio,34.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,52.33500000000001,0.0,3.0,0.0,3.0,5.0,-0.02,12.1,0.0,0.0,0.0,19.0,30.2,MEDIA,3.08,0.0,5.0,11.0,0,,-5,MIXED/AVOID (-5),REVISION_UP,11.0,46,0.4372,BAJA,0.0,🔵 DECENT,🟡 Good,,,,,,,,,,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
CNI,0.0,,,,25.1,Canadian National Railway Compa,70.4,Industrials,Railroads,85.0,70.0,62.0,60.0,60.0,125.81,76102467584.0,80.0,82.0,False,up,9.7,True,1.0,14.1,True,1.0,,2.0,False,131.55,-4.4,1.0,False,"{'roe_pct': 22.0, 'debt_to_equity': 1.04, 'current_ratio': 0.87, 'operating_margin_pct': 40.3}","{'eps_growth_yoy': 9.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 26.9}",138.48,151.26,113.2,13.0,buy,10.1,70.74,-43.8,56.61,-55.0,2.83,3.56,2.04,46.3,2.04,True,-3.95,7.8,7.1,87.0,2026-10-30,False,False,7.0,NEUTRAL,7.29,14.5,1.92,,,,,,15.0,0.0,7.5,21.1,2026-08-04 06:40:34,2026-08-04,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,STRONG_ACCUMULATION,75,"Strong institutional buying (2.0x ratio, 65% up volume)",MEGA_FLOAT,603.2,43.0,28.7,80.0,False,up,82.0,5.0,True,1.0,True,1.0,5.0,2.0,29.0,96.6,Top 10%,71.0,5.0,0.0,5.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,60.215,0.0,0.0,3.0,3.0,3.0,1.21,16.39,6.0,0.0,1.5,-43.8,59.5,ALTA,1.26,2.0,5.0,59.0,0,,3,MIXED/BUY (+3),REVISION_UP,11.0,46,0.2505,BAJA,14.54,🔵 DECENT,🟡 Good,AVOID,35.0,Near ATH (-4.4% from high) - poor entry point,-4.4,NEUTRAL,BUY,False,,,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
AXP,0.0,,,,39.0,American Express Company,63.5,Financial Services,Credit Services,70.0,60.0,44.0,85.0,60.0,344.72,232792801280.0,35.0,31.6,False,up,7.2,False,0.0,6.6,True,1.0,2.2,3.4,False,387.49,-11.0,0.0,False,"{'roe_pct': 34.4, 'debt_to_equity': 1.72, 'current_ratio': 1.55, 'operating_margin_pct': 20.3}","{'eps_growth_yoy': 7.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 16.1}",374.54,450.0,315.0,25.0,buy,8.7,486.59,41.2,181.28,-47.4,6.87,23.7,1.13,21.5,1.1,True,-3.21,,7.7,80.0,2026-10-23,False,False,4.0,NEUTRAL,,,1.56,,,,,,2.0,0.0,11.7,19.1,2026-08-04 06:40:34,2026-08-04,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",MEGA_FLOAT,522.2,43.0,30.8,35.0,False,up,31.6,2.0,False,0.0,True,1.0,2.0,11.0,29.0,65.5,Medio,39.9,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,47.35,0.0,6.0,0.0,3.0,3.0,0.1,2.17,0.0,0.0,0.0,8.7,11.8,,1.09,0.0,0.0,,1,Berkshire Hathaway (Buffett),-8,RELIABLE/AVOID (-8),CONFIRM,13.0,46,0.39,BAJA,7.85,🔵 DECENT,🟡 Good,,,,,,,,,,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
