ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,pct_from_52w_low,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date,oe_ai_adjustment,oe_ai_verdict
2020.HK,ANTA Sports Products Limited,71.55,HKD,85.0,A,85.0,ROE 22.5% | Potencial +44% analistas | FCF yield 8.1% | Dividendo 3.0% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,102.68,43.5,30,8.1,5.44,2.97,,22.5,11.0,12.8,16.9,12.4,-32.7,7.0,,,,,2026-08-25,0,
005930.KS,"Samsung Electronics Co., Ltd.",255000.0,KRW,83.0,A,83.0,ROE 30.8% | P/E 3.7x (vs 11x mercado) | Potencial +84% analistas | Crecimiento ingresos +130% | Margen 31%,2,0,Technology,Korea,🇰🇷,21.2,470155.62,84.4,36,4.2,10.55,,,30.8,3.7,,30.8,130.0,-31.9,277.8,,SSNLF,,,2026-08-25,0,
9999.HK,"NetEase, Inc.",198.2,HKD,81.0,A,81.0,ROE 20.4% | Potencial +26% | FCF yield 6.0% | Margen 28% | Dividendo 1.5% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,249.3,25.8,20,6.0,3.22,1.54,,20.4,12.0,16.9,27.9,7.9,-20.1,17.4,,NTES,,,2026-08-25,0,
ITUB4.SA,Itaú Unibanco Holding S.A.,38.73,BRL,78.0,A,78.0,ROE 21.5% | P/E 7.6x | Potencial +24% | Crecimiento ingresos +18% | Margen 33% | Dividendo 2.3% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,48.15,24.3,13,,3.04,2.31,,21.5,7.6,9.2,32.6,17.5,-22.0,,FCF no comparable (sector financiero),ITUB,,,2026-08-25,0,
0700.HK,Tencent Holdings Limited,439.6,HKD,77.0,A,77.0,ROE 19.9% | Potencial +51% analistas | Margen 30% | Dividendo 1.2% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,664.48,51.2,42,3.8,6.39,1.2,,19.9,12.1,14.8,29.9,11.0,-35.6,7.0,,TCEHY,,,2026-08-25,0,
TOTS3.SA,TOTVS S.A.,31.92,BRL,74.0,A,74.0,ROE 17.0% | Potencial +52% analistas | Crecimiento ingresos +36% | Margen 22% | Dividendo 2.6% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Technology,Brazil,🇧🇷,9.0,48.38,51.6,13,3.8,6.45,2.58,,17.0,15.1,21.1,21.6,36.1,-34.0,,,,,,2026-08-25,0,
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",56.35,HKD,73.0,A,73.0,P/E 5.1x (vs 11x mercado) | Potencial +45% analistas | Dividendo 5.6% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,81.67,44.9,15,,5.62,5.57,,13.1,5.1,5.8,16.2,8.6,-24.6,12.7,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino,PNGAY,,,2026-08-25,0,
8035.T,Tokyo Electron Limited,55370.0,JPY,72.0,A,72.0,ROE 30.9% | Potencial +34% analistas | Crecimiento ingresos +33% | Margen 24% | Dividendo 1.4% | Mercado Japan CAPE 29 (26% descuento histórico),3,0,Technology,Japan,🇯🇵,29.4,74209.09,34.0,22,1.2,4.25,1.36,,30.9,43.3,44.2,23.6,33.3,-31.9,178.7,,,,,2026-08-25,0,
2382.HK,Sunny Optical Technology (Group) Company Limited,60.4,HKD,71.0,A,71.0,ROE 17.5% | Potencial +42% analistas | FCF negativo | Crecimiento ingresos +21% | Dividendo 2.0% | Mercado HongKong CAPE 11 (33% descuento histórico),3,1,Technology,HongKong,🇭🇰,10.7,85.54,41.6,21,-1.3,5.2,2.0,,17.5,11.8,12.2,10.7,21.3,-33.9,17.3,,,,,2026-08-25,0,
1299.HK,AIA Group Limited,73.95,HKD,70.0,A,70.0,ROE 19.6% | P/E 10.9x | Potencial +38% analistas | Margen 31% | Dividendo 2.6% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,102.28,38.3,17,,4.79,2.65,,19.6,10.9,12.4,30.9,-2.5,-19.8,7.3,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino,,,,2026-08-25,0,
