ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,upside_triangulated_pct,upside_divergence_pts,upside_divergence,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,why_cheap,why_cheap_resumen,why_cheap_fuentes,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason
BR,0.0,,,,53.0,"Broadridge Financial Solutions, Inc.",78.6,Technology,Information Technology Services,100.0,80.0,50.3,80.0,65.0,183.985,20978300928.0,35.0,26.3,False,up,140.7,True,1.0,39.7,False,0.0,3.3,2.9,False,258.7,-28.9,3.0,False,"{'roe_pct': 40.9, 'debt_to_equity': 1.24, 'current_ratio': 1.24, 'operating_margin_pct': 24.6}","{'eps_growth_yoy': 140.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.0}",213.25,250.0,176.0,8.0,buy,15.9,193.4,5.1,96.1,-47.8,5.69,10.48,2.4,40.6,1.68,True,-2.88,13.9,5.9,67.0,2026-11-03,False,False,8.0,STRONG,6.54,211.6,1.89,NEUTRAL,0.74,60.0,1.0,1.0,23.5,0.0,15.9,23.6,2026-08-27 15:13:46,2026-08-27,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,STRONG_ACCUMULATION,75,"Strong institutional buying (1.9x ratio, 64% up volume)",HIGH_FLOAT,113.5,20.0,39.5,35.0,False,up,26.3,2.0,True,1.0,False,0.0,2.0,18.0,29.0,41.4,Bajo 50%,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,82.89,5.0,0.0,6.0,3.0,3.0,3.0,0.0,3.27,2.0,0.0,0.0,5.1,37.2,MEDIA,1.99,2.0,10.0,5.0,0,,0,MIXED/INSUFFICIENT (0),BEST,8.0,27,0.5298,MEDIA,7.859999999999999,⭐⭐⭐ EXCELLENT,🟢 Elite,,,,,,,,SIN_DATOS,"BR ha superado estimados de ingresos y EPS en trimestres recientes (Q3 FY2026 incluido), pero cayó por compresión de márgenes operativos ajustados, ventas cerradas más débiles, recortes de precio objetivo y venta interna que deterioraron el sentimiento entre 2025-2026.",https://www.sec.gov/Archives/edgar/data/1383312/000138331225000004/ex991earningsrelease2q2025.htm | https://www.sec.gov/Archives/edgar/data/1383312/000138331225000024/ex991earningsrelease4q2025.htm | https://pitchbook.com/profiles/company/42085-99 | https://www.investing.com/news/company-news/broadridge-financial-solutions-stock-hits-52week-low-at-13975-usd-93CH-4748139,False,1,0.905,False,-27.47,37.55,-12.58,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
AXP,0.0,,,,55.7,American Express Company,62.5,Financial Services,Credit Services,70.0,60.0,38.7,85.0,60.0,332.7212,224689881088.0,15.0,20.4,False,down,7.2,False,0.0,6.6,True,1.0,2.1,3.9,False,387.49,-14.1,2.0,False,"{'roe_pct': 34.4, 'debt_to_equity': 1.72, 'current_ratio': 1.55, 'operating_margin_pct': 20.3}","{'eps_growth_yoy': 7.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 16.1}",375.96,450.0,315.0,25.0,buy,13.0,486.59,46.2,181.17,-45.5,7.12,23.7,1.13,21.5,1.1,True,-3.32,,7.7,56.0,2026-10-23,False,False,4.0,NEUTRAL,,,1.5,,,,,,10.5,0.0,16.7,18.8,2026-08-27 15:13:46,2026-08-27,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 47% up volume)",MEGA_FLOAT,522.2,25.0,35.5,15.0,False,down,20.4,0.0,False,0.0,True,1.0,2.0,13.0,29.0,58.6,Medio,35.4,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,68.785,0.0,0.0,6.0,0.0,3.0,3.0,0.02,0.47,0.0,0.0,0.0,13.0,12.6,,1.62,2.0,0.0,,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),CONFIRM,13.0,45,0.5567,ALTA,7.75,⭐ GOOD,🟢 Excellent,,,,,,,,SENTIMIENTO,"Amex ha reportado beats de EPS y guidance sostenida (8-10% ingresos, EPS $15-15.50) con métricas de crédito estables/mejorando en 2025, pero las acciones han caído por decepción en expectativas de ingresos/guidance y valoraciones ya exigentes, no por deterioro del negocio.",https://www.fool.com/earnings/call-transcripts/2026/04/22/american-express-axp-q1-2025-earnings-transcript/ | https://finance.yahoo.com/markets/stocks/articles/american-express-shares-slip-despite-124057960.html | https://www.benzinga.com/money/american-express-co-axp-stock-price-prediction | https://simplywall.st/stocks/us/diversified-financials/nyse-axp/american-express,False,1,0.731,False,-12.97,15.64,-3.91,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
EXPN.L,0.0,,,,39.0,Experian plc,57.4,Industrials,Consulting Services,55.0,50.0,60.5,65.0,65.0,3036.0,26834368512.0,,,,,,,0.0,,,0.0,,,False,3987.0,-23.9,4.0,False,"{'roe_pct': 28.3, 'debt_to_equity': 1.0, 'current_ratio': 0.85, 'operating_margin_pct': 25.0}",{'profit_margin_pct': 17.8},3693.14,4651.97,2458.05,18.0,strong_buy,21.6,,,,,2.5,0.76,1.75,39.8,1.4,,,,23.1,82.0,2026-11-18,False,False,9.0,STRONG,6.81,646.3,0.78,,,,,,5.899999999999999,0.0,11.7,17.2,2026-08-27 15:13:46,2026-08-27,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.4x ratio, 54% up volume)",MEGA_FLOAT,896.8,23.0,28.9,,,,,0.0,,0.0,,0.0,0.0,11.0,29.0,65.5,Medio,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,67.41,5.0,0.0,0.0,3.0,0.0,5.0,0.68,-1.67,0.0,1.0,0.0,,,,2.7,2.0,10.0,3.0,0,,0,MIXED/INSUFFICIENT (0),WATCH,0.0,28,0.3897,BAJA,5.739999999999999,⭐ GOOD,🟢 Excellent,,,,,,,,SENTIMIENTO,"Experian cayó pese a resultados anuales récord (beneficio +26%, ingresos +12%) y un nuevo buyback de $1.000M, castigada por una guía de crecimiento orgánico FY26 del 6-8% ligeramente por debajo del consenso del mercado (8%), en una reacción de tipo 'sell the news'.",https://www.proactiveinvestors.co.uk/companies/news/1092591/experian-slips-to-foot-of-the-ftse-despite-record-results-and-new-share-buyback-1092591.html | https://www.experianplc.com/investors/shareholders/share-price | https://www.experianplc.com/investors/shareholders/share-price/historical-lookup | https://www.google.com/finance/beta/quote/EXPN:LON,False,2,0.972,False,-23.61,38.24,5.49,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
CVX,0.0,,,,16.2,Chevron Corporation,83.1,Energy,Oil & Gas Integrated,100.0,100.0,46.7,85.0,60.0,198.005,388407263232.0,35.0,38.7,False,up,241.1,True,2.0,39.5,True,2.0,0.8,2.0,False,214.71,-7.8,7.0,True,"{'roe_pct': 12.2, 'debt_to_equity': 0.19, 'current_ratio': 1.25, 'operating_margin_pct': 21.9}","{'eps_growth_yoy': 241.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 9.8}",218.29,241.0,175.0,24.0,buy,10.2,474.19,139.5,311.7,57.4,5.65,11.18,3.56,67.2,3.99,True,-2.87,22.5,321.9,63.0,2026-10-30,False,False,5.0,NEUTRAL,4.91,9.3,0.05,,,,,,46.8,0.0,4.9,24.9,2026-08-27 15:13:46,2026-08-27,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",MEGA_FLOAT,1868.5,3.0,29.8,35.0,False,up,38.7,2.0,True,2.0,True,2.0,8.0,,29.0,,Sin datos suficientes,38.7,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,False,3/3,67.05,8.0,0.0,6.0,5.0,3.0,5.0,0.67,1.91,0.0,0.0,0.0,57.4,-88.2,,1.27,2.0,0.0,94.0,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),,0.0,20,0.1619,BAJA,27.81,⭐ GOOD,🟢 Excellent,HOLD,55.0,Close to ATH (-7.7% from high) - wait for pullback,-7.7,NEUTRAL,BUY,False,,,,True,3,0.863,False,-5.87,39.31,-4.63,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado
OXY,0.0,,,,53.9,Occidental Petroleum Corporation,74.8,Energy,Oil & Gas E&P,100.0,70.0,46.7,80.0,60.0,58.42,58398814208.0,35.0,39.3,False,up,259.2,True,2.0,21.8,False,0.0,0.0,0.0,False,67.45,-13.4,7.0,True,"{'roe_pct': 10.6, 'debt_to_equity': 0.35, 'current_ratio': 1.41, 'operating_margin_pct': 45.4}","{'eps_growth_yoy': 259.2, 'positive_quarters': 3, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 30.3}",66.83,79.0,55.0,23.0,buy,14.4,160.71,175.1,101.7,74.1,6.49,3.79,1.91,29.5,1.14,True,-0.2,6.2,675.4,74.0,2026-11-09,False,False,4.0,NEUTRAL,5.3,6.4,0.02,,,,,,52.6,0.0,16.2,22.4,2026-08-27 15:13:46,2026-08-27,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",MEGA_FLOAT,995.6,3.0,38.6,35.0,False,up,39.3,2.0,True,2.0,False,0.0,5.0,,29.0,,Sin datos suficientes,39.3,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,False,3/3,65.61500000000001,8.0,0.0,6.0,3.0,3.0,5.0,0.79,3.99,1.0,0.0,0.0,74.1,-110.2,,1.8,2.0,0.0,92.0,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),,0.0,35,0.5391,MEDIA,26.98,⭐ GOOD,🟢 Excellent,HOLD,55.0,Close to ATH (-13.3% from high) - wait for pullback,-13.3,NEUTRAL,BUY,False,CICLICO,"Occidental presentó resultados sólidos en el 3T2025 con producción récord en Permian, generación de caja fuerte y reducción de deuda, pero la acción cae por la debilidad del precio del petróleo y NGLs, factores macro del ciclo energético, no del negocio en sí. La venta de OxyChem a Berkshire Hathawa",https://finance.yahoo.com/news/occidental-petroleum-corp-oxy-q3-010419064.html | https://www.oxy.com/siteassets/documents/investors/quarterly-earnings/oxy3q25transcript.pdf | https://www.oxy.com/news/news-releases/occidental-announces-3rd-quarter-2025-results/ | https://ca.investing.com/news/company-news/occidental-petroleum-corp-oxy-q3-2025-earnings-call-highlights-record-permian-production-and--,True,3,0.793,False,-12.62,52.62,-1.28,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado
SYK,0.0,,,,51.9,Stryker Corporation,68.8,Healthcare,Medical Devices,100.0,60.0,26.7,80.0,65.0,326.65,125294133248.0,15.0,18.4,False,up,48.5,True,1.0,8.8,True,1.0,1.9,2.9,False,396.86,-17.7,1.0,False,"{'roe_pct': 16.5, 'debt_to_equity': 0.64, 'current_ratio': 2.16, 'operating_margin_pct': 27.0}","{'eps_growth_yoy': 48.5, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 14.4}",382.72,465.0,315.0,25.0,buy,17.2,454.14,39.0,289.8,-11.3,3.28,10.71,1.07,36.1,0.99,False,,20.0,44.1,63.0,2026-10-29,False,False,5.0,NEUTRAL,3.7,47.3,0.44,BULLISH,0.0,80.0,3.0,0.0,20.200000000000003,0.0,15.6,20.6,2026-08-27 15:13:46,2026-08-27,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 52% up volume)",MEGA_FLOAT,348.1,23.0,36.2,15.0,False,up,18.4,2.0,True,1.0,True,1.0,5.0,21.0,29.0,31.0,Bajo 50%,27.8,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,62.115,8.0,0.0,3.0,0.0,0.0,5.0,-0.04,-0.98,0.0,0.0,0.0,17.2,3.4,,2.15,2.0,0.0,87.0,0,,0,MIXED/INSUFFICIENT (0),,0.0,45,0.5186,MEDIA,0.0,⭐ GOOD,🟡 Good,,,,,,,,EVENTO,"La acción cayó tras un ciberataque disruptivo (wiper) atribuido a un grupo iraní que afectó producción, envíos y procesamiento de pedidos, sumado a una corrección de valoración pese a resultados sólidos (crecimiento orgánico de doble dígito, guidance elevado varias veces en 2025). Los fundamentales ",https://www.bamsec.com/companies/310764/stryker-corporation/transcripts | https://quartr.com/companies/stryker-corporation_4857 | https://www.tipranks.com/stocks/syk/earnings-calendar | https://it.tradingview.com/news/tradingview%3A681cbbb6a1dbf%3A0-stryker-corporation-reports-strong-q2-2025-results,False,1,0.885,False,-16.43,17.15,-27.65,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
MA,0.0,,,,50.0,Mastercard Incorporated,70.0,Financial Services,Credit Services,95.0,60.0,53.9,65.0,60.0,591.82,518440189952.0,35.0,47.0,False,up,11.7,True,1.0,7.8,True,1.0,0.8,2.4,False,601.62,-1.6,5.0,False,"{'roe_pct': 241.2, 'debt_to_equity': 4.4, 'current_ratio': 1.06, 'operating_margin_pct': 61.1}","{'eps_growth_yoy': 11.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 46.3}",669.46,740.0,550.0,37.0,strong_buy,13.1,618.54,4.5,402.0,-32.1,3.27,19.51,0.58,17.9,0.54,True,-3.05,28.0,22.1,62.0,2026-10-29,False,False,9.0,STRONG,3.59,622.8,1.16,BULLISH,0.0,60.0,4.0,0.0,27.0,0.0,,21.0,2026-08-27 15:13:46,2026-08-27,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",MEGA_FLOAT,868.3,23.0,30.0,35.0,False,up,47.0,2.0,True,1.0,True,1.0,5.0,13.0,29.0,58.6,Medio,35.4,0.0,0.0,5.0,3.0,5.0,0.0,0.0,0.0,False,2/3,61.0,0.0,0.0,3.0,0.0,3.0,5.0,0.32,3.94,0.0,0.0,0.0,4.5,26.9,MEDIA,1.64,2.0,10.0,38.0,0,,0,MIXED/INSUFFICIENT (0),CAUTION,-8.0,45,,,26.5,⭐ GOOD,🟡 Good,,,,,,,,,,,False,2,0.873,False,-1.36,27.89,2.21,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback
MCO,0.0,,,,29.5,Moody's Corporation,68.3,Financial Services,Financial Data & Stock Exchanges,100.0,50.0,50.3,65.0,60.0,515.3,89240166400.0,35.0,42.7,False,up,35.9,True,2.0,8.9,False,0.0,1.7,3.0,False,546.88,-5.8,5.0,False,"{'roe_pct': 76.9, 'debt_to_equity': 2.41, 'current_ratio': 1.19, 'operating_margin_pct': 49.5}","{'eps_growth_yoy': 35.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 34.3}",560.48,610.0,505.0,21.0,buy,8.8,631.57,22.6,472.5,-8.3,2.89,14.89,0.8,25.0,0.81,False,,14.5,56.7,54.0,2026-10-21,False,False,8.0,STRONG,3.58,106.3,0.48,,,,,,25.3,0.0,8.8,20.5,2026-08-27 15:13:46,2026-08-27,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",HIGH_FLOAT,158.5,20.0,29.3,35.0,False,up,42.7,2.0,True,2.0,False,0.0,5.0,6.0,29.0,82.8,Top 25%,44.5,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,False,2/3,60.79499999999999,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.77,0.0,0.0,0.0,8.8,1.7,,1.1,0.0,10.0,67.0,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),CONFIRM,8.0,45,0.2954,BAJA,20.33,⭐ GOOD,🟡 Good,,,,,,,,,,,False,2,0.864,False,-5.23,28.83,-4.33,uptrend,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
FICO,0.0,,,,21.3,Fair Isaac Corporation,71.0,Technology,Software - Application,100.0,80.0,24.0,65.0,65.0,1172.285,25318586368.0,15.0,12.0,False,flat,53.0,False,0.0,30.7,False,0.0,10.0,4.9,True,1998.01,-41.3,2.0,False,"{'current_ratio': 1.18, 'operating_margin_pct': 53.8}","{'eps_growth_yoy': 53.0, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 34.1}",1476.32,1750.0,707.0,19.0,buy,25.9,1520.61,29.7,1037.4,-11.5,3.06,35.86,,,0.09,True,-14.2,6.7,41.2,69.0,2026-11-04,False,False,7.0,NEUTRAL,3.14,996.8,0.54,BULLISH,0.0,60.0,1.0,0.0,7.699999999999999,0.0,6.4,21.3,2026-08-27 15:13:46,2026-08-27,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 49% up volume)",LOW_FLOAT,20.9,20.0,27.7,15.0,False,flat,12.0,0.0,False,0.0,False,0.0,0.0,16.0,29.0,48.3,Bajo 50%,31.3,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,60.365,5.0,0.0,3.0,0.0,3.0,5.0,0.0,-3.79,0.0,1.0,0.0,25.9,16.8,,3.24,0.0,5.0,43.0,0,,0,MIXED/INSUFFICIENT (0),WATCH,9.0,45,0.2126,BAJA,0.0,⭐ GOOD,🟡 Good,,,,,,,,EVENTO,"La caída se origina en decisiones regulatorias de FHFA/HUD (jul-nov 2025) que permiten VantageScore 4.0 y FICO 10T como alternativas a Classic FICO en hipotecas GSE/FHA, rompiendo el monopolio de pricing de FICO. Los resultados financieros siguen creciendo con fuerza (ingresos y EPS al alza en los ú",https://www.sec.gov/Archives/edgar/data/814547/000081454725000015/exhibit991erq22025.htm | https://www.sec.gov/Archives/edgar/data/814547/000081454725000007/exhibit991erq12025.htm | https://finance.yahoo.com/markets/stocks/articles/fair-isaac-corporation-fico-stock-022055924.html | https://finance.yahoo.com/markets/stocks/articles/fair-isaac-50-drop-credit-182744992.html,False,0,0.774,False,-41.44,34.48,-29.83,downtrend,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
CLPBY,0.0,,,,42.0,Coloplast A/S,50.9,Healthcare,Medical Instruments & Supplies,38.0,50.0,42.3,80.0,65.0,7.13,16068748288.0,15.0,21.1,False,up,-206.5,False,0.0,2.2,False,0.0,,,False,10.03,-28.9,1.0,False,"{'roe_pct': 18.5, 'debt_to_equity': 1.78, 'current_ratio': 1.56, 'operating_margin_pct': 26.2}","{'eps_growth_yoy': -206.5, 'positive_quarters': 3, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 9.7}",8.32,12.2,6.7,4.0,buy,16.7,,,,,7.44,0.58,5.04,187.0,2.72,False,,3.9,32.7,,,False,False,7.0,NEUTRAL,18.41,105.6,0.21,,,,,,0.0,0.0,12.6,15.3,2026-08-27 15:13:46,2026-08-27,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 46% up volume)",MEGA_FLOAT,1445.7,25.0,27.9,15.0,False,up,21.1,2.0,False,0.0,False,0.0,0.0,17.0,29.0,44.8,Bajo 50%,30.9,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,59.86,8.0,0.0,6.0,-2.0,0.0,5.0,0.6,0.24,1.0,0.0,0.0,,,,2.09,2.0,5.0,8.0,0,,0,MIXED/INSUFFICIENT (0),CAUTION,10.0,37,0.4202,BAJA,0.0,🔵 DECENT,🟡 Good,,,,,,,,EVENTO,"Impairment de DKK 3.000M en el fondo de comercio de Kerecis (abril 2026) y rebaja de guidance de 7% a 5-6% de crecimiento orgánico, ligados específicamente a una recuperación más lenta en sustitutos de piel/China, mientras el core de ostomía/continencia sigue creciendo fuerte (72% del crecimiento or",https://www.biospace.com/press-releases/coloplast-a-s-interim-financial-report-9m-2025-26 | https://www.coloplast.com/investor-relations/results-reports-and-presentations/ | https://www.biospace.com/press-releases/coloplast-a-s-announcement-no-05-2026-interim-financial-report-h1-2025-26 | https://www.sec.gov/Archives/edgar/data/1267565/000110465925107389/coll-20251106xex99d1.htm,False,1,1.162,True,-28.05,26.42,-19.25,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
