ticker,cerebro_signal,cerebro_score_adj,cerebro_reason,updated_at
7741.T,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-27
ABT,CAUTION,-8,Señal salida MEDIUM: Ya no aparece en VALUE — tesis posiblemente rota,2026-08-27
ADP,AVOID,-12,Thesis drift HIGH (45d): Margen op. cayó 6.7pp (30.2%→23.5%),2026-08-27
AI.PA,WATCH,0,Caro vs peers en Basic Materials (FCF rank 7/7) | Piotroski fuerte (7.0/9),2026-08-27
AJG,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-27
AON,WATCH,3,Piotroski fuerte (8.0/9),2026-08-27
ASAZY,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-27
ATLKY,CAUTION,-14,Thesis drift MEDIUM: FCF yield cayó 19.6pp (22.1%→2.5%) | Señal salida MEDIUM: Score cayó 23pts (59 → 35),2026-08-27
AUTO.L,BEST,5,Mejor FCF en Communication Services (5.9% vs media sector 6.1%),2026-08-27
AXP,CONFIRM,13,Smart money: 1 HF + 0 insiders (conv 36) | Mejor FCF en Financial Services (7.1% vs media sector 5.2%),2026-08-27
BR,BEST,8,Piotroski fuerte (8.0/9) | Mejor FCF en Technology (5.7% vs media sector 4.7%),2026-08-27
BRO,CAUTION,-1,Thesis drift MEDIUM: Score cayó 17pts en 45d (47→30) | Mejor FCF en Financial Services (6.8% vs media sector 5.2%),2026-08-27
CB,CAUTION,-1,Thesis drift MEDIUM: Score cayó 16pts en 45d (47→32) | Mejor FCF en Financial Services (8.0% vs media sector 5.2%),2026-08-27
CBOE,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-27
CDNS,WATCH,0,Caro vs peers en Technology (FCF rank 15/16) | Piotroski fuerte (7.0/9),2026-08-27
CHD,WATCH,3,Piotroski fuerte (7.0/9),2026-08-27
CLPBY,CAUTION,10,Thesis drift MEDIUM: FCF yield cayó 21.5pp (28.9%→7.4%) | Piotroski fuerte (7.0/9) | Mejor FCF en Healthcare (7.4% vs media sector 4.1%) | EPS revision STRONG_UP: EPS consensus ↑21.4% (0.40→0.49); Revenue estimate ↑1.8%,2026-08-27
CME,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-27
CNI,WATCH,3,Piotroski fuerte (7.0/9),2026-08-27
COST,CAUTION,-8,Señal salida MEDIUM: Ya no aparece en VALUE — tesis posiblemente rota,2026-08-27
CPRT,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-27
CSU.TO,BEST,5,Mejor FCF en Technology (5.9% vs media sector 4.7%),2026-08-27
CTAS,CAUTION,-8,Señal salida MEDIUM: Score cayó 16pts (56 → 40) | Caro vs peers en Industrials (FCF rank 27/27) | Piotroski fuerte (8.0/9),2026-08-27
DBOEY,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-27
ETN,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-27
EXPN.L,WATCH,0,Caro vs peers en Industrials (FCF rank 24/27) | Piotroski fuerte (9.0/9),2026-08-27
FICO,WATCH,6,Caro vs peers en Technology (FCF rank 14/16) | Short squeeze MEDIUM: 10.0% short · Short moderado (10.0% del float); Piotroski 7/9 — calidad mejorando | Piotroski fuerte (7.0/9),2026-08-27
G24.DE,AVOID,-16,Thesis drift HIGH (45d): Upside analistas cayó 16pp (46%→30%) | EPS revision DOWN: EPS consensus ↓2.0% (5.09→4.99),2026-08-27
GWW,WATCH,-3,Caro vs peers en Industrials (FCF rank 26/27),2026-08-27
HEI,WATCH,3,Piotroski fuerte (8.0/9),2026-08-27
ICE,CAUTION,-11,"Thesis drift MEDIUM: Upside analistas cayó 16pp (30%→14%) | Señal salida MEDIUM: Score cayó 54pts (87 → 33) — caída técnica/momentum, balance sólido (Piotroski 8/9) | Piotroski fuerte (8.0/9)",2026-08-27
IDXX,WATCH,0,Caro vs peers en Healthcare (FCF rank 10/11) | Piotroski fuerte (8.0/9),2026-08-27
INTU,CAUTION,-8,"Quality decay MEDIUM: Margen op. cayó 29.4pp (47.0% → 17.6%) | Señal salida MEDIUM: Score cayó 34pts (77 → 43) — caída técnica/momentum, balance sólido (Piotroski 9/9) | Piotroski fuerte (9.0/9) | Mejor FCF en Technology (6.8% vs media sector 4.7%)",2026-08-27
ISRG,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-27
JKHY,WATCH,4,Caro vs peers en Technology (FCF rank 13/16) | Piotroski fuerte (9.0/9) | EPS revision UP: EPS consensus ↑4.9% (6.89→7.23); Revenue estimate ↑2.2%,2026-08-27
JNJ,WATCH,-8,EPS revision STRONG_DOWN: EPS consensus ↓18.0% (13.69→11.23),2026-08-27
KO,CONFIRM,8,Caro vs peers en Consumer Defensive (FCF rank 7/7) | Smart money: 1 HF + 0 insiders (conv 33) | Piotroski fuerte (7.0/9),2026-08-27
MA,AVOID,-12,Thesis drift HIGH (45d): Score cayó 35pts en 45d (96→61) | Señal salida MEDIUM: Score cayó 15pts (76 → 61) | Piotroski fuerte (9.0/9),2026-08-27
MCO,CONFIRM,8,Caro vs peers en Financial Services (FCF rank 17/19) | Smart money: 1 HF + 0 insiders (conv 33) | Piotroski fuerte (8.0/9),2026-08-27
MRSH,CAUTION,-6,Thesis drift MEDIUM: Score cayó 14pts en 45d (48→34),2026-08-27
MSCI,CAUTION,-12,Thesis drift MEDIUM: Score cayó 17pts en 45d (50→32) | Señal salida MEDIUM: Score cayó 20pts (52 → 32) | Caro vs peers en Financial Services (FCF rank 18/19) | Piotroski fuerte (8.0/9),2026-08-27
MSFT,CAUTION,-9,Thesis drift MEDIUM: Score cayó 33pts en 45d (91→58) | Señal salida MEDIUM: Score cayó 32pts (90 → 58) | Caro vs peers en Technology (FCF rank 16/16) | Smart money: 1 HF + 0 insiders (conv 32),2026-08-27
NDAQ,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-27
NDSN,REVISION_UP,16,Piotroski fuerte (7.0/9) | Mejor FCF en Industrials (3.3% vs media sector 3.4%) | EPS revision STRONG_UP: EPS consensus ↑5.2% (13.93→14.65); Revenue estimate ↑3.4%,2026-08-27
OTIS,BEST,5,Mejor FCF en Industrials (5.3% vs media sector 3.4%),2026-08-27
PEP,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-08-27
PGR,BEST,5,Mejor FCF en Financial Services (12.0% vs media sector 5.2%),2026-08-27
RACE,WATCH,0,Caro vs peers en Consumer Cyclical (FCF rank 7/8) | Piotroski fuerte (9.0/9),2026-08-27
SAP,CAUTION,-11,"Thesis drift MEDIUM: Score cayó 32pts en 45d (83→51) | Señal salida MEDIUM: Score cayó 28pts (78 → 51) — caída técnica/momentum, balance sólido (Piotroski 8/9) | Piotroski fuerte (8.0/9)",2026-08-27
SPGI,CAUTION,-3,Thesis drift MEDIUM: Score cayó 17pts en 45d (67→50) | Piotroski fuerte (7.0/9),2026-08-27
TJX,WATCH,7,Piotroski fuerte (7.0/9) | EPS revision UP: EPS consensus ↑2.6% (6.84→7.02),2026-08-27
TT,WATCH,3,Piotroski fuerte (9.0/9),2026-08-27
TW,WATCH,7,Piotroski fuerte (8.0/9) | EPS revision UP: EPS consensus ↑2.5% (4.69→4.80); Analistas: -14 (14→0),2026-08-27
TYL,WATCH,9,Short squeeze MEDIUM: 10.6% short · Short moderado (10.6% del float); Piotroski 8/9 — calidad mejorando | Piotroski fuerte (8.0/9),2026-08-27
V,CAUTION,-17,Thesis drift MEDIUM: Score cayó 23pts en 45d (67→44) | Señal salida MEDIUM: Score cayó 43pts (87 → 44) | Caro vs peers en Financial Services (FCF rank 19/19),2026-08-27
VLTO,CAUTION,-9,Thesis drift MEDIUM: Score cayó 13pts en 45d (46→33) | Señal salida MEDIUM: Score cayó 20pts (53 → 33) | Mejor FCF en Industrials (3.4% vs media sector 3.4%),2026-08-27
VRSK,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Industrials (4.3% vs media sector 3.4%),2026-08-27
WM,CAUTION,-3,Thesis drift MEDIUM: Score cayó 18pts en 45d (57→39) | Piotroski fuerte (8.0/9),2026-08-27
WMT,CAUTION,0,Señal salida MEDIUM: Ya no aparece en VALUE — tesis posiblemente rota | EPS revision STRONG_UP: EPS consensus ↑10.2% (5.27→5.81); Analistas: -35 (35→0),2026-08-27
WST,WATCH,0,Caro vs peers en Healthcare (FCF rank 11/11) | Piotroski fuerte (7.0/9),2026-08-27
ZTS,BEST,11,"Opciones TIER2 (q=45): VALUE weak (40pts), FCF 6.5% | Mejor FCF en Healthcare (6.5% vs media sector 4.1%)",2026-08-27
