ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,eu_insider_bonus,market_regime,upside_triangulated_pct,upside_divergence_pts,upside_divergence,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing,oe_ai_adjustment,oe_ai_verdict,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason
SAP.DE,SAP SE,76.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,95.0,60.0,65.0,90.0,65.0,,,,,28.5,False,0,9.4,True,1,"{'eps_growth_yoy': 28.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.4}","{'revenue_growth_yoy': 9.4, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 20.1, 'rs_6m': -6.3}","{'roe_pct': 18.3, 'debt_to_equity': 0.22, 'current_ratio': 1.15, 'operating_margin_pct': 27.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 18.2}",175.84,202955276288,Technology,Software - Application,,,False,244.3,-28.0,3,False,207.77,290.0,160.0,26,strong_buy,18.2,334.01,90.0,200.1,13.8,4.48,7.88,1.37,37.4,2.5,1.46,True,-1.43,20.7,30.6,40.0,2026-10-21,False,False,8,STRONG,5.27,146.7,0.69,33.5,,,,2026-09-11T10:01:56.267414,DAX40,73.6,3.0,0.0,3.0,5.0,2.28,15.0,CONFIRMED_UPTREND,18.2,-33.7,,175.6,168.72,239.34,3.92,36.29,BUY NOW - At target entry price,0,,False,2,0.965,False,-26.93,37.68,-1.43,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
SGE.L,The Sage Group plc,56.3,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (632,249,984) se aparta del derivado de flujo operativo menos capex (471,000",55.0,50.0,66.5,50.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 14.6},{},"{'rs_3m': 13.8, 'rs_6m': 0.1}","{'roe_pct': 75.6, 'debt_to_equity': 9.19, 'current_ratio': 0.62, 'operating_margin_pct': 22.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 16.5}",961.2,8637649920,Technology,Software - Application,,,False,1181.0,-18.6,3,False,1119.94,1349.0,850.0,18,buy,16.5,,,,,7.32,0.7,2.28,55.0,22.0,2.09,,,,14.3,69.0,2026-11-19,False,False,6,NEUTRAL,5.1,374.3,1.17,33.3,,,,2026-09-11T10:02:28.131505,FTSE100,68.5,6.0,5.0,0.0,3.0,2.06,15.0,CONFIRMED_UPTREND,,,,960.8,939.47,1249.73,2.22,30.07,BUY NOW - At target entry price,0,,False,1,0.984,False,-18.66,24.47,5.03,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
DSY.PA,Dassault Systèmes SE,76.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,100.0,60.0,60.5,85.0,65.0,,,,,42.9,True,1,2.1,True,1,"{'eps_growth_yoy': 42.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 21.3}","{'revenue_growth_yoy': 2.1, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 12.6, 'rs_6m': -3.9}","{'roe_pct': 15.1, 'debt_to_equity': 0.36, 'current_ratio': 1.99, 'operating_margin_pct': 23.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 18.0}",20.09,26399344640,Technology,Software - Application,,,False,30.36,-33.8,1,False,23.71,33.35,17.0,19,buy,18.0,40.89,103.5,29.1,44.8,4.8,0.96,1.34,27.8,0.27,0.67,True,-0.68,,22.3,47.0,2026-10-28,False,False,8,STRONG,6.07,42.9,0.45,35.5,,,,2026-09-11T10:02:23.957793,CAC40,58.5,3.0,0.0,3.0,5.0,2.25,0.0,CONFIRMED_UPTREND,44.8,-56.2,,20.02,19.5,28.4,2.61,41.84,BUY NOW - At target entry price,0,,False,1,1.002,False,-33.3,27.96,0.61,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
ITX.MC,"Industria de Diseño Textil, S.A.",78.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,90.0,90.0,50.0,85.0,60.0,,,,,23.0,True,1,33.0,True,1,"{'eps_growth_yoy': 23.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.5}","{'revenue_growth_yoy': 33.0, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -5.5, 'rs_6m': -6.5}","{'roe_pct': 36.8, 'debt_to_equity': 0.35, 'current_ratio': 1.16, 'operating_margin_pct': 18.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 11.2}",54.56,169954918400,Consumer Cyclical,Apparel Retail,,,False,59.42,-8.2,4,False,60.65,67.0,41.5,24,buy,11.2,37.82,-30.7,20.5,-62.4,3.82,2.08,1.19,56.7,0.65,2.09,,,38.5,8.0,82.0,2026-12-02,False,False,7,NEUTRAL,5.06,37.8,2.87,22.2,,,,2026-09-11T10:02:07.527233,IBEX35,57.3,3.0,0.0,0.0,3.0,1.4,0.0,CONFIRMED_UPTREND,-30.7,57.8,ALTA,54.67,52.53,67.61,3.92,23.67,BUY NOW - At target entry price,0,,False,1,0.983,False,-8.25,27.24,-1.55,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
RACE.MI,Ferrari N.V.,77.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,"FCF declarado (1,001,981,760) se aparta del derivado de flujo operativo menos capex (1,463,988,912)",95.0,70.0,60.5,90.0,60.0,,,,,9.0,True,2,8.4,True,2,"{'eps_growth_yoy': 9.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 22.2}","{'revenue_growth_yoy': 8.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 7.4, 'rs_6m': 8.9}","{'roe_pct': 45.4, 'debt_to_equity': 0.86, 'current_ratio': 2.43, 'operating_margin_pct': 31.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 10.4}",351.9,61812097024,Consumer Cyclical,Auto Manufacturers,,,False,431.2,-18.4,7,True,388.39,430.4,330.0,19,buy,10.4,112.92,-67.9,93.63,-73.4,1.62,5.7,1.04,39.0,3.62,0.68,True,-1.29,63.9,10.1,52.0,2026-11-03,False,False,9,STRONG,3.31,46.9,3.16,20.6,,,,2026-09-11T10:01:58.456447,FTSEMIB,57.0,0.0,0.0,3.0,3.0,1.3,0.0,CONFIRMED_UPTREND,-67.9,81.1,ALTA,351.29,337.51,455.26,3.92,29.6,BUY NOW - At target entry price,0,,True,3,0.959,False,-17.36,32.48,14.16,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado
RMV.L,Rightmove plc,61.4,⭐⭐ GOOD,🟡 Good,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",60.0,50.0,54.5,100.0,50.0,,,,,,,0,,,0,{'profit_margin_pct': 49.7},{},"{'rs_3m': 5.6, 'rs_6m': -12.2}","{'roe_pct': 282.4, 'debt_to_equity': 0.07, 'current_ratio': 1.53, 'operating_margin_pct': 66.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 13.2}",474.2,3463046656,Communication Services,Internet Content & Information,,,False,732.6,-35.3,3,False,536.75,745.0,356.0,20,hold,13.2,,,,,5.58,0.26,2.3,37.2,11.0,1.57,,,,1.7,168.0,2027-02-26,False,False,6,NEUTRAL,8.36,637.5,3.22,36.4,,,,2026-09-11T10:02:26.119971,FTSE100,56.6,6.0,5.0,0.0,1.0,1.65,0.0,CONFIRMED_UPTREND,,,,468.89,450.51,683.27,3.92,45.72,BUY NOW - At target entry price,0,,False,1,1.112,False,-35.45,20.69,-7.51,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
NOVO-B.CO,Novo Nordisk A/S,55.7,⭐ AVERAGE,🟡 Average,DKK,DKK,False,True,False,0.7569,"acciones × precio no cuadra con la capitalización (ratio 0.7569): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",55.0,50.0,56.0,70.0,50.0,,,,,-20.8,False,0,2.1,False,0,"{'eps_growth_yoy': -20.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 35.3}","{'revenue_growth_yoy': 2.1, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -2.2, 'rs_6m': 0.5}","{'roe_pct': 59.8, 'debt_to_equity': 0.63, 'current_ratio': 0.87, 'operating_margin_pct': 42.5}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 11.1}",279.1,1233100996608,Healthcare,Drug Manufacturers - General,,,False,409.95,-31.9,1,False,310.17,457.0,203.0,23,hold,11.1,,,,,3.06,11.27,4.09,44.6,11.7,1.93,True,-0.48,252.0,-8.2,54.0,2026-11-04,False,False,5,NEUTRAL,9.89,64.7,,24.6,,,,2026-09-11T10:01:10.546757,OMXCPH,56.3,3.0,8.0,3.0,0.0,1.39,0.0,CONFIRMED_UPTREND,,,,279.45,271.46,384.55,2.86,37.61,BUY NOW - At target entry price,0,,False,1,0.786,False,-28.52,30.67,5.82,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
LR.PA,Legrand SA,77.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,90.0,90.0,50.0,75.0,65.0,,,,,23.9,True,1,25.7,True,2,"{'eps_growth_yoy': 23.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 13.0}","{'revenue_growth_yoy': 25.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -2.3, 'rs_6m': -11.1}","{'roe_pct': 18.2, 'debt_to_equity': 1.03, 'current_ratio': 1.58, 'operating_margin_pct': 19.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 19.2}",139.65,36604162048,Industrials,Electrical Equipment & Parts,,,False,166.95,-16.4,4,False,166.44,200.0,114.0,18,buy,19.2,72.92,-47.8,49.7,-64.4,2.82,3.93,1.7,47.9,2.38,1.92,True,-0.3,11.3,5.9,55.0,2026-11-05,False,False,6,NEUTRAL,4.39,45.7,2.41,31.9,,,,2026-09-11T10:02:09.858807,CAC40,55.9,0.0,5.0,3.0,3.0,2.4,0.0,CONFIRMED_UPTREND,-47.8,75.3,ALTA,136.56,128.97,178.19,5.56,30.48,BUY NOW - At target entry price,0,,False,2,1.095,False,-15.18,16.12,-6.21,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
ASSA-B.ST,ASSA ABLOY AB (publ),72.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,SEK,SEK,False,True,False,0.9482,"acciones × precio no cuadra con la capitalización (ratio 0.9482): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",100.0,60.0,50.0,70.0,65.0,,,,,80.4,True,1,3.5,True,1,"{'eps_growth_yoy': 80.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.8}","{'revenue_growth_yoy': 3.5, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -2.9, 'rs_6m': -17.0}","{'roe_pct': 15.6, 'debt_to_equity': 0.64, 'current_ratio': 1.01, 'operating_margin_pct': 16.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 20.6}",338.3,375775625216,Industrials,Security & Protection Services,,,False,396.9,-14.8,1,False,407.9,500.0,340.0,21,buy,20.6,,,,,4.9,17.47,1.87,41.7,6.4,1.7,False,,,15.9,46.0,2026-10-27,False,False,8,STRONG,5.18,118.2,1.39,17.1,,,,2026-09-11T10:01:40.445366,OMXSTO,55.8,3.0,5.0,0.0,5.0,2.58,0.0,CONFIRMED_UPTREND,,,,344.45,330.95,430.42,3.92,24.96,BUY NOW - At target entry price,0,,False,0,0.962,False,-13.85,8.91,-11.74,downtrend,stage1,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
AUTO.L,Autotrader Group plc,59.0,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",60.0,50.0,50.0,90.0,50.0,,,,,,,0,,,0,{'profit_margin_pct': 47.1},{},"{'rs_3m': -0.1, 'rs_6m': -15.2}","{'roe_pct': 60.2, 'debt_to_equity': 0.52, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 14.2}",490.7,3814020096,Communication Services,Internet Content & Information,,,False,828.8,-40.8,1,False,560.16,800.0,410.0,19,hold,14.2,,,,,6.39,0.31,2.37,32.0,12.0,1.38,,,,2.0,55.0,2026-11-05,False,False,5,NEUTRAL,9.55,332.4,2.2,33.5,,,,2026-09-11T10:01:49.489036,FTSE100,55.6,6.0,5.0,0.0,1.0,1.78,0.0,CONFIRMED_UPTREND,,,,491.03,471.77,738.21,3.92,50.34,BUY NOW - At target entry price,0,MIXED/INSUFFICIENT (0),False,1,1.14,False,-40.79,17.22,-10.15,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
