ticker,data_quality,thesis_verdict,reasoning,confidence,score_adjustment,validated_at
RSG,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
FAST,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
MSI,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
CB,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
CHD,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
ROP,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
CBOE,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
7741.T,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
ISRG,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
BRK-B,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
CNI,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
SYK,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
ERIE,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
MSFT,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
AUTO.L,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
RELX,UNRELIABLE,INSUFFICIENT,"No se dispone de datos históricos de FCF ni de ROIC, y los flujos proyectados carecen de consenso, lo que impide validar la coherencia del modelo. Sin información suficiente, la tesis BUY no está justificada.",70,0,2026-09-11T10:20:12+00:00
AJG,UNRELIABLE,INSUFFICIENT,"No se dispone de FCF histórico ni de consenso para los proyecciones, y faltan métricas clave como ROIC, lo que impide validar la fiabilidad del modelo. Sin datos sólidos, la conclusión de sobrevaloración es especulativa.",70,0,2026-09-11T10:20:12+00:00
LRLCY,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
CP,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
ZTS,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
NOW,MIXED,INSUFFICIENT,"Los flujos de caja libres solo se presentan como proyecciones sin consenso y no hay historial de al menos tres años, lo que limita la confiabilidad del modelo. Además, faltan métricas clave como ROIC y la relación EV/FCF se basa en una mediana histórica sin ajuste sectorial, por lo que la tesis BUY carece de soporte suficiente.",70,0,2026-09-11T10:20:12+00:00
INTU,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
SPGI,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
LSEG.L,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
CME,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
FICO,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
ITW,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
DHR,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
ETN,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
CSU.TO,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
CLPBY,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
V,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
BRO,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
PGR,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
EXPN.L,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
PEP,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
IT,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
AI.PA,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
HEI,UNRELIABLE,INSUFFICIENT,"No se dispone de datos históricos de FCF ni de ROIC, y los flujos proyectados carecen de consenso, lo que impide validar la consistencia del modelo. Sin una base fiable, la conclusión de sobrevaloración es especulativa.",70,0,2026-09-11T10:20:12+00:00
CDNS,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
ESLOY,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
WST,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
LIN,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
SBGSY,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
MTD,MIXED,INSUFFICIENT,"Falta historial de FCF y los flujos proyectados no tienen consenso, lo que debilita la fiabilidad del modelo; sin datos sólidos es difícil confirmar la sobrevaloración.",65,0,2026-09-11T10:20:12+00:00
ROL,MIXED,INSUFFICIENT,"El modelo carece de datos históricos de FCF y de métricas clave como ROIC, y los flujos proyectados no cuentan con consenso, lo que reduce la fiabilidad de los supuestos. Sin una base histórica sólida, la valoración y la conclusión BUY son preliminares.",55,0,2026-09-11T10:20:12+00:00
TNE.AX,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
TYL,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
GVDNY,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
HESAY,UNRELIABLE,INSUFFICIENT,"No se dispone de historial de FCF y las proyecciones forward carecen de consenso, lo que impide validar la consistencia del modelo. Sin datos sólidos, la conclusión BUY es especulativa.",80,0,2026-09-11T10:20:12+00:00
VLTO,UNRELIABLE,INSUFFICIENT,"Falta historial de FCF y no hay consenso sobre los flujos futuros; además, datos clave como ROIC y CapEx real están ausentes, lo que impide validar el modelo. Sin una base fiable, la conclusión de sobrevaloración es especulativa.",70,0,2026-09-11T10:20:12+00:00
DBOEY,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
MCD,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
AON,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
ASAZY,UNRELIABLE,INSUFFICIENT,"Los datos de FCF son inexistentes históricamente y los proyecciones forward no tienen consenso, además faltan métricas clave como ROIC. Los resultados del modelo (precio objetivo de 998 USD y upside del 5300 %) son irrealistas y no pueden sustentarse en la información disponible.",85,0,2026-09-11T10:20:12+00:00
EQIX,UNRELIABLE,INSUFFICIENT,"No se dispone de datos de FCF histórico ni proyecciones, impidiendo validar el modelo Owner Earnings; sin esa información el cálculo de precio objetivo y margen de seguridad es imposible.",92,0,2026-09-11T10:20:12+00:00
VRSN,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
ADP,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
PAYX,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
WMT,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
SAP,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
WTKWY,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
CPRT,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
AXP,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
AWK,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
TW,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
SHW,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
FDS,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
TT,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
ATLKY,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
CTAS,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
VRSK,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
VEEV,UNRELIABLE,INSUFFICIENT,"No se dispone de historial de FCF ni de ROIC y los flujos futuros son proyecciones sin consenso, lo que impide validar la consistencia del modelo. Sin datos verificables, la conclusión de sobrevaloración carece de fundamento sólido.",70,0,2026-09-11T10:20:12+00:00
DSGX,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
WM,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
G24.DE,MIXED,INSUFFICIENT,IA no pudo validar,0,0,2026-09-11T10:20:12+00:00
