ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,ai_confirmation,ai_confidence,ai_reason,historical_win_rate,detected_date,rsi,rsi_tier,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease,bounce_target,bounce_usd,bounce_pct,stop_pct,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,bounce_confidence,bounce_signals,consecutive_down_days,bb_pct_b,below_bb,stoch_k,volume_drying,rsi_weekly,weekly_oversold,cum_rsi2,connors_signal,rsi_divergence,atr14,hammer_candle,engulfing_candle,obv_divergence,market_regime,market_ok,vix,days_to_earnings,earnings_warning,short_interest_shares,short_days_to_cover,short_pct_float,squeeze_potential,finra_short_vol_pct,dark_pool_signal,conviction_tier,value_score,value_grade,pcr,pcr_signal
ABT,Abbott Laboratories,Bull Flag Pullback,⭐⭐⭐ EXCELENTE,100,103.36,$101.29 - $105.43,116.67,101.84,4.76,,,,100.0,2026-09-11,23.9,ALTO,33.8,-11.4,104.99,104.92,Bullish,True,110.6,7.24,7.0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASAZY,ASSA ABLOY AB (publ),Oversold Bounce,⭐⭐ MUY BUENA,75,17.51,$16.64 - $17.32,19.87,16.57,1.31,,,,63.2,2026-09-11,29.5,MEDIO,,,,,,,18.74,1.23,7.0,-5.4,-9.2,16.98,19.87,3.1,1.75,56.0,"['⚠ RSI sem 53.6 (sin conf.)', 'CumRSI2=0', 'Bajo BB inferior', 'Stoch oversold', 'Hammer', '3d bajistas', '⚠ Mercado bajista']",3.0,-17.0,True,0.0,False,53.6,False,0.0,True,False,0.27,True,False,False,CORRECCIÓN,False,17.2,,False,,,,False,,,1.0,,,,
ROP,"Roper Technologies, Inc.",Bull Flag Pullback,⭐⭐ MUY BUENA,70,388.58,$380.81 - $396.35,426.2,375.64,2.1,,,,63.2,2026-09-11,34.6,MEDIO,31.4,-8.8,387.26,374.04,Bullish,True,415.78,27.2,7.0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,"Automatic Data Processing, Inc.",Bull Flag Pullback,⭐⭐ MUY BUENA,70,267.33,$261.98 - $272.68,287.48,256.62,1.75,,,,63.2,2026-09-11,35.4,MEDIO,34.0,-7.0,264.56,235.25,Bullish,True,286.04,18.71,7.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYX,"Paychex, Inc.",Bull Flag Pullback,⭐⭐ MUY BUENA,70,115.18,$112.88 - $117.48,127.34,113.43,4.61,,,,63.2,2026-09-11,32.3,MEDIO,34.1,-9.5,116.94,102.26,Bullish,True,123.24,8.06,7.0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOE,"Cboe Global Markets, Inc.",Bull Flag Pullback,⭐⭐ MUY BUENA,70,287.49,$281.74 - $293.24,313.08,278.1,2.14,,,,63.2,2026-09-11,45.8,NEUTRAL,35.6,-8.2,286.7,284.45,Bullish,True,307.61,20.12,7.0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYL,"Tyler Technologies, Inc.",Bull Flag Pullback,⭐ BUENA,60,335.48,$328.77 - $342.19,379.27,318.38,1.37,,,,71.7,2026-09-11,43.7,NEUTRAL,37.8,-11.5,328.23,355.71,Bearish,False,358.96,23.48,7.0,-5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD,"Kyndryl Holdings, Inc.",Bull Flag Pullback,⭐ BUENA,60,12.68,$12.43 - $12.93,14.69,12.44,3.71,,,,71.7,2026-09-11,55.1,NEUTRAL,38.3,-13.7,12.82,16.0,Bearish,False,13.57,0.89,7.0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WCN,"Waste Connections, Inc.",Oversold Bounce,MODERADA,55,159.44,$152.71 - $158.95,170.46,151.71,1.43,,,,55.0,2026-09-11,27.1,MEDIO,,,,,,,170.46,11.02,6.9,-4.8,-8.3,155.83,170.46,2.3,0.91,64.0,"['⚠ RSI sem 55.8 (sin conf.)', 'CumRSI2=0', 'Bajo BB inferior', 'Stoch oversold', 'Hammer', '4d bajistas', '⚠ Mercado bajista', 'DP acumulación (28%)']",4.0,-11.9,True,4.7,False,55.8,False,0.0,True,False,2.74,True,False,False,CORRECCIÓN,False,17.2,,False,,,,False,27.8,ACCUMULATION,1.0,,,0.14,NEUTRAL
SHW,The Sherwin-Williams Company,Oversold Bounce,MODERADA,55,317.44,$303.63 - $316.02,355.3,300.22,1.29,,,,55.0,2026-09-11,18.1,EXTREMO,,,,,,,339.66,22.22,7.0,-5.4,-13.9,309.82,355.3,2.5,1.16,76.0,"['RSI extremo <20', 'CumRSI2=0', 'Stoch oversold', 'Hammer', '3d bajistas', '⚠ Mercado bajista', 'PCR 2.0↑']",3.0,0.3,False,5.0,False,53.5,False,0.0,True,False,6.4,True,False,False,CORRECCIÓN,False,17.2,,False,,,,False,45.9,NEUTRAL,1.0,,,2.03,CONTRARIAN_BULLISH
HEI,HEICO Corporation,Oversold Bounce,MODERADA,55,312.49,$299.38 - $311.6,354.72,290.99,1.02,,,,55.0,2026-09-11,14.0,EXTREMO,,,,,,,334.36,21.87,7.0,-6.9,-16.6,305.49,354.72,2.3,1.12,59.0,"['RSI extremo <20', 'CumRSI2=4', 'Stoch oversold', 'Div. RSI alcista', '⚠ Mercado bajista']",0.0,13.9,False,7.7,False,43.5,False,4.3,True,True,9.66,False,False,False,CORRECCIÓN,False,17.2,,False,,,,False,67.3,DISTRIBUTION,1.0,,,1.33,NEUTRAL
