ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date
9999.HK,"NetEase, Inc.",184.4,HKD,84.0,A,84.0,ROE 22.6% | Potencial +38% analistas | FCF yield 5.3% | Margen 30% | Dividendo 2.5% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,253.77,37.6,23,5.3,4.7,2.47,,22.6,11.8,15.5,30.0,3.0,-25.6,regulatory risks in Chinese tech sector | cyclical risks in gaming industry,NTES,SUSPECT,Low forward P/E and high profit margin may indicate potential overstatement of earnings or undervaluation,2026-03-11
2020.HK,ANTA Sports Products Limited,79.3,HKD,82.0,A,82.0,ROE 25.4% | Potencial +36% analistas | FCF yield 5.7% | Dividendo 3.4% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,108.04,36.2,32,5.7,4.53,3.43,,25.4,13.8,13.4,19.7,14.3,-25.4,Cyclical Risk,,CLEAN,Metrics appear reasonable for a consumer cyclical company,2026-03-11
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",63.45,HKD,77.0,A,77.0,P/E 6.8x (vs 11x mercado) | Potencial +33% analistas | Crecimiento ingresos +36% | Dividendo 4.4% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,84.44,33.1,18,,4.14,4.42,,12.2,6.8,7.3,14.1,35.5,-15.1,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk | Geopolitical risk | Real estate exposure,PNGAY,SUSPECT,Anomalous FCF yield and potential exposure to Chinese real estate sector pose concerns,2026-03-11
000660.KS,SK hynix Inc.,955000.0,KRW,76.0,A,76.0,ROE 44.1% | P/E 4.7x (vs 11x mercado) | Potencial +27% | Crecimiento ingresos +66% | Margen 44%,2,0,Technology,Korea,🇰🇷,21.2,1216223.0,27.4,38,2.7,3.42,,,44.1,4.7,,44.2,66.1,-13.1,cyclical | geopolitical,HXSCL,SUSPECT,Anomalous forward P/E of 4.7x seems too low for a technology company with high ROE and profit margin,2026-03-11
PETR4.SA,Petróleo Brasileiro S.A. - Petrobras,42.93,BRL,71.0,A,71.0,ROE 28.2% | P/E 3.8x (vs 10x mercado) | FCF yield 15.4% | Margen 22% | Mercado Brazil CAPE 9 (34% descuento histórico),4,0,Energy,Brazil,🇧🇷,9.0,42.97,0.1,13,15.4,0.01,10.8,,28.2,3.8,5.3,22.1,5.0,-3.0,Geopolitical risk | Cyclical risk,PBR,SUSPECT,Anomalous FCF yield and dividend yield for an energy company,2026-03-11
0700.HK,Tencent Holdings Limited,552.0,HKD,71.0,A,71.0,ROE 19.8% | Potencial +38% analistas | Crecimiento ingresos +15% | Margen 30% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,760.65,37.8,46,2.6,4.72,0.77,,19.8,15.6,21.9,29.9,15.4,-19.2,regulatory risks due to Chinese tech sector oversight | geopolitical risks due to US-China tensions,TCEHY,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual for a growth company like Tencent",2026-03-11
6690.HK,"Haier Smart Home Co., Ltd.",25.22,HKD,71.0,A,71.0,ROE 18.2% | P/E 9.4x | Potencial +31% analistas | Dividendo 5.3% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Consumer Cyclical,HongKong,🇭🇰,10.7,33.1,31.2,18,0.7,3.91,5.33,,18.2,9.4,9.9,6.8,9.5,-10.6,cyclical risk | governance risk,,SUSPECT,Low FCF yield and high dividend yield may indicate potential cash flow issues,2026-03-11
9984.T,SoftBank Group Corp.,3888.0,JPY,69.0,A,69.0,ROE 26.0% | P/E 13.2x | Potencial +43% analistas | FCF negativo | Margen 48% | Mercado Japan CAPE 29 (26% descuento histórico),4,1,Communication Services,Japan,🇯🇵,29.4,5568.47,43.2,17,-0.2,5.4,0.28,,26.0,13.2,7.3,48.2,8.2,-43.8,cyclical | governance,SFTBY,SUSPECT,Negative FCF yield and low dividend yield raise concerns about the company's ability to generate cash and reward shareholders,2026-03-11
TOTS3.SA,TOTVS S.A.,37.13,BRL,69.0,A,69.0,ROE 16.1% | Potencial +39% analistas | Crecimiento ingresos +15% | Dividendo 1.6% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Technology,Brazil,🇧🇷,9.0,51.52,38.8,13,1.0,4.85,1.64,,16.1,16.4,26.3,15.4,15.1,-23.3,valuation risk | reporting quality risk,,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual and may indicate potential overvaluation or incorrect reporting",2026-03-11
4568.T,"Daiichi Sankyo Company, Limited",2854.5,JPY,68.0,A,68.0,ROE 18.3% | Potencial +70% analistas | FCF negativo | Crecimiento ingresos +15% | Dividendo 2.7% | Mercado Japan CAPE 29 (26% descuento histórico),3,1,Healthcare,Japan,🇯🇵,29.4,4855.62,70.1,16,-2.0,8.76,2.74,,18.3,19.9,19.1,14.8,15.1,-31.7,Negative FCF Yield | Regulatory Risk in Healthcare Sector,DSNKY,SUSPECT,Negative FCF yield is anomalous for a healthcare company with positive profit margin and revenue growth,2026-03-11
