ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at
MSGM,Motorsport Games Inc.,74.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,83.0,100.0,50.0,80.0,86.9,False,up,,,0,57.1,False,0,{'profit_margin_pct': 36.6},"{'revenue_growth_yoy': np.float64(57.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(67.3), 'rs_6m': np.float64(42.7), 'rs_line_percentile': 86.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 70.3, 'debt_to_equity': 0.0, 'current_ratio': 1.92, 'operating_margin_pct': 25.8}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",4.35,22091262,Communication Services,Electronic Gaming & Multimedia,1.9,0.6,False,5.409,-19.6,7.0,True,,,,,none,,,,4.2,-3.4,-0.02,-0.0,,,,,False,,64.7,,,,False,False,4.0,NEUTRAL,-15.46,-2750.2,,2026-03-11T07:50:31.124433
FPI,Farmland Partners Inc.,72.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,100.0,71.4,65.0,50.0,60.0,73.6,False,up,,,0,102.1,True,2,{'profit_margin_pct': 60.2},"{'revenue_growth_yoy': np.float64(102.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(30.2), 'rs_6m': np.float64(16.9), 'rs_line_percentile': 73.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 5.7, 'debt_to_equity': 0.3, 'current_ratio': 0.62, 'operating_margin_pct': 60.7}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 3.0}",12.62,558900672,Real Estate,REIT - Specialty,7.2,3.1,False,13.225,-4.6,7.0,True,13.0,14.0,12.5,3.0,none,3.0,,,6.1,-51.7,-8.33,-1.07,2.85,39.3,0.36,1.95,True,-6.77,4.3,-29.9,56.0,2026-05-06,False,False,6.0,NEUTRAL,5.39,54.7,,2026-03-11T07:50:59.665910
LPG,Dorian LPG Ltd.,71.9,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,79.4,80.0,60.0,80.0,83.6,False,up,,,0,58.1,False,0,{'profit_margin_pct': 30.4},"{'revenue_growth_yoy': np.float64(58.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(44.5), 'rs_6m': np.float64(10.6), 'rs_line_percentile': 83.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 11.2, 'debt_to_equity': 0.62, 'current_ratio': 2.42, 'operating_margin_pct': 43.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 7.8}",34.57,1477663616,Energy,Oil & Gas Midstream,4.6,2.6,False,38.4,-10.0,8.0,True,37.25,41.0,31.0,4.0,buy,7.8,100.74,191.4,84.9,145.6,6.87,2.38,7.09,86.6,2.45,,True,-0.46,5.4,121.6,71.0,2026-05-21,False,False,4.0,NEUTRAL,6.64,7.6,0.08,2026-03-11T07:45:17.796691
FTAI,FTAI Aviation Ltd.,71.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,90.0,83.0,65.0,65.0,80.0,83.3,False,up,,,0,31.9,True,1,{'profit_margin_pct': 20.0},"{'revenue_growth_yoy': np.float64(31.9), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(53.6), 'rs_6m': np.float64(59.7), 'rs_line_percentile': 83.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 241.2, 'debt_to_equity': 10.46, 'current_ratio': 5.28, 'operating_margin_pct': 28.5}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 23.1}",271.44,27842490368,Industrials,Rental & Leasing Services,3.8,1.8,False,323.51,-16.1,8.0,True,334.2,375.0,266.0,10.0,strong_buy,23.1,,,136.78,-49.6,-2.77,-7.53,0.5,27.2,1.35,3.38,True,-0.45,3.4,29.8,50.0,2026-04-30,False,False,6.0,NEUTRAL,2.75,25.2,0.82,2026-03-11T07:47:22.528462
PKBK,"Parke Bancorp, Inc.",70.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,76.7,65.0,50.0,80.0,89.5,False,up,,,0,25.4,True,2,{'profit_margin_pct': 48.8},"{'revenue_growth_yoy': np.float64(25.4), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(17.2), 'rs_6m': np.float64(18.8), 'rs_line_percentile': 89.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 12.1, 'operating_margin_pct': 68.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",27.61,327101120,Financial Services,Banks - Regional,1.0,1.1,False,29.5,-6.4,8.0,True,,,,,none,,,,94.8,243.4,,,2.61,22.8,0.72,3.41,True,-2.67,,26.4,36.0,2026-04-16,False,False,4.0,NEUTRAL,,,0.17,2026-03-11T07:46:34.882724
RBKB,"Rhinebeck Bancorp, Inc.",70.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,90.0,85.4,60.0,50.0,95.0,90.7,False,up,,,0,75.0,True,1,{'profit_margin_pct': 19.4},"{'revenue_growth_yoy': np.float64(75.0), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(31.9), 'rs_6m': np.float64(15.4), 'rs_line_percentile': 90.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 7.8, 'operating_margin_pct': 23.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",15.62,174095552,Financial Services,Banks - Regional,1.9,5.2,False,16.495,-5.3,8.0,True,,,,,none,,,,9.2,-41.1,,,,,,,True,-0.08,,,,,False,False,4.0,NEUTRAL,,,,2026-03-11T07:49:50.304241
NVT,nVent Electric plc,69.6,⭐⭐ GOOD,🟡 Good,55.0,80.0,73.1,80.0,65.0,80.0,82.2,False,up,,,0,31.8,False,0,{'profit_margin_pct': 18.2},"{'revenue_growth_yoy': np.float64(31.8), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(2.7), 'rs_6m': np.float64(15.1), 'rs_line_percentile': 82.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 12.3, 'debt_to_equity': 0.46, 'current_ratio': 1.63, 'operating_margin_pct': 16.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 16.7}",109.13,17649537024,Industrials,Electrical Equipment & Parts,3.4,1.9,False,122.92,-11.2,7.0,True,127.39,148.0,68.04,13.0,strong_buy,16.7,150.58,38.0,78.0,-28.5,3.25,3.55,0.77,30.8,0.84,1.49,True,-1.43,8.3,1112.4,51.0,2026-05-01,False,False,6.0,NEUTRAL,3.27,52.1,0.02,2026-03-11T07:45:50.758613
CHUC,"Charlie's Holdings, Inc.",69.3,⭐⭐ GOOD,🟡 Good,60.0,90.0,63.0,75.0,50.0,60.0,70.6,False,up,,,0,298.9,True,1,{'profit_margin_pct': 23.7},"{'revenue_growth_yoy': np.float64(298.9), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(73.0), 'rs_6m': np.float64(-15.7), 'rs_line_percentile': 70.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 328.1, 'debt_to_equity': 0.99, 'current_ratio': 1.46, 'operating_margin_pct': -4.8}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",0.28,75782912,Consumer Defensive,Tobacco,,0.1,False,0.38,-26.3,6.0,False,,,,,none,,,,0.1,-64.3,-7.15,-0.02,,,,,False,,5.4,,,,False,False,2.0,WEAK,-4.43,-2780.6,,2026-03-11T07:41:58.188628
RRBI,"Red River Bancshares, Inc.",69.0,⭐⭐ GOOD,🟡 Good,60.0,70.0,89.0,65.0,60.0,95.0,90.9,False,up,,,0,11.3,True,1,{'profit_margin_pct': 34.1},"{'revenue_growth_yoy': np.float64(11.3), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(24.7), 'rs_6m': np.float64(32.4), 'rs_line_percentile': 90.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 12.0, 'operating_margin_pct': 44.9}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 10.6}",87.98,578610176,Financial Services,Banks - Regional,2.2,2.3,False,93.9,-6.3,8.0,True,97.33,105.0,90.0,3.0,strong_buy,10.6,,,168.43,91.4,,,0.76,8.5,0.67,0.61,True,-2.35,,26.4,50.0,2026-04-30,False,False,5.0,NEUTRAL,,,0.45,2026-03-11T07:50:03.051931
BBT,Beacon Financial Corporation,68.8,⭐⭐ GOOD,🟡 Good,55.0,100.0,63.9,60.0,55.0,60.0,74.9,False,up,,,0,142.6,True,2,{'profit_margin_pct': 17.6},"{'revenue_growth_yoy': np.float64(142.6), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(15.7), 'rs_6m': np.float64(7.9), 'rs_line_percentile': 74.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 4.9, 'operating_margin_pct': 58.3}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 19.3}",28.98,2431678720,Financial Services,Banks - Regional,5.1,4.0,False,32.0,-9.4,8.0,True,34.57,42.0,31.0,7.0,none,19.3,,,30.9,6.6,,,4.44,124.9,1.29,4.53,False,,,250.4,43.0,2026-04-23,False,False,4.0,NEUTRAL,,,0.01,2026-03-11T07:48:18.256661
