ticker,vcp_score,ml_score,momentum_score,trend_score,volume_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,insiders_score,institutional_score,num_whales,top_whales,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
EXEL,0.0,50.0,6.029999999999999,,,"Exelixis, Inc.",60.3,Healthcare,Biotechnology,60.0,50.0,47.6,95.0,60.0,41.545,11138718720,35.0,37.2,False,down,,,0,7.8,False,0,15.5,11.2,True,49.62,-16.3,3.0,False,"{'roe_pct': 35.5, 'debt_to_equity': 0.09, 'current_ratio': 3.56, 'operating_margin_pct': 39.4}",{'profit_margin_pct': 33.7},46.83,60.0,35.0,18.0,buy,12.7,103.06,148.1,84.0,102.2,5.67,2.43,,,,True,-8.51,88.9,58.9,66.0,2026-05-12,False,False,,,,,,70.0,0.0,0.0,,8.0,0.0,15.0,18.1,2026-03-07 10:46:01,2026-03-07,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,DISTRIBUTION,30,"Moderate distribution (0.6x ratio, 38% up volume)",MEGA_FLOAT,210.9,38.0,33.1,35.0,False,down,37.2,0.0,,0,False,0,0.0,12,41.0,73.2,Medio,49.6,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,False,1/3,73.12,5.0,0.0,6.0,0.0,3.0,5.0,1.59,0.0,⭐⭐ STRONG,🟢 Excellent,,,,,,,
LPG,0.0,50.0,31.19,,,Dorian LPG Ltd.,71.9,Energy,Oil & Gas Midstream,60.0,80.0,79.4,80.0,60.0,34.08,1456719104,80.0,82.0,False,up,,,0,58.1,False,0,4.6,2.6,False,38.4,-11.3,8.0,True,"{'roe_pct': 11.2, 'debt_to_equity': 0.62, 'current_ratio': 2.42, 'operating_margin_pct': 43.3}",{'profit_margin_pct': 30.4},37.25,41.0,31.0,4.0,buy,9.3,100.74,195.6,81.3,138.6,6.97,2.38,6.89,86.6,,True,-0.46,5.4,121.6,75.0,2026-05-21,False,False,,,,,,90.0,0.0,0.0,,64.6,0.0,15.0,21.6,2026-03-07 10:46:01,2026-03-07,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),STRONG_ACCUMULATION,75,"Strong institutional buying (1.9x ratio, 65% up volume)",MEDIUM_FLOAT,36.8,0.0,36.6,80.0,False,up,82.0,5.0,,0,False,0,0.0,1,41.0,100.0,Top 10%,78.4,5.0,0.0,3.0,10.0,0.0,0.0,5.0,0.0,False,3/3,72.76,8.0,0.0,6.0,0.0,3.0,5.0,1.16,0.0,⭐⭐ STRONG,🟢 Excellent,HOLD,55.0,Close to ATH (-11.3% from high) - wait for pullback,-11.3,NEUTRAL,BUY,False
LIFE,0.0,50.0,0.0,,,Ethos Technologies Inc.,61.0,Financial Services,Insurance - Life,55.0,50.0,54.0,95.0,70.0,13.16,826595456,60.0,50.6,False,down,,,0,,,0,1.6,0.4,False,19.0,-30.7,,,"{'roe_pct': 21.0, 'debt_to_equity': 0.01, 'current_ratio': 2.17, 'operating_margin_pct': 22.2}",{'profit_margin_pct': 18.4},20.25,31.0,14.0,8.0,strong_buy,53.9,70.39,434.9,33.3,153.0,6.17,1.66,,,,False,,100.3,162.5,,,False,False,,,,,,100.0,0.0,0.0,,13.299999999999997,0.0,15.0,18.3,2026-03-07 10:46:01,2026-03-07,CONFIRMED_UPTREND,TRADE,False,0,Insufficient data,UNKNOWN,50,Insufficient data,MICRO_FLOAT,6.8,20.0,33.3,60.0,False,down,50.6,0.0,,0,,0,0.0,,41.0,,Sin datos suficientes,50.6,0.0,0.0,-5.0,0.0,0.0,0.0,5.0,0.0,False,1/3,68.4,0.0,0.0,6.0,0.0,0.0,5.0,6.74,3.0,⭐ GOOD,🟢 Excellent,,,,,,,
INDV,0.0,50.0,16.33,,,"Indivior Pharmaceuticals, Inc.",58.3,Healthcare,Drug Manufacturers - Specialty & Generic,55.0,50.0,74.0,50.0,70.0,32.27,4034538496,80.0,84.5,False,down,,,0,5.0,False,0,8.9,7.0,True,38.0,-15.1,7.0,True,"{'current_ratio': 0.71, 'operating_margin_pct': 37.2}",{'profit_margin_pct': 16.9},46.86,54.0,39.0,7.0,strong_buy,45.2,75.22,133.1,29.7,-8.0,5.5,1.77,,,,True,-1.54,5.7,376.2,54.0,2026-04-30,False,False,,,,,,100.0,0.0,0.0,,38.5,0.0,15.0,17.5,2026-03-07 10:46:01,2026-03-07,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 43% up volume)",HIGH_FLOAT,107.0,15.0,32.5,80.0,False,down,84.5,3.0,,0,False,0,0.0,9,41.0,80.5,Top 25%,59.6,3.0,3.0,0.0,7.0,0.0,0.0,5.0,0.0,False,2/3,67.32,5.0,0.0,6.0,0.0,3.0,5.0,5.65,3.0,⭐ GOOD,🟢 Excellent,,,,,,,
PACS,0.0,50.0,16.810000000000002,,,"PACS Group, Inc.",63.1,Healthcare,Medical Care Facilities,50.0,70.0,80.3,50.0,70.0,34.28,5387616768,80.0,80.0,False,down,,,0,11.3,True,1,8.7,4.0,True,43.08,-20.4,7.0,True,"{'roe_pct': 23.0, 'debt_to_equity': 3.78, 'current_ratio': 1.07, 'operating_margin_pct': 7.0}",{'profit_margin_pct': 3.6},46.4,52.0,42.0,5.0,strong_buy,35.4,65.27,90.4,35.4,3.3,4.49,1.54,,,,False,,9.9,57.2,61.0,2026-05-07,False,False,,,,,,70.0,0.0,0.0,,51.9,0.0,15.0,18.9,2026-03-07 10:46:01,2026-03-07,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (0.9x ratio, 47% up volume)",MEDIUM_FLOAT,45.9,5.0,33.9,80.0,False,down,80.0,3.0,,0,True,1,2.0,8,41.0,82.9,Top 25%,61.2,3.0,3.0,0.0,7.0,0.0,0.0,5.0,0.0,False,2/3,64.24000000000001,5.0,0.0,3.0,0.0,0.0,5.0,4.42,3.0,⭐ GOOD,🟡 Good,,,,,,,
FTAI,0.0,50.0,17.43,,,FTAI Aviation Ltd.,69.3,Industrials,Rental & Leasing Services,55.0,80.0,83.0,65.0,65.0,260.35,26704953344,80.0,78.7,False,up,,,0,33.7,False,0,3.8,1.8,False,323.51,-19.5,7.0,True,"{'roe_pct': 241.2, 'debt_to_equity': 10.46, 'current_ratio': 5.28, 'operating_margin_pct': 28.5}",{'profit_margin_pct': 20.0},334.2,375.0,266.0,10.0,strong_buy,28.4,,,123.97,-52.4,-2.89,-7.53,0.49,27.5,3.38,True,-0.46,3.3,29.8,54.0,2026-04-30,False,False,,,,,,90.0,0.0,0.0,,52.8,0.0,15.0,20.8,2026-03-07 10:46:01,2026-03-07,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 55% up volume)",HIGH_FLOAT,101.1,0.0,35.8,80.0,False,up,78.7,5.0,,0,False,0,0.0,20,41.0,53.7,Medio,39.4,0.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,False,3/3,63.72,0.0,0.0,-5.0,0.0,3.0,5.0,3.55,3.0,⭐ GOOD,🟡 Good,,,,,,,
MSFT,0.0,50.0,0.0,,,Microsoft Corporation,60.8,Technology,Software - Infrastructure,60.0,70.0,24.0,90.0,70.0,408.96,3039545262080,15.0,15.7,False,down,,,0,16.0,True,1,0.8,1.3,False,555.45,-26.4,0.0,False,"{'roe_pct': 34.4, 'debt_to_equity': 0.32, 'current_ratio': 1.39, 'operating_margin_pct': 47.1}",{'profit_margin_pct': 39.0},596.0,730.0,392.0,53.0,strong_buy,45.7,306.34,-25.1,477.3,16.7,1.76,7.22,0.89,21.3,0.79,True,-0.74,56.4,59.8,53.0,2026-04-29,False,False,,,,,,70.0,0.0,0.0,,5.0,0.0,15.0,18.2,2026-03-07 10:46:01,2026-03-07,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 41% up volume)",MEGA_FLOAT,7414.9,38.0,33.2,15.0,False,down,15.7,0.0,,0,True,1,2.0,37,41.0,12.2,Bottom 25%,11.0,-3.0,0.0,0.0,-5.0,0.0,0.0,5.0,0.0,False,1/3,62.32,-3.0,0.0,0.0,0.0,3.0,5.0,5.71,3.0,⭐ GOOD,🟡 Good,,,,,,,
MCY,0.0,50.0,30.16,,,Mercury General Corporation,61.6,Financial Services,Insurance - Property & Casualty,50.0,60.0,73.1,70.0,65.0,90.48,5011563008,80.0,86.9,False,down,,,0,10.2,False,0,7.2,7.8,False,100.06,-9.6,8.0,True,"{'roe_pct': 24.8, 'debt_to_equity': 0.24, 'current_ratio': 0.56, 'operating_margin_pct': 16.7}",{'profit_margin_pct': 9.0},110.0,110.0,110.0,1.0,strong_buy,21.6,1931.42,2034.6,290.7,221.3,50.34,45.54,1.39,13.0,3.68,False,,24.2,50.4,65.0,2026-05-11,False,False,,,,,,70.0,0.0,0.0,,55.5,0.0,15.0,18.5,2026-03-07 10:46:01,2026-03-07,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",MEDIUM_FLOAT,26.6,0.0,33.5,80.0,False,down,86.9,3.0,,0,False,0,0.0,21,41.0,51.2,Medio,38.3,0.0,1.0,3.0,10.0,0.0,0.0,5.0,0.0,False,3/3,61.64,0.0,0.0,8.0,0.0,0.0,5.0,2.7,1.0,⭐ GOOD,🟡 Good,,,,,,,
NVT,0.0,50.0,26.41,,,nVent Electric plc,69.1,Industrials,Electrical Equipment & Parts,55.0,80.0,70.4,80.0,65.0,106.02,17146558464,80.0,78.2,False,up,,,0,31.8,False,0,3.0,1.7,False,122.92,-13.7,7.0,True,"{'roe_pct': 12.3, 'debt_to_equity': 0.46, 'current_ratio': 1.63, 'operating_margin_pct': 16.2}",{'profit_margin_pct': 18.2},127.39,148.0,68.04,13.0,strong_buy,20.2,150.58,42.0,74.7,-29.5,3.35,3.55,0.76,30.8,1.49,True,-1.48,8.3,1112.4,55.0,2026-05-01,False,False,,,,,,90.0,0.0,0.0,,55.7,0.0,15.0,20.7,2026-03-07 10:46:01,2026-03-07,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 50% up volume)",HIGH_FLOAT,160.9,0.0,35.7,80.0,False,up,78.2,5.0,,0,False,0,0.0,22,41.0,48.8,Bajo 50%,33.4,0.0,0.0,3.0,7.0,0.0,0.0,5.0,0.0,False,3/3,61.64,0.0,0.0,3.0,0.0,3.0,5.0,2.52,1.0,⭐ GOOD,🟡 Good,,,,,,,
ACNB,0.0,50.0,22.78,,,ACNB Corporation,62.8,Financial Services,Banks - Regional,60.0,80.0,47.6,65.0,55.0,47.5,493278560,35.0,48.5,False,flat,,,0,50.7,False,0,1.3,3.7,False,53.89,-11.9,6.0,False,"{'roe_pct': 10.2, 'operating_margin_pct': 41.9}",{'profit_margin_pct': 25.3},56.67,57.0,56.0,3.0,none,19.3,,,104.7,120.4,,,3.11,38.3,3.15,True,-1.76,,17.5,47.0,2026-04-23,False,False,,,,,,70.0,0.0,0.0,,46.8,0.0,15.0,18.8,2026-03-07 10:46:01,2026-03-07,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (0.9x ratio, 47% up volume)",MICRO_FLOAT,10.0,5.0,33.8,35.0,False,flat,48.5,0.0,,0,False,0,0.0,5,41.0,90.2,Top 10%,66.2,5.0,0.0,3.0,5.0,0.0,0.0,5.0,0.0,False,2/3,61.120000000000005,0.0,0.0,0.0,5.0,3.0,5.0,2.41,1.0,⭐ GOOD,🟡 Good,,,,,,,
