ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
LAKE,"Lakeland Industries,",Oversold Bounce,⭐⭐⭐ EXCELENTE,100,8.6,$10.59 - $11.02,15.78,10.26,0.0,2026-03-07,17.1,-42.7,10.81,15.78,-20.4,1.32,,,,,,
POOL,POOL,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,213.66,$236.75 - $246.41,269.74,229.5,0.0,2026-03-07,18.8,-21.3,241.58,269.74,-11.6,0.61,,,,,,
SXC,"SunCoke Energy,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,5.92,$6.07 - $6.32,8.22,5.89,67.11,2026-03-07,23.3,-29.0,6.2,8.22,-4.4,0.89,,,,,,
SPRU,Spruce Power Holding,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,3.46,$3.24 - $3.38,5.75,3.14,7.26,2026-03-07,8.6,-46.4,3.31,5.75,4.5,0.64,,,,,,
BH,Biglari,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,304.6,$316.17 - $329.07,425.96,306.49,0.0,2026-03-07,25.0,-36.1,322.62,425.96,-5.6,1.0,,,,,,
VEEE,VEEE,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,0.4,$1.56 - $1.62,2.67,1.51,0.0,2026-03-07,13.0,-81.5,1.59,2.67,-75.0,0.79,,,,,,
CNTM,"ConnectM Technology Solutions,",Oversold Bounce,⭐⭐ MUY BUENA,75,0.25,$0.21 - $0.22,0.34,0.2,1.99,2026-03-07,26.7,-50.2,0.21,0.34,16.4,1.73,,,,,,
NRDY,Nerdy,Oversold Bounce,⭐⭐ MUY BUENA,70,0.88,$0.96 - $1.0,1.27,0.93,0.0,2026-03-07,31.6,-38.0,0.98,1.27,-10.1,2.65,,,,,,
SSTI,SSTI,Oversold Bounce,⭐⭐ MUY BUENA,70,7.2,$7.0 - $7.28,9.07,6.78,4.48,2026-03-07,46.6,-20.6,7.14,9.07,0.8,1.26,,,,,,
FIS,"Fidelity National Information Services,",Oversold Bounce,⭐⭐ MUY BUENA,70,51.49,$60.33 - $62.8,67.39,58.49,0.0,2026-03-07,72.3,-23.8,61.56,67.39,-16.4,1.21,,,,,,
VENU,Venu Holding,Oversold Bounce,⭐⭐ MUY BUENA,70,4.84,$8.36 - $8.71,12.16,8.11,0.0,2026-03-07,34.9,-51.7,8.53,12.16,-43.3,1.9,,,,,,
BLIN,BLIN,Bull Flag Pullback,⭐ BUENA,60,0.93,$0.91 - $0.95,1.07,0.81,1.16,2026-03-07,,,,,,,52.9,-13.1,0.83,0.83,Bearish,False
FLYW,Flywire,Bull Flag Pullback,⭐ BUENA,60,13.28,$13.01 - $13.55,14.81,12.5,1.97,2026-03-07,,,,,,,39.2,-10.3,12.89,12.89,Bearish,False
APTV,Aptiv PLC,Oversold Bounce,MODERADA,55,72.7,$74.4 - $77.44,86.64,72.12,24.2,2026-03-07,22.1,-18.0,75.92,86.64,-4.2,1.17,,,,,,
NKE,"NIKE,",Oversold Bounce,MODERADA,55,57.01,$59.07 - $61.48,66.6,57.26,0.0,2026-03-07,29.2,-15.3,60.27,66.6,-5.4,1.04,,,,,,
IP,International Paper,Oversold Bounce,MODERADA,55,39.53,$37.84 - $39.39,46.13,36.68,2.32,2026-03-07,8.7,-18.8,38.61,46.13,2.4,0.95,,,,,,
PATK,"Patrick Industries,",Oversold Bounce,MODERADA,55,115.81,$94.29 - $98.14,123.82,91.41,0.33,2026-03-07,3.6,-20.3,96.22,123.82,20.4,1.15,,,,,,
MNRO,"Monro,",Oversold Bounce,MODERADA,55,18.38,$16.7 - $17.38,21.04,16.19,1.21,2026-03-07,7.3,-21.8,17.04,21.04,7.9,1.03,,,,,,
WS,"Worthington Steel,",Oversold Bounce,MODERADA,55,37.53,$29.22 - $30.42,36.5,28.33,-0.11,2026-03-07,12.0,-22.9,29.82,36.5,25.9,1.0,,,,,,
KKR,KKR &,Oversold Bounce,MODERADA,50,91.33,$114.78 - $119.47,135.57,111.27,0.0,2026-03-07,37.0,-35.9,117.13,135.57,-22.0,0.91,,,,,,
CRM,"Salesforce,",Oversold Bounce,MODERADA,50,202.11,$220.51 - $229.51,264.61,213.76,0.0,2026-03-07,60.1,-24.1,225.01,264.61,-10.2,0.67,,,,,,
PODD,Insulet,Oversold Bounce,MODERADA,50,237.01,$299.86 - $312.1,314.2,290.68,0.0,2026-03-07,45.7,-20.8,305.98,314.2,-22.5,1.07,,,,,,
CSGP,CSGP,Oversold Bounce,MODERADA,50,48.38,$62.35 - $64.89,68.53,60.44,0.0,2026-03-07,59.5,-29.1,63.62,68.53,-24.0,0.57,,,,,,
ALIT,"Alight,",Oversold Bounce,MODERADA,50,0.93,$1.67 - $1.74,2.36,1.62,0.0,2026-03-07,30.8,-56.2,1.71,2.36,-45.4,0.82,,,,,,
HUM,HUM,Oversold Bounce,MODERADA,50,179.15,$241.01 - $250.85,283.95,233.63,0.0,2026-03-07,45.3,-36.9,245.93,283.95,-27.2,0.51,,,,,,
SQNS,Sequansmmunications S.A.,Oversold Bounce,MODERADA,50,3.14,$5.27 - $5.49,6.27,5.11,0.0,2026-03-07,48.3,-53.5,5.38,6.27,-41.6,0.75,,,,,,
NAVN,"Navan,",Oversold Bounce,MODERADA,50,10.48,$12.64 - $13.16,18.06,12.25,0.0,2026-03-07,50.3,-42.0,12.9,18.06,-18.8,0.74,,,,,,
WYY,WidePoint,Oversold Bounce,MODERADA,50,4.63,$5.2 - $5.42,7.34,5.04,0.0,2026-03-07,45.0,-37.3,5.31,7.34,-12.8,0.29,,,,,,
RAL,Ralliant,Oversold Bounce,MODERADA,50,44.64,$42.09 - $43.81,48.38,40.81,0.98,2026-03-07,51.8,-20.7,42.95,48.38,3.9,0.7,,,,,,
VRNS,"Varonis Systems,",Oversold Bounce,MODERADA,50,24.39,$29.6 - $30.8,47.79,28.69,0.0,2026-03-07,44.3,-31.8,30.2,47.79,-19.2,0.61,,,,,,
CNDT,CNDT,Oversold Bounce,MODERADA,50,1.39,$1.79 - $1.86,2.07,1.73,0.0,2026-03-07,39.7,-33.5,1.82,2.07,-23.8,0.84,,,,,,
MSTR,Strategy,Oversold Bounce,MODERADA,50,133.53,$158.0 - $164.45,188.99,153.16,0.0,2026-03-07,49.8,-29.3,161.22,188.99,-17.2,0.83,,,,,,
LAW,"CS Disco,",Oversold Bounce,MODERADA,50,4.79,$5.81 - $6.04,7.14,5.63,0.0,2026-03-07,63.8,-46.2,5.92,7.14,-19.2,0.54,,,,,,
VERX,VERX,Oversold Bounce,MODERADA,50,15.25,$18.72 - $19.48,23.28,18.15,0.0,2026-03-07,68.0,-26.0,19.1,23.28,-20.2,0.4,,,,,,
SVCO,"Silvaco Group,",Oversold Bounce,MODERADA,50,3.23,$3.93 - $4.09,4.83,3.81,0.0,2026-03-07,31.1,-34.9,4.01,4.83,-19.5,0.93,,,,,,
SONO,"Sonos,",Oversold Bounce,MODERADA,50,14.27,$14.81 - $15.41,17.83,14.35,0.0,2026-03-07,37.0,-25.5,15.11,17.83,-5.6,0.76,,,,,,
INTZ,Intrusion,Oversold Bounce,MODERADA,50,1.06,$1.13 - $1.17,1.75,1.09,0.0,2026-03-07,58.8,-29.3,1.15,1.75,-7.8,0.79,,,,,,
SPT,"Sprout Social,",Oversold Bounce,MODERADA,50,6.45,$9.16 - $9.54,11.37,8.88,0.0,2026-03-07,41.0,-44.7,9.35,11.37,-31.0,0.87,,,,,,
IT,"Gartner,",Oversold Bounce,MODERADA,50,169.0,$219.65 - $228.61,256.38,212.92,0.0,2026-03-07,60.1,-33.6,224.13,256.38,-24.6,0.74,,,,,,
CSPI,CSPI,Oversold Bounce,MODERADA,50,8.71,$10.82 - $11.26,13.47,10.49,0.0,2026-03-07,36.3,-41.4,11.04,13.47,-21.1,0.76,,,,,,
LYFT,"Lyft,",Oversold Bounce,MODERADA,50,13.25,$18.86 - $19.64,22.97,18.29,0.0,2026-03-07,49.8,-39.2,19.25,22.97,-31.2,0.5,,,,,,
TENB,"Tenable,",Oversold Bounce,MODERADA,50,21.04,$22.23 - $23.14,26.81,21.55,0.0,2026-03-07,41.7,-21.5,22.68,26.81,-7.3,0.89,,,,,,
MERC,Mercer International,Oversold Bounce,MODERADA,50,1.68,$1.65 - $1.71,2.65,1.6,11.55,2026-03-07,44.8,-39.8,1.68,2.65,0.0,0.65,,,,,,
ACVA,ACV Auctions,Oversold Bounce,MODERADA,50,5.12,$7.57 - $7.87,8.98,7.33,0.0,2026-03-07,32.2,-43.0,7.72,8.98,-33.7,0.49,,,,,,
FWDI,"Forward Industries,",Oversold Bounce,MODERADA,50,4.83,$5.23 - $5.44,8.78,5.07,0.0,2026-03-07,50.0,-45.0,5.34,8.78,-9.5,1.07,,,,,,
