ticker,cerebro_signal,cerebro_score_adj,cerebro_reason,updated_at
7741.T,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-07-30
ABT,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-07-30
AI.PA,WATCH,0,Caro vs peers en Basic Materials (FCF rank 6/6) | Piotroski fuerte (7.0/9),2026-07-30
AON,WATCH,3,Piotroski fuerte (8.0/9),2026-07-30
ASAZY,CAUTION,-4,Value trap MEDIUM: Sin cobertura de analistas — tesis sin verificar externamente | EPS revision DOWN: EPS consensus ↓2.5% (1.07→1.04) | Piotroski fuerte (8.0/9) | Mejor FCF en Industrials (45.3% vs media sector 5.8%),2026-07-30
ATLKY,BEST,5,Mejor FCF en Industrials (26.1% vs media sector 5.8%),2026-07-30
AUTO.L,BEST,5,Mejor FCF en Communication Services (5.9% vs media sector 5.1%),2026-07-30
AXP,CONFIRM,12,Smart money: 1 HF + 0 insiders (conv 30) | EPS revision UP: EPS consensus ↑3.3% (18.07→18.66); Revenue estimate ↑2.2%,2026-07-30
BRK-B,BEST,5,Mejor FCF en Financial Services (5.5% vs media sector 4.2%),2026-07-30
BRO,AVOID,-15,Quality decay MEDIUM: Margen op. cayó 21.0pp (47.2% → 26.2%) | Thesis drift HIGH (45d): Score cayó 13pts en 45d (53→41) | Mejor FCF en Financial Services (5.3% vs media sector 4.2%),2026-07-30
CBOE,CAUTION,-11,Thesis drift MEDIUM: Score cayó 13pts en 45d (43→29) | Señal salida MEDIUM: Score cayó 23pts (52 → 29) | Piotroski fuerte (8.0/9),2026-07-30
CDNS,WATCH,0,Caro vs peers en Technology (FCF rank 11/13) | Piotroski fuerte (7.0/9),2026-07-30
CLPBY,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Healthcare (28.1% vs media sector 6.4%),2026-07-30
CME,WATCH,1,Caro vs peers en Financial Services (FCF rank 13/15) | EPS revision UP: EPS consensus ↑2.8% (12.09→12.43); Revenue estimate ↑1.9%,2026-07-30
CNI,WATCH,3,Piotroski fuerte (7.0/9),2026-07-30
COST,CAUTION,-14,Thesis drift MEDIUM: Score cayó 32pts en 45d (54→22) | Señal salida MEDIUM: Score cayó 29pts (52 → 22) | Caro vs peers en Consumer Defensive (FCF rank 10/12) | Piotroski fuerte (7.0/9),2026-07-30
CTAS,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-07-30
DBOEY,WATCH,4,EPS revision UP: EPS consensus ↑2.1% (1.64→1.67),2026-07-30
DHR,CAUTION,-6,Thesis drift MEDIUM: Upside analistas cayó 11pp (26%→14%),2026-07-30
ETN,CAUTION,-6,Thesis drift MEDIUM: Score cayó 10pts en 45d (47→37) | Caro vs peers en Industrials (FCF rank 22/24) | Piotroski fuerte (7.0/9),2026-07-30
EXPN.L,WATCH,3,Piotroski fuerte (9.0/9),2026-07-30
FICO,WATCH,9,Short squeeze MEDIUM: 11.4% short · Short moderado (11.4% del float); Piotroski 7/9 — calidad mejorando | Piotroski fuerte (7.0/9),2026-07-30
GVDNY,WATCH,4,EPS revision UP: EPS consensus ↑2.5% (2.84→2.91); Revenue estimate ↑1.6%,2026-07-30
HEI,WATCH,0,Caro vs peers en Industrials (FCF rank 23/24) | Piotroski fuerte (8.0/9),2026-07-30
HESAY,WATCH,0,Caro vs peers en Consumer Cyclical (FCF rank 10/12) | Piotroski fuerte (8.0/9),2026-07-30
ICE,WATCH,3,Piotroski fuerte (8.0/9),2026-07-30
IDXX,WATCH,0,Caro vs peers en Healthcare (FCF rank 10/11) | Piotroski fuerte (8.0/9),2026-07-30
