ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,analyzed_at
LPG,Dorian LPG Ltd.,72.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,82.6,80.0,60.0,100.0,96.0,True,up,,,0,58.1,False,0,{'profit_margin_pct': 30.4},"{'revenue_growth_yoy': np.float64(58.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(38.5), 'rs_6m': np.float64(6.8), 'rs_line_percentile': 96.0, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 11.2, 'debt_to_equity': 0.62, 'current_ratio': 2.42, 'operating_margin_pct': 43.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 1.7}",34.65,1481083264,Energy,Oil & Gas Midstream,4.9,3.0,False,35.82,-3.3,8.0,True,35.25,41.0,31.0,4.0,buy,1.7,100.74,190.7,84.9,145.0,2026-02-24T08:41:30.034079
BBT,Beacon Financial Corporation,72.4,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,100.0,79.4,60.0,60.0,80.0,85.5,False,up,,,0,58.1,True,2,{'profit_margin_pct': 17.6},"{'revenue_growth_yoy': np.float64(58.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(23.2), 'rs_6m': np.float64(11.5), 'rs_line_percentile': 85.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 4.9, 'operating_margin_pct': 46.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 12.8}",30.66,2572645632,Financial Services,Banks - Regional,4.9,5.2,False,31.95,-4.0,8.0,True,34.57,42.0,31.0,7.0,buy,12.8,,,30.9,0.8,2026-02-24T08:41:05.739084
CCNE,CNB Financial Corporation,72.4,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,100.0,71.9,60.0,60.0,80.0,88.7,False,up,,,0,31.6,True,2,{'profit_margin_pct': 24.2},"{'revenue_growth_yoy': np.float64(31.6), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(16.2), 'rs_6m': np.float64(5.7), 'rs_line_percentile': 88.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 8.9, 'operating_margin_pct': 50.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 12.3}",29.1,857758592,Financial Services,Banks - Regional,1.2,2.5,False,30.84,-5.6,8.0,True,32.67,35.0,29.0,3.0,buy,12.3,,,63.0,116.5,2026-02-24T08:38:50.358993
MSGM,Motorsport Games Inc.,72.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,71.4,100.0,50.0,60.0,64.2,False,up,,,0,57.1,False,0,{'profit_margin_pct': 36.6},"{'revenue_growth_yoy': np.float64(57.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(33.9), 'rs_6m': np.float64(13.4), 'rs_line_percentile': 64.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 70.3, 'debt_to_equity': 0.0, 'current_ratio': 1.92, 'operating_margin_pct': 25.8}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",3.51,17825362,Communication Services,Electronic Gaming & Multimedia,3.3,0.6,False,5.409,-35.1,6.0,False,,,,,none,,,,4.2,19.7,2026-02-24T08:43:46.646821
PRIM,Primoris Services Corporation,72.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,50.0,90.0,91.0,70.0,60.0,100.0,98.0,True,up,,,0,25.1,True,2,{'profit_margin_pct': 3.7},"{'revenue_growth_yoy': np.float64(25.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(37.1), 'rs_6m': np.float64(38.6), 'rs_line_percentile': 98.0, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 18.6, 'debt_to_equity': 0.59, 'current_ratio': 1.2, 'operating_margin_pct': 6.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': -8.0}",165.64,8949918720,Industrials,Engineering & Construction,6.8,3.8,False,174.43,-5.0,8.0,True,152.46,175.0,128.0,13.0,buy,-8.0,363.82,119.6,151.5,-8.5,2026-02-24T08:41:53.947016
PKBK,"Parke Bancorp, Inc.",71.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,83.0,65.0,50.0,80.0,89.1,False,up,,,0,25.4,True,2,{'profit_margin_pct': 48.8},"{'revenue_growth_yoy': np.float64(25.4), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(25.7), 'rs_6m': np.float64(20.5), 'rs_line_percentile': 89.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 12.1, 'operating_margin_pct': 68.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",27.79,329233600,Financial Services,Banks - Regional,1.0,1.2,False,29.5,-5.8,8.0,True,,,,,none,,,,94.8,241.1,2026-02-24T08:42:32.941023
CHUC,"Charlie's Holdings, Inc.",71.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,75.0,75.0,50.0,60.0,70.0,False,up,,,0,298.9,True,1,{'profit_margin_pct': 23.7},"{'revenue_growth_yoy': np.float64(298.9), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(55.3), 'rs_6m': np.float64(27.2), 'rs_line_percentile': 70.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 328.1, 'debt_to_equity': 0.99, 'current_ratio': 1.46, 'operating_margin_pct': -4.8}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",0.28,75782912,Consumer Defensive,Tobacco,,0.1,False,0.38,-26.3,7.0,True,,,,,none,,,,0.1,-64.3,2026-02-24T08:40:34.009783
FTAI,FTAI Aviation Ltd.,71.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,89.0,65.0,60.0,95.0,96.5,False,up,,,0,33.7,False,0,{'profit_margin_pct': 20.8},"{'revenue_growth_yoy': np.float64(33.7), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(75.6), 'rs_6m': np.float64(86.5), 'rs_line_percentile': 96.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 263.0, 'debt_to_equity': 13.81, 'current_ratio': 5.84, 'operating_margin_pct': 31.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 10.7}",284.23,29154304000,Industrials,Rental & Leasing Services,4.1,1.6,False,310.0,-8.3,8.0,True,314.6,350.0,260.0,10.0,strong_buy,10.7,,,131.4,-53.8,2026-02-24T08:41:11.426385
NVT,nVent Electric plc,71.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,80.0,82.7,80.0,60.0,95.0,94.3,False,up,,,0,40.1,False,0,{'profit_margin_pct': 18.2},"{'revenue_growth_yoy': np.float64(40.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(8.5), 'rs_6m': np.float64(21.7), 'rs_line_percentile': 94.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 12.3, 'debt_to_equity': 0.46, 'current_ratio': 1.63, 'operating_margin_pct': 16.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 10.5}",114.93,18587568128,Industrials,Electrical Equipment & Parts,2.3,1.9,False,120.85,-4.9,8.0,True,127.0,148.0,68.04,13.0,strong_buy,10.5,150.58,31.0,78.0,-32.1,2026-02-24T08:41:39.821396
SEI,"Solaris Energy Infrastructure, ",70.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,50.0,80.0,80.3,80.0,70.0,80.0,82.7,False,down,,,0,73.3,False,0,{'profit_margin_pct': 7.1},"{'revenue_growth_yoy': np.float64(73.3), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(18.3), 'rs_6m': np.float64(71.5), 'rs_line_percentile': 82.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 80}","{'roe_pct': 11.2, 'debt_to_equity': 0.63, 'current_ratio': 2.4, 'operating_margin_pct': 22.8}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 30.5}",50.67,3637169920,Energy,Oil & Gas Equipment & Services,27.1,5.0,True,61.36,-17.4,7.0,True,66.1,71.0,61.0,10.0,strong_buy,30.5,,,9.4,-81.4,2026-02-24T08:36:48.724862
