ticker,cerebro_signal,cerebro_score_adj,cerebro_reason,updated_at
ADP,BEST,8,Piotroski fuerte (8.0/9) | Mejor FCF en Technology (5.3% vs media sector 4.0%),2026-05-27
AI.PA,WATCH,0,Caro vs peers en Basic Materials (FCF rank 6/6) | Piotroski fuerte (7.0/9),2026-05-27
AJG,WATCH,-3,Caro vs peers en Financial Services (FCF rank 13/13),2026-05-27
AON,CAUTION,-3,Thesis drift MEDIUM: Score cayó 36pts en 43d (73→37) | Piotroski fuerte (8.0/9),2026-05-27
ASAZY,BEST,8,Piotroski fuerte (8.0/9) | Mejor FCF en Industrials (43.3% vs media sector 6.2%),2026-05-27
ATLKY,AVOID,-7,Thesis drift HIGH (43d): Score cayó 15pts en 43d (60→45) | Mejor FCF en Industrials (23.2% vs media sector 6.2%),2026-05-27
AUTO.L,CAUTION,8,Señal salida MEDIUM: Score cayó 18pts (65 → 47) | Piotroski fuerte (8.0/9) | Mejor FCF en Communication Services (7.0% vs media sector 7.0%) | EPS revision STRONG_UP: EPS consensus ↑7.6% (0.39→0.42),2026-05-27
BR,CAUTION,0,"Thesis drift MEDIUM: Score cayó 48pts en 43d (78→31) | Señal salida MEDIUM: Score cayó 43pts (73 → 31) — caída técnica/momentum, balance sólido (Piotroski 8/9) | Opciones TIER2 (q=45): VALUE weak (31pts), FCF 6.8% | Piotroski fuerte (8.0/9) | Mejor FCF en Technology (6.8% vs media sector 4.0%)",2026-05-27
BRK-B,BEST,5,Mejor FCF en Financial Services (5.8% vs media sector 5.2%),2026-05-27
BRO,BEST,5,Mejor FCF en Financial Services (7.8% vs media sector 5.2%),2026-05-27
CDNS,CAUTION,-6,Thesis drift MEDIUM: Score cayó 37pts en 43d (61→23) | Caro vs peers en Technology (FCF rank 17/19) | Piotroski fuerte (7.0/9),2026-05-27
CLPBY,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-05-27
CTAS,CAUTION,-6,Thesis drift MEDIUM: Score cayó 35pts en 43d (65→31) | Caro vs peers en Industrials (FCF rank 23/24) | Piotroski fuerte (8.0/9),2026-05-27
EXPN.L,CAUTION,-2,Thesis drift MEDIUM: Score cayó 23pts en 43d (70→47) | EPS revision UP: EPS consensus ↑4.7% (2.74→2.87); Revenue estimate ↑4.6%,2026-05-27
FICO,WATCH,3,Piotroski fuerte (7.0/9),2026-05-27
G24.DE,EXIT,-15,Señal salida HIGH: Score cayó 29pts (73 → 44),2026-05-27
GVDNY,CAUTION,-3,Thesis drift MEDIUM: Score cayó 12pts en 43d (48→36) | Piotroski fuerte (7.0/9),2026-05-27
HESAY,CAUTION,-6,Thesis drift MEDIUM: Score cayó 14pts en 43d (52→38) | Caro vs peers en Consumer Cyclical (FCF rank 7/8) | Piotroski fuerte (8.0/9),2026-05-27
ICE,WATCH,3,Piotroski fuerte (8.0/9),2026-05-27
INTU,CAUTION,2,"Thesis drift MEDIUM: Score cayó 27pts en 43d (61→34) | Señal salida MEDIUM: Score cayó 33pts (67 → 34) — caída técnica/momentum, balance sólido (Piotroski 9/9) | Piotroski fuerte (9.0/9) | Mejor FCF en Technology (6.0% vs media sector 4.0%) | EPS revision STRONG_UP: EPS consensus ↑6.1% (26.66→28.28); Revenue estimate ↑3.8%",2026-05-27
ITRK.L,CAUTION,-6,Thesis drift MEDIUM: Score cayó 19pts en 43d (54→35),2026-05-27
JKHY,CAUTION,-11,"Thesis drift MEDIUM: Score cayó 47pts en 43d (74→28) | Señal salida MEDIUM: Score cayó 46pts (73 → 28) — caída técnica/momentum, balance sólido (Piotroski 9/9) | Piotroski fuerte (9.0/9)",2026-05-27
JNJ,CAUTION,-9,Thesis drift MEDIUM: Score cayó 13pts en 43d (52→39) | Caro vs peers en Healthcare (FCF rank 7/8),2026-05-27
KO,CONFIRM,11,Smart money: 1 HF + 0 insiders (conv 32) | Piotroski fuerte (7.0/9),2026-05-27
LSEG.L,CAUTION,-3,Thesis drift MEDIUM: Score cayó 15pts en 43d (48→34) | Piotroski fuerte (7.0/9),2026-05-27
MA,CONFIRM,17,"Smart money: 1 HF + 0 insiders (conv 41) | Opciones TIER2 (q=50): VALUE strong (86pts), DIRECTIONAL (80% calls) | Piotroski fuerte (9.0/9)",2026-05-27
MSFT,WATCH,-3,Caro vs peers en Technology (FCF rank 18/19),2026-05-27
NDAQ,CAUTION,-6,Thesis drift MEDIUM: Score cayó 12pts en 43d (66→54) | Caro vs peers en Financial Services (FCF rank 12/13) | Piotroski fuerte (9.0/9),2026-05-27
NDSN,WATCH,4,EPS revision UP: EPS consensus ↑3.3% (13.48→13.93); Revenue estimate ↑2.0%,2026-05-27
OTIS,BEST,5,Mejor FCF en Industrials (6.0% vs media sector 6.2%),2026-05-27
PGR,BEST,5,Mejor FCF en Financial Services (13.3% vs media sector 5.2%),2026-05-27
RELX,CAUTION,-11,Thesis drift MEDIUM: Score cayó 31pts en 43d (62→31) | Señal salida MEDIUM: Score cayó 34pts (65 → 31) | Piotroski fuerte (7.0/9),2026-05-27
ROP,CAUTION,-1,Thesis drift MEDIUM: Score cayó 19pts en 43d (55→35) | Mejor FCF en Technology (6.6% vs media sector 4.0%),2026-05-27
SAP,CAUTION,-11,"Thesis drift MEDIUM: Score cayó 26pts en 43d (63→38) | Señal salida MEDIUM: Score cayó 29pts (67 → 38) — caída técnica/momentum, balance sólido (Piotroski 8/9) | Piotroski fuerte (8.0/9)",2026-05-27
SPGI,CAUTION,-3,Thesis drift MEDIUM: Score cayó 22pts en 43d (59→36) | Piotroski fuerte (7.0/9),2026-05-27
TJX,WATCH,4,EPS revision UP: EPS consensus ↑3.5% (6.61→6.84); Revenue estimate ↑1.6%,2026-05-27
TNE.AX,REVISION_UP,5,Caro vs peers en Technology (FCF rank 16/19) | EPS revision STRONG_UP: EPS consensus ↑6.0% (0.90→0.96); Revenue estimate ↑6.4%,2026-05-27
TW,WATCH,-8,EPS revision STRONG_DOWN: EPS consensus ↓9.1% (4.76→4.32); Analistas: +14 (0→14),2026-05-27
V,EXIT,-16,Thesis drift MEDIUM: Score cayó 31pts en 43d (59→28) | Señal salida HIGH: Score cayó 36pts (64 → 28) | Caro vs peers en Financial Services (FCF rank 11/13) | Smart money: 1 HF + 0 insiders (conv 23),2026-05-27
VLTO,CAUTION,-6,Thesis drift MEDIUM: Score cayó 30pts en 43d (56→26),2026-05-27
VRSN,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-05-27
WM,CAUTION,-6,Thesis drift MEDIUM: Score cayó 18pts en 43d (56→39) | Caro vs peers en Industrials (FCF rank 22/24) | Piotroski fuerte (8.0/9),2026-05-27
WMT,WATCH,4,Caro vs peers en Consumer Defensive (FCF rank 7/7) | Piotroski fuerte (7.0/9) | EPS revision UP: EPS consensus ↑2.5% (5.14→5.27); Analistas: +39 (0→39),2026-05-27
WTKWY,EXIT,-13,Thesis drift MEDIUM: Score cayó 33pts en 43d (58→25) | Señal salida HIGH: Score cayó 46pts (71 → 25) | Piotroski fuerte (7.0/9) | Mejor FCF en Industrials (6.1% vs media sector 6.2%),2026-05-27
ZTS,CAUTION,-1,Thesis drift MEDIUM: Score cayó 19pts en 43d (51→32) | Mejor FCF en Healthcare (5.2% vs media sector 5.7%),2026-05-27
