ticker,vcp_score,vcp_quality,stage,consolidation_quality,current_price_x,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price_y,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage
MA,0.0,,,,,27.5,Mastercard Incorporated,53.8,Financial Services,Credit Services,75.0,50.0,24.0,50.0,65.0,498.54,440501895168.0,15.0,4.0,False,down,4.9,False,0.0,3.3,False,0.0,0.8,2.0,False,601.77,-17.2,1.0,False,"{'roe_pct': 232.1, 'debt_to_equity': 2.82, 'current_ratio': 0.98, 'operating_margin_pct': 60.8}","{'eps_growth_yoy': np.float64(4.9), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 45.9}",646.97,735.0,550.0,36.0,strong_buy,29.8,564.24,13.2,366.76,-26.4,3.67,18.41,0.7,18.2,0.54,True,-3.0,27.7,21.2,65.0,2026-07-30,False,False,9.0,STRONG,4.28,622.8,1.03,BULLISH,0.0,60.0,2.0,0.0,5.0,0.0,8.2,16.1,2026-05-26 09:01:10,2026-05-26,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",MEGA_FLOAT,875.8,23.0,24.4,15.0,False,down,4.0,0.0,False,0.0,False,0.0,0.0,23.0,29.0,24.1,Bottom 25%,8.1,-3.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,85.895,0.0,3.0,0.0,3.0,5.0,0.0,-1.17,0.0,1.0,0.0,10.0,25.0,1,Berkshire Hathaway (Buffett),8,RELIABLE/BUY (+8),CONFIRM,17.0,42,0.3962,MEDIA,0.0,⭐⭐ STRONG,🟢 Elite,,,,,,,,False,0,0.902,False,-16.78,3.93,-20.17,downtrend,stage1
ADP,63.73809523809524,Excellent,Stage Unknown,19.96163463419413,209.7100067138672,15.0,"Automatic Data Processing, Inc.",73.1,Technology,Software - Application,100.0,80.0,26.7,85.0,50.0,225.31,90064125952.0,15.0,9.9,False,down,49.3,True,1.0,15.8,True,2.0,3.8,4.5,False,329.93,-31.7,1.0,False,"{'roe_pct': 71.2, 'debt_to_equity': 0.69, 'current_ratio': 1.04, 'operating_margin_pct': 30.2}","{'eps_growth_yoy': np.float64(49.3), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.1}",246.33,305.0,190.0,15.0,hold,9.3,239.06,6.1,112.56,-50.0,5.27,11.88,3.02,60.5,2.02,True,-1.98,13.5,4.2,64.0,2026-07-29,False,False,8.0,STRONG,6.32,192.0,1.76,BULLISH,0.0,60.0,2.0,0.0,26.9,25.5,4.5,21.9,2026-05-26 09:01:10,2026-05-26,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 44% up volume)",MEGA_FLOAT,398.8,30.0,51.9,15.0,False,down,9.9,0.0,True,1.0,True,2.0,5.0,18.0,29.0,41.4,Bajo 50%,14.3,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,1/3,58.99,8.0,6.0,5.0,3.0,1.0,0.76,-5.47,1.0,2.0,0.0,10.0,5.0,0,,-8,RELIABLE/AVOID (-8),BEST,14.0,42,0.3385,MEDIA,31.67904761904762,⭐ GOOD,🟢 Excellent,,,,,,,,False,1,1.032,False,-29.99,19.74,-23.12,sideways,stage4
ASAZY,0.0,,,,,50.0,Assa Abloy AB,55.1,Industrials,Security & Protection Services,90.0,30.0,27.0,65.0,55.0,17.94,39854657536.0,15.0,0.3,False,down,44.4,False,0.0,-5.8,False,0.0,,,False,21.98,-18.4,3.0,False,"{'roe_pct': 15.0, 'debt_to_equity': 0.61, 'current_ratio': 1.0}","{'eps_growth_yoy': np.float64(44.4), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.5}",21.88,21.88,21.88,1.0,none,22.0,347.64,1837.8,22.8,27.1,43.33,8.2,1.84,41.6,1.7,False,,,22.2,52.0,2026-07-17,False,False,8.0,STRONG,,118.2,0.45,,,,,,0.6000000000000014,0.0,,16.5,2026-05-26 09:01:10,2026-05-26,CONFIRMED_UPTREND,TRADE,False,50,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",MEGA_FLOAT,970.0,23.0,23.6,15.0,False,down,0.3,0.0,False,0.0,False,0.0,0.0,,29.0,,Sin datos suficientes,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,61.040000000000006,8.0,8.0,3.0,0.0,5.0,0.0,36.75,1.0,1.0,0.0,10.0,,0,,3,MIXED/BUY (+3),CAUTION,0.0,7,,,5.510000000000001,🔵 DECENT,🟡 Good,,,,,,,,False,1,0.761,False,-17.65,22.22,-13.35,downtrend,stage4
ICE,0.0,,,,,81.6,Intercontinental Exchange Inc.,75.5,Financial Services,Financial Data & Stock Exchanges,100.0,80.0,36.0,75.0,70.0,152.97,86506446848.0,15.0,1.2,False,down,66.0,True,2.0,12.4,True,2.0,1.5,2.4,False,189.35,-19.2,1.0,False,"{'roe_pct': 13.9, 'debt_to_equity': 0.71, 'current_ratio': 1.01, 'operating_margin_pct': 57.3}","{'eps_growth_yoy': np.float64(66.0), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 37.7}",199.53,251.0,174.0,15.0,strong_buy,30.4,280.7,83.5,206.1,34.7,4.33,6.62,1.36,28.5,1.23,True,-1.97,7.5,79.7,65.0,2026-07-30,False,False,8.0,STRONG,4.83,118.3,0.22,,,,,,20.1,0.0,24.5,22.6,2026-05-26 09:01:10,2026-05-26,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 40% up volume)",MEGA_FLOAT,561.6,30.0,47.1,15.0,False,down,1.2,0.0,True,2.0,True,2.0,8.0,10.0,29.0,69.0,Medio,25.9,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,65.03,0.0,3.0,0.0,3.0,5.0,-0.56,0.37,1.0,1.0,0.0,10.0,37.0,0,,8,RELIABLE/BUY (+8),CAUTION,-3.0,42,0.4762,ALTA,0.0499999999999998,🔵 DECENT,🟡 Good,,,,,,,,False,0,0.799,False,-18.48,7.51,-13.43,downtrend,stage1
AUTO.L,0.0,,,,,84.4,AUTOTRADER GROUP PLC ORD 1P,56.0,Communication Services,Internet Content & Information,60.0,50.0,30.0,90.0,60.0,435.4,3535087872.0,,,,,,,0.0,,,0.0,,,False,920.0,-52.7,0.0,False,"{'roe_pct': 60.2, 'debt_to_equity': 0.51, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}",{'profit_margin_pct': 47.1},610.94,890.0,410.0,16.0,hold,40.3,493.0,13.2,340.0,-21.9,7.04,0.31,2.55,32.0,0.99,,,,2.0,163.0,2026-11-05,False,False,8.0,STRONG,9.61,668.8,1.95,,,,,,10.1,0.0,25.3,16.8,2026-05-26 09:01:10,2026-05-26,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 39% up volume)",MEGA_FLOAT,815.2,30.0,42.1,,,,,0.0,,0.0,,0.0,0.0,5.0,29.0,86.2,Top 25%,30.0,3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,51.620000000000005,5.0,6.0,3.0,0.0,1.0,-6.57,-9.21,0.0,2.0,-3.0,10.0,1.0,0,,-5,MIXED/AVOID (-5),CAUTION,-6.0,42,0.5691,ALTA,0.0,🔵 DECENT,🟡 Good,,,,,,,,False,0,1.301,False,-52.02,0.12,-49.01,downtrend,stage1
MSFT,0.0,,,,,29.9,Microsoft Corporation,63.3,Technology,Software - Infrastructure,85.0,50.0,24.0,90.0,70.0,418.57,3109320130560.0,15.0,5.5,False,down,16.7,False,0.0,8.4,False,0.0,1.1,2.3,False,555.45,-24.6,2.0,False,"{'roe_pct': 34.0, 'debt_to_equity': 0.3, 'current_ratio': 1.28, 'operating_margin_pct': 46.3}","{'eps_growth_yoy': np.float64(16.7), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 39.3}",560.63,870.0,400.0,54.0,strong_buy,33.9,165.89,-60.4,392.65,-6.2,1.19,4.98,0.87,20.7,0.79,True,-0.72,55.7,23.4,64.0,2026-07-29,False,False,6.0,NEUTRAL,3.99,45.1,0.93,BULLISH,0.35,100.0,8.0,6.0,6.0,0.0,9.0,19.0,2026-05-26 09:01:10,2026-05-26,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 48% up volume)",MEGA_FLOAT,7417.4,25.0,28.0,15.0,False,down,5.5,0.0,False,0.0,False,0.0,0.0,4.0,29.0,89.7,Top 25%,33.4,3.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,1/3,55.815,8.0,0.0,0.0,3.0,5.0,0.0,-3.27,0.0,1.0,0.0,2.0,89.0,0,,3,MIXED/BUY (+3),WATCH,-3.0,42,0.4718,ALTA,0.0,🔵 DECENT,🟡 Average,,,,,,,,False,1,1.106,False,-24.04,17.74,-27.04,sideways,stage4
EXPN.L,0.0,,,,,87.4,EXPERIAN PLC ORD USD0.10,51.8,Industrials,Consulting Services,55.0,50.0,30.0,65.0,70.0,2595.0,23199479808.0,,,,,,,0.0,,,0.0,,,False,4101.0,-36.7,0.0,False,"{'roe_pct': 28.3, 'debt_to_equity': 1.0, 'current_ratio': 0.85, 'operating_margin_pct': 24.9}",{'profit_margin_pct': 17.8},3934.74,4751.75,2344.38,18.0,strong_buy,51.6,3330.0,28.3,2795.0,7.7,3.9,1.01,2.0,39.8,1.36,,,,23.1,169.0,2026-11-11,False,False,5.0,NEUTRAL,6.04,493.1,0.65,,,,,,6.799999999999997,0.0,26.2,15.5,2026-05-26 09:01:10,2026-05-26,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 40% up volume)",MEGA_FLOAT,897.4,30.0,41.8,,,,,0.0,,0.0,,0.0,0.0,15.0,29.0,51.7,Medio,18.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,46.59,8.0,3.0,3.0,0.0,5.0,-3.94,-3.33,2.0,4.0,-3.0,0.0,6.0,0,,-5,MIXED/AVOID (-5),CAUTION,-2.0,30,0.1858,BAJA,0.0,🔵 DECENT,🟡 Average,,,,,,,,False,0,1.563,False,-36.7,17.84,-37.49,downtrend,stage4
OTIS,0.0,,,,,89.3,Otis Worldwide Corporation,38.8,Industrials,Specialty Industrial Machinery,50.0,30.0,15.0,45.0,65.0,72.77,27923015680.0,15.0,2.2,False,down,-13.5,False,0.0,-0.8,False,0.0,4.6,4.5,False,101.42,-28.2,0.0,False,"{'current_ratio': 0.84, 'operating_margin_pct': 15.4}","{'eps_growth_yoy': np.float64(-13.5), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.1}",94.36,120.0,77.0,14.0,buy,29.7,185.91,155.5,112.8,55.0,6.02,4.38,2.34,44.7,1.47,True,-3.42,,29.8,57.0,2026-07-22,False,False,6.0,NEUTRAL,6.24,171.1,0.36,,,,,,6.399999999999999,0.0,26.8,11.6,2026-05-26 09:01:10,2026-05-26,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 45% up volume)",MEGA_FLOAT,383.0,30.0,38.4,15.0,False,down,2.2,0.0,False,0.0,False,0.0,0.0,6.0,29.0,82.8,Top 25%,29.8,3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,58.385,8.0,6.0,3.0,3.0,5.0,0.0,-4.69,0.0,1.0,0.0,2.0,11.0,0,,8,RELIABLE/BUY (+8),BEST,5.0,42,0.529,ALTA,0.0,🔵 DECENT,🟡 Average,,,,,,,,False,0,0.824,False,-26.79,4.37,-30.25,downtrend,stage1
UBER,0.0,,,,,50.0,"Uber Technologies, Inc.",55.0,Technology,Software - Application,60.0,50.0,24.0,85.0,70.0,71.82,146196725760.0,15.0,0.0,False,down,-80.6,True,1.0,4.4,False,0.0,2.7,3.8,False,101.99,-29.6,0.0,False,"{'roe_pct': 35.3, 'debt_to_equity': 0.48, 'current_ratio': 1.07, 'operating_margin_pct': 14.6}","{'eps_growth_yoy': np.float64(-80.6), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.9}",104.45,150.0,70.0,50.0,strong_buy,45.4,47.25,-34.2,40.3,-43.9,4.47,3.21,,,,True,-5.3,12.1,-84.6,71.0,2026-08-05,False,False,6.0,NEUTRAL,4.06,133.2,,,,,,,0.0,0.0,,16.5,2026-05-26 09:01:10,2026-05-26,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 46% up volume)",MEGA_FLOAT,2023.9,25.0,23.6,15.0,False,down,0.0,0.0,True,1.0,False,0.0,2.0,18.0,29.0,41.4,Bajo 50%,14.3,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,58.0,8.0,3.0,0.0,3.0,-3.0,0.1,-0.1,0.0,0.0,0.0,2.0,53.0,1,Pershing Square (Ackman),8,RELIABLE/BUY (+8),,0.0,18,,,0.0,🔵 DECENT,🟡 Average,,,,,,,,False,0,0.91,False,-29.58,4.91,-28.76,downtrend,stage1
KO,0.0,,,,,39.5,Coca-Cola Company (The),63.0,Consumer Defensive,Beverages - Non-Alcoholic,85.0,40.0,47.6,80.0,60.0,81.48,350566285312.0,35.0,48.6,False,down,3.0,True,1.0,-0.5,True,1.0,1.0,3.1,False,82.66,-1.4,6.0,False,"{'roe_pct': 43.4, 'debt_to_equity': 1.25, 'current_ratio': 1.36, 'operating_margin_pct': 35.1}","{'eps_growth_yoy': np.float64(3.0), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 27.8}",86.06,92.0,71.38,23.0,buy,5.6,19.84,-75.7,57.88,-29.0,0.89,0.73,2.6,64.8,2.89,True,-0.24,11.1,18.2,56.0,2026-07-21,False,False,7.0,NEUTRAL,4.6,91.1,1.29,BULLISH,0.0,50.0,1.0,0.0,50.8,0.0,11.8,18.9,2026-05-26 09:01:10,2026-05-26,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",MEGA_FLOAT,3873.9,3.0,30.8,35.0,False,down,48.6,0.0,True,1.0,True,1.0,5.0,7.0,29.0,79.3,Top 25%,28.7,3.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,False,3/3,57.17500000000001,0.0,0.0,3.0,3.0,5.0,0.35,2.86,1.0,0.0,0.0,5.0,51.0,1,Berkshire Hathaway (Buffett),8,RELIABLE/BUY (+8),CAUTION,2.0,42,0.0442,BAJA,28.8,⚪ WEAK,🟡 Average,AVOID,35.0,Near ATH (-1.4% from high) - poor entry point,-1.4,NEUTRAL,BUY,False,True,3,0.872,False,-1.43,26.42,1.1,uptrend,stage3
