ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date,oe_ai_adjustment,oe_ai_verdict
2020.HK,ANTA Sports Products Limited,73.2,HKD,82.0,A,82.0,ROE 22.5% | Potencial +43% analistas | FCF yield 6.8% | Dividendo 3.0% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,104.66,43.0,30,6.8,5.37,2.96,,22.5,11.4,13.2,16.9,12.4,-31.1,Cyclical Risk | Geopolitical Risk,,CLEAN,Metrics appear reasonable for a consumer cyclical company,2026-07-13,0,
0700.HK,Tencent Holdings Limited,459.6,HKD,82.0,A,82.0,ROE 20.5% | Potencial +51% analistas | Margen 31% | Dividendo 1.1% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,693.24,50.8,42,3.1,6.35,1.15,,20.5,12.1,16.5,30.6,9.1,-32.7,Regulatory Risk | Geopolitical Risk,TCEHY,SUSPECT,Forward P/E seems low compared to the sector average and the company's historical performance,2026-07-13,0,
9999.HK,"NetEase, Inc.",207.8,HKD,81.0,A,81.0,ROE 22.1% | Potencial +20% | FCF yield 5.1% | Margen 30% | Dividendo 2.2% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,249.77,20.2,20,5.1,2.52,2.18,,22.1,12.6,17.0,29.8,6.1,-16.2,Regulatory Risk | Geopolitical Risk,NTES,SUSPECT,Forward P/E seems low compared to trailing P/E and sector average,2026-07-13,0,
005930.KS,"Samsung Electronics Co., Ltd.",254500.0,KRW,78.0,A,78.0,ROE 18.9% | P/E 3.9x (vs 11x mercado) | Potencial +92% analistas | Crecimiento ingresos +69% | Margen 21%,2,0,Technology,Korea,🇰🇷,21.2,487814.5,91.7,36,4.0,11.46,,,18.9,3.9,,21.5,69.2,-32.0,Low P/E Ratio | Potential Regulatory Risks in Technology Sector,SSNLF,SUSPECT,Forward P/E of 3.9x seems anomalously low for a technology company like Samsung Electronics,2026-07-13,0,
0388.HK,Hong Kong Exchanges and Clearing Limited,387.2,HKD,77.0,A,77.0,ROE 35.0% | Potencial +33% analistas | Crecimiento ingresos +19% | Margen 63% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,515.76,33.2,17,,4.15,3.39,,35.0,24.8,26.1,62.6,19.0,-16.9,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory Risk | Real Estate Exposure | Governance Concerns,,SUSPECT,High ROE and profit margin may indicate potential overvaluation or accounting discrepancies,2026-07-13,0,
2382.HK,Sunny Optical Technology (Group) Company Limited,54.65,HKD,76.0,A,76.0,ROE 17.5% | P/E 10.8x | Potencial +54% analistas | FCF negativo | Crecimiento ingresos +21% | Dividendo 2.2% | Mercado HongKong CAPE 11 (33% descuento histórico),3,1,Technology,HongKong,🇭🇰,10.7,84.09,53.9,23,-1.2,6.73,2.16,,17.5,10.8,11.2,10.7,21.3,-40.2,Negative FCF Yield | Potential Overvaluation,,SUSPECT,Negative FCF yield is anomalous for a technology company with high revenue growth,2026-07-13,0,
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",15.42,BRL,74.0,A,74.0,ROE 26.7% | Potencial +30% | Crecimiento ingresos +20% | Margen 47% | Dividendo 5.7% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,20.04,29.9,14,,3.74,5.74,,26.7,11.8,16.8,47.0,20.3,-24.2,FCF no comparable (sector financiero) | Regulatory Risk | Geopolitical Risk | Cyclical Risk,,SUSPECT,High profit margin and ROE raise concerns about sustainability and potential overvaluation,2026-07-13,0,
1299.HK,AIA Group Limited,72.2,HKD,74.0,A,74.0,P/E 10.6x | Potencial +44% analistas | Margen 24% | Dividendo 2.7% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,104.1,44.2,17,,5.52,2.66,,14.8,10.6,15.6,23.8,6.0,-21.6,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risks in Hong Kong | Exposure to Chinese real estate market | Geopolitical risks,,SUSPECT,Anomalous FCF yield and potential exposure to Chinese real estate sector pose concerns,2026-07-13,0,
RENT3.SA,Localiza Rent a Car S.A.,41.1,BRL,71.0,A,71.0,P/E 8.5x | Potencial +41% analistas | FCF yield 22.8% | Crecimiento ingresos +21% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,57.93,41.0,15,22.8,5.12,5.21,,8.5,8.5,19.9,5.1,21.2,-23.0,cyclical risk | geopolitical risk,,SUSPECT,High FCF yield and significant analyst upside may indicate overoptimism or data quality issues,2026-07-13,0,
TOTS3.SA,TOTVS S.A.,29.91,BRL,70.0,A,70.0,ROE 16.9% | Potencial +62% analistas | Crecimiento ingresos +22% | Dividendo 2.8% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Technology,Brazil,🇧🇷,9.0,48.31,61.5,13,2.2,7.69,2.77,,16.9,14.1,20.3,15.2,22.4,-38.2,Geopolitical Risk | Regulatory Risk,,SUSPECT,High analyst upside of 61.5% seems inconsistent with the fundamentals of a stable technology company,2026-07-13,0,
