ticker,company_name,sentiment,flow_score,quality,current_price,total_premium,put_call_ratio,unusual_calls,unusual_puts,detected_date,expiration_date,days_to_expiration,total_unusual,call_premium,put_premium,sentiment_emoji,top_calls,top_puts
V,Visa Inc.,BULLISH,100,🔥🔥🔥 WHALE ACTIVITY,357.75,4000409.0,0.05,11,5,2026-07-14,2026-07-17,2,16,3807595.0,192814.0,🟢,"[{'type': 'CALL', 'strike': 352.5, 'volume': 2346.0, 'oi': 0, 'vol_oi_ratio': 2346.0, 'last_price': 7.1, 'premium': 1665659.9999999998, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 360.0, 'volume': 2619.0, 'oi': 0, 'vol_oi_ratio': 2619.0, 'last_price': 2.9, 'premium': 759510.0, 'itm': False, 'implied_volatility': 0.015634843750000002}, {'type': 'CALL', 'strike': 347.5, 'volume': 298.0, 'oi': 0, 'vol_oi_ratio': 298.0, 'last_price': 12.3, 'premium': 366540.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]","[{'type': 'PUT', 'strike': 350.0, 'volume': 600.0, 'oi': 0, 'vol_oi_ratio': 600.0, 'last_price': 1.46, 'premium': 87600.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'PUT', 'strike': 355.0, 'volume': 236.0, 'oi': 0, 'vol_oi_ratio': 236.0, 'last_price': 2.83, 'premium': 66788.0, 'itm': False, 'implied_volatility': 0.015634843750000002}, {'type': 'PUT', 'strike': 340.0, 'volume': 385.0, 'oi': 0, 'vol_oi_ratio': 385.0, 'last_price': 0.36, 'premium': 13860.0, 'itm': False, 'implied_volatility': 0.12500875}]"
COST,Costco Wholesale Corporation,BULLISH,100,🔥🔥🔥 WHALE ACTIVITY,926.43,7702614.0,0.37,15,12,2026-07-14,2026-07-17,2,27,5609120.0,2093494.0,🟢,"[{'type': 'CALL', 'strike': 790.0, 'volume': 111, 'oi': 0, 'vol_oi_ratio': 111, 'last_price': 155.88, 'premium': 1730268.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 925.0, 'volume': 595, 'oi': 0, 'vol_oi_ratio': 595, 'last_price': 10.83, 'premium': 644385.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 915.0, 'volume': 322, 'oi': 0, 'vol_oi_ratio': 322, 'last_price': 16.7, 'premium': 537740.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]","[{'type': 'PUT', 'strike': 1010.0, 'volume': 102.0, 'oi': 0.0, 'vol_oi_ratio': 102.0, 'last_price': 96.92, 'premium': 988584.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 950.0, 'volume': 148.0, 'oi': 0.0, 'vol_oi_ratio': 148.0, 'last_price': 22.2, 'premium': 328560.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 940.0, 'volume': 124.0, 'oi': 0.0, 'vol_oi_ratio': 124.0, 'last_price': 17.0, 'premium': 210800.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
MSFT,Microsoft Corporation,BULLISH,100,🔥🔥🔥 WHALE ACTIVITY,390.99,19055015.0,0.25,16,12,2026-07-14,2026-07-15,0,28,15207583.0,3847432.0,🟢,"[{'type': 'CALL', 'strike': 390.0, 'volume': 9813.0, 'oi': 0, 'vol_oi_ratio': 9813.0, 'last_price': 4.98, 'premium': 4886874.000000001, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 395.0, 'volume': 8954.0, 'oi': 0, 'vol_oi_ratio': 8954.0, 'last_price': 2.78, 'premium': 2489212.0, 'itm': False, 'implied_volatility': 0.0312596875}, {'type': 'CALL', 'strike': 392.5, 'volume': 4668.0, 'oi': 0, 'vol_oi_ratio': 4668.0, 'last_price': 3.8, 'premium': 1773839.9999999998, 'itm': False, 'implied_volatility': 0.015634843750000002}]","[{'type': 'PUT', 'strike': 390.0, 'volume': 3822.0, 'oi': 0.0, 'vol_oi_ratio': 3822.0, 'last_price': 3.83, 'premium': 1463826.0, 'itm': False, 'implied_volatility': 0.007822421875}, {'type': 'PUT', 'strike': 392.5, 'volume': 1103.0, 'oi': 0.0, 'vol_oi_ratio': 1103.0, 'last_price': 4.98, 'premium': 549294.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 385.0, 'volume': 2700.0, 'oi': 0.0, 'vol_oi_ratio': 2700.0, 'last_price': 1.92, 'premium': 518400.0, 'itm': False, 'implied_volatility': 0.062509375}]"
KO,Coca-Cola Company (The),BULLISH,100,🔥🔥🔥 WHALE ACTIVITY,84.25,1410983.0,0.11,8,2,2026-07-14,2026-07-17,2,10,1274203.0,136780.0,🟢,"[{'type': 'CALL', 'strike': 65.0, 'volume': 154.0, 'oi': 0, 'vol_oi_ratio': 154.0, 'last_price': 17.64, 'premium': 271656.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 82.5, 'volume': 1260.0, 'oi': 0, 'vol_oi_ratio': 1260.0, 'last_price': 2.05, 'premium': 258300.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 84.0, 'volume': 2529.0, 'oi': 0, 'vol_oi_ratio': 2529.0, 'last_price': 0.92, 'premium': 232668.00000000003, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]","[{'type': 'PUT', 'strike': 84.0, 'volume': 1810.0, 'oi': 0.0, 'vol_oi_ratio': 1810.0, 'last_price': 0.64, 'premium': 115840.00000000001, 'itm': False, 'implied_volatility': 0.007822421875}, {'type': 'PUT', 'strike': 83.0, 'volume': 698.0, 'oi': 0.0, 'vol_oi_ratio': 698.0, 'last_price': 0.3, 'premium': 20940.0, 'itm': False, 'implied_volatility': 0.0312596875}]"
INTU,Intuit Inc.,BULLISH,100,🔥🔥🔥 WHALE ACTIVITY,289.76,11689246.0,0.04,15,5,2026-07-14,2026-07-17,2,20,11214978.0,474268.0,🟢,"[{'type': 'CALL', 'strike': 175.0, 'volume': 625.0, 'oi': 0.0, 'vol_oi_ratio': 625.0, 'last_price': 99.4, 'premium': 6212500.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 195.0, 'volume': 255.0, 'oi': 0.0, 'vol_oi_ratio': 255.0, 'last_price': 79.0, 'premium': 2014500.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 190.0, 'volume': 115.0, 'oi': 0.0, 'vol_oi_ratio': 115.0, 'last_price': 82.8, 'premium': 952200.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]","[{'type': 'PUT', 'strike': 300.0, 'volume': 104.0, 'oi': 0, 'vol_oi_ratio': 104.0, 'last_price': 13.0, 'premium': 135200.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 290.0, 'volume': 149.0, 'oi': 0, 'vol_oi_ratio': 149.0, 'last_price': 7.0, 'premium': 104300.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 285.0, 'volume': 167.0, 'oi': 0, 'vol_oi_ratio': 167.0, 'last_price': 5.2, 'premium': 86840.0, 'itm': False, 'implied_volatility': 0.0312596875}]"
WMT,Walmart Inc.,BEARISH,100,🔥🔥🔥 WHALE ACTIVITY,114.78,7954311.0,2.18,11,9,2026-07-14,2026-07-17,2,20,2504113.0,5450198.0,🔴,"[{'type': 'CALL', 'strike': 115.0, 'volume': 5804, 'oi': 0, 'vol_oi_ratio': 5804, 'last_price': 1.25, 'premium': 725500.0, 'itm': False, 'implied_volatility': 0.007822421875}, {'type': 'CALL', 'strike': 116.0, 'volume': 5663, 'oi': 0, 'vol_oi_ratio': 5663, 'last_price': 0.83, 'premium': 470029.0, 'itm': False, 'implied_volatility': 0.0312596875}, {'type': 'CALL', 'strike': 118.0, 'volume': 9069, 'oi': 0, 'vol_oi_ratio': 9069, 'last_price': 0.33, 'premium': 299277.0, 'itm': False, 'implied_volatility': 0.062509375}]","[{'type': 'PUT', 'strike': 130.0, 'volume': 1875.0, 'oi': 0.0, 'vol_oi_ratio': 1875.0, 'last_price': 14.95, 'premium': 2803125.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 125.0, 'volume': 2012.0, 'oi': 0.0, 'vol_oi_ratio': 2012.0, 'last_price': 10.0, 'premium': 2012000.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 114.0, 'volume': 2086.0, 'oi': 0.0, 'vol_oi_ratio': 2086.0, 'last_price': 0.93, 'premium': 193998.0, 'itm': False, 'implied_volatility': 0.015634843750000002}]"
MA,Mastercard Incorporated,BULLISH,90,🔥🔥🔥 WHALE ACTIVITY,537.7,1525655.0,0.26,4,3,2026-07-14,2026-07-17,2,7,1211180.0,314475.0,🟢,"[{'type': 'CALL', 'strike': 530.0, 'volume': 599.0, 'oi': 0, 'vol_oi_ratio': 599.0, 'last_price': 11.2, 'premium': 670879.9999999999, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 547.5, 'volume': 1041.0, 'oi': 0, 'vol_oi_ratio': 1041.0, 'last_price': 2.9, 'premium': 301890.0, 'itm': False, 'implied_volatility': 0.0312596875}, {'type': 'CALL', 'strike': 545.0, 'volume': 622.0, 'oi': 0, 'vol_oi_ratio': 622.0, 'last_price': 3.3, 'premium': 205260.0, 'itm': False, 'implied_volatility': 0.0312596875}]","[{'type': 'PUT', 'strike': 525.0, 'volume': 1028.0, 'oi': 0, 'vol_oi_ratio': 1028.0, 'last_price': 1.85, 'premium': 190180.00000000003, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'PUT', 'strike': 522.5, 'volume': 614.0, 'oi': 0, 'vol_oi_ratio': 614.0, 'last_price': 1.35, 'premium': 82890.00000000001, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'PUT', 'strike': 515.0, 'volume': 637.0, 'oi': 0, 'vol_oi_ratio': 637.0, 'last_price': 0.65, 'premium': 41405.0, 'itm': False, 'implied_volatility': 0.12500875}]"
VEEV,Veeva Systems Inc.,BULLISH,80,🔥🔥🔥 WHALE ACTIVITY,196.81,1199675.0,0.0,2,0,2026-07-14,2026-07-17,2,2,1199675.0,0.0,🟢,"[{'type': 'CALL', 'strike': 140.0, 'volume': 231.0, 'oi': 0, 'vol_oi_ratio': 231.0, 'last_price': 48.27, 'premium': 1115037.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 200.0, 'volume': 419.0, 'oi': 0, 'vol_oi_ratio': 419.0, 'last_price': 2.02, 'premium': 84638.0, 'itm': False, 'implied_volatility': 0.0312596875}]",[]
CNI,Canadian National Railway Compa,BULLISH,80,🔥🔥🔥 WHALE ACTIVITY,125.31,2321010.0,0.0,3,0,2026-07-14,2026-07-17,2,3,2321010.0,0.0,🟢,"[{'type': 'CALL', 'strike': 105.0, 'volume': 1080, 'oi': 0, 'vol_oi_ratio': 1080, 'last_price': 15.8, 'premium': 1706400.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 95.0, 'volume': 230, 'oi': 0, 'vol_oi_ratio': 230, 'last_price': 24.9, 'premium': 572700.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 125.0, 'volume': 254, 'oi': 0, 'vol_oi_ratio': 254, 'last_price': 1.65, 'premium': 41910.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]",[]
CTAS,Cintas Corporation,BULLISH,70,🔥🔥 STRONG FLOW,183.75,334040.0,0.0,5,0,2026-07-14,2026-07-17,2,5,334040.0,0.0,🟢,"[{'type': 'CALL', 'strike': 182.5, 'volume': 198.0, 'oi': 0, 'vol_oi_ratio': 198.0, 'last_price': 5.4, 'premium': 106920.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 177.5, 'volume': 101.0, 'oi': 0, 'vol_oi_ratio': 101.0, 'last_price': 8.7, 'premium': 87870.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 185.0, 'volume': 185.0, 'oi': 0, 'vol_oi_ratio': 185.0, 'last_price': 4.1, 'premium': 75849.99999999999, 'itm': False, 'implied_volatility': 0.015634843750000002}]",[]
