ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,pct_from_52w_low,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date,oe_ai_adjustment,oe_ai_verdict
2020.HK,ANTA Sports Products Limited,72.4,HKD,85.0,A,85.0,ROE 22.5% | Potencial +42% analistas | FCF yield 8.0% | Dividendo 2.9% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,102.72,41.9,30,8.0,5.23,2.91,,22.5,11.2,13.0,16.9,12.4,-31.9,8.3,,,,,2026-08-24,0,
005930.KS,"Samsung Electronics Co., Ltd.",257500.0,KRW,83.0,A,83.0,ROE 30.8% | P/E 3.8x (vs 11x mercado) | Potencial +83% analistas | Crecimiento ingresos +130% | Margen 31%,2,0,Technology,Korea,🇰🇷,21.2,470155.62,82.6,36,4.1,10.32,,,30.8,3.8,,30.8,130.0,-31.2,281.5,,SSNLF,,,2026-08-24,0,
9999.HK,"NetEase, Inc.",193.8,HKD,81.0,A,81.0,ROE 20.4% | Potencial +29% | FCF yield 6.2% | Margen 28% | Dividendo 1.5% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,249.51,28.7,21,6.2,3.59,1.49,,20.4,11.7,16.5,27.9,7.9,-21.9,14.8,,NTES,,,2026-08-24,0,
ITUB4.SA,Itaú Unibanco Holding S.A.,38.6,BRL,78.0,A,78.0,ROE 21.5% | P/E 7.6x | Potencial +25% | Crecimiento ingresos +18% | Margen 33% | Dividendo 2.3% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,48.15,24.8,13,,3.09,2.31,,21.5,7.6,9.2,32.6,17.5,-22.3,,FCF no comparable (sector financiero),ITUB,,,2026-08-24,0,
0700.HK,Tencent Holdings Limited,439.8,HKD,77.0,A,77.0,ROE 19.9% | Potencial +51% analistas | Margen 30% | Dividendo 1.2% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,664.74,51.1,42,3.8,6.39,1.16,,19.9,12.2,14.8,29.9,11.0,-35.6,7.0,,TCEHY,,,2026-08-24,0,
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",15.09,BRL,74.0,A,74.0,ROE 27.7% | Potencial +31% analistas | Margen 49% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,19.79,31.1,14,,3.89,5.86,,27.7,11.8,15.1,49.5,8.8,-25.8,,FCF no comparable (sector financiero),,,,2026-08-24,0,
TOTS3.SA,TOTVS S.A.,32.18,BRL,74.0,A,74.0,ROE 17.0% | Potencial +50% analistas | Crecimiento ingresos +36% | Margen 22% | Dividendo 2.6% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Technology,Brazil,🇧🇷,9.0,48.38,50.4,13,3.8,6.29,2.58,,17.0,15.2,21.2,21.6,36.1,-33.5,,,,,,2026-08-24,0,
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",56.9,HKD,73.0,A,73.0,P/E 5.1x (vs 11x mercado) | Potencial +44% analistas | Dividendo 5.6% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,81.84,43.8,15,,5.48,5.61,,13.1,5.1,5.9,16.2,8.6,-23.8,13.8,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino,PNGAY,,,2026-08-24,0,
8035.T,Tokyo Electron Limited,54910.0,JPY,72.0,A,72.0,ROE 30.9% | Potencial +35% analistas | Crecimiento ingresos +33% | Margen 24% | Dividendo 1.4% | Mercado Japan CAPE 29 (26% descuento histórico),3,0,Technology,Japan,🇯🇵,29.4,74027.27,34.8,22,1.2,4.35,1.38,,30.9,42.9,44.0,23.6,33.3,-32.4,176.3,,,,,2026-08-24,0,
2382.HK,Sunny Optical Technology (Group) Company Limited,59.9,HKD,71.0,A,71.0,ROE 17.5% | Potencial +43% analistas | FCF negativo | Crecimiento ingresos +21% | Dividendo 1.9% | Mercado HongKong CAPE 11 (33% descuento histórico),3,1,Technology,HongKong,🇭🇰,10.7,85.64,43.0,21,-1.3,5.37,1.95,,17.5,11.7,12.1,10.7,21.3,-34.5,16.3,,,,,2026-08-24,0,
