Ticker,Sector,CurrentPrice,Min52w,Max52w,DistanceFromMin,RSI,Estado,Classification,DataPoints,AnalysisDate,FileDate,DaysAgo,BaseScore,FinalScore,InsiderActivity,InsiderTrades,InsiderValue,InsiderTickers,Signals,Urgency,RiskLevel,MappingCoverage
DJUSHG,Household Goods,1060.21,999.49,1229.25,6.075098300133071,39.44244604316546,🟢,OPORTUNIDAD,251,2025-07-08 10:56:58,2025-07-08,0,92,92,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSVN,DJUSVN,331.91,309.98,523.8,7.0746499774179,39.47321587471075,🟢,OPORTUNIDAD,251,2025-07-08 10:56:58,2025-07-08,0,91,91,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSHN,DJUSHN,1266.04,1228.94,1421.48,3.01886178332546,45.50939663699311,🟢,OPORTUNIDAD,251,2025-07-08 10:56:58,2025-07-08,0,87,87,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSFB,Food & Beverage,708.59,668.77,816.7,5.954214453399532,44.40331655315364,🟢,OPORTUNIDAD,251,2025-07-08 10:56:58,2025-07-08,0,86,86,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSFP,DJUSFP,552.61,529.4,667.01,4.384208537967518,47.52110514198003,🟢,OPORTUNIDAD,251,2025-07-08 10:56:58,2025-07-08,0,86,86,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSFO,Food Producers,387.27,367.79,460.77,5.296500720519851,47.444352844188,🟢,OPORTUNIDAD,251,2025-07-08 10:56:58,2025-07-08,0,86,86,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSBV,Beverages,940.59,875.4,1070.16,7.446881425634003,42.81511121572319,🟢,OPORTUNIDAD,251,2025-07-08 10:56:58,2025-07-08,0,85,85,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSSD,DJUSSD,910.28,835.84,1016.29,8.90601071975497,43.27751196172246,🟢,OPORTUNIDAD,251,2025-07-08 10:56:58,2025-07-08,0,84,84,False,0,0,[],[],ALTA,BAJO,0
DJUSCP,DJUSCP,475.96,397.01,541.01,19.886148963502176,25.292192613370744,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,83,83,False,0,0,[],[],ALTA,BAJO,0
DJUSMC,Healthcare Equipment,2257.5,2186.6,2559.1,3.2424769047836866,52.14961306964747,🟢,OPORTUNIDAD,251,2025-07-08 10:56:58,2025-07-08,0,81,81,False,0,0,[],[],ALTA,BAJO,0
DJUSHC,Healthcare,1422.63,1344.15,1663.54,5.838634081017744,55.46488410452294,🟢,OPORTUNIDAD,251,2025-07-08 10:56:58,2025-07-08,0,80,80,False,0,0,[],[],ALTA,BAJO,0
DJUSHI,DJUSHI,795.72,705.04,958.3,12.86168160671736,33.44933038068119,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,80,80,False,0,0,[],[],ALTA,BAJO,0
DJUSNG,Personal Goods,1056.44,909.61,1069.74,16.142082870680845,30.35537462867198,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,79,79,False,0,0,[],[],ALTA,BAJO,0
DJUSRP,DJUSRP,352.84,305.34,511.66,15.55642889893234,38.52549019607845,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,79,79,False,0,0,[],[],ALTA,BAJO,0
DJUSIL,DJUSIL,1237.88,1077.94,1380.29,14.837560532126096,39.55252422233546,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,79,79,False,0,0,[],[],ALTA,BAJO,0
DJUSIT,Industrial Transport,1469.7,1243.5,1746.8,18.19059107358263,35.67251461988299,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,78,78,False,0,0,[],[],ALTA,BAJO,0
DJUSIU,DJUSIU,513.92,467.58,599.38,9.910603533085242,53.88906598661141,🟢,OPORTUNIDAD,251,2025-07-08 10:56:58,2025-07-08,0,78,78,False,0,0,[],[],ALTA,BAJO,0
DJUSTK,DJUSTK,1475.72,1244.48,2071.67,18.58125482129082,36.555199267063685,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,78,78,False,0,0,[],[],ALTA,BAJO,0
DJUSMS,DJUSMS,1740.3,1469.4,1745.76,18.43609636586361,35.7529449219993,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,78,78,False,0,0,[],[],ALTA,BAJO,0
DJUSAM,DJUSAM,2987.8,2553.2,3151.1,17.021776594078037,39.84502446982051,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,78,78,False,0,0,[],[],ALTA,BAJO,0
DJUSHB,DJUSHB,2224.65,1872.38,3170.03,18.8140227945182,37.931034482758605,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,77,77,False,0,0,[],[],ALTA,BAJO,0
DJUSRR,DJUSRR,3352.1,2788.9,3607.9,20.194341855211725,30.08130081300814,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,77,77,False,0,0,[],[],ALTA,BAJO,0
DJUSVE,DJUSVE,406.98,334.94,407.64,21.50832985012241,38.2240517494855,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,76,76,False,0,0,[],[],ALTA,BAJO,0
DJUSFA,DJUSFA,616.34,501.02,685.16,23.01704522773543,36.32760898282694,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,76,76,False,0,0,[],[],ALTA,BAJO,0
DJUSCM,DJUSCM,421.62,345.1,483.97,22.17328310634598,33.80305039787797,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,76,76,False,0,0,[],[],ALTA,BAJO,0
DJUSEU,DJUSEU,405.98,334.02,406.65,21.543620142506448,38.17966903073288,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,76,76,False,0,0,[],[],ALTA,BAJO,0
DJUSRA,Apparel Retail,1645.54,1490.78,1826.93,10.38114275748266,42.15571339907594,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,75,75,False,0,0,[],[],ALTA,BAJO,0
DJUSDB,DJUSDB,500.22,479.19,659.78,4.388655856758286,62.18121812181217,🟢,OPORTUNIDAD,251,2025-07-08 10:56:58,2025-07-08,0,74,74,False,0,0,[],[],MEDIA,MEDIO,0
DJUSBT,DJUSBT,2590.1,2297.4,3119.9,12.74048924871593,46.62960389159137,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,74,74,False,0,0,[],[],MEDIA,BAJO,0
DJUSCC,DJUSCC,744.77,647.09,855.73,15.095272682316208,47.10969503868916,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,73,73,False,0,0,[],[],MEDIA,BAJO,0
DJUSAF,DJUSAF,1065.1,916.9,1417.0,16.1631584687534,41.831140350877234,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,73,73,False,0,0,[],[],MEDIA,BAJO,0
DJUSRL,DJUSRL,96.62,83.32,106.75,15.962554008641398,40.3575989782886,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,73,73,False,0,0,[],[],MEDIA,BAJO,0
DJUSHP,DJUSHP,2459.1,2283.3,3545.2,7.699382472736815,61.45161290322578,🟢,OPORTUNIDAD,251,2025-07-08 10:56:58,2025-07-08,0,73,73,False,0,0,[],[],MEDIA,MEDIO,0
DJUSMF,DJUSMF,11.8,9.98,12.71,18.236472945891784,45.41484716157204,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,72,72,False,0,0,[],[],MEDIA,BAJO,0
DJUSIS,Support Services,894.81,764.29,981.89,17.077287417079905,42.89662319716732,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,72,72,False,0,0,[],[],MEDIA,BAJO,0
DJUSWC,DJUSWC,409.31,344.98,458.56,18.647457823641943,45.24160826263369,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,72,72,False,0,0,[],[],MEDIA,BAJO,0
DJUSPR,DJUSPR,838.36,765.56,1006.37,9.509378755420878,63.81925426585212,🟢,OPORTUNIDAD,251,2025-07-08 10:56:58,2025-07-08,0,72,72,False,0,0,[],[],MEDIA,MEDIO,0
DJUSUT,Utilities,407.5,338.93,411.37,20.231316200985454,42.47279322853684,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,71,71,False,0,0,[],[],MEDIA,BAJO,0
DJUSMR,DJUSMR,29.6,24.64,32.23,20.12987012987013,43.30218068535825,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,71,71,False,0,0,[],[],MEDIA,BAJO,0
DJUSPN,Pharmaceuticals,1065.6,960.01,1277.87,10.998843762044135,56.19674670797841,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,69,69,False,0,0,[],[],MEDIA,BAJO,0
DJUSGI,General Industrial,767.55,613.23,780.5,25.16510933907342,24.46786526141763,🔴,FUERTE,251,2025-07-08 10:56:58,2025-07-08,0,69,69,False,0,0,[],[],MEDIA,BAJO,0
DJUSDN,DJUSDN,746.27,598.11,775.57,24.77136312718396,48.88185654008439,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,69,69,False,0,0,[],[],MEDIA,BAJO,0
DJUSCR,DJUSCR,10542.8,8364.8,12829.5,26.03768171384851,25.194150982998707,🔴,FUERTE,251,2025-07-08 10:56:58,2025-07-08,0,69,69,False,0,0,[],[],MEDIA,BAJO,0
DJUSRN,DJUSRN,236.33,212.75,271.87,11.083431257344309,59.01162790697672,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,69,69,False,0,0,[],[],MEDIA,BAJO,0
DJUSBE,DJUSBE,117.26,104.12,152.72,12.620053784095276,51.31810193321615,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,68,68,False,0,0,[],[],MEDIA,BAJO,0
DJUSIB,DJUSIB,784.74,693.99,891.38,13.076557299096528,51.55491405327385,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,68,68,False,0,0,[],[],MEDIA,BAJO,0
DJUSOL,DJUSOL,726.83,645.42,807.01,12.61349198971214,51.64201554274252,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,68,68,False,0,0,[],[],MEDIA,BAJO,0
DJUSFE,DJUSFE,1232.2,969.18,1325.15,27.13840566251885,28.87906536154088,🔴,FUERTE,251,2025-07-08 10:56:58,2025-07-08,0,68,68,False,0,0,[],[],MEDIA,BAJO,0
DJUSSR,DJUSSR,262.75,229.18,287.27,14.647875032725366,54.60099274532269,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,67,67,False,0,0,[],[],MEDIA,BAJO,0
DJUSIV,DJUSIV,1262.13,1092.82,1443.42,15.49294485825664,51.43719231380018,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,67,67,False,0,0,[],[],MEDIA,BAJO,0
DJUSIX,Insurance,1339.4,1165.38,1458.15,14.93246837941272,56.18243043658056,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,67,67,False,0,0,[],[],MEDIA,BAJO,0
DJUSEH,DJUSEH,56.83,49.5,72.61,14.808080808080804,52.63157894736843,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,67,67,False,0,0,[],[],MEDIA,BAJO,0
DJUSIR,DJUSIR,1345.43,1178.02,1458.0,14.211133936605496,53.76878258203004,🟡,CERCA,251,2025-07-08 10:56:58,2025-07-08,0,67,67,False,0,0,[],[],MEDIA,BAJO,0
