ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,pct_from_52w_low,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date,oe_ai_adjustment,oe_ai_verdict
9999.HK,"NetEase, Inc.",192.4,HKD,88.0,A,88.0,ROE 20.4% | Potencial +30% analistas | FCF yield 6.2% | Margen 28% | Dividendo 1.6% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,250.74,30.3,21,6.2,3.79,1.57,,20.4,11.6,16.4,27.9,7.9,-22.4,14.0,,NTES,,,2026-08-31,0,
2020.HK,ANTA Sports Products Limited,77.7,HKD,85.0,A,85.0,ROE 24.8% | Potencial +33% analistas | FCF yield 9.3% | Dividendo 3.4% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,103.66,33.4,30,9.3,4.18,3.35,,24.8,11.8,13.9,18.8,12.9,-21.7,16.2,,,,,2026-08-31,0,
005930.KS,"Samsung Electronics Co., Ltd.",260000.0,KRW,83.0,A,83.0,ROE 30.8% | P/E 3.8x (vs 11x mercado) | Potencial +81% analistas | Crecimiento ingresos +130% | Margen 31%,2,0,Technology,Korea,🇰🇷,21.2,470155.62,80.8,36,4.1,10.1,,,30.8,3.8,,30.8,130.0,-30.6,285.2,,SSNLF,,,2026-08-31,0,
ITUB4.SA,Itaú Unibanco Holding S.A.,39.19,BRL,78.0,A,78.0,ROE 21.5% | P/E 7.7x | Potencial +23% | Crecimiento ingresos +18% | Margen 33% | Dividendo 2.3% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,48.15,22.9,13,,2.86,2.28,,21.5,7.7,9.4,32.6,17.5,-21.1,,FCF no comparable (sector financiero),ITUB,,,2026-08-31,0,
0700.HK,Tencent Holdings Limited,453.0,HKD,77.0,A,77.0,ROE 19.9% | Potencial +47% analistas | Margen 30% | Dividendo 1.2% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,664.79,46.8,42,3.4,5.84,1.16,,19.9,12.5,15.3,29.9,11.0,-33.7,10.2,,TCEHY,,,2026-08-31,0,
TOTS3.SA,TOTVS S.A.,34.41,BRL,74.0,A,74.0,ROE 17.0% | Potencial +40% analistas | Crecimiento ingresos +36% | Margen 22% | Dividendo 2.4% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Technology,Brazil,🇧🇷,9.0,48.23,40.2,13,3.5,5.02,2.41,,17.0,16.2,22.6,21.6,36.1,-28.9,,,,,,2026-08-31,0,
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",56.55,HKD,73.0,A,73.0,P/E 5.3x (vs 11x mercado) | Potencial +44% analistas | Dividendo 5.5% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,81.53,44.2,15,,5.52,5.54,,13.1,5.3,5.8,16.2,8.6,-24.3,13.1,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino,PNGAY,,,2026-08-31,0,
8035.T,Tokyo Electron Limited,56440.0,JPY,72.0,A,72.0,ROE 30.9% | Potencial +31% analistas | Crecimiento ingresos +33% | Margen 24% | Dividendo 1.3% | Mercado Japan CAPE 29 (26% descuento histórico),3,0,Technology,Japan,🇯🇵,29.4,74209.09,31.5,22,1.2,3.94,1.33,,30.9,44.1,45.2,23.6,33.3,-30.5,184.0,,,,,2026-08-31,0,
0388.HK,Hong Kong Exchanges and Clearing Limited,425.2,HKD,70.0,A,70.0,ROE 33.6% | Potencial +21% | Crecimiento ingresos +19% | Margen 63% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,513.12,20.7,17,,2.58,3.5,,33.6,26.5,27.2,62.9,18.9,-7.6,18.1,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino,,,,2026-08-31,0,
RENT3.SA,Localiza Rent a Car S.A.,34.81,BRL,69.0,A,69.0,P/E 7.6x | Potencial +58% analistas | FCF yield 25.7% | Crecimiento ingresos +24% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,54.89,57.7,15,25.7,7.21,6.15,,13.0,7.6,11.0,7.4,24.5,-34.8,,,,,,2026-08-31,0,
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",16.04,BRL,67.0,A,67.0,ROE 27.7% | Potencial +23% | Margen 49% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,19.79,23.4,14,,2.92,5.52,,27.7,12.6,16.4,49.5,8.8,-21.1,,FCF no comparable (sector financiero),,,,2026-08-31,0,
1299.HK,AIA Group Limited,76.25,HKD,65.0,A,65.0,ROE 19.6% | Potencial +34% analistas | Margen 31% | Dividendo 2.6% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,102.27,34.1,17,,4.27,2.62,,19.6,11.3,12.8,30.9,-2.5,-17.3,10.6,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino,,,,2026-08-31,0,
4568.T,"Daiichi Sankyo Company, Limited",2848.0,JPY,63.0,B,63.0,Potencial +44% analistas | FCF negativo | Crecimiento ingresos +21% | Dividendo 3.4% | Mercado Japan CAPE 29 (26% descuento histórico),2,1,Healthcare,Japan,🇯🇵,29.4,4090.59,43.6,17,-4.1,5.45,3.41,,14.8,19.8,20.3,10.9,21.1,-31.8,19.2,,DSNKY,,,2026-08-31,0,
4063.T,"Shin-Etsu Chemical Co., Ltd.",6023.0,JPY,60.0,B,60.0,Potencial +29% | Dividendo 1.9% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Basic Materials,Japan,🇯🇵,29.4,7774.71,29.1,17,2.2,3.64,1.93,,11.2,18.3,23.8,18.4,5.4,-24.0,38.0,,,,,2026-08-31,0,
105560.KS,KB Financial Group Inc.,173300.0,KRW,58.0,B,58.0,P/E 8.7x | Potencial +23% | Crecimiento ingresos +18% | Margen 37% | Dividendo 2.7%,1,0,Financial Services,Korea,🇰🇷,21.2,213395.0,23.1,20,,2.89,2.69,,10.2,8.7,,36.5,18.5,-10.9,63.8,FCF no comparable (sector financiero),,,,2026-08-31,0,
2382.HK,Sunny Optical Technology (Group) Company Limited,71.1,HKD,57.0,B,57.0,ROE 17.9% | Potencial +18% | Dividendo 1.8% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Technology,HongKong,🇭🇰,10.7,83.6,17.6,23,,2.2,1.82,,17.9,14.0,14.4,10.6,11.5,-22.2,38.1,,,,,2026-08-31,0,
RDOR3.SA,Rede D'Or São Luiz S.A.,35.44,BRL,55.0,B,55.0,ROE 19.8% | Potencial +35% analistas | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Healthcare,Brazil,🇧🇷,9.0,47.76,34.8,14,3.9,4.35,2.07,,19.8,13.2,16.2,8.3,5.0,-26.8,,Deuda elevada (D/E >2x),RDORY,,,2026-08-31,0,
035420.KS,NAVER Corporation,217000.0,KRW,54.0,B,54.0,Potencial +40% analistas | Crecimiento ingresos +16% | Dividendo 1.2%,0,0,Communication Services,Korea,🇰🇷,21.2,303074.06,39.7,27,2.8,4.96,1.19,,6.4,14.7,,15.6,16.2,-28.6,19.8,,,,,2026-08-31,0,
9983.T,"Fast Retailing Co., Ltd.",72450.0,JPY,53.0,B,53.0,ROE 22.5% | Potencial +19% | Crecimiento ingresos +22% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Consumer Cyclical,Japan,🇯🇵,29.4,86058.82,18.8,17,1.6,2.35,0.8,,22.5,52.9,46.4,13.5,22.2,-18.3,63.2,,,,,2026-08-31,0,
012330.KS,"Hyundai Mobis Co.,Ltd",453500.0,KRW,52.0,B,52.0,P/E 8.6x | Potencial +53% analistas | Dividendo 1.4%,0,0,Consumer Cyclical,Korea,🇰🇷,21.2,692166.7,52.6,30,3.1,6.58,1.44,,7.4,8.6,,5.8,2.4,-44.8,60.2,,,,,2026-08-31,0,
ABEV3.SA,Ambev S.A.,15.19,BRL,49.0,C,49.0,ROE 18.4% | FCF yield 8.5% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Consumer Defensive,Brazil,🇧🇷,9.0,16.34,7.6,17,8.5,0.95,4.81,,18.4,13.7,14.7,18.4,0.3,-10.9,,,ABEV,,,2026-08-31,0,
9988.HK,Alibaba Group Holding Limited,114.2,HKD,48.0,C,48.0,Potencial +55% analistas | FCF negativo | Mercado HongKong CAPE 11 (33% descuento histórico),2,1,Consumer Cyclical,HongKong,🇭🇰,10.7,176.5,54.6,23,-4.2,6.82,6.34,,6.4,12.2,26.4,7.0,8.6,-38.7,28.8,,BABA,,,2026-08-31,0,
WEGE3.SA,WEG S.A.,49.98,BRL,48.0,C,48.0,ROE 30.8% | Potencial +11% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,55.3,10.6,16,2.4,1.33,4.07,,30.8,27.1,33.3,15.6,-0.6,-8.3,,,WEGZY,,,2026-08-31,0,
1211.HK,BYD Company Limited,87.2,HKD,47.0,C,47.0,Potencial +44% analistas | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Consumer Cyclical,HongKong,🇭🇰,10.7,125.71,44.2,27,,5.52,0.41,,11.6,13.6,25.1,3.8,-3.2,-24.4,22.1,,BYDDF,,,2026-08-31,0,
7203.T,Toyota Motor Corporation,3156.0,JPY,46.0,C,46.0,P/E 9.7x (vs 16x mercado) | Potencial +17% | FCF negativo | Dividendo 3.2% | Mercado Japan CAPE 29 (26% descuento histórico),2,1,Consumer Cyclical,Japan,🇯🇵,29.4,3693.0,17.0,18,-9.6,2.13,3.21,,12.4,9.7,9.0,8.6,10.4,-21.1,17.5,,TM,,,2026-08-31,0,
6098.T,"Recruit Holdings Co., Ltd.",18215.0,JPY,43.0,C,43.0,ROE 36.2% | Crecimiento ingresos +19% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Communication Services,Japan,🇯🇵,29.4,15850.0,-13.0,16,2.0,-1.62,15.0,,36.2,60.2,52.5,15.0,18.9,0.0,201.6,,RCRUY,,,2026-08-31,0,
9432.T,"NTT, Inc.",172.5,JPY,42.0,C,42.0,P/E 11.9x | FCF yield 80.4% | Dividendo 3.2% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Communication Services,Japan,🇯🇵,29.4,172.43,-0.0,14,80.4,-0.01,3.2,,10.7,11.9,13.7,7.1,10.9,-0.3,21.0,,,,,2026-08-31,0,
009150.KS,"Samsung Electro-Mechanics Co., Ltd.",1458000.0,KRW,42.0,C,42.0,Potencial +61% analistas | FCF negativo | Crecimiento ingresos +24%,1,1,Technology,Korea,🇰🇷,21.2,2345555.5,60.9,27,-0.4,7.61,,,10.6,34.5,,8.1,24.2,-39.7,822.8,,,,,2026-08-31,0,
7733.T,Olympus Corporation,2105.5,JPY,41.0,C,41.0,Crecimiento ingresos +16% | Dividendo 1.4% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Healthcare,Japan,🇯🇵,29.4,2157.69,2.5,13,0.8,0.31,1.4,,10.6,16.8,34.4,7.5,16.4,-4.8,61.7,,,,,2026-08-31,0,
8766.T,"Tokio Marine Holdings, Inc.",7707.0,JPY,38.0,C,38.0,P/E 15.6x | Potencial +12% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Financial Services,Japan,🇯🇵,29.4,8601.0,11.6,12,,1.45,1.7,,,15.6,27.6,,0.1,-9.0,45.4,FCF no comparable (sector financiero),TKOMY,,,2026-08-31,0,
6758.T,Sony Group Corporation,4016.0,JPY,38.0,C,38.0,Potencial +20% | FCF yield 14.3% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Technology,Japan,🇯🇵,29.4,4800.0,19.5,21,14.3,2.44,0.62,,13.2,21.9,21.5,-1.7,8.2,-15.9,32.0,,SONY,,,2026-08-31,0,
6861.T,Keyence Corporation,83660.0,JPY,37.0,C,37.0,Potencial +16% | Crecimiento ingresos +33% | Margen 39% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Technology,Japan,🇯🇵,29.4,97366.66,16.4,15,,2.05,0.66,,,44.8,45.6,39.2,32.8,-4.8,62.4,,,,,2026-08-31,0,
