ticker,vcp_score,vcp_quality,stage,consolidation_quality,current_price_x,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price_y,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage
AUTO.L,0.0,,,,,84.4,AUTOTRADER GROUP PLC ORD 1P,55.5,Communication Services,Internet Content & Information,60.0,50.0,30.0,90.0,55.0,466.1,3727075840.0,,,,,,,0.0,,,0.0,,,False,844.4,-44.8,0.0,False,"{'roe_pct': 60.2, 'debt_to_equity': 0.51, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}",{'profit_margin_pct': 47.1},582.47,830.0,410.0,17.0,hold,25.0,500.0,7.3,340.0,-27.1,6.67,0.31,2.46,32.0,0.99,,,,2.0,149.0,2026-11-05,False,False,8.0,STRONG,9.29,668.8,2.08,,,,,,17.0,0.0,25.3,16.6,2026-06-09 08:01:39,2026-06-09,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,STRONG_ACCUMULATION,85,"Strong institutional buying (1.8x ratio, 62% up volume)",MEGA_FLOAT,815.1,23.0,42.0,,,,,0.0,,0.0,,0.0,0.0,8.0,29.0,75.9,Top 25%,30.0,3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,68.42,8.0,6.0,3.0,0.0,1.0,-0.27,-10.92,0.0,2.0,0.0,10.0,1.0,0,,-5,MIXED/AVOID (-5),BEST,8.0,44,0.5691,ALTA,0.0,⭐⭐ STRONG,🟢 Excellent,,,,,,,,False,0,1.055,False,-44.66,11.61,-31.57,downtrend,stage1
MA,0.0,,,,,27.5,Mastercard Incorporated,56.7,Financial Services,Credit Services,75.0,50.0,36.0,50.0,70.0,485.67,429130186752.0,15.0,8.8,False,down,4.9,False,0.0,3.3,False,0.0,0.8,1.9,False,601.77,-19.3,1.0,False,"{'roe_pct': 232.1, 'debt_to_equity': 2.82, 'current_ratio': 0.98, 'operating_margin_pct': 60.8}","{'eps_growth_yoy': np.float64(4.9), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 45.9}",646.97,735.0,550.0,36.0,strong_buy,33.2,564.24,16.2,366.55,-24.5,3.76,18.41,0.72,18.2,0.54,True,-3.08,27.7,21.2,51.0,2026-07-30,False,False,9.0,STRONG,4.39,622.8,1.01,BULLISH,0.0,60.0,2.0,0.0,5.0,0.0,8.2,17.0,2026-06-09 08:01:39,2026-06-09,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",MEGA_FLOAT,875.8,23.0,25.3,15.0,False,down,8.8,0.0,False,0.0,False,0.0,0.0,21.0,29.0,31.0,Bajo 50%,13.2,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,75.055,0.0,3.0,0.0,3.0,5.0,0.0,-0.25,0.0,0.0,0.0,10.0,23.0,1,Berkshire Hathaway (Buffett),8,RELIABLE/BUY (+8),CAUTION,-3.0,44,0.3962,MEDIA,0.0,⭐ GOOD,🟢 Excellent,,,,,,,,False,0,0.969,False,-18.93,4.55,-19.1,downtrend,stage1
ASAZY,0.0,,,,,50.0,Assa Abloy AB,57.0,Industrials,Security & Protection Services,90.0,30.0,36.0,65.0,55.0,17.1,37988552704.0,15.0,2.0,False,down,44.4,False,0.0,-5.8,False,0.0,,,False,21.98,-22.2,3.0,False,"{'roe_pct': 15.0, 'debt_to_equity': 0.61, 'current_ratio': 1.0}","{'eps_growth_yoy': np.float64(44.4), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.5}",21.88,21.88,21.88,1.0,none,28.0,347.64,1933.0,22.8,33.3,45.46,8.2,1.92,41.6,1.7,False,,,22.2,38.0,2026-07-17,False,False,8.0,STRONG,,118.2,0.43,,,,,,1.3999999999999986,0.0,,17.1,2026-06-09 08:01:39,2026-06-09,CONFIRMED_UPTREND,TRADE,False,50,Price below 150/200 MA - weak trend,ACCUMULATION,70,"Moderate accumulation (1.3x ratio, 54% up volume)",MEGA_FLOAT,999.8,23.0,24.4,15.0,False,down,2.0,0.0,False,0.0,False,0.0,0.0,,29.0,,Sin datos suficientes,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,60.8,8.0,8.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,,0,,3,MIXED/BUY (+3),BEST,8.0,21,,,5.699999999999999,🔵 DECENT,🟡 Good,,,,,,,,False,1,0.814,False,-21.37,16.7,-18.17,downtrend,stage4
ADP,63.73809523809524,Excellent,Stage Unknown,19.96163463419413,209.7100067138672,15.0,"Automatic Data Processing, Inc.",75.0,Technology,Software - Application,100.0,80.0,36.0,85.0,50.0,229.075,91569127424.0,15.0,13.9,False,down,49.3,True,1.0,15.8,True,2.0,4.6,5.4,False,319.72,-28.4,1.0,False,"{'roe_pct': 71.2, 'debt_to_equity': 0.69, 'current_ratio': 1.04, 'operating_margin_pct': 30.2}","{'eps_growth_yoy': np.float64(49.3), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.1}",246.8,305.0,190.0,15.0,hold,7.7,239.06,4.4,112.56,-50.9,5.19,11.88,2.97,60.5,2.04,True,-1.95,13.5,4.2,50.0,2026-07-29,False,False,8.0,STRONG,6.22,192.0,1.79,NEUTRAL,0.74,60.0,1.0,2.0,29.5,25.5,4.5,22.5,2026-06-09 08:01:39,2026-06-09,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 49% up volume)",MEGA_FLOAT,398.8,23.0,52.5,15.0,False,down,13.9,0.0,True,1.0,True,2.0,5.0,18.0,29.0,41.4,Bajo 50%,18.5,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,57.75,8.0,6.0,3.0,3.0,1.0,0.19,0.95,1.0,0.0,0.0,10.0,7.0,0,,0,MIXED/WATCH (0),BEST,8.0,44,0.3385,MEDIA,31.86904761904762,🔵 DECENT,🟡 Good,,,,,,,,False,1,1.165,False,-27.93,21.75,-19.57,sideways,stage4
EXPN.L,0.0,,,,,87.4,EXPERIAN PLC ORD USD0.10,51.8,Industrials,Consulting Services,55.0,50.0,30.0,65.0,70.0,2611.75,23321210880.0,,,,,,,0.0,,,0.0,,,False,4101.0,-36.3,0.0,False,"{'roe_pct': 28.3, 'debt_to_equity': 1.0, 'current_ratio': 0.85, 'operating_margin_pct': 24.9}",{'profit_margin_pct': 17.8},3936.49,4726.04,2362.86,18.0,strong_buy,50.7,3334.0,27.7,2818.0,7.9,3.88,1.01,1.99,39.8,1.37,,,,23.1,162.0,2026-11-18,False,False,5.0,NEUTRAL,5.95,493.1,0.65,,,,,,6.799999999999997,0.0,26.2,15.5,2026-06-09 08:01:39,2026-06-09,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 39% up volume)",MEGA_FLOAT,897.4,30.0,41.8,,,,,0.0,,0.0,,0.0,0.0,16.0,29.0,48.3,Bajo 50%,20.2,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,47.59,8.0,3.0,3.0,0.0,5.0,0.77,-2.04,1.0,2.0,0.0,0.0,6.0,0,,-8,RELIABLE/AVOID (-8),CAUTION,2.0,44,0.1858,BAJA,0.0,🔵 DECENT,🟡 Good,,,,,,,,False,0,1.001,False,-36.26,18.66,-29.78,downtrend,stage4
CTAS,64.96875,Excellent,Stage Unknown,11.838579538325552,181.2100067138672,37.1,Cintas Corporation,64.9,Industrials,Specialty Business Services,90.0,50.0,27.0,90.0,65.0,173.645,69481775104.0,15.0,9.8,False,down,12.1,True,1.0,6.5,False,0.0,4.0,6.2,False,226.75,-23.4,2.0,False,"{'roe_pct': 41.3, 'debt_to_equity': 0.61, 'current_ratio': 1.98, 'operating_margin_pct': 23.2}","{'eps_growth_yoy': np.float64(12.1), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 17.6}",212.41,255.0,160.0,17.0,buy,22.3,73.4,-57.7,47.4,-72.7,2.17,3.77,1.04,36.7,0.9,True,-1.71,24.3,6.8,37.0,2026-07-16,False,False,8.0,STRONG,3.28,64.5,3.3,BULLISH,0.0,50.0,1.0,0.0,35.6,26.0,11.1,19.5,2026-06-09 08:01:39,2026-06-09,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,STRONG_ACCUMULATION,75,"Strong institutional buying (1.5x ratio, 59% up volume)",MEGA_FLOAT,342.1,23.0,56.6,15.0,False,down,9.8,0.0,True,1.0,False,0.0,2.0,13.0,29.0,58.6,Medio,22.6,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,57.515,8.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,89.0,0,,2,RELIABLE/WATCH (+2),WATCH,0.0,44,0.0844,BAJA,31.474375,🔵 DECENT,🟡 Good,,,,,,,,False,1,1.016,False,-22.83,8.04,-14.97,sideways,stage1
CPRT,60.6421052631579,Excellent,Stage Unknown,25.87313553306049,33.38999938964844,50.0,"Copart, Inc.",64.0,Industrials,Specialty Business Services,85.0,60.0,15.0,90.0,70.0,30.86,29727698944.0,15.0,3.4,False,down,1.5,True,1.0,10.0,True,1.0,4.6,4.5,False,50.91,-39.4,0.0,False,"{'roe_pct': 17.6, 'debt_to_equity': 0.01, 'current_ratio': 7.61, 'operating_margin_pct': 37.5}","{'eps_growth_yoy': np.float64(1.5), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 33.5}",41.44,55.0,32.0,9.0,buy,34.3,15.27,-50.5,16.1,-47.8,3.36,1.04,,,,True,-4.76,,1.6,86.0,2026-09-03,False,False,6.0,NEUTRAL,6.93,19.3,7.96,,,,,,37.1,24.3,,19.2,2026-06-09 08:01:39,2026-06-09,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (1.0x ratio, 49% up volume)",MEGA_FLOAT,845.5,25.0,62.1,15.0,False,down,3.4,0.0,True,1.0,True,1.0,5.0,13.0,29.0,58.6,Medio,22.6,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,59.5,8.0,3.0,0.0,3.0,1.0,0.0,-2.86,1.0,1.0,0.0,2.0,65.0,0,,8,RELIABLE/BUY (+8),,0.0,6,,,29.22105263157895,🔵 DECENT,🟡 Average,,,,,,,,False,0,1.216,False,-39.38,2.97,-28.72,downtrend,stage1
TEVA,0.0,,,,,50.0,Teva Pharmaceutical Industries ,59.3,Healthcare,Drug Manufacturers - Specialty & Generic,85.0,30.0,57.6,55.0,65.0,33.26,38728839168.0,60.0,72.5,False,flat,30.9,False,0.0,-4.7,False,0.0,2.3,3.8,False,37.35,-11.0,8.0,True,"{'roe_pct': 21.6, 'debt_to_equity': 2.06, 'current_ratio': 1.01, 'operating_margin_pct': 19.2}","{'eps_growth_yoy': np.float64(30.9), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 9.0}",41.27,50.0,33.0,11.0,strong_buy,24.1,95.11,186.0,40.2,20.9,6.74,2.24,,,2.95,False,,2.5,72.2,50.0,2026-07-29,False,False,8.0,STRONG,4.12,43.5,0.15,,,,,,36.4,0.0,,17.8,2026-06-09 08:01:39,2026-06-09,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (0.9x ratio, 45% up volume)",MEGA_FLOAT,1083.2,5.0,25.4,60.0,False,flat,72.5,0.0,False,0.0,False,0.0,0.0,4.0,29.0,89.7,Top 25%,38.0,3.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,False,2/3,58.47,5.0,6.0,0.0,0.0,5.0,0.0,2.48,1.0,0.0,0.0,10.0,83.0,0,,8,RELIABLE/BUY (+8),,0.0,32,,,29.93,🔵 DECENT,🟡 Average,,,,,,,,True,3,1.165,False,-10.95,121.88,8.45,uptrend,stage2
ROP,0.0,,,,,76.9,"Roper Technologies, Inc.",61.5,Technology,Software - Application,100.0,50.0,24.0,55.0,60.0,333.75,33681168384.0,15.0,5.5,False,down,34.5,True,2.0,7.8,False,0.0,4.6,3.4,False,575.77,-42.0,0.0,False,"{'roe_pct': 9.0, 'debt_to_equity': 0.56, 'current_ratio': 0.53, 'operating_margin_pct': 27.2}","{'eps_growth_yoy': np.float64(34.5), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 21.1}",453.82,550.0,365.0,16.0,none,36.0,911.86,173.2,480.6,44.0,6.44,21.5,1.09,21.1,0.59,True,-4.45,7.0,29.6,42.0,2026-07-21,False,False,6.0,NEUTRAL,5.17,1441.1,0.24,,,,,,21.5,0.0,23.1,18.4,2026-06-09 08:01:39,2026-06-09,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 54% up volume)",HIGH_FLOAT,100.4,20.0,41.5,15.0,False,down,5.5,0.0,True,2.0,False,0.0,5.0,18.0,29.0,41.4,Bajo 50%,18.5,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,45.445,8.0,6.0,0.0,3.0,5.0,0.0,0.01,0.0,0.0,0.0,2.0,13.0,0,,-5,MIXED/AVOID (-5),BEST,5.0,44,0.55,ALTA,0.0,🔵 DECENT,🟡 Average,,,,,,,,False,0,1.132,False,-41.66,9.08,-33.51,downtrend,stage1
WTKWY,0.0,,,,,92.8,Wolters Kluwer N.V.,48.8,Industrials,Specialty Business Services,60.0,50.0,24.0,50.0,60.0,73.1,16370320384.0,15.0,5.5,False,down,,,0.0,,,0.0,,,False,178.48,-59.0,0.0,False,"{'roe_pct': 111.7, 'debt_to_equity': 6.23, 'current_ratio': 0.65, 'operating_margin_pct': 24.2}",{'profit_margin_pct': 21.4},116.9,116.9,116.9,1.0,none,59.9,186.62,155.3,195.0,166.8,6.02,4.4,4.06,43.5,1.77,,,,18.4,,,False,False,7.0,NEUTRAL,8.58,668.9,0.27,,,,,,14.5,0.0,27.8,14.6,2026-06-09 08:01:39,2026-06-09,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 50% up volume)",MEGA_FLOAT,225.6,23.0,42.5,15.0,False,down,5.5,0.0,,0.0,,0.0,0.0,13.0,29.0,58.6,Medio,22.6,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,43.16,8.0,6.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0,,-5,MIXED/AVOID (-5),EXIT,-13.0,44,0.29,BAJA,0.0,⚪ WEAK,🟡 Average,,,,,,,,False,0,1.037,False,-57.61,14.58,-36.66,downtrend,stage1
