ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date
2020.HK,ANTA Sports Products Limited,76.4,HKD,82.0,A,82.0,ROE 22.5% | Potencial +38% analistas | FCF yield 6.5% | Dividendo 2.9% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,105.41,38.0,30,6.5,4.75,2.85,,22.5,11.9,13.8,16.9,12.4,-28.1,Cyclical Risk | Geopolitical Risk,,CLEAN,Metrics appear reasonable for a consumer cyclical company,2026-06-01
0700.HK,Tencent Holdings Limited,436.0,HKD,82.0,A,82.0,ROE 20.5% | Potencial +63% analistas | Margen 31% | Dividendo 1.2% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,711.15,63.1,42,3.3,7.89,1.24,,20.5,11.4,15.6,30.6,9.1,-36.2,Regulatory Risk | Geopolitical Risk,TCEHY,SUSPECT,"Forward P/E seems low compared to the sector average and historical values, potentially indicating undervaluation or overlooked risks",2026-06-01
9999.HK,"NetEase, Inc.",195.2,HKD,81.0,A,81.0,ROE 22.1% | Potencial +28% | FCF yield 5.5% | Margen 30% | Dividendo 2.3% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,250.33,28.2,22,5.5,3.53,2.32,,22.1,11.8,16.0,29.8,6.1,-21.3,Regulatory Risk | Geopolitical Risk,NTES,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual and may indicate potential overestimation of future earnings.",2026-06-01
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",16.5,BRL,74.0,A,74.0,ROE 26.7% | Potencial +21% | Crecimiento ingresos +20% | Margen 47% | Dividendo 3.7% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,20.04,21.4,14,,2.68,3.67,,26.7,12.7,17.9,47.0,20.3,-18.8,FCF no comparable (sector financiero) | Regulatory Risk | Geopolitical Risk | Cyclical Risk,,SUSPECT,High profit margin and ROE may indicate potential overvaluation or accounting irregularities,2026-06-01
RENT3.SA,Localiza Rent a Car S.A.,42.02,BRL,71.0,A,71.0,P/E 8.5x | Potencial +41% analistas | FCF yield 22.5% | Crecimiento ingresos +21% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,59.06,40.6,15,22.5,5.07,4.97,,8.5,8.5,20.3,5.1,21.2,-21.2,cyclical risk | geopolitical risk,,SUSPECT,High FCF yield and significant analyst upside may indicate overoptimism or data quality issues,2026-06-01
0388.HK,Hong Kong Exchanges and Clearing Limited,400.2,HKD,70.0,A,70.0,ROE 35.0% | Potencial +30% | Crecimiento ingresos +19% | Margen 63% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,518.47,29.6,17,,3.69,3.26,,35.0,25.7,26.9,62.6,19.0,-14.1,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory Risk | Geopolitical Risk | Real Estate Exposure,,SUSPECT,High ROE and profit margin may indicate potential overvaluation or accounting discrepancies,2026-06-01
TOTS3.SA,TOTVS S.A.,33.07,BRL,67.0,A,67.0,ROE 16.9% | Potencial +57% analistas | Crecimiento ingresos +22% | Dividendo 2.0% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Technology,Brazil,🇧🇷,9.0,52.0,57.2,12,2.0,7.16,1.97,,16.9,14.5,22.5,15.2,22.4,-31.7,Geopolitical Risk | Cyclical Risk,,SUSPECT,"High analyst upside of 57.2% seems inconsistent with the fundamentals, particularly the forward P/E of 14.5x.",2026-06-01
4568.T,"Daiichi Sankyo Company, Limited",2619.0,JPY,64.0,B,64.0,ROE 15.8% | Potencial +66% analistas | FCF negativo | Dividendo 3.7% | Mercado Japan CAPE 29 (26% descuento histórico),3,1,Healthcare,Japan,🇯🇵,29.4,4352.35,66.2,17,-4.7,8.27,3.7,,15.8,18.2,18.6,12.2,13.7,-37.3,Negative FCF Yield | Potential Cash Flow Risk,DSNKY,SUSPECT,Negative FCF yield is anomalous for a healthcare company with positive profit margin and revenue growth,2026-06-01
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",60.2,HKD,64.0,B,64.0,P/E 5.5x (vs 11x mercado) | Potencial +38% analistas | Dividendo 5.0% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,83.14,38.1,16,,4.76,5.04,,11.3,5.5,7.2,13.9,-3.3,-19.4,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risks in Chinese financial sector | Geopolitical risks in Hong Kong market | Real estate market exposure,PNGAY,RISKY,Negative revenue growth and potential exposure to Chinese real estate sector pose significant risks,2026-06-01
005930.KS,"Samsung Electronics Co., Ltd.",349000.0,KRW,63.0,B,63.0,ROE 18.9% | P/E 6.3x (vs 11x mercado) | Potencial +10% | Crecimiento ingresos +69% | Margen 21%,2,0,Technology,Korea,🇰🇷,21.2,385641.06,10.5,37,2.9,1.31,,,18.9,6.3,,21.5,69.2,-1.6,Regulatory risks in Korea | Geopolitical risks in global technology market | Cyclical risks in semiconductor industry,SSNLF,SUSPECT,Anomalous Forward P/E of 6.3x seems low for a technology company like Samsung Electronics,2026-06-01
ITUB4.SA,Itaú Unibanco Holding S.A.,40.04,BRL,62.0,B,62.0,ROE 21.8% | P/E 7.8x | Potencial +22% | Margen 33% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,48.77,21.8,13,,2.73,2.23,,21.8,7.8,9.7,33.3,-2.1,-19.4,FCF no comparable (sector financiero) | Regulatory Risk | Cyclical Risk | Geopolitical Risk,ITUB,SUSPECT,Negative revenue growth and lack of FCF yield data raise concerns,2026-06-01
