ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
KKR,KKR &,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,90.61,$114.78 - $119.47,139.04,111.27,0.0,2026-03-03,27.5,-36.4,117.13,139.04,-22.6,1.24,,,,,,
ALIT,"Alight,",Oversold Bounce,⭐⭐⭐ EXCELENTE,100,0.9,$1.89 - $1.96,2.36,1.83,0.0,2026-03-03,20.1,-58.5,1.93,2.36,-53.2,1.57,,,,,,
FWDI,"Forward Industries,",Oversold Bounce,⭐⭐⭐ EXCELENTE,100,4.5,$6.41 - $6.67,8.78,6.21,0.0,2026-03-03,30.0,-48.7,6.54,8.78,-31.2,1.39,,,,,,
VEEE,VEEE,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,0.32,$1.56 - $1.62,2.67,1.51,0.0,2026-03-03,12.8,-86.4,1.59,2.67,-79.9,2.8,,,,,,
YYAI,AiRWA,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,0.88,$0.83 - $0.86,1.65,0.8,9.93,2026-03-03,18.7,-46.5,0.85,1.65,4.1,0.61,,,,,,
SVCO,"Silvaco Group,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,3.39,$3.93 - $4.09,4.83,3.81,0.0,2026-03-03,28.0,-31.7,4.01,4.83,-15.5,0.63,,,,,,
SONO,"Sonos,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,14.7,$14.81 - $15.41,17.83,14.35,9.06,2026-03-03,28.1,-23.3,15.11,17.83,-2.7,0.54,,,,,,
LYFT,"Lyft,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,13.73,$18.86 - $19.64,22.97,18.29,0.0,2026-03-03,29.5,-40.2,19.25,22.97,-28.7,0.65,,,,,,
MYSZ,"My Size,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,0.54,$0.74 - $0.77,1.18,0.71,0.0,2026-03-03,27.7,-50.5,0.75,1.18,-28.0,0.73,,,,,,
IBM,International Business Machines,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,239.37,$282.53 - $294.06,310.65,273.88,0.0,2026-03-03,23.7,-23.5,288.3,310.65,-17.0,0.83,,,,,,
LAKE,"Lakeland Industries,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,8.93,$10.59 - $11.02,15.78,10.26,0.0,2026-03-03,21.3,-43.4,10.81,15.78,-17.4,1.06,,,,,,
BH,Biglari,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,336.4,$316.17 - $329.07,425.96,306.49,2.99,2026-03-03,26.3,-29.5,322.62,425.96,4.3,1.04,,,,,,
ACVA,ACV Auctions,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,4.89,$7.57 - $7.87,8.98,7.33,0.0,2026-03-03,20.0,-45.5,7.72,8.98,-36.7,0.87,,,,,,
AMR,"Alpha Metallurgical Resources,",Oversold Bounce,⭐⭐ MUY BUENA,75,165.18,$150.12 - $156.25,181.77,145.53,0.84,2026-03-03,15.4,-33.8,153.19,181.77,7.8,1.29,,,,,,
SPRU,Spruce Power Holding,Oversold Bounce,⭐⭐ MUY BUENA,75,3.85,$3.24 - $3.38,5.75,3.14,2.69,2026-03-03,26.8,-40.4,3.31,5.75,16.3,1.29,,,,,,
UFI,"Unifi,",Bull Flag Pullback,⭐⭐ MUY BUENA,75,3.85,$3.77 - $3.93,4.28,3.7,2.82,2026-03-03,,,,,,,36.7,-10.0,3.81,3.81,Bearish,True
ENPH,"Enphase Energy,",Bull Flag Pullback,⭐ BUENA,60,44.71,$43.82 - $45.6,51.67,38.4,1.1,2026-03-03,,,,,,,75.8,-13.5,39.59,39.59,Bearish,False
SSTI,SSTI,Bull Flag Pullback,⭐ BUENA,60,7.78,$7.62 - $7.94,9.07,7.45,3.9,2026-03-03,,,,,,,43.5,-14.2,7.68,7.68,Bearish,False
UA,"Under Armour,",Bull Flag Pullback,⭐ BUENA,60,7.07,$6.93 - $7.21,7.88,5.84,0.66,2026-03-03,,,,,,,91.3,-10.3,6.02,6.02,Bearish,False
