ticker,vcp_score,ml_score,momentum_score,trend_score,volume_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,insiders_score,institutional_score,num_whales,top_whales,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
EXEL,0.0,50.0,6.029999999999999,,,"Exelixis, Inc.",60.3,Healthcare,Biotechnology,60.0,50.0,47.6,95.0,60.0,41.03,11000641536,35.0,29.8,False,down,,,0,7.8,False,0,15.5,11.2,True,49.62,-17.3,3.0,False,"{'roe_pct': 35.5, 'debt_to_equity': 0.09, 'current_ratio': 3.56, 'operating_margin_pct': 39.4}",{'profit_margin_pct': 33.7},46.83,60.0,35.0,18.0,buy,14.1,103.06,151.2,83.4,103.3,5.74,2.43,,,,True,-8.61,88.9,58.9,70.0,2026-05-12,False,False,,,,,,70.0,0.0,0.0,,13.100000000000001,0.0,15.0,18.1,2026-03-03 07:49:18,2026-03-03,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.8x ratio, 43% up volume)",MEGA_FLOAT,210.9,28.0,33.1,35.0,False,down,29.8,0.0,,0,False,0,0.0,15,41.0,65.9,Medio,46.4,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,False,1/3,73.12,5.0,0.0,6.0,0.0,3.0,5.0,1.76,0.0,⭐⭐ STRONG,🟢 Excellent,,,,,,,
MSFT,0.0,50.0,0.0,,,Microsoft Corporation,60.8,Technology,Software - Infrastructure,60.0,70.0,24.0,90.0,70.0,398.55,2962173984768,15.0,6.0,False,down,,,0,16.0,True,1,0.8,1.3,False,555.45,-28.2,1.0,False,"{'roe_pct': 34.4, 'debt_to_equity': 0.32, 'current_ratio': 1.39, 'operating_margin_pct': 47.1}",{'profit_margin_pct': 39.0},596.0,730.0,392.0,53.0,strong_buy,49.5,306.34,-23.1,479.4,20.3,1.81,7.22,0.91,21.3,0.79,True,-0.76,56.4,59.8,57.0,2026-04-29,False,False,,,,,,70.0,0.0,0.0,,5.0,0.0,15.0,18.2,2026-03-03 07:49:18,2026-03-03,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 41% up volume)",MEGA_FLOAT,7414.9,38.0,33.2,15.0,False,down,6.0,0.0,,0,True,1,2.0,39,41.0,7.3,Bottom 25%,3.9,-3.0,0.0,0.0,-5.0,0.0,0.0,5.0,0.0,False,1/3,70.32,5.0,0.0,0.0,0.0,3.0,5.0,6.19,3.0,⭐⭐ STRONG,🟢 Excellent,,,,,,,
FTAI,0.0,50.0,31.0,,,FTAI Aviation Ltd.,70.0,Industrials,Rental & Leasing Services,55.0,80.0,89.0,65.0,60.0,298.14,30581094400,95.0,94.8,False,up,,,0,33.7,False,0,3.8,1.8,False,323.51,-7.8,8.0,True,"{'roe_pct': 241.2, 'debt_to_equity': 10.46, 'current_ratio': 5.28, 'operating_margin_pct': 28.5}",{'profit_margin_pct': 20.0},334.2,375.0,266.0,10.0,strong_buy,12.1,,,130.52,-56.2,-2.53,-7.53,0.45,27.5,3.38,True,-0.41,3.3,29.8,58.0,2026-04-30,False,False,,,,,,90.0,0.0,0.0,,62.0,0.0,15.0,21.0,2026-03-03 07:49:18,2026-03-03,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,70,"Moderate accumulation (1.5x ratio, 59% up volume)",HIGH_FLOAT,101.1,0.0,36.0,95.0,False,up,94.8,5.0,,0,False,0,0.0,9,41.0,80.5,Top 25%,57.4,3.0,0.0,3.0,10.0,0.0,0.0,5.0,0.0,False,3/3,69.0,8.0,0.0,-5.0,0.0,3.0,5.0,1.51,0.0,⭐ GOOD,🟢 Excellent,HOLD,35.0,Close to ATH (-7.8% from high) - wait for pullback | High P/E (68.1) - valuation risk,-7.8,NEUTRAL,STRONG_BUY,True
LIFE,0.0,50.0,0.0,,,Ethos Technologies Inc.,59.0,Financial Services,Insurance - Life,55.0,50.0,44.0,95.0,70.0,12.59,790793088,35.0,37.6,False,down,,,0,,,0,1.6,0.4,False,19.0,-33.7,,,"{'roe_pct': 21.0, 'debt_to_equity': 0.01, 'current_ratio': 2.17, 'operating_margin_pct': 22.2}",{'profit_margin_pct': 18.4},20.25,31.0,14.0,8.0,strong_buy,60.8,70.39,459.1,27.0,114.5,6.45,1.66,,,,False,,100.3,162.5,,,False,False,,,,,,100.0,0.0,0.0,,12.700000000000003,0.0,15.0,17.7,2026-03-03 07:49:18,2026-03-03,CONFIRMED_UPTREND,TRADE,False,0,Insufficient data,UNKNOWN,50,Insufficient data,MICRO_FLOAT,6.8,20.0,32.7,35.0,False,down,37.6,0.0,,0,,0,0.0,,41.0,,Sin datos suficientes,37.6,0.0,0.0,-5.0,0.0,0.0,0.0,5.0,0.0,False,1/3,67.6,0.0,0.0,6.0,0.0,0.0,5.0,7.6,3.0,⭐ GOOD,🟢 Excellent,,,,,,,
BUKS,0.0,50.0,36.82,,,Butler National Corp.,68.2,Industrials,Aerospace & Defense,55.0,60.0,91.0,90.0,50.0,3.4,219130880,100.0,99.2,True,up,,,0,9.8,True,1,,,False,3.45,-1.4,8.0,True,"{'roe_pct': 25.4, 'debt_to_equity': 0.52, 'current_ratio': 1.96, 'operating_margin_pct': 30.4}",{'profit_margin_pct': 19.0},,,,,none,,10.45,207.4,7.5,120.6,7.23,0.25,,,,True,-2.6,11.4,40.0,,,False,False,,,,,,100.0,0.0,0.0,,67.5,0.0,15.0,20.5,2026-03-03 07:49:18,2026-03-03,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",MEDIUM_FLOAT,29.2,0.0,35.5,100.0,True,up,99.2,10.0,,0,True,1,2.0,24,41.0,43.9,Bajo 50%,32.9,0.0,0.0,5.0,10.0,0.0,0.0,5.0,0.0,False,3/3,67.388,8.0,0.0,6.0,0.0,3.0,5.0,,0.0,⭐ GOOD,🟢 Excellent,AVOID,30.0,Near ATH (-1.4% from high) - poor entry point,-1.4,NEUTRAL,NONE,False
INDV,0.0,50.0,16.33,,,"Indivior Pharmaceuticals, Inc.",58.3,Healthcare,Drug Manufacturers - Specialty & Generic,55.0,50.0,74.0,50.0,70.0,31.98,3998281216,80.0,80.9,False,down,,,0,5.0,False,0,8.9,7.0,True,38.0,-15.8,7.0,True,"{'current_ratio': 0.71, 'operating_margin_pct': 37.2}",{'profit_margin_pct': 16.9},46.43,54.0,36.0,7.0,strong_buy,45.2,75.22,135.2,29.4,-8.1,5.55,1.77,,,,True,-1.55,5.7,376.2,58.0,2026-04-30,False,False,,,,,,100.0,0.0,0.0,,35.5,0.0,15.0,17.5,2026-03-03 07:49:18,2026-03-03,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),STRONG_DISTRIBUTION,15,"Strong selling pressure (0.5x ratio, 33% up volume)",HIGH_FLOAT,107.0,20.0,32.5,80.0,False,down,80.9,3.0,,0,False,0,0.0,4,41.0,92.7,Top 10%,67.7,5.0,3.0,0.0,7.0,0.0,0.0,5.0,0.0,False,2/3,67.32,5.0,0.0,6.0,0.0,3.0,5.0,5.65,3.0,⭐ GOOD,🟢 Excellent,,,,,,,
ENR,0.0,50.0,0.0,,,"Energizer Holdings, Inc.",50.6,Industrials,Electrical Equipment & Parts,50.0,60.0,30.3,60.0,55.0,20.5,1405697664,15.0,17.7,False,flat,,,0,17.5,False,0,9.4,4.3,True,31.78,-35.5,1.0,False,"{'roe_pct': 151.3, 'debt_to_equity': 24.24, 'current_ratio': 1.99, 'operating_margin_pct': 8.6}",{'profit_margin_pct': 7.1},23.67,28.0,19.0,6.0,none,15.4,43.79,113.6,29.7,44.9,12.5,2.57,5.85,40.4,3.92,True,-2.25,2.6,,63.0,2026-05-05,False,False,,,,,,100.0,0.0,0.0,,8.2,0.0,15.0,15.2,2026-03-03 07:49:18,2026-03-03,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 52% up volume)",HIGH_FLOAT,60.5,20.0,30.2,15.0,False,flat,17.7,0.0,,0,False,0,0.0,19,41.0,56.1,Medio,39.4,0.0,3.0,-5.0,-5.0,0.0,0.0,5.0,0.0,False,2/3,67.24000000000001,8.0,0.0,8.0,5.0,3.0,0.0,1.92,0.0,⭐ GOOD,🟢 Excellent,,,,,,,
MWA,0.0,50.0,31.03,,,MUELLER WATER PRODUCTS,55.3,Industrials,Specialty Industrial Machinery,55.0,30.0,66.6,80.0,60.0,29.69,4643080192,60.0,57.9,False,up,,,0,-12.7,False,0,3.9,3.2,False,31.0,-4.2,7.0,True,"{'roe_pct': 21.6, 'debt_to_equity': 0.44, 'current_ratio': 4.02, 'operating_margin_pct': 18.9}",{'profit_margin_pct': 13.8},30.33,35.0,25.0,6.0,buy,2.2,31.27,5.3,28.83,-2.9,3.25,0.96,0.92,21.3,1.5,True,-0.44,14.9,15.9,62.0,2026-05-04,False,False,,,,,,90.0,0.0,0.0,,53.6,0.0,15.0,16.6,2026-03-03 07:49:18,2026-03-03,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 48% up volume)",HIGH_FLOAT,154.1,0.0,31.6,60.0,False,up,57.9,2.0,,0,False,0,0.0,8,41.0,82.9,Top 25%,59.4,3.0,0.0,5.0,7.0,0.0,0.0,5.0,0.0,False,3/3,65.12,8.0,0.0,3.0,0.0,3.0,5.0,0.28,-3.0,⭐ GOOD,🟢 Excellent,,,,,,,
NVT,0.0,50.0,37.22,,,nVent Electric plc,72.2,Industrials,Electrical Equipment & Parts,55.0,80.0,88.3,80.0,60.0,120.27,19451203584,100.0,98.3,True,up,,,0,31.8,False,0,3.0,1.7,False,122.92,-2.2,8.0,True,"{'roe_pct': 12.3, 'debt_to_equity': 0.46, 'current_ratio': 1.63, 'operating_margin_pct': 16.2}",{'profit_margin_pct': 18.2},127.39,148.0,68.04,13.0,strong_buy,5.9,150.58,25.2,78.0,-35.1,2.95,3.55,0.7,30.8,1.49,True,-1.3,8.3,1112.4,59.0,2026-05-01,False,False,,,,,,90.0,0.0,0.0,,66.7,0.0,15.0,21.7,2026-03-03 07:49:18,2026-03-03,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 55% up volume)",HIGH_FLOAT,160.9,0.0,36.7,100.0,True,up,98.3,10.0,,0,False,0,0.0,19,41.0,56.1,Medio,39.4,0.0,0.0,5.0,10.0,0.0,0.0,5.0,0.0,False,3/3,63.879999999999995,8.0,0.0,0.0,0.0,3.0,5.0,0.74,-3.0,⭐ GOOD,🟡 Good,AVOID,25.0,Near ATH (-2.2% from high) - poor entry point | Elevated P/E (46.3) - watch valuation,-2.2,NEUTRAL,STRONG_BUY,True
PACS,0.0,50.0,25.759999999999998,,,"PACS Group, Inc.",62.6,Healthcare,Medical Care Facilities,50.0,70.0,80.3,50.0,65.0,37.8,5920052224,80.0,88.4,False,up,,,0,11.3,True,1,8.7,4.0,True,43.08,-12.3,7.0,True,"{'roe_pct': 23.0, 'debt_to_equity': 3.78, 'current_ratio': 1.07, 'operating_margin_pct': 7.0}",{'profit_margin_pct': 3.6},45.6,52.0,40.0,5.0,strong_buy,20.6,65.5,73.3,31.5,-16.7,4.09,1.54,,,,False,,9.9,57.2,65.0,2026-05-07,False,False,,,,,,70.0,0.0,0.0,,63.8,0.0,15.0,18.8,2026-03-03 07:49:18,2026-03-03,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",MEDIUM_FLOAT,45.5,0.0,33.8,80.0,False,up,88.4,5.0,,0,True,1,2.0,5,41.0,90.2,Top 10%,64.0,5.0,3.0,3.0,7.0,0.0,0.0,5.0,0.0,False,3/3,62.04,5.0,0.0,3.0,0.0,0.0,5.0,2.58,1.0,⭐ GOOD,🟡 Good,HOLD,55.0,Close to ATH (-12.3% from high) - wait for pullback | Elevated P/E (36.0) - watch valuation | Strong upside (+20.6%) - analyst support,-12.3,NEUTRAL,STRONG_BUY,False
