Ticker,Insider,Title,Date,InsiderName,TradeDate,FilingDate,Type,Price,Qty,Owned,Value,Source,ScrapedAt,Chart_Daily,Chart_Weekly
2026-09-23 05:17:08,LEN,Lennar Corp /New/,10%,Berkshire Hathaway Inc,2026-09-17,2026-09-21,P - Purchase,77.42,2743529,24247326,212%,OpenInsider.com,2026-09-23 05:17:08,reports/graphs/LEN_d.png,reports/graphs/LEN_w.png
2026-09-23 05:17:08,GRAB,Grab Holdings Ltd,CEO,Tan Anthony Ping Yeow,2026-09-21,2026-09-21,P - Purchase,2.89,10350000,10778498,29%,OpenInsider.com,2026-09-23 05:17:08,reports/graphs/GRAB_d.png,reports/graphs/GRAB_w.png
2026-09-23 05:17:08,GSAT,"Globalstar, Inc.","Dir, 10%",Monroe James III,2026-09-18,2026-09-21,P - Purchase,82.52,361600,74419849,29%,OpenInsider.com,2026-09-23 05:17:08,reports/graphs/GSAT_d.png,reports/graphs/GSAT_w.png
2026-09-23 05:17:08,GME,Gamestop Corp.,"Pres, CEO, COB",Cohen Ryan,2026-09-21,2026-09-21,P - Purchase,22.94,1150680,40498522,26%,OpenInsider.com,2026-09-23 05:17:08,reports/graphs/GME_d.png,reports/graphs/GME_w.png
2026-09-23 05:17:08,GPI,Group 1 Automotive Inc,10%,"Conifer Management, L.L.C.",2026-09-17,2026-09-21,P - Purchase,256.78,65650,1512290,16%,OpenInsider.com,2026-09-23 05:17:08,reports/graphs/GPI_d.png,reports/graphs/GPI_w.png
2026-09-23 05:17:08,CRBG,"Corebridge Financial, Inc.",10%,Nippon Life Insurance Co,2026-09-16,2026-09-18,P - Purchase,35.02,320785,123301092,11%,OpenInsider.com,2026-09-23 05:17:08,reports/graphs/CRBG_d.png,reports/graphs/CRBG_w.png
2026-09-23 05:17:08,CRBG,"Corebridge Financial, Inc.",10%,Nippon Life Insurance Co,2026-09-15,2026-09-17,P - Purchase,35.02,210903,122980307,7%,OpenInsider.com,2026-09-23 05:17:08,reports/graphs/CRBG_d.png,reports/graphs/CRBG_w.png
2026-09-23 05:17:08,ENHA,Enhanced Group Inc.,"Dir, 10%",Apeiron Investment Group Ltd.,2026-09-17,2026-09-21,P - Purchase,1.15,6080047,43343818,6%,OpenInsider.com,2026-09-23 05:17:08,reports/graphs/ENHA_d.png,reports/graphs/ENHA_w.png
2026-09-23 05:17:08,USO,"United States Oil Fund, LP",10%,Hrt Financial LP,2026-09-16,2026-09-17,P - Purchase,155.3,43638,128543,6%,OpenInsider.com,2026-09-23 05:17:08,reports/graphs/USO_d.png,reports/graphs/USO_w.png
2026-09-23 05:17:08,CRBG,"Corebridge Financial, Inc.",10%,Nippon Life Insurance Co,2026-09-17,2026-09-21,P - Purchase,35.2,174760,123475852,6%,OpenInsider.com,2026-09-23 05:17:08,reports/graphs/CRBG_d.png,reports/graphs/CRBG_w.png
