ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at
AJG,Arthur J. Gallagher & Co.,81.8,🏆 ELITE,🟢 Elite,USD,USD,False,True,True,1.0,,100.0,100.0,53.0,65.0,65.0,35.0,30.5,False,up,124.7,True,1,47.7,True,2,"{'eps_growth_yoy': 124.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.4}","{'revenue_growth_yoy': 47.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 22.7, 'rs_6m': -11.5, 'rs_line_percentile': 30.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 6.7, 'debt_to_equity': 0.59, 'current_ratio': 1.05, 'operating_margin_pct': 18.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 15.4}",251.03,64349278208,Financial Services,Insurance Brokers,3.1,4.2,False,313.55,-19.9,4.0,False,289.61,388.0,250.0,18.0,buy,15.4,102.46,-59.2,61.0,-75.7,2.77,6.96,1.13,44.8,2.8,1.01,True,-0.48,4.3,-10.7,84.0,2026-10-29,False,False,6.0,NEUTRAL,3.26,77.9,,37.7,,,,2026-08-06T06:34:53.505499
HEI,Heico Corporation,79.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,False,0.3953,"acciones × precio no cuadra con la capitalización (ratio 0.3953): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",100.0,70.0,63.9,90.0,60.0,60.0,71.4,False,up,31.8,True,1,19.9,True,1,"{'eps_growth_yoy': 31.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 16.1}","{'revenue_growth_yoy': 19.9, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 18.6, 'rs_6m': 0.3, 'rs_line_percentile': 71.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 17.2, 'debt_to_equity': 0.48, 'current_ratio': 2.92, 'operating_margin_pct': 25.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 5.4}",366.8,51255791616,Industrials,Aerospace & Defense,1.5,1.7,False,371.455,-1.3,8.0,True,386.53,472.0,290.0,19.0,buy,5.4,,,,,1.38,12.82,0.07,4.3,0.25,0.1,False,,9.0,48.2,19.0,2026-08-25,False,True,8.0,STRONG,1.89,52.3,1.1,25.7,0.8,0.03,-24.9,2026-08-06T06:36:19.315466
VEEV,Veeva Systems Inc.,79.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,,100.0,80.0,53.0,85.0,60.0,35.0,28.1,False,up,30.3,True,1,11.9,True,2,"{'eps_growth_yoy': 30.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 28.4}","{'revenue_growth_yoy': 11.9, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 22.4, 'rs_6m': -0.8, 'rs_line_percentile': 28.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 13.9, 'debt_to_equity': 0.01, 'current_ratio': 4.74, 'operating_margin_pct': 30.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 14.3}",213.51,34683269120,Healthcare,Health Information Services,5.3,3.2,False,310.5,-31.2,3.0,False,244.14,350.0,165.0,28.0,buy,14.3,183.94,-13.8,82.93,-61.2,3.63,7.75,,,,,True,-0.65,,14.6,20.0,2026-08-26,False,True,7.0,NEUTRAL,3.34,14.1,1.46,40.2,,,,2026-08-06T06:34:33.322578
ADP,"Automatic Data Processing, Inc.",79.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,,100.0,80.0,56.6,85.0,50.0,35.0,38.0,False,up,49.3,True,1,15.8,True,2,"{'eps_growth_yoy': 49.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.1}","{'revenue_growth_yoy': 15.8, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 26.2, 'rs_6m': 4.1, 'rs_line_percentile': 38.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 72.2, 'debt_to_equity': 0.9, 'current_ratio': 1.05, 'operating_margin_pct': 23.1}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 6.1}",270.09,107441799168,Technology,Software - Application,4.0,5.0,False,310.08,-12.9,5.0,False,286.67,322.0,225.0,15.0,hold,6.1,264.46,-2.1,109.5,-59.5,4.97,13.41,2.51,60.7,6.8,2.04,True,-1.66,14.2,4.0,83.0,2026-10-28,False,False,8.0,STRONG,5.31,192.0,2.02,34.8,,,,2026-08-06T06:32:08.641351
MSFT,Microsoft Corporation,79.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,"FCF declarado (16,363,499,520) se aparta del derivado de flujo operativo menos capex (66,986,994,944)",100.0,70.0,53.9,95.0,65.0,35.0,43.4,False,up,28.9,True,1,15.9,True,1,"{'eps_growth_yoy': 28.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 40.3}","{'revenue_growth_yoy': 15.9, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 12.8, 'rs_6m': 5.4, 'rs_line_percentile': 43.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 34.0, 'debt_to_equity': 0.29, 'current_ratio': 1.23, 'operating_margin_pct': 45.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 15.4}",487.46,3619656564736,Technology,Software - Infrastructure,1.2,2.0,False,553.72,-12.0,4.0,False,562.73,870.0,400.0,53.0,strong_buy,15.4,93.45,-80.8,532.2,9.2,0.45,2.2,0.74,19.8,3.64,0.79,True,-0.62,55.4,31.7,83.0,2026-10-28,False,False,6.0,NEUTRAL,4.6,44.9,0.66,60.3,,,,2026-08-06T06:33:14.302506
THC,Tenet Healthcare Corporation,78.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,"FCF declarado (2,247,875,072) se aparta del derivado de flujo operativo menos capex (3,005,000,064)",100.0,60.0,83.0,75.0,60.0,80.0,86.8,False,up,141.5,False,0,14.2,False,0,"{'eps_growth_yoy': 141.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.3}","{'revenue_growth_yoy': 14.2, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 29.4, 'rs_6m': 24.5, 'rs_line_percentile': 86.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 37.3, 'debt_to_equity': 1.52, 'current_ratio': 1.41, 'operating_margin_pct': 18.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 6.9}",261.74,21075042304,Healthcare,Medical Care Facilities,4.3,2.2,False,263.6,-0.7,6.0,False,279.86,309.0,250.0,21.0,strong_buy,6.9,1183.92,352.3,801.6,206.3,10.67,27.92,,,,2.75,True,-7.83,5.7,213.4,82.0,2026-10-27,False,False,6.0,NEUTRAL,10.0,33.4,0.06,77.2,,,,2026-08-06T06:40:40.818822
NUE,Nucor Corporation,78.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,"FCF declarado (669,000,000) se aparta del derivado de flujo operativo menos capex (1,002,000,000)",85.0,70.0,88.3,80.0,60.0,100.0,98.6,True,up,23.2,True,1,12.3,True,1,"{'eps_growth_yoy': 23.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 8.0}","{'revenue_growth_yoy': 12.3, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 12.4, 'rs_6m': 32.7, 'rs_line_percentile': 98.6, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 14.5, 'debt_to_equity': 0.31, 'current_ratio': 2.51, 'operating_margin_pct': 15.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 3.2}",274.74,62569545728,Basic Materials,Steel,2.3,2.2,False,280.11,-1.9,8.0,True,283.56,305.0,231.0,16.0,buy,3.2,124.58,-54.7,376.8,37.1,1.07,2.94,0.82,17.8,2.24,1.41,True,-0.84,23.8,93.8,81.0,2026-10-26,False,False,6.0,NEUTRAL,4.01,11.9,0.16,37.3,,,,2026-08-06T06:39:51.898622
WST,"West Pharmaceutical Services, I",78.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,"FCF declarado (277,937,504) se aparta del derivado de flujo operativo menos capex (376,300,000)",100.0,50.0,76.7,95.0,65.0,80.0,77.6,False,up,10.0,True,2,8.4,False,0,"{'eps_growth_yoy': 10.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 17.0}","{'revenue_growth_yoy': 8.4, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 7.2, 'rs_6m': 35.5, 'rs_line_percentile': 77.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 19.1, 'debt_to_equity': 0.11, 'current_ratio': 2.82, 'operating_margin_pct': 22.5}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 15.3}",351.02,24703297536,Healthcare,Medical Instruments & Supplies,3.9,2.9,False,386.0,-9.1,8.0,True,404.73,459.0,340.0,15.0,strong_buy,15.3,107.46,-69.4,142.27,-59.5,1.13,3.95,0.25,11.1,0.88,0.25,True,-1.85,155.1,18.1,77.0,2026-10-22,False,False,7.0,NEUTRAL,2.45,19.0,1.95,32.5,,,,2026-08-06T06:35:19.257598
CDNS,"Cadence Design Systems, Inc.",78.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,,100.0,70.0,52.4,90.0,65.0,35.0,25.2,False,down,27.8,True,1,18.3,True,1,"{'eps_growth_yoy': 27.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 23.6}","{'revenue_growth_yoy': 18.3, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -10.2, 'rs_6m': 11.4, 'rs_line_percentile': 25.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 35}","{'roe_pct': 23.2, 'debt_to_equity': 0.39, 'current_ratio': 1.74, 'operating_margin_pct': 28.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 19.8}",337.07,92969304064,Technology,Software - Application,2.3,2.8,False,416.69,-19.1,5.0,False,403.67,470.0,300.0,26.0,strong_buy,19.8,247.5,-26.6,149.7,-55.6,1.73,5.84,,,,,True,-1.09,15.6,125.4,81.0,2026-10-26,False,False,7.0,NEUTRAL,1.74,44.0,0.28,46.8,0.2,0.0,-46.6,2026-08-06T06:36:31.563025
RACE,Ferrari N.V.,77.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,EUR,True,True,True,1.0,"FCF declarado (1,156,633,910) se aparta del derivado de flujo operativo menos capex (1,837,103,824)",100.0,70.0,53.9,90.0,60.0,35.0,27.9,False,up,21.2,True,2,9.7,True,2,"{'eps_growth_yoy': 21.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 22.2}","{'revenue_growth_yoy': 9.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 15.8, 'rs_6m': 8.5, 'rs_line_percentile': 27.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 45.4, 'debt_to_equity': 0.86, 'current_ratio': 2.43, 'operating_margin_pct': 31.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 11.2}",406.8,71501127680,Consumer Cyclical,Auto Manufacturers,2.9,6.7,False,504.49,-19.4,5.0,False,452.44,531.24,398.7,14.0,strong_buy,11.2,130.26,-68.0,109.28,-73.1,1.62,6.58,1.05,39.0,4.23,0.68,True,-1.11,63.9,10.1,89.0,2026-11-03,False,False,9.0,STRONG,2.87,46.9,3.17,33.0,,,,2026-08-06T06:35:48.786562
