ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,pct_from_52w_low,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date,oe_ai_adjustment,oe_ai_verdict
9999.HK,"NetEase, Inc.",188.2,HKD,88.0,A,88.0,ROE 20.4% | Potencial +34% analistas | FCF yield 6.4% | Margen 28% | Dividendo 1.6% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,251.41,33.6,21,6.4,4.2,1.6,,20.4,11.3,16.0,27.9,7.9,-24.1,11.5,,NTES,,,2026-09-08,0,
2020.HK,ANTA Sports Products Limited,75.95,HKD,85.0,A,85.0,ROE 24.8% | Potencial +38% analistas | FCF yield 9.6% | Dividendo 3.4% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,104.7,37.9,30,9.6,4.73,3.41,,24.8,11.5,11.5,18.8,12.9,-23.4,13.6,,,,,2026-09-08,0,
005930.KS,"Samsung Electronics Co., Ltd.",269500.0,KRW,83.0,A,83.0,ROE 30.8% | P/E 3.9x (vs 11x mercado) | Potencial +75% analistas | Crecimiento ingresos +130% | Margen 31%,2,0,Technology,Korea,🇰🇷,21.2,472178.47,75.2,37,3.9,9.4,,,30.8,3.9,,30.8,130.0,-28.0,285.0,,SSNLF,,,2026-09-08,0,
0700.HK,Tencent Holdings Limited,435.4,HKD,77.0,A,77.0,ROE 19.9% | Potencial +53% analistas | Margen 30% | Dividendo 1.2% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,665.74,52.9,42,3.5,6.61,1.21,,19.9,12.1,14.7,29.9,11.0,-36.3,5.9,,TCEHY,,,2026-09-08,0,
TOTS3.SA,TOTVS S.A.,34.5,BRL,74.0,A,74.0,ROE 17.0% | Potencial +40% analistas | Crecimiento ingresos +36% | Margen 22% | Dividendo 2.4% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Technology,Brazil,🇧🇷,9.0,48.23,39.8,13,3.5,4.97,2.41,,17.0,16.3,22.7,21.6,36.1,-28.7,,,,,,2026-09-08,0,
RENT3.SA,Localiza Rent a Car S.A.,36.64,BRL,74.0,A,74.0,P/E 8.1x | Potencial +49% analistas | FCF yield 24.4% | Crecimiento ingresos +24% | Dividendo 5.8% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,54.47,48.7,15,24.4,6.08,5.84,,13.0,8.1,11.6,7.4,24.5,-31.3,,,,,,2026-09-08,0,
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",55.25,HKD,73.0,A,73.0,P/E 5.1x (vs 11x mercado) | Potencial +48% analistas | Dividendo 5.6% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,81.66,47.8,15,,5.97,5.61,,13.1,5.1,5.7,16.2,8.6,-26.0,10.5,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino,PNGAY,,,2026-09-08,0,
8035.T,Tokyo Electron Limited,54000.0,JPY,72.0,A,72.0,ROE 30.9% | Potencial +37% analistas | Crecimiento ingresos +33% | Margen 24% | Dividendo 1.3% | Mercado Japan CAPE 29 (26% descuento histórico),3,0,Technology,Japan,🇯🇵,29.4,74209.09,37.4,22,1.2,4.68,1.34,,30.9,42.2,43.2,23.6,33.3,-33.5,158.6,,,,,2026-09-08,0,
0388.HK,Hong Kong Exchanges and Clearing Limited,402.0,HKD,70.0,A,70.0,ROE 33.6% | Potencial +29% | Crecimiento ingresos +19% | Margen 63% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,517.06,28.6,16,,3.58,3.68,,33.6,24.9,25.7,62.9,18.9,-12.6,11.7,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino,,,,2026-09-08,0,
ITUB4.SA,Itaú Unibanco Holding S.A.,41.92,BRL,70.0,A,70.0,ROE 21.5% | P/E 8.2x | Potencial +15% | Crecimiento ingresos +18% | Margen 33% | Dividendo 2.1% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,48.15,14.9,13,,1.86,2.13,,21.5,8.2,10.0,32.6,17.5,-15.6,,FCF no comparable (sector financiero),ITUB,,,2026-09-08,0,
