ticker,company_name,super_score_5d,tier,description,vcp_score,insiders_score,sector_score,institutional_score,sector_name,sector_momentum,tier_boost,dj_ticker,timing_convergence,timing_bonus,timing_reason,current_price,price_target,upside_percent,analyst_target,analyst_upside,num_analysts,fundamental_score,pe_ratio,peg_ratio,fcf_yield,roe,revenue_growth,num_whales,top_whales,vcp_repeater,repeat_count,consistency_score,repeater_bonus,thesis_short,investment_thesis,entry_price,entry_date,snapshot_id,return_7d,exit_price_7d
INTC,Intel,83.8,⭐⭐⭐⭐ LEGENDARY,Señales positivas,88.575,90,78.86,0.0,Technology,improving,3,DJUSTC,True,10,🔥 TIMING PERFECTO: 4 compras de insiders durante VCP base (5 días),44.24,47.89,8.25,47.11829,6.506080470162745,41,20.0,,,-2.0383580301777333,0.00022,-0.041,0,,True,2,20,6,Perfect Timing | Repeater 2x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐⭐ LEGENDARY)

• 📈 SECTOR IMPROVING: Technology saliendo de debilidad (0/100)
• 🔁 VCP REPEATER: Stock formó VCP patterns 2x históricamente - track record comprobado (+6 bonus)",44.38589859008789,2026-02-19,20260219_171234,,
PRU,"Prudential Financial,",82.5,⭐⭐⭐⭐ LEGENDARY,Señales positivas,87.97058823529412,100,60.75,0.0,Financial Services,improving,0,DJUSFI,True,10,🔥 TIMING PERFECTO: 7 compras de insiders durante VCP base (8 días),102.915,113.6,10.39,114.0,10.771024631977832,14,50.0,10.301802,,35.2340613386354,0.11359999,0.312,0,,True,3,40,9,Perfect Timing | Repeater 3x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐⭐ LEGENDARY)

• 📈 SECTOR IMPROVING: Financial Services saliendo de debilidad (0/100)
• 🔁 VCP REPEATER: Stock formó VCP patterns 3x históricamente - track record comprobado (+9 bonus)
• 📊 FUNDAMENTALS: FCF yield 35.2% (Score: 50/100)",102.9000015258789,2026-02-19,20260219_171234,,
KKR,KKR &,80.2,⭐⭐⭐⭐ LEGENDARY,Señales positivas,88.41666666666667,90,60.75,0.0,Financial Services,improving,0,DJUSFI,True,10,🔥 TIMING PERFECTO: 4 compras de insiders durante VCP base (5 días),99.81,126.83,27.07,143.86833,44.14220018034263,18,41.67,42.653847,,,0.08946,0.775,0,,True,3,40,9,Perfect Timing | Repeater 3x | 27% upside,"⚡ MODERATE (0.0/100 - ⭐⭐⭐⭐ LEGENDARY)

• 📈 SECTOR IMPROVING: Financial Services saliendo de debilidad (0/100)
• 🔁 VCP REPEATER: Stock formó VCP patterns 3x históricamente - track record comprobado (+9 bonus)
• 💰 UPSIDE POTENTIAL: 27% hasta precio objetivo $126.83",99.7750015258789,2026-02-19,20260219_171234,,
WRB,W. R. Berkley,77.6,⭐⭐⭐ EXCELENTE,Señales positivas,71.375,100,60.75,0.0,Financial Services,improving,0,DJUSFI,True,10,🔥 TIMING PERFECTO: 54 compras de insiders durante VCP base (57 días),70.94,73.18,3.16,68.33333,-3.674471384268385,15,41.67,15.941574,,,0.19600001,0.015,0,,True,3,40,9,Perfect Timing | Repeater 3x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 📈 SECTOR IMPROVING: Financial Services saliendo de debilidad (0/100)
• 🔁 VCP REPEATER: Stock formó VCP patterns 3x históricamente - track record comprobado (+9 bonus)",70.91999816894531,2026-02-19,20260219_171234,,
CRM,"Salesforce,",75.7,⭐⭐⭐ EXCELENTE,Señales positivas,66.33333333333334,100,78.86,0.0,Technology,improving,3,DJUSTC,False,0,,185.22,279.03,50.65,319.94604,72.73838678328472,53,45.0,24.728973,,8.236713219624626,0.12184,0.086,0,,True,4,50,12,Repeater 4x | 51% upside,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 📈 SECTOR IMPROVING: Technology saliendo de debilidad (0/100)
• 🔁 VCP REPEATER: Stock formó VCP patterns 4x históricamente - track record comprobado (+12 bonus)
• 💰 UPSIDE POTENTIAL: 51% hasta precio objetivo $279.03
• 📊 FUNDAMENTALS: FCF yield 8.2% (Score: 45/100)",185.7700042724609,2026-02-19,20260219_171234,,
MGM,MGM Resorts International,75.3,⭐⭐⭐ EXCELENTE,Seguimiento recomendado,87.875,50,72.1,0.0,Consumer Cyclical,declining,3,DJUSGT,True,10,🔥 TIMING PERFECTO: 2 compras de insiders durante VCP base (1 días),,,,,,0,50.0,,,,,,0,,True,3,40,9,Perfect Timing | Repeater 3x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 🔁 VCP REPEATER: Stock formó VCP patterns 3x históricamente - track record comprobado (+9 bonus)",36.125,2026-02-19,20260219_171234,,
APTV,Aptiv PLC,72.8,⭐⭐⭐ EXCELENTE,Seguimiento recomendado,89.65789473684211,50,72.1,0.0,Consumer Cyclical,declining,3,DJUSGT,True,10,🔥 TIMING PERFECTO: 2 compras de insiders durante VCP base (1 días),,,,,,0,50.0,,,,,,0,,True,2,20,6,Perfect Timing | Repeater 2x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 🔁 VCP REPEATER: Stock formó VCP patterns 2x históricamente - track record comprobado (+6 bonus)",79.8949966430664,2026-02-19,20260219_171234,,
BA,The Boeing,72.3,⭐⭐⭐ EXCELENTE,Señales positivas,90.20588235294116,70,58.81,0.0,Industrials,stable,0,DJUSIG,True,10,🔥 TIMING PERFECTO: 3 compras de insiders durante VCP base (2 días),,,,,,0,50.0,,,,,,0,,True,2,20,6,Perfect Timing | Repeater 2x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 🔁 VCP REPEATER: Stock formó VCP patterns 2x históricamente - track record comprobado (+6 bonus)",235.2400054931641,2026-02-19,20260219_171234,,
DASH,"DoorDash,",72.3,⭐⭐⭐ EXCELENTE,Seguimiento recomendado,87.91666666666667,50,72.1,0.0,Consumer Cyclical,declining,3,DJUSGT,True,10,🔥 TIMING PERFECTO: 2 compras de insiders durante VCP base (1 días),,,,,,0,50.0,,,,,,0,,True,2,20,6,Perfect Timing | Repeater 2x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 🔁 VCP REPEATER: Stock formó VCP patterns 2x históricamente - track record comprobado (+6 bonus)",181.0800018310547,2026-02-19,20260219_171234,,
URI,"United Rentals,",71.7,⭐⭐⭐ EXCELENTE,Señales positivas,87.96875,70,58.81,0.0,Industrials,stable,0,DJUSIG,True,10,🔥 TIMING PERFECTO: 3 compras de insiders durante VCP base (2 días),,,,,,0,50.0,,,,,,0,,True,2,20,6,Perfect Timing | Repeater 2x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 🔁 VCP REPEATER: Stock formó VCP patterns 2x históricamente - track record comprobado (+6 bonus)",876.4349975585938,2026-02-19,20260219_171234,,
