ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date,oe_ai_adjustment,oe_ai_verdict
9999.HK,"NetEase, Inc.",175.1,HKD,84.0,A,84.0,ROE 22.6% | Potencial +44% analistas | FCF yield 6.0% | Margen 30% | Dividendo 2.6% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,252.24,44.1,22,6.0,5.51,2.6,,22.6,11.1,14.5,30.0,3.0,-29.4,Regulatory Risk | Geopolitical Risk,NTES,SUSPECT,Low forward P/E and high FCF yield may indicate undervaluation or potential for downward revision in estimates,2026-05-18,0,
0700.HK,Tencent Holdings Limited,449.2,HKD,82.0,A,82.0,ROE 20.5% | Potencial +58% analistas | Margen 31% | Dividendo 1.2% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,709.66,58.0,42,3.2,7.25,1.16,,20.5,11.7,16.1,30.6,9.1,-34.2,Regulatory Risk | Geopolitical Risk,TCEHY,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual for a growth company like Tencent",2026-05-18,0,
2020.HK,ANTA Sports Products Limited,75.8,HKD,82.0,A,82.0,ROE 22.5% | Potencial +39% analistas | FCF yield 6.6% | Dividendo 2.8% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,105.17,38.7,31,6.6,4.84,2.83,,22.5,11.9,13.7,16.9,12.4,-28.7,Geopolitical risk due to Hong Kong market | Cyclical risk in consumer industry,,CLEAN,Metrics appear reasonable for a consumer cyclical company,2026-05-18,0,
RENT3.SA,Localiza Rent a Car S.A.,42.98,BRL,71.0,A,71.0,P/E 8.7x | Potencial +38% analistas | FCF yield 22.0% | Crecimiento ingresos +21% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,59.28,37.9,14,22.0,4.74,4.86,,8.5,8.7,20.8,5.1,21.2,-19.4,cyclical risk | geopolitical risk,,SUSPECT,High FCF yield and low forward P/E raise concerns about data quality or potential overleveraging,2026-05-18,0,
0388.HK,Hong Kong Exchanges and Clearing Limited,410.0,HKD,70.0,A,70.0,ROE 35.0% | Potencial +26% | Crecimiento ingresos +19% | Margen 63% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,518.47,26.5,17,,3.31,3.13,,35.0,26.3,27.6,62.6,19.0,-12.0,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory Risk | Real Estate Exposure | Geopolitical Risk,,SUSPECT,High profit margin and ROE raise concerns about sustainability and potential overvaluation,2026-05-18,0,
TOTS3.SA,TOTVS S.A.,31.14,BRL,70.0,A,70.0,ROE 16.9% | Potencial +68% analistas | Crecimiento ingresos +22% | Dividendo 2.1% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Technology,Brazil,🇧🇷,9.0,52.33,68.1,12,2.1,8.51,2.09,,16.9,14.0,21.2,15.2,22.4,-35.7,Geopolitical Risk | Cyclical Risk,,SUSPECT,High analyst upside of 68.1% seems inconsistent with the fundamentals,2026-05-18,0,
005930.KS,"Samsung Electronics Co., Ltd.",281000.0,KRW,68.0,A,68.0,ROE 18.9% | P/E 5.4x (vs 11x mercado) | Potencial +20% | Crecimiento ingresos +69% | Margen 21%,2,0,Technology,Korea,🇰🇷,21.2,338297.75,20.4,36,0.9,2.55,,,18.9,5.4,,21.5,69.3,-6.2,cyclical | geopolitical,SSNLF,SUSPECT,Forward P/E of 5.4x seems unusually low for a technology company like Samsung Electronics,2026-05-18,0,
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",16.7,BRL,66.0,A,66.0,ROE 26.7% | Potencial +18% | Crecimiento ingresos +20% | Margen 47% | Dividendo 3.6% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,19.68,17.8,14,,2.23,3.63,,26.7,12.9,18.2,47.0,20.3,-17.9,FCF no comparable (sector financiero) | Regulatory Risk | Geopolitical Risk | Governance Risk,,SUSPECT,High profit margin and ROE may indicate potential overvaluation or accounting irregularities,2026-05-18,0,
ITUB4.SA,Itaú Unibanco Holding S.A.,39.7,BRL,65.0,A,65.0,ROE 21.8% | P/E 7.6x | Potencial +23% | Margen 33% | Dividendo 1.4% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,48.77,22.8,13,,2.86,1.38,,21.8,7.6,9.6,33.3,-2.1,-20.1,FCF no comparable (sector financiero) | Regulatory Risk | Cyclical Risk | Geopolitical Risk,ITUB,SUSPECT,Negative revenue growth and lack of FCF yield data raise concerns,2026-05-18,0,
2382.HK,Sunny Optical Technology (Group) Company Limited,63.5,HKD,64.0,B,64.0,ROE 17.5% | Potencial +27% | FCF negativo | Crecimiento ingresos +21% | Dividendo 1.9% | Mercado HongKong CAPE 11 (33% descuento histórico),3,1,Technology,HongKong,🇭🇰,10.7,80.77,27.2,23,-1.0,3.4,1.86,,17.5,12.6,13.0,10.7,21.3,-30.5,cyclical | governance,,SUSPECT,Negative FCF yield is anomalous for a technology company with high revenue growth,2026-05-18,0,
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",61.85,HKD,64.0,B,64.0,P/E 5.7x (vs 11x mercado) | Potencial +34% analistas | Dividendo 4.8% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,82.67,33.7,16,,4.21,4.85,,11.3,5.7,7.4,13.9,-3.3,-17.2,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risks in Chinese insurance sector | Geopolitical risks in Hong Kong market | Real estate market exposure,PNGAY,RISKY,Negative revenue growth and potential exposure to Chinese real estate sector pose significant risks,2026-05-18,0,
4568.T,"Daiichi Sankyo Company, Limited",2620.5,JPY,64.0,B,64.0,ROE 15.8% | Potencial +73% analistas | FCF negativo | Dividendo 3.9% | Mercado Japan CAPE 29 (26% descuento histórico),3,1,Healthcare,Japan,🇯🇵,29.4,4531.76,72.9,17,-4.7,9.12,3.89,,15.8,18.3,18.7,12.2,13.7,-37.3,Negative FCF Yield | Regulatory Risk in Healthcare Sector,DSNKY,SUSPECT,Negative FCF yield is anomalous for a healthcare company with positive profit margin and revenue growth,2026-05-18,0,
8766.T,"Tokio Marine Holdings, Inc.",7627.0,JPY,62.0,B,62.0,ROE 20.7% | P/E 15.5x | Crecimiento ingresos +22% | Dividendo 2.8% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Financial Services,Japan,🇯🇵,29.4,8066.0,5.8,12,,0.72,2.79,,20.7,15.5,13.9,12.6,21.8,-3.1,FCF no comparable (sector financiero) | Regulatory Risk | Geopolitical Risk | Cyclical Risk,TKOMY,CLEAN,Metrics appear reasonable for a financial services company in Japan,2026-05-18,0,
1299.HK,AIA Group Limited,86.65,HKD,62.0,B,62.0,Potencial +21% | Margen 24% | Dividendo 2.2% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,104.44,20.5,18,,2.57,2.2,,14.8,13.0,18.8,23.8,6.0,-6.0,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risks in Hong Kong | Exposure to Chinese real estate market | Potential governance risks,,SUSPECT,Missing FCF yield and potential exposure to Chinese real estate sector are concerns,2026-05-18,0,
7974.T,"Nintendo Co., Ltd.",7182.0,JPY,61.0,B,61.0,Potencial +52% analistas | Crecimiento ingresos +95% | Dividendo 3.1% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Communication Services,Japan,🇯🇵,29.4,10937.23,52.3,26,3.3,6.54,3.06,,14.9,21.1,19.7,18.3,95.1,-51.5,Cyclical Risk | Geopolitical Risk,NTDOY,SUSPECT,High revenue growth YoY and analyst upside may indicate overoptimism or potential volatility,2026-05-18,0,
RDOR3.SA,Rede D'Or São Luiz S.A.,34.84,BRL,60.0,B,60.0,ROE 19.2% | Potencial +42% analistas | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Healthcare,Brazil,🇧🇷,9.0,49.59,42.3,13,3.5,5.29,1.83,,19.2,12.4,16.7,8.1,10.6,-28.0,Deuda elevada (D/E >2x) | Deuda elevada | Regulatory risks in healthcare sector | Cyclical risks in Brazilian market,RDORY,SUSPECT,High debt-to-equity ratio and relatively low profit margin raise concerns,2026-05-18,0,
