Ticker,Insider,Title,Date,InsiderName,TradeDate,FilingDate,Type,Price,Qty,Owned,Value,Source,ScrapedAt,Chart_Daily,Chart_Weekly
2026-09-15 05:49:29,RSG,"Republic Services, Inc.",10%,"Cascade Investment, L.L.C.",2026-09-08,2026-09-10,P - Purchase,221.41,720804,116477634,159%,OpenInsider.com,2026-09-15 05:49:29,reports/graphs/RSG_d.png,reports/graphs/RSG_w.png
2026-09-15 05:49:29,RSG,"Republic Services, Inc.",10%,"Cascade Investment, L.L.C.",2026-09-10,2026-09-14,P - Purchase,222.63,580810,117058444,129%,OpenInsider.com,2026-09-15 05:49:29,reports/graphs/RSG_d.png,reports/graphs/RSG_w.png
2026-09-15 05:49:29,QVCG,"Qvc Group, Inc.",10%,Goldentree Asset Management LP,2026-09-08,2026-09-10,P - Purchase,16.25,1600000,10991951,26%,OpenInsider.com,2026-09-15 05:49:29,reports/graphs/QVCG_d.png,reports/graphs/QVCG_w.png
2026-09-15 05:49:29,GPI,Group 1 Automotive Inc,10%,"Conifer Management, L.L.C.",2026-09-09,2026-09-11,P - Purchase,281.78,84000,1446640,23%,OpenInsider.com,2026-09-15 05:49:29,reports/graphs/GPI_d.png,reports/graphs/GPI_w.png
2026-09-15 05:49:29,GME,Gamestop Corp.,"Pres, CEO, COB",Cohen Ryan,2026-09-10,2026-09-10,P - Purchase,20.38,1000000,39347842,20%,OpenInsider.com,2026-09-15 05:49:29,reports/graphs/GME_d.png,reports/graphs/GME_w.png
2026-09-15 05:49:29,PMTS,Cpi Card Group Inc.,10%,Tricor Pmt25 Holdings Inc.,2026-09-14,2026-09-14,P - Purchase,21.5,525000,2701056,11%,OpenInsider.com,2026-09-15 05:49:29,reports/graphs/PMTS_d.png,reports/graphs/PMTS_w.png
2026-09-15 05:49:29,ALMS,Alumis Inc.,Dir,Akkaraju Srinivas,2026-09-04,2026-09-09,P - Purchase,10.87,986721,7239362,10%,OpenInsider.com,2026-09-15 05:49:29,reports/graphs/ALMS_d.png,reports/graphs/ALMS_w.png
2026-09-15 05:49:29,UBER,"Uber Technologies, Inc",CEO,Khosrowshahi Dara,2026-09-10,2026-09-10,P - Purchase,70.96,141000,1367100,10%,OpenInsider.com,2026-09-15 05:49:29,reports/graphs/UBER_d.png,reports/graphs/UBER_w.png
2026-09-15 05:49:29,GWAV,"Greenwave Technology Solutions, Inc.","CEO, 10%",Meeks Danny,2026-08-27,2026-09-09,P - Purchase,3.72,2152853,2188354,8%,OpenInsider.com,2026-09-15 05:49:29,reports/graphs/GWAV_d.png,reports/graphs/GWAV_w.png
2026-09-15 05:49:29,GREE,Vulcan Infrastructure & Power Inc.,Dir,Rogers George Ted III,2026-09-10,2026-09-11,P - Purchase,1.71,2923976,3055467,4%,OpenInsider.com,2026-09-15 05:49:29,reports/graphs/GREE_d.png,reports/graphs/GREE_w.png
